"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72454602112202321658.ret"
""
"Cadastrado título novo: 9000007983 5481 - RONALD RICCI JUNIOR 29/12/2023 RG 64,83 0"
"Cadastrado título novo: 9000007984 734 - GUSTAVO ADOLFO BAETA 29/12/2023 RG 246,68 0"
"Cadastrado título novo: 9000007985 3997 - SERVICOS LOGISTICA E 29/12/2023 RG 793,85 0"
"Pago título: 2230004436 1249 - ESTANCIA PARQUE ATIB 22/12/2023 LQ 737,06 737,06"
"Pago título: 2230004520 1423 - TASA TINTURARIA AMER 22/12/2023 LQ 935,14 935,14"
"Pago título: 2230004718 1701 - TINTURARIA E ESTAMPA 22/12/2023 LQ 343,64 343,64"
"Pago título: 2230005078 2293 - BRUNO NICOLETTI TECI 22/12/2023 LQ 283,05 283,05"
"Pago título: 2230005384 2773 - SOCIEDADE DE ARMAZEN 22/12/2023 LQ 470,18 470,18"
"Pago título: 2230005474 2949 - INSTITUTO ADVENTISTA 22/12/2023 LQ 391,09 391,09"
"Pago título: 2230005498 2965 - JAGUARI COMERCIAL E 22/12/2023 LQ 1112,99 1112,99"
"Pago título: 2230005552 3059 - VIC 01 SBO EMPREENDI 22/12/2023 LQ 243,15 243,15"
"Pago título: 2230005570 3091 - KARCHER INDUSTRIA E 22/12/2023 LQ 302,03 302,03"
"Pago título: 2230005618 3145 - RCL CAMPING E TURISM 22/12/2023 LQ 412,31 412,31"
"Pago título: 2230005828 3453 - CERAMICA SAVANE LTDA 22/12/2023 LQ 534,01 534,01"
"Pago título: 2230005894 3590 - AGUA DO CAMPO TRANSP 22/12/2023 LQ 1370,36 1370,36"
"Pago título: 2230005900 3592 - CONDOMINIO LAGOS SHA 22/12/2023 LQ 243,73 243,73"
"Pago título: 2230005918 3606 - ANTONIO CHAVES DOS S 22/12/2023 LQ 245,68 245,68"
"Pago título: 2230006092 3926 - HWT PROMOCOES ESPORT 22/12/2023 LQ 473,31 473,31"
"Pago título: 2230006134 4014 - ASSOC DOS PROPRIETAR 22/12/2023 LQ 878,3 878,3"
"Pago título: 2230006494 5076 - CLUBE DE CAMPO FAZEN 22/12/2023 LQ 2156,71 2156,71"
"Pago título: 2230006680 5491 - BREW CENTER CERVEJAS 22/12/2023 LQ 240,94 240,94"
"Pago título: 2230006722 5553 - ASSOCIACAO MASTER DA 22/12/2023 LQ 1616,37 1616,37"
"Pago título: 2230006830 5805 - QUIBRITA MINERADORA 22/12/2023 LQ 350,92 350,92"
"Pago título: 2230007058 7348 - JATOBA EMPREENDIMENT 22/12/2023 LQ 260,75 260,75"
"Pago título: 2230007088 7373 - LEVISSIMA DISTRIBUIC 22/12/2023 LQ 1288,17 1288,17"
"Pago título: 2230007166 7730 - QUINTAS DE ATIBAIA E 22/12/2023 LQ 322,84 322,84"
"Pago título: 9000007574 1052 - DEPARTAMENTO DE AGUA 22/12/2023 LQ 66810,61 66810,61"
"Pago título: 9000007882 3617 - HOSPITAL SAMARITANO 22/12/2023 LQ 281,51 281,51"
"Pago título: 9000007916 6793 - SUPERMERCADOS DALBEN 22/12/2023 LQ 295,82 295,82"
"Pago título: 9000007943 2974 - ASSOCIACAO DE MORADO 22/12/2023 LQ 248,59 248,59"
"Pago título: 9000007967 7771 - SCALA DATA CENTERS S 22/12/2023 LQ 1711,5 1711,5"
"Pago título: 9000007973 1386 - ASSOCIACAO DAS FILHA 22/12/2023 LQ 186,85 186,85"
"Pago título: 9000007980 3023 - JOAO LUIZ MELIKARDI 22/12/2023 LQ 282,47 282,47"
"ERRO! Operação desconhecida: 9000007981 6670 - CONDOMINIO RESIDENCI 22/12/2023 VC 194,15 0"
