"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442872806202124552.ret"
""
"Cadastrado título novo: 9000006208 4862 - PSS DE CAMARGO SERVI 30/06/2021 RG 434,48 0"
"Cadastrado título novo: 9000006209 4862 - PSS DE CAMARGO SERVI 30/07/2021 RG 434,48 0"
"Cadastrado título novo: 9000006210 4862 - PSS DE CAMARGO SERVI 31/08/2021 RG 434,48 0"
"Cadastrado título novo: 9000006211 4862 - PSS DE CAMARGO SERVI 30/09/2021 RG 434,48 0"
"Cadastrado título novo: 9000006212 4862 - PSS DE CAMARGO SERVI 29/10/2021 RG 434,48 0"
"Cadastrado título novo: 9000006213 4862 - PSS DE CAMARGO SERVI 30/11/2021 RG 434,48 0"
"Cadastrado título novo: 9000006214 932 - GREMIO RECR EMPREGADO 30/06/2021 RG 1173,28 0"
"Cadastrado título novo: 9000006215 3929 - MINERACAO SAMAMBAIA 30/06/2021 RG 418,68 0"
"Cadastrado título novo: 9000006216 917 - BMB BELGO MINEIRA BEK 30/06/2021 RG 1898,05 0"
"Cadastrado título novo: 9000006217 2783 - PIRELLI PNEUS LTDA 30/06/2021 RG 1160,82 0"
"Cadastrado título novo: 9000006218 1454 - FOXCONN BRASIL INDUS 30/07/2021 RG 1106,74 0"
"Pago título: 2111000573 3283 - TECNOROAD RODAS E P 30/06/2021 LQ 191,99 191,99"
"Pago título: 2111000644 3641 - MANEOGENE AGROCI NC 30/06/2021 LQ 192,5 192,5"
"Pago título: 2111000686 3791 - GEA EQUIPAMENTOS E 30/06/2021 LQ 307,6 307,6"
"Pago título: 2111000687 3792 - UNICOM SOCIEDADE DE 30/06/2021 LQ 164,04 164,04"
"Pago título: 2111000725 3941 - EDSON SANTO INCERPI 30/06/2021 LQ 131,75 131,75"
"Pago título: 2111000733 3982 - TRANSPORTADORA CARD 30/06/2021 LQ 140,21 140,21"
"Pago título: 2111000744 4045 - TOPACK DO BRASIL LT 30/06/2021 LQ 291,77 291,77"
"Pago título: 2111000757 4113 - CARLOS ALBERTO TREI 30/06/2021 LQ 214,72 214,72"
"Pago título: 2111000761 4133 - CHOPERIA GIOVANETTI 30/06/2021 LQ 308,05 308,05"
"Pago título: 2111000778 4349 - LOTEADORA AMERICANA 30/06/2021 LQ 107,59 107,59"
"Pago título: 2111000788 4444 - BARI MOTEL LTDA - M 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000799 4505 - CENTRO NACIONAL DE 30/06/2021 LQ 6316,43 6316,43"
"Pago título: 2111000820 4775 - PHILIS MOTEL LTDA. 30/06/2021 LQ 395,23 395,23"
"Pago título: 2111000828 4845 - BARDUCHI BARDUCHI L 30/06/2021 LQ 222,5 222,5"
"Pago título: 2111000831 4853 - TRIPAMA COM RCIO DE 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000841 5038 - COLEGIO RENOVACAO I 30/06/2021 LQ 794,86 794,86"
"Pago título: 2111000856 5290 - ASSOC DE PROPR E MO 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000862 5335 - J MENEZES TERRAPLEN 30/06/2021 LQ 156,08 156,08"
"Pago título: 2111000879 5450 - CLUBE DE CAMPO PRO- 30/06/2021 LQ 2035,34 2035,34"
"Pago título: 2111000881 5456 - EMPREENDIMENTO HOTE 30/06/2021 LQ 397,43 397,43"
"Pago título: 2111000885 5470 - MARTINS & PELOSO CH 30/06/2021 LQ 235,8 235,8"
"Pago título: 2111000888 5481 - RONALD RICCI JUNIOR 30/06/2021 LQ 129,75 129,75"
"Pago título: 2111000890 5497 - CONCRESERV CONCRETO 30/06/2021 LQ 346,51 346,51"
"Pago título: 2111000912 5610 - ASSOCIA  O DE PROPR 30/06/2021 LQ 234,21 234,21"
"Pago título: 2111000916 5617 - DINIZ COMERCIO ATAC 30/06/2021 LQ 248,85 248,85"
"Pago título: 2111000926 5960 - MILTON BULGARELI 30/06/2021 LQ 123,2 123,2"
"Pago título: 2113000003 10 - CONDOMINIO RESIDENCIA 30/06/2021 LQ 225,1 225,1"
"Pago título: 2113000102 1554 - TRANSPORTADORA CONT 30/06/2021 LQ 219,91 219,91"
"Pago título: 2113000132 1856 - FERNANDO NAJI NAHAS 30/06/2021 LQ 221,81 221,81"
"Pago título: 2113000210 2495 - HOTEL NACIONAL INN 30/06/2021 LQ 211,96 211,96"
"Pago título: 2113000249 2963 - FIBRILA TEXTILE LTD 30/06/2021 LQ 246,79 246,79"
"Pago título: 2113000282 3339 - ASSOCIA  O DE MELHO 30/06/2021 LQ 218,19 218,19"
"Pago título: 2113000291 3448 - CONDOM NIO CENTER L 30/06/2021 LQ 202,43 202,43"
"Pago título: 2113000324 3569 - CONDOM NIO RESIDENC 30/06/2021 LQ 212,26 212,26"
"Pago título: 2113000450 5017 - ASSOCIA  O DOS PROP 30/06/2021 LQ 220,79 220,79"
"Pago título: 2114000003 81 - CONPROP DO BRASIL EMP 30/06/2021 LQ 219,58 219,58"
"Pago título: 2114000027 444 - VIRONDA CONFECCOES L 30/06/2021 LQ 225,21 225,21"
"Pago título: 2114000047 612 - JOSE COLLOCA 30/06/2021 LQ 211,96 211,96"
"Pago título: 2114000135 1850 - DP & LF TRANSPORTES 30/06/2021 LQ 204,94 204,94"
"Pago título: 2114000244 3338 - MINERA  O DOIS IRM 30/07/2021 LQ 231,76 231,76"
"Pago título: 2114000467 7368 - HM 03 EMPREENDIMENT 30/06/2021 LQ 232,96 232,96"
"Pago título: 2115000038 858 - KIDDE BRASIL LTDA 30/06/2021 LQ 229,88 229,88"
"Pago título: 2115000193 3827 - STAVIAS SATANOSKI T 30/06/2021 LQ 202,13 202,13"
"Pago título: 2115000278 5352 - CONDOM NIO RESIDENC 30/06/2021 LQ 225,43 225,43"
"Pago título: 2116000009 6 - ASSOCIACAO MELHORAMENT 30/06/2021 LQ 201,03 201,03"
"Pago título: 2116000207 2301 - DRYLLER INDUSTRIA E 30/06/2021 LQ 211,76 211,76"
"Pago título: 2116000285 3098 - ASSOC DOS PROPR E M 30/06/2021 LQ 209,32 209,32"
"Pago título: 2117000066 1077 - DP & LF TRANSPORTES 30/06/2021 LQ 214,56 214,56"
"Pago título: 2117000338 4615 - RAIZEN ENERGIA S.A. 31/05/2021 LQ 211,82 218,02"
"Pago título: 2118000123 62 - GKN SINTER METALS LTD 30/06/2021 LQ 339,13 339,13"
"Pago título: 2118000355 206 - ROUSSELOT GELATINAS 30/06/2021 LQ 1948,04 1948,04"
"Pago título: 2118000683 448 - INDUSTRIA DE PAPEL R 30/06/2021 LQ 2514,15 2514,15"
"Pago título: 2118000827 523 - CONDOMINIO RESIDENCI 30/06/2021 LQ 349,09 349,09"
"Pago título: 2118001011 856 - PREFEITURA MUNICIPAL 30/06/2021 LQ 4819,51 4819,51"
"Pago título: 2118001059 878 - PREFEITURA MUNICIPAL 30/06/2021 LQ 4469,28 4469,28"
"Pago título: 2118001275 943 - RAIZEN ENERGIA S/A 30/06/2021 LQ 9258,73 9258,73"
"Pago título: 2118001459 1024 - RAIZEN ENERGIA S/A 30/06/2021 LQ 7506,81 7506,81"
"Pago título: 2118001627 1082 - LENA & CIA LTDA 30/06/2021 LQ 319,08 319,08"
"Pago título: 2118001787 1139 - HOPI HARI S/A 30/06/2021 LQ 540,67 540,67"
"Pago título: 2118001819 1145 - JOBEMA DISTRIBUIDOR 30/06/2021 LQ 914,09 914,09"
"Pago título: 2118001995 1354 - ALBEA DO BRASIL EMB 30/06/2021 LQ 465,15 465,15"
"Pago título: 2118002059 1446 - TOSHISADA FUJIWARA 30/06/2021 LQ 390,11 390,11"
"Pago título: 2118002115 1490 - AGUA SANTO ANTONIO 30/06/2021 LQ 560,74 560,74"
"Pago título: 2118002971 2752 - PREFEITURA DO MUNIC 30/06/2021 LQ 713,14 713,14"
"Pago título: 2118003075 2906 - TRANSPORTADORA H2O 30/06/2021 LQ 362,29 362,29"
"Pago título: 2118003171 3032 - CONDOM NIO VILLAGE 30/06/2021 LQ 537,96 537,96"
"Pago título: 2118003267 3139 - RAIZEN ENERGIA S/A 30/06/2021 LQ 237,88 237,88"
"Pago título: 2118003603 3540 - COMERCIAL DE ALIMEN 30/06/2021 LQ 307,47 307,47"
"Pago título: 2118003627 3609 - PINHAL CABRE VA EMP 30/06/2021 LQ 226,54 226,54"
"Pago título: 2118003635 3622 - CONDOM NIO CAPELA D 30/06/2021 LQ 733,35 733,35"
"Pago título: 2118003715 3696 -  GUAS DE CAMPINAS T 30/06/2021 LQ 312,89 312,89"
"Pago título: 2118003731 3703 - ASSOCIA  O DOS PROP 30/06/2021 LQ 204,93 204,93"
"Pago título: 2118003899 4014 - ASSOC DOS PROPRIET 30/06/2021 LQ 658,73 658,73"
"Pago título: 2118004067 4485 - PARQUE DOS EUCALIPT 30/06/2021 LQ 215,73 215,73"
"Pago título: 2118004091 4580 - ASSOCIA  O DOS PROP 30/06/2021 LQ 725,65 725,65"
"Pago título: 2118004187 4786 - SEARA ALIMENTOS LTD 30/06/2021 LQ 567,23 567,23"
"Pago título: 2118004299 5035 - CLOSURE SYSTEMS INT 30/06/2021 LQ 329,36 329,36"
"Pago título: 2118004443 5402 - S O PAULO SECRETARI 30/06/2021 LQ 739,12 739,12"
"Pago título: 2118004499 5442 - ASSOCIACAO DOS PROP 30/06/2021 LQ 307,87 307,87"
"Pago título: 2118004587 5545 - COOPERATIVA VEILING 30/06/2021 LQ 319,48 319,48"
"Pago título: 2118004603 5558 - PARKLOG ADMINISTRAD 30/06/2021 LQ 292,77 292,77"
"Pago título: 2118004875 6768 - CONDOM NIO RESIDENC 30/06/2021 LQ 324,85 324,85"
"Pago título: 2118005219 7444 - THAIS REGINA ROCHIT 30/06/2021 LQ 248,48 248,48"
"Pago título: 9000005817 984 - DOM PEDRO EMPREENDIME 30/06/2021 LQ 290 290"
"Pago título: 9000006058 3364 - RED BULL FUTEBOL E E 30/06/2021 LQ 567,2 567,2"
"Pago título: 9000006093 3806 - MOTEL CHARISMAN LTDA 30/06/2021 LQ 255,89 255,89"
"Pago título: 9000006094 858 - KIDDE BRASIL LTDA 30/06/2021 LQ 239,2 239,2"
"Pago título: 9000006146 81 - CONPROP DO BRASIL EMPR 30/06/2021 LQ 1439,41 1439,41"
"Pago título: 9000006153 1703 - TEXTIL ARATANS LTDA 30/06/2021 LQ 283,32 283,32"
"Pago título: 9000006183 624 - ARMINDO DIAS 30/06/2021 LQ 303,1 303,1"
"Pago título: 9000006205 2301 - DRYLLER INDUSTRIA E 30/06/2021 LQ 438,47 438,47"
"Cancelado título: 2118004786 5903 - SONIA MARIA PIERRI 31/05/2021 BX 241,83 0"
"Cancelado título: 2118004787 5903 - SONIA MARIA PIERRI 30/06/2021 BX 241,83 0"
"Cancelado título: 2118004788 5903 - SONIA MARIA PIERRI 30/07/2021 BX 241,83 0"
"Cancelado título: 2118004789 5903 - SONIA MARIA PIERRI 31/08/2021 BX 241,83 0"
"Cancelado título: 2118004790 5903 - SONIA MARIA PIERRI 30/09/2021 BX 241,83 0"
"Cancelado título: 2118004791 5903 - SONIA MARIA PIERRI 29/10/2021 BX 241,83 0"
"Cancelado título: 2118004792 5903 - SONIA MARIA PIERRI 30/11/2021 BX 241,83 0"
