"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453822510202313540.ret"
""
"Cadastrado título novo: 9000007746 2032 - SEW - EURODRIVE BRAS 30/11/2023 RG 801,64 0"
"Cadastrado título novo: 9000007747 4405 - ROYAL PALM OPERADORA 30/11/2023 RG 821,07 0"
"Cadastrado título novo: 9000007748 3583 - ALISUL ALIMENTOS S/A 31/10/2023 RG 758,64 0"
"Cadastrado título novo: 9000007749 4594 - MYOUNG SHIN FABRICAN 31/10/2023 RG 624,21 0"
"Cadastrado título novo: 9000007750 5263 - ANHANGUERA EDUCACION 31/10/2023 RG 625,47 0"
"Pago título: 2230004710 1695 - GOODYEAR DO BRASIL P 31/10/2023 LQ 17740,6 17740,6"
"Pago título: 2230004770 1792 - ASSOC DE AMIGOS DO C 31/10/2023 LQ 400,12 400,12"
"Pago título: 2230004860 1934 - SSB ENERGIA RENOVAVE 31/10/2023 LQ 1219,86 1219,86"
"Pago título: 2230004878 1972 - SINDICATO DOS TRAB I 31/10/2023 LQ 427,24 427,24"
"Pago título: 2230004884 1976 - SOL INVEST EMPREENDI 31/10/2023 LQ 339,68 339,68"
"Pago título: 2230005250 2559 - CONDOMINIO RESIDENCI 31/10/2023 LQ 353,76 353,76"
"Pago título: 2230005616 3145 - RCL CAMPING E TURISM 31/10/2023 LQ 412,31 412,31"
"Pago título: 2230005712 3336 - CONDOMINIO RESIDENCI 31/10/2023 LQ 384,79 384,79"
"Pago título: 2230005754 3379 - SSB ENERGIA RENOVAVE 31/10/2023 LQ 4887,47 4887,47"
"Pago título: 2230005760 3382 - CENTRO EMPRESARIAL E 31/10/2023 LQ 383,71 383,71"
"Pago título: 2230005766 3383 - CENTRO EMPRESARIAL E 31/10/2023 LQ 730,12 730,12"
"Pago título: 2230005814 3443 - BRK AMBIENTAL - SUMA 31/10/2023 LQ 120020,47 120020,47"
"Pago título: 2230005832 3462 - CONDOMINIO EMPRESARI 31/10/2023 LQ 1442,24 1442,24"
"Pago título: 2230005880 3540 - COMERCIAL DE ALIMENT 31/10/2023 LQ 253,99 253,99"
"Pago título: 2230005898 3592 - CONDOMINIO LAGOS SHA 31/10/2023 LQ 243,73 243,73"
"Pago título: 2230005916 3606 - ANTONIO CHAVES DOS S 31/10/2023 LQ 245,68 245,68"
"Pago título: 2230005934 3629 - ASSOCIACAO DOS MORAD 31/10/2023 LQ 879,42 879,42"
"Pago título: 2230006007 3703 - ASSOCIACAO DOS PROP. 30/11/2023 LQ 273,25 273,25"
"Pago título: 2230006008 3703 - ASSOCIACAO DOS PROP. 22/12/2023 LQ 273,25 273,25"
"Pago título: 2230006030 3779 - SOCIEDADE JARDIM VIL 31/10/2023 LQ 352,3 352,3"
"Pago título: 2230006066 3879 - CATALISE INDUSTRIA E 31/10/2023 LQ 390,35 390,35"
"Pago título: 2230006078 3899 - ASSOCIACAO RESIDENCI 31/10/2023 LQ 772,01 772,01"
"Pago título: 2230006174 4280 - YARA BRASIL FERTILIZ 31/10/2023 LQ 439,15 439,15"
"Pago título: 2230006642 5443 - ASSOC DOS PROP E MOR 31/10/2023 LQ 307,41 307,41"
"Pago título: 2230006672 5487 - ASSOC DOS PROPR DE L 31/10/2023 LQ 439,15 439,15"
"Pago título: 2230006816 5802 - AGUAS DO BARREIRO RI 31/10/2023 LQ 390,36 390,36"
"Pago título: 2230006858 5982 - ASSOCIACAO DOS MORAD 31/10/2023 LQ 243,97 243,97"
"Pago título: 2230006906 6768 - CONDOMINIO RESIDENCI 31/10/2023 LQ 239,75 239,75"
"Pago título: 2230007056 7348 - JATOBA EMPREENDIMENT 31/10/2023 LQ 260,75 260,75"
"Pago título: 2230007146 7722 - ASSOC DE PROP DO LOT 31/10/2023 LQ 207,17 207,17"
"Pago título: 9000007584 7759 - THIAGO RODRIGO ROCHI 31/10/2023 LQ 1712,02 1712,02"
"Pago título: 9000007723 7340 - SUZANO S.A. 31/10/2023 LQ 1683,09 1683,09"
"Pago título: 9000007724 5420 - SUZANO PAPEL E CELUL 31/10/2023 LQ 1683,09 1683,09"
"Pago título: 9000007741 1792 - ASSOC DE AMIGOS DO C 31/10/2023 LQ 1248,98 1248,98"
