"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72444213009202115132.ret"
""
"Cadastrado título novo: 9000006573 3297 - ASSOC ADM DO LOTEAME 29/10/2021 RG 312,3 0"
"Cadastrado título novo: 9000006574 5501 - FERREIRA EMPREENDIME 29/10/2021 RG 329,49 0"
"Cadastrado título novo: 9000006575 7345 - IGREJA DO NAZARENO-D 29/10/2021 RG 130,62 0"
"Cadastrado título novo: 9000006576 2220 - FANAL PIRACICABA COM 29/10/2021 RG 924,55 0"
"Pago título: 2118000038 24 - ASSOCIACAO DOS PROPRI 30/09/2021 LQ 384,32 384,32"
"Pago título: 2118000046 25 - EXTRACAO E COMERCIO D 30/09/2021 LQ 553,25 553,25"
"Pago título: 2118000054 26 - CERAMICA FORMIGRES LT 30/09/2021 LQ 546,99 546,99"
"Pago título: 2118000070 33 - CONDOMINIO SHOPPING C 30/09/2021 LQ 247,14 247,14"
"Pago título: 2118000078 34 - CONDOMINIO BOUGAINVIL 30/09/2021 LQ 228,32 228,32"
"Pago título: 2118000094 43 - CONDOMINIO RESIDENCIA 30/09/2021 LQ 1482,13 1482,13"
"Pago título: 2118000150 68 - ASSOCIACAO GREEN VILL 30/09/2021 LQ 257,17 257,17"
"Pago título: 2118000158 69 - PLASTEK DO BRASIL IND 30/09/2021 LQ 292,33 292,33"
"Pago título: 2118000166 72 - ANTENOR MAXIMIANO PAR 30/09/2021 LQ 434,76 434,76"
"Pago título: 2118000174 73 - NARDINI PISOS E REVES 30/09/2021 LQ 219,58 219,58"
"Pago título: 2118000190 85 - ASSOCIACAO PROPRIETAR 30/09/2021 LQ 355,24 355,24"
"Pago título: 2118000198 94 - SERVICO SOCIAL DA IND 30/09/2021 LQ 365,96 365,96"
"Pago título: 2118000206 96 - TAGMA BRASIL IND STRI 30/09/2021 LQ 530,64 530,64"
"Pago título: 2118000222 111 - ASSOCIACAO MORADORES 30/09/2021 LQ 585,53 585,53"
"Pago título: 2118000230 112 - LUME CERAMICA LTDA 30/09/2021 LQ 270,81 270,81"
"Pago título: 2118000246 136 - M RCIA REGINA PEZZEN 30/09/2021 LQ 329,36 329,36"
"Pago título: 2118000254 142 - SOCIEDADE DE MELHORA 30/09/2021 LQ 454,89 454,89"
"Pago título: 2118000262 149 - GREEN GOLF CLUB 30/09/2021 LQ 222,98 222,98"
"Pago título: 2118000270 152 - SOCIEDADE AMIGOS DO 30/09/2021 LQ 393,41 393,41"
"Pago título: 2118000286 160 - ASSOCIA  O RESIDENCI 30/09/2021 LQ 2252,3 2252,3"
"Pago título: 2118000294 163 - SABARA QUIMICOS E IN 30/09/2021 LQ 565,63 565,63"
"Pago título: 2118000302 166 - BRF - BRASIL FOODS S 30/09/2021 LQ 259,61 259,61"
"Pago título: 2118000310 182 - UNIPEL INDUSTRIA E C 30/09/2021 LQ 325,18 325,18"
"Pago título: 2118000326 184 - TECELAGEM JOLITEX LT 30/09/2021 LQ 1428,73 1428,73"
"Pago título: 2118000334 191 - COOPERATIVA NOVA ESP 30/09/2021 LQ 847,97 847,97"
"Pago título: 2118000350 203 - TINTURARIA E ESTAMPA 30/09/2021 LQ 1007,28 1007,28"
"Pago título: 2118000374 219 - SI GROUP CRIOS RESIN 30/09/2021 LQ 1763,16 1763,16"
"Pago título: 2118000382 223 - VIVA PISOS E REVESTI 30/09/2021 LQ 775,53 775,53"
"Pago título: 2118000414 237 - IPLASA - INDUSTRIA E 30/09/2021 LQ 439,15 439,15"
"Pago título: 2118000430 244 - CONFIBRA INDUSTRIA E 30/09/2021 LQ 642,28 642,28"
"Pago título: 2118000454 257 - PASTIFICIO SELMI S/A 30/09/2021 LQ 1856,96 1856,96"
"Pago título: 2118000462 262 - IND STRIA CAMPINEIRA 30/09/2021 LQ 296,43 296,43"
"Pago título: 2118000470 265 - ADERE PRODUTOS AUTO- 30/09/2021 LQ 391,04 391,04"
"Pago título: 2118000478 281 - BIO SPRINGER DO BRAS 30/09/2021 LQ 852,31 852,31"
"Pago título: 2118000486 293 - OMAMORI INDUSTRIA DE 30/09/2021 LQ 304,31 304,31"
"Pago título: 2118000502 312 - FIACAO ALPINA LTDA 30/09/2021 LQ 796,39 796,39"
"Pago título: 2118000518 324 - DEDINI S/A INDUSTRIA 30/09/2021 LQ 643,93 643,93"
"Pago título: 2118000526 332 - CBR BRANDS IND STRIA 30/09/2021 LQ 3112,03 3112,03"
"Pago título: 2118000534 335 - ANTONIO BORIN SA IND 30/09/2021 LQ 404,31 404,31"
"Pago título: 2118000542 342 - IPE AGRO AVICOLA LTD 30/09/2021 LQ 388,4 388,4"
"Pago título: 2118000550 349 - SOBAM CENTRO MEDICO 30/09/2021 LQ 397,58 397,58"
"Pago título: 2118000558 356 - ESTANCIA ARVORE DA V 30/09/2021 LQ 529,97 529,97"
"Pago título: 2118000566 357 - CONDOMINIO VILLE DE 30/09/2021 LQ 1443,18 1443,18"
"Pago título: 2118000574 358 - ASSOCIA  O AMIGOS MA 30/09/2021 LQ 1219,29 1219,29"
"Pago título: 2118000582 371 - CONDOMINIO ITAEMBU 30/09/2021 LQ 606,58 606,58"
"Pago título: 2118000590 372 - ASSOCIACAO MORAD PRO 30/09/2021 LQ 1282,68 1282,68"
"Pago título: 2118000598 375 - CAPUAVA S/A INDUSTRI 30/09/2021 LQ 816,36 816,36"
"Pago título: 2118000606 383 - EATON LTDA 30/09/2021 LQ 992,53 992,53"
"Pago título: 2118000614 390 - TOYOBO DO BRASIL LTD 30/09/2021 LQ 631,23 631,23"
"Pago título: 2118000622 400 - FRICOCK FRIGORIFICAC 30/09/2021 LQ 955,47 955,47"
"Pago título: 2118000646 417 - EMBRAMACO EMPRESA BR 30/09/2021 LQ 2751,87 2751,87"
"Pago título: 2118000662 426 - RUY R. DA ROCHA PROD 30/09/2021 LQ 329,36 329,36"
"Pago título: 2118000670 432 - ASSOCIACAO PROPRIETA 30/09/2021 LQ 458,45 458,45"
"Pago título: 2118000694 449 - ASSOCIA  O PRO AGUA 30/09/2021 LQ 801,91 801,91"
"Pago título: 2118000710 455 - TBK MINERA  O LTDA 30/09/2021 LQ 651,45 651,45"
"Pago título: 2118000718 461 - J.R.M. - PARTICIPACO 30/09/2021 LQ 745,86 745,86"
"Pago título: 2118000726 476 - CLUBE DE CAMPO VALIN 30/09/2021 LQ 1920,76 1920,76"
"Pago título: 2118000742 480 - PAPIRUS INDUSTRIA DE 30/09/2021 LQ 2663,74 2663,74"
"Pago título: 2118000750 482 - TAVARES PINHEIRO IND 30/09/2021 LQ 530,64 530,64"
"Pago título: 2118000758 487 - USINA ACUCAREIRA EST 30/09/2021 LQ 22937,57 22937,57"
"Pago título: 2118000766 490 - SAINT-GOBAIN DO BRAS 30/09/2021 LQ 1050,82 1050,82"
"Pago título: 2118000774 491 - CATERPILLAR BRASIL L 30/09/2021 LQ 501,22 501,22"
"Pago título: 2118000782 497 -  LCOOL FERREIRA S/A 30/09/2021 LQ 643,18 643,18"
"Pago título: 2118000790 499 - SPAL INDUSTRIA BRASI 30/09/2021 LQ 2917,24 2917,24"
"Pago título: 2118000798 500 - BIGNARDI IND E COM D 30/09/2021 LQ 5302,68 5302,68"
"Pago título: 2118000806 503 - FLAMBOI  ALIMENTOS L 30/09/2021 LQ 661,27 661,27"
"Pago título: 2118000814 505 - ASSOCIACAO AMIGOS DO 30/09/2021 LQ 1120,48 1120,48"
"Pago título: 2118000822 507 - TINTURARIA UNIVERSO 30/09/2021 LQ 1622,14 1622,14"
"Pago título: 2118000830 523 - CONDOMINIO RESIDENCI 30/09/2021 LQ 349,09 349,09"
"Pago título: 2118000838 529 - OWENS CORNING FIBERG 30/09/2021 LQ 2940,25 2940,25"
"Pago título: 2118000878 585 - TEKA - TECELAGEM KUE 30/09/2021 LQ 1618,73 1618,73"
"Pago título: 2118000894 821 - PREFEITURA MUNICIPAL 30/09/2021 LQ 3917,49 3917,49"
"Pago título: 2118000910 824 - UNIVERSIDADE DE SAO 30/09/2021 LQ 947,87 947,87"
"Pago título: 2118000934 829 - SERVICO AUT NOMO DE 30/09/2021 LQ 9435,57 9435,57"
"Pago título: 2118000942 831 - DEPARTAMENTO DE  GUA 30/09/2021 LQ 31800,05 31800,05"
"Pago título: 2118000966 842 - REGIMAR COMERCIAL S/ 30/09/2021 LQ 1957,2 1957,2"
"Pago título: 2118000974 844 - COIM BRASIL LTDA 30/09/2021 LQ 417,84 417,84"
"Pago título: 2118000982 845 - THYSSENKRUPP METALUR 30/09/2021 LQ 3874,04 3874,04"
"Pago título: 2118000990 851 - KROMBERG & SCHUBERT 30/09/2021 LQ 276,84 276,84"
"Pago título: 2118000998 852 - ECOFABRIL INDUSTRIA 30/09/2021 LQ 278,25 278,25"
"Pago título: 2118001006 855 - LOG & PRINT GR FICA 30/09/2021 LQ 212,62 212,62"
"Pago título: 2118001014 856 - PREFEITURA MUNICIPAL 30/09/2021 LQ 4819,51 4819,51"
"Pago título: 2118001038 863 - SENPAR TERRAS DE S O 30/09/2021 LQ 892,67 892,67"
"Pago título: 2118001054 868 - PREFEITURA MUNICIPAL 30/09/2021 LQ 2470,93 2470,93"
"Pago título: 2118001070 882 - SERVI O AUT NOMO DE 30/09/2021 LQ 117153,09 117153,09"
"Pago título: 2118001078 885 - CP KELCO BRASIL S/A 30/09/2021 LQ 6754,61 6754,61"
"Pago título: 2118001086 886 - PROVIDER INDUSTRIA E 30/09/2021 LQ 579 579"
"Pago título: 2118001094 888 - INCOPISOS INDUSTRIA 30/09/2021 LQ 1154,67 1154,67"
"Pago título: 2118001102 891 - TIMAVO DO BRASIL S/A 30/09/2021 LQ 3125,55 3125,55"
"Pago título: 2118001110 892 - A. AZEVEDO INDUSTRIA 30/09/2021 LQ 484,19 484,19"
"Pago título: 2118001118 895 - FRIGORIFICO ANGELELL 30/09/2021 LQ 1559,67 1559,67"
"Pago título: 2118001126 896 - PREFEITURA MUNICIPAL 30/09/2021 LQ 2040,84 2040,84"
"Pago título: 2118001134 898 - SERVICO MUNICIPAL DE 30/09/2021 LQ 162334,71 162334,71"
"Pago título: 2118001150 903 - MINASA TRADING INTER 30/09/2021 LQ 1167,86 1167,86"
"Pago título: 2118001166 909 - FLEX PARQUE EMPRESAR 30/09/2021 LQ 700,82 700,82"
"Pago título: 2118001182 919 - COMPANHIA DE DESENVO 30/09/2021 LQ 32951,79 32951,79"
"Pago título: 2118001190 920 - ELEKEIROZ S/A 30/09/2021 LQ 8353,12 8353,12"
"Pago título: 2118001222 931 - CENTRO CULTURAL E RE 30/09/2021 LQ 309,17 309,17"
"Pago título: 2118001238 938 - MIRACEMA NUODEX INDU 30/09/2021 LQ 349,2 349,2"
"Pago título: 2118001246 939 - LEF PISOS E REVESTIM 30/09/2021 LQ 769,96 769,96"
"Pago título: 2118001262 941 - RAIZEN ENERGIA S/A 30/09/2021 LQ 16893,22 16893,22"
"Pago título: 2118001286 944 - PREFEITURA MUNICIPAL 30/09/2021 LQ 21344,03 21344,03"
"Pago título: 2118001294 946 - HOTEL CAMPING ESTANC 30/09/2021 LQ 746,56 746,56"
"Pago título: 2118001302 948 - QUINTA DA BARONEZA G 30/09/2021 LQ 2911,56 2911,56"
"Pago título: 2118001326 955 - PREFEITURA DO MUNIC 30/09/2021 LQ 1152,66 1152,66"
"Pago título: 2118001334 959 - ASK PRODUTOS QUIMICO 30/09/2021 LQ 216,52 216,52"
"Pago título: 2118001342 962 - SAO MARTINHO S.A. 30/09/2021 LQ 33958,94 33958,94"
"Pago título: 2118001350 965 - IGARATIBA INDUSTRIA 30/09/2021 LQ 287,63 287,63"
"Pago título: 2118001358 966 - SERVICO DE AGUA E ES 30/09/2021 LQ 23635,42 23635,42"
"Pago título: 2118001374 976 - SOCIEDADE DE ABASTEC 30/09/2021 LQ 23493,63 23493,63"
"Pago título: 2118001390 981 - PIRACAIA IND E COM E 30/09/2021 LQ 753,96 753,96"
"Pago título: 2118001398 985 - CONDOMINIO FAZENDA D 30/09/2021 LQ 293,18 293,18"
"Pago título: 2118001430 1000 - CIA SANEAMENTO BASI 30/09/2021 LQ 16405,88 16405,88"
"Pago título: 2118001438 1001 - CIA SANEAMENTO BASI 30/09/2021 LQ 843,24 843,24"
"Pago título: 2118001446 1002 - CIA SANEAMENTO BASI 30/09/2021 LQ 1360,24 1360,24"
"Pago título: 2118001454 1004 - BRANYL COMERCIO E I 30/09/2021 LQ 1039,39 1039,39"
"Pago título: 2118001470 1033 - CCS TECNOLOGIA E SE 30/09/2021 LQ 223,52 223,52"
"Pago título: 2118001494 1047 - QUIMICA AMPARO LTDA 30/09/2021 LQ 5224,9 5224,9"
"Pago título: 2118001502 1048 - AHLSTROM LOUVEIRA L 30/09/2021 LQ 2810,99 2810,99"
"Pago título: 2118001510 1050 - CIA SANEAMENTO BASI 30/09/2021 LQ 511,69 511,69"
"Pago título: 2118001518 1052 - DEPARTAMENTO DE  GU 30/09/2021 LQ 4541,51 4541,51"
"Pago título: 2118001526 1055 - CARTONIFICIO VALINH 30/09/2021 LQ 1388,88 1388,88"
"Pago título: 2118001534 1057 - CIA SANEAMENTO BASI 30/09/2021 LQ 36982,34 36982,34"
"Pago título: 2118001542 1058 - CIA SANEAMENTO BASI 30/09/2021 LQ 4362,4 4362,4"
"Pago título: 2118001550 1060 - CIA SANEAMENTO BASI 30/09/2021 LQ 4566,64 4566,64"
"Pago título: 2118001558 1063 - CIA SANEAMENTO BASI 30/09/2021 LQ 2859,79 2859,79"
"Pago título: 2118001566 1064 - CIA SANEAMENTO BASI 30/09/2021 LQ 9707,52 9707,52"
"Pago título: 2118001574 1065 - CIA SANEAMENTO BASI 30/09/2021 LQ 5801,77 5801,77"
"Pago título: 2118001582 1067 - CIA SANEAMENTO BASI 30/09/2021 LQ 6538,48 6538,48"
"Pago título: 2118001590 1070 - CIA SANEAMENTO BASI 30/09/2021 LQ 4655,64 4655,64"
"Pago título: 2118001598 1073 - CIA SANEAMENTO BASI 30/09/2021 LQ 8343,9 8343,9"
"Pago título: 2118001606 1074 - CIA SANEAMENTO BASI 30/09/2021 LQ 844,45 844,45"
"Pago título: 2118001614 1075 - TINTEX TINTURARIA T 30/09/2021 LQ 222,59 222,59"
"Pago título: 2118001638 1084 - COMPANHIA DE SANEAM 30/09/2021 LQ 14269,47 14269,47"
"Pago título: 2118001646 1086 - ENGENHO SAO PEDRO A 30/09/2021 LQ 1612 1612"
"Pago título: 2118001654 1087 - TOYOTA DO BRASIL LT 30/09/2021 LQ 1333,39 1333,39"
"Pago título: 2118001662 1090 - CITROSUCO S/A AGROI 30/09/2021 LQ 1716,94 1716,94"
"Pago título: 2118001670 1092 - PREFEITURA MUNICIPA 30/09/2021 LQ 453,54 453,54"
"Pago título: 2118001686 1103 - ASSOCIACAO FAZENDA 30/09/2021 LQ 687,22 687,22"
"Pago título: 2118001702 1110 - SERVICO AUTONOMO DE 30/09/2021 LQ 3684,15 3684,15"
"Pago título: 2118001710 1111 - CIA SANEAMENTO BASI 30/09/2021 LQ 410433,13 410433,13"
"Pago título: 2118001718 1112 - CIA SANEAMENTO BASI 30/09/2021 LQ 23029,06 23029,06"
"Pago título: 2118001726 1116 - CROWN  EMBALAGENS M 30/09/2021 LQ 1530,5 1530,5"
"Pago título: 2118001734 1120 - MOTOROLA MOBILITY C 30/09/2021 LQ 845,37 845,37"
"Pago título: 2118001742 1122 - PPC SANTANA EQUIPAM 30/09/2021 LQ 291,74 291,74"
"Pago título: 2118001750 1123 - CIA SANEAMENTO BASI 30/09/2021 LQ 21391,91 21391,91"
"Pago título: 2118001782 1136 - VILLARES METALS S/A 30/09/2021 LQ 1423,95 1423,95"
"Pago título: 2118001806 1143 - CASTELO ALIMENTOS S 30/09/2021 LQ 695,34 695,34"
"Pago título: 2118001814 1144 - ASSOCIACAO PROPRIET 30/09/2021 LQ 274,47 274,47"
"Pago título: 2118001846 1154 - GREENBRIER MAXION E 30/09/2021 LQ 444,23 444,23"
"Pago título: 2118001870 1193 - TEXTIL CANATIBA LTD 30/09/2021 LQ 780,38 780,38"
"Pago título: 2118001878 1194 - TEXTIL CANATIBA LTD 30/09/2021 LQ 1726,14 1726,14"
"Pago título: 2118001886 1195 - TEXTIL CANATIBA LTD 30/09/2021 LQ 1300,15 1300,15"
"Pago título: 2118001902 1221 - NORQUIMA PRODUTOS Q 30/09/2021 LQ 298,7 298,7"
"Pago título: 2118001926 1231 - COVOLAN IND STRIA T 30/09/2021 LQ 17031,49 17031,49"
"Pago título: 2118001934 1243 - ASSOCIACAO PROPRIET 30/09/2021 LQ 329,36 329,36"
"Pago título: 2118001958 1266 - ASSOCIA  O COMUNIT 30/09/2021 LQ 247,02 247,02"
"Pago título: 2118001966 1274 - GUAINUMBY TEXTIL LT 30/09/2021 LQ 452,85 452,85"
"Pago título: 2118001982 1313 - AZUMA KIRIN IND STR 30/09/2021 LQ 268,75 268,75"
"Pago título: 2118002006 1405 - ASSOCIACAO LOTEAMEN 30/09/2021 LQ 3204,93 3204,93"
"Pago título: 2118002014 1414 - CERVEJARIA ASHBY LT 30/09/2021 LQ 222,64 222,64"
"Pago título: 2118002022 1417 - IND STRIA DE PRODUT 30/09/2021 LQ 222,42 222,42"
"Pago título: 2118002030 1420 - MIRVI BRASIL LTDA 30/09/2021 LQ 335,43 335,43"
"Pago título: 2118002038 1423 - TASA TINTURARIA AME 30/09/2021 LQ 701,36 701,36"
"Pago título: 2118002046 1425 - TRANSPORTE E COMERC 30/09/2021 LQ 314,72 314,72"
"Pago título: 2118002054 1429 - ASSOCIACAO ADMINIST 30/09/2021 LQ 742,9 742,9"
"Pago título: 2118002070 1456 - ASSOC DOS PROP DO L 30/09/2021 LQ 347,66 347,66"
"Pago título: 2118002078 1459 - CIA SANEAMENTO BASI 30/09/2021 LQ 3140,21 3140,21"
"Pago título: 2118002086 1465 - BBC INDUSTRIA E COM 30/09/2021 LQ 311,76 311,76"
"Pago título: 2118002094 1477 - JETFIO INDUSTRIA TE 30/09/2021 LQ 316,68 316,68"
"Pago título: 2118002110 1484 - DELTA INDUSTRIA CER 30/09/2021 LQ 8194,81 8194,81"
