"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72443773008202131432.ret"
""
"Cadastrado título novo: 9000006478 1481 - BELLACOR TINTURARIA 30/09/2021 RG 2411,65 0"
"Cadastrado título novo: 9000006479 7373 - LEVISSIMA DISTRIBUIC 31/08/2021 RG 553,26 0"
"Cadastrado título novo: 9000006480 7373 - LEVISSIMA DISTRIBUIC 30/09/2021 RG 553,26 0"
"Cadastrado título novo: 9000006481 7373 - LEVISSIMA DISTRIBUIC 29/10/2021 RG 553,26 0"
"Cadastrado título novo: 9000006482 7373 - LEVISSIMA DISTRIBUIC 30/11/2021 RG 553,26 0"
"Cadastrado título novo: 9000006483 7373 - LEVISSIMA DISTRIBUIC 31/12/2021 RG 553,26 0"
"Cadastrado título novo: 9000006484 7373 - LEVISSIMA DISTRIBUIC 31/01/2022 RG 553,26 0"
"Cadastrado título novo: 9000006485 7373 - LEVISSIMA DISTRIBUIC 28/02/2022 RG 553,26 0"
"Cadastrado título novo: 9000006486 7373 - LEVISSIMA DISTRIBUIC 31/03/2022 RG 553,26 0"
"Cadastrado título novo: 9000006487 7373 - LEVISSIMA DISTRIBUIC 29/04/2022 RG 553,26 0"
"Cadastrado título novo: 9000006488 7373 - LEVISSIMA DISTRIBUIC 31/05/2022 RG 553,26 0"
"Pago título: 2117000222 3059 - VIC 01 SBO EMPREEND 31/08/2021 LQ 208,41 208,41"
"Pago título: 2117000250 3259 - BAG CLEANER COM RCI 31/08/2021 LQ 208,86 208,86"
"Pago título: 2117000257 3271 - ASSOCIA  O DOS PROP 31/08/2021 LQ 200,75 200,75"
"Pago título: 2117000292 3474 - ASSOCIA  O FILOS FI 31/08/2021 LQ 203,26 203,26"
"Pago título: 2117000313 3994 - ASSOCIA  O RESERVA 31/08/2021 LQ 225,85 225,85"
"Pago título: 2117000348 4674 - L'OCCITANE OPERA IN 31/08/2021 LQ 200,75 200,75"
"Pago título: 2117000369 5318 - SERRANO EMPREENDIME 31/08/2021 LQ 208,55 208,55"
"Pago título: 2117000418 5534 - RESIDENCIAL SOLEIL 31/08/2021 LQ 209,73 209,73"
"Pago título: 2117000419 5534 - RESIDENCIAL SOLEIL 30/09/2021 LQ 209,73 209,73"
"Pago título: 2117000420 5534 - RESIDENCIAL SOLEIL 29/10/2021 LQ 209,73 209,73"
"Pago título: 2117000432 5939 - CRYOVAC BRASIL LTDA 31/08/2021 LQ 227,55 227,55"
"Pago título: 2118000069 33 - CONDOMINIO SHOPPING C 31/08/2021 LQ 247,14 247,14"
"Pago título: 2118000101 46 - ASSOCIA  O DE MORADOR 31/08/2021 LQ 567,23 567,23"
"Pago título: 2118000109 52 - ASSOCIACAO DOS PROPRI 31/08/2021 LQ 586,91 586,91"
"Pago título: 2118000221 111 - ASSOCIACAO MORADORES 31/08/2021 LQ 585,53 585,53"
"Pago título: 2118000277 157 - CONDOMINIO TECH TOWN 31/08/2021 LQ 873,81 873,81"
"Pago título: 2118000319 183 - TEXTIL BASSETO LTDA 29/10/2021 LQ 260,66 260,66"
"Pago título: 2118000493 297 - CERAMICA CRISTOFOLET 31/08/2021 LQ 439,15 439,15"
"Pago título: 2118000541 342 - IPE AGRO AVICOLA LTD 31/08/2021 LQ 388,4 388,4"
"Pago título: 2118000581 371 - CONDOMINIO ITAEMBU 31/08/2021 LQ 606,58 606,58"
"Pago título: 2118000701 452 - WHIRLPOOL S/A 31/08/2021 LQ 1030,46 1030,46"
"Pago título: 2118000869 559 - BENEFICIADORA DE TEC 31/08/2021 LQ 874,66 874,66"
"Pago título: 2118000917 826 - DEPARTAMENTO AUTONOM 31/08/2021 LQ 87949,24 87949,24"
"Pago título: 2118000957 841 - MAGNETI MARELLI SIST 31/08/2021 LQ 387,29 387,29"
"Pago título: 2118000989 851 - KROMBERG & SCHUBERT 31/08/2021 LQ 276,84 276,84"
"Pago título: 2118001013 856 - PREFEITURA MUNICIPAL 31/08/2021 LQ 4819,51 4819,51"
"Pago título: 2118001173 917 - BMB BELGO MINEIRA BE 31/08/2021 LQ 916,62 916,62"
"Pago título: 2118001213 930 - SERVICO AUTONOMO DE 31/08/2021 LQ 36611,59 36611,59"
"Pago título: 2118001229 932 - GREMIO RECR EMPREGAD 31/08/2021 LQ 566,6 566,6"
"Pago título: 2118001325 955 - PREFEITURA DO MUNIC 31/08/2021 LQ 1152,66 1152,66"
"Pago título: 2118001429 1000 - CIA SANEAMENTO BASI 31/08/2021 LQ 16405,88 16405,88"
"Pago título: 2118001437 1001 - CIA SANEAMENTO BASI 31/08/2021 LQ 843,24 843,24"
"Pago título: 2118001533 1057 - CIA SANEAMENTO BASI 31/08/2021 LQ 36982,34 36982,34"
"Pago título: 2118001541 1058 - CIA SANEAMENTO BASI 31/08/2021 LQ 4362,4 4362,4"
"Pago título: 2118001549 1060 - CIA SANEAMENTO BASI 31/08/2021 LQ 4566,64 4566,64"
"Pago título: 2118001565 1064 - CIA SANEAMENTO BASI 31/08/2021 LQ 9707,52 9707,52"
"Pago título: 2118001573 1065 - CIA SANEAMENTO BASI 31/08/2021 LQ 5801,77 5801,77"
"Pago título: 2118001581 1067 - CIA SANEAMENTO BASI 31/08/2021 LQ 6538,48 6538,48"
"Pago título: 2118001629 1082 - LENA & CIA LTDA 31/08/2021 LQ 319,08 319,08"
"Pago título: 2118001749 1123 - CIA SANEAMENTO BASI 31/08/2021 LQ 21391,91 21391,91"
"Pago título: 2118001757 1128 - CIA SANEAMENTO BASI 31/08/2021 LQ 2101,29 2101,29"
"Pago título: 2118001765 1129 - CIA SANEAMENTO BASI 31/08/2021 LQ 8069,66 8069,66"
"Pago título: 2118001773 1132 - CIA SANEAMENTO BASI 31/08/2021 LQ 11665,37 11665,37"
"Pago título: 2118001789 1139 - HOPI HARI S/A 31/08/2021 LQ 540,67 540,67"
"Pago título: 2118001821 1145 - JOBEMA DISTRIBUIDOR 31/08/2021 LQ 914,09 914,09"
"Pago título: 2118001861 1169 - MINERACAO JUNDU LTD 31/08/2021 LQ 12383,46 12383,46"
"Pago título: 2118001949 1249 - ESTANCIA PARQUE ATI 31/08/2021 LQ 552,79 552,79"
"Pago título: 2118001989 1323 - TEXTIL SUCCI LTDA-M 31/08/2021 LQ 284,65 284,65"
"Pago título: 2118001998 1354 - ALBEA DO BRASIL EMB 30/09/2021 LQ 465,15 465,15"
"Pago título: 2118002037 1423 - TASA TINTURARIA AME 31/08/2021 LQ 701,36 701,36"
"Pago título: 2118002061 1446 - TOSHISADA FUJIWARA 31/08/2021 LQ 390,11 390,11"
"Pago título: 2118002077 1459 - CIA SANEAMENTO BASI 31/08/2021 LQ 3140,21 3140,21"
"Pago título: 2118002141 1564 - IND STRIA E COM RCI 31/08/2021 LQ 217,55 217,55"
"Pago título: 2118002205 1636 - AGV LOGISTICA S.A. 31/08/2021 LQ 352,42 352,42"
"Pago título: 2118002213 1638 - LEITESOL INDUSTRIA 31/08/2021 LQ 764,29 764,29"
"Pago título: 2118002309 1789 - CENTRAIS DE ABASTEC 31/08/2021 LQ 775,52 775,52"
"Pago título: 2118002389 1859 - CWS CABLE PARKS LTD 31/08/2021 LQ 407,43 407,43"
"Pago título: 2118002413 1902 - KENJI EXTRACAO E CO 31/08/2021 LQ 294,45 294,45"
"Pago título: 2118002437 1972 - SINDICATO DOS TRAB 31/08/2021 LQ 320,43 320,43"
"Pago título: 2118002445 1976 - SOL INVEST EMPREEND 31/08/2021 LQ 254,76 254,76"
"Pago título: 2118002509 2094 - ASSOCIA  O DE PROPR 31/08/2021 LQ 376,45 376,45"
"Pago título: 2118002805 2497 - CARVALHEIRA IND STR 31/08/2021 LQ 1122,16 1122,16"
"Pago título: 2118002965 2751 - SERVICO AUTONOMO DE 31/08/2021 LQ 941,17 941,17"
"Pago título: 2118003013 2783 - PIRELLI PNEUS LTDA 31/08/2021 LQ 560,6 560,6"
"Pago título: 2118003093 2949 - INSTITUTO ADVENTIST 31/08/2021 LQ 293,32 293,32"
"Pago título: 2118003173 3032 - CONDOM NIO VILLAGE 31/08/2021 LQ 537,96 537,96"
"Pago título: 2118003181 3053 - JR GOMES IMOBILIARI 31/08/2021 LQ 237,88 237,88"
"Pago título: 2118003373 3333 - AUREO ALESSANDRO DA 31/08/2021 LQ 498 498"
"Pago título: 2118003389 3345 - SAO PAULO SECRETARI 31/08/2021 LQ 431,54 431,54"
"Pago título: 2118003413 3366 - TECHIMPORT TECNOLOG 31/08/2021 LQ 337,09 337,09"
"Pago título: 2118003477 3389 - CONDOM NIO RESIDENC 31/08/2021 LQ 618,17 618,17"
"Pago título: 2118003661 3644 - IBG CRYO IND STRIA 31/08/2021 LQ 304,94 304,94"
"Pago título: 2118003693 3673 - PLATLOG IMPORTA  O, 31/08/2021 LQ 2144 2144"
"Pago título: 2118003701 3679 - CMR IND STRIA E COM 31/08/2021 LQ 392,99 392,99"
"Pago título: 2118003821 3899 - ASSOCIA  O RESIDENC 31/08/2021 LQ 761,69 761,69"
"Pago título: 2118003869 3971 - VIEIRA E RODRIGUES 31/08/2021 LQ 219,58 219,58"
"Pago título: 2118003885 3984 - BELEM TRANSPORTES E 31/08/2021 LQ 372,67 372,67"
"Pago título: 2118003901 4014 - ASSOC DOS PROPRIET 31/08/2021 LQ 658,73 658,73"
"Pago título: 2118003933 4129 - TERRAPLANAGEM PARAI 31/08/2021 LQ 298,07 298,07"
"Pago título: 2118003981 4306 - CONSTANTE DE OLIVEI 31/08/2021 LQ 883,79 883,79"
"Pago título: 2118004037 4378 - OSMAR DONIZETE DA S 31/08/2021 LQ 365,96 365,96"
"Pago título: 2118004069 4485 - PARQUE DOS EUCALIPT 31/08/2021 LQ 215,73 215,73"
"Pago título: 2118004181 4784 - ASSOCIA  O DOS PROP 31/08/2021 LQ 394,32 394,32"
"Pago título: 2118004205 4830 - CONDOMINIO RESIDENC 31/08/2021 LQ 256,17 256,17"
"Pago título: 2118004221 4869 - ASSOCIA  O DOS MORA 31/08/2021 LQ 296,43 296,43"
"Pago título: 2118004245 4899 - SUZANO PAPEL E CELU 31/08/2021 LQ 283,07 283,07"
"Pago título: 2118004301 5035 - CLOSURE SYSTEMS INT 31/08/2021 LQ 329,36 329,36"
"Pago título: 2118004485 5418 - SAMUEL SAMPAIO TOCA 31/08/2021 LQ 365,51 365,51"
"Pago título: 2118004557 5514 -  GUAS DO MIRANTE 31/08/2021 LQ 294,6 294,6"
"Pago título: 2118004773 5865 - CONDOMINIO VILLA UN 31/08/2021 LQ 468,55 468,55"
"Pago título: 2118004869 6729 - ANTONIO RENAN FERRO 31/08/2021 LQ 731,92 731,92"
"Pago título: 2118005013 7129 - POUSADA CHALES DO T 31/08/2021 LQ 588,28 588,28"
"Pago título: 2118005085 7298 - J. ANDRADE EMPREEND 31/08/2021 LQ 470,63 470,63"
"Pago título: 2118005245 7669 - ASSOCIA  O DA INSTI 31/08/2021 LQ 208,6 208,6"
"Pago título: 9000005819 984 - DOM PEDRO EMPREENDIME 31/08/2021 LQ 290 290"
"Pago título: 9000005867 3984 - BELEM TRANSPORTES E 31/08/2021 LQ 359,9 359,9"
"Pago título: 9000005894 5295 - CUSCOVILLE EMPREENDI 31/08/2021 LQ 646,25 646,25"
"Pago título: 9000005911 930 - SERVICO AUTONOMO DE A 31/08/2021 LQ 3457,35 3457,35"
"Pago título: 9000006024 822 - AGUAS DE HOLAMBRA SAN 31/08/2021 LQ 9511,91 9511,91"
"Pago título: 9000006030 1134 - MUNICIPIO DE SUMARE 31/08/2021 LQ 220417,23 220417,23"
"Pago título: 9000006123 7213 - AGUAS DE MAIRIPORA L 31/08/2021 LQ 975,89 975,89"
"Pago título: 9000006338 5490 - CARMONA CERVEJARIA A 31/08/2021 LQ 430,66 430,66"
"Pago título: 9000006341 329 - SILCON AMBIENTAL LTDA 31/08/2021 LQ 225,34 225,34"
"Pago título: 9000006343 1570 - CONDOMINIO RESIDENCI 31/08/2021 LQ 688,54 688,54"
"Pago título: 9000006352 1386 - ASSOCIACAO DAS FILHA 31/08/2021 LQ 159,36 159,36"
"Pago título: 9000006358 277 - LINHASITA INDUSTRIA D 31/08/2021 LQ 213,3 213,3"
"Pago título: 9000006360 3044 - ACAO EDUCACIONAL CLA 31/08/2021 LQ 803,91 803,91"
"Pago título: 9000006366 5534 - RESIDENCIAL SOLEIL D 31/08/2021 LQ 696,87 696,87"
"Pago título: 9000006367 5534 - RESIDENCIAL SOLEIL D 30/09/2021 LQ 696,87 696,87"
"Pago título: 9000006368 5534 - RESIDENCIAL SOLEIL D 29/10/2021 LQ 696,87 696,87"
"Pago título: 9000006369 5534 - RESIDENCIAL SOLEIL D 30/11/2021 LQ 696,87 696,87"
"Pago título: 9000006370 5534 - RESIDENCIAL SOLEIL D 31/12/2021 LQ 696,87 696,87"
"Pago título: 9000006371 5534 - RESIDENCIAL SOLEIL D 31/01/2022 LQ 696,87 696,87"
"Pago título: 9000006376 1165 - ASSOCIACAO EDUCADORA 31/08/2021 LQ 535,59 535,59"
"Pago título: 9000006377 2381 - LEROY MERLIN CIA BRA 31/08/2021 LQ 1188,01 1188,01"
"Pago título: 9000006378 1936 - IVO ZARZUR ADMINISTR 31/08/2021 LQ 633,06 633,06"
"Pago título: 9000006424 3333 - AUREO ALESSANDRO DA 31/08/2021 LQ 409,52 409,52"
"Pago título: 9000006448 5485 - ASSOC DA INSTITUIDOR 31/08/2021 LQ 201,81 201,81"
"Pago título: 9000006460 7633 - JAQUELINE DE JESUS T 31/08/2021 LQ 271,46 271,46"
