"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453083108202313107.ret"
""
"Cadastrado título novo: 9000007618 1598 - ARTEC PISOS E REVEST 29/09/2023 RG 249,08 0"
"Pago título: 2230001175 2186 - FRIGORIFICO BOM SABO 31/08/2023 LQ 227,4 227,4"
"Pago título: 2230001177 2204 - TAKEO OMORI 31/08/2023 LQ 250,32 250,32"
"Pago título: 2230001181 2257 - BALLAGRO AGRO TECNOL 31/08/2023 LQ 292,45 292,45"
"Pago título: 2230001187 2307 - AGROLINK IMPORTACAO 31/08/2023 LQ 293,35 293,35"
"Pago título: 2230001189 2338 - WALDIR VIANNA ME 31/08/2023 LQ 212,26 212,26"
"Pago título: 2230001199 2449 - CONDOMINIO OSATO 31/08/2023 LQ 250,83 250,83"
"Pago título: 2230001203 2577 - ESPORTE CLUBE BARBAR 31/08/2023 LQ 237,75 237,75"
"Pago título: 2230001205 2579 - CLUBE DE REGATAS BAN 31/08/2023 LQ 247,25 247,25"
"Pago título: 2230001217 2769 - ASSOCIACAO DE AMIGOS 31/08/2023 LQ 208,6 208,6"
"Pago título: 2230001229 2876 - PARTLINE PARTICIPACO 31/08/2023 LQ 235,32 235,32"
"Pago título: 2230001231 2914 - COSMOS INDUSTRIA E C 31/08/2023 LQ 268,97 268,97"
"Pago título: 2230001237 2948 - ASSOCIACAO RESIDENCI 31/08/2023 LQ 292,77 292,77"
"Pago título: 2230001239 3049 - FRICOCK FRIGORIFICAC 31/08/2023 LQ 258,6 258,6"
"Pago título: 2230001241 3057 - NICOLETTI INDUSTRIA 31/08/2023 LQ 212 212"
"Pago título: 2230001245 3072 - BAKELS BRASIL INGRED 31/08/2023 LQ 272,5 272,5"
"Pago título: 2230001247 3101 - DS2 ENGENHARIA E COM 31/08/2023 LQ 204,74 204,74"
"Pago título: 2230001249 3102 - HOTEIS SANTA ROSA LT 31/08/2023 LQ 230,06 230,06"
"Pago título: 2230001251 3123 - FRANCISCO ISSAO SAIT 31/08/2023 LQ 292,77 292,77"
"Pago título: 2230001257 3185 - NELSON KOITI TIDA 31/08/2023 LQ 226,9 226,9"
"Pago título: 2230001259 3242 - SAVEGNAGO SUPERMERCA 31/08/2023 LQ 229,53 229,53"
"Pago título: 2230001263 3270 - ASSOCIACAO DOS MORAD 31/08/2023 LQ 248,86 248,86"
"Pago título: 2230001265 3301 - COMERCIAL ANDRETA DE 31/08/2023 LQ 289,98 289,98"
"Pago título: 2230001271 3320 - SAVEGNAGO SUPERMERCA 31/08/2023 LQ 252,76 252,76"
"Pago título: 2230001277 3356 - PQA QUIMICA LTDA 31/08/2023 LQ 233,11 233,11"
"Pago título: 2230001279 3417 - CONDOMINIO RESIDENCI 31/08/2023 LQ 229,77 229,77"
"Pago título: 2230001287 3498 - RELAX MOTEL LTDA 31/08/2023 LQ 274,62 274,62"
"Pago título: 2230001293 3532 - CONTERPA CONSERVACAO 31/08/2023 LQ 265,9 265,9"
"Pago título: 2230001295 3545 - TEXTIL CARUARU LTDA. 31/08/2023 LQ 214,54 214,54"
"Pago título: 2230001299 3593 - T.H.R. INDUSTRIA E C 31/08/2023 LQ 263,49 263,49"
"Pago título: 2230001301 3632 - PEIXADA DO LAGO LTDA 31/08/2023 LQ 229,08 229,08"
"Pago título: 2230001305 3640 - MAISON DE VILLE MOTE 31/08/2023 LQ 241,54 241,54"
"Pago título: 2230001307 3651 - CT AGROINDUSTRIA E C 31/08/2023 LQ 256,66 256,66"
"Pago título: 2230001309 3688 - ASSOC DOS PROPRIETAR 31/08/2023 LQ 266,42 266,42"
"Pago título: 2230001323 3776 - INDUSTRIA TEXTIL NOS 31/08/2023 LQ 278,75 278,75"
"Pago título: 2230001329 3841 - CONSOLINE VEICULOS L 31/08/2023 LQ 263,49 263,49"
"Pago título: 2230001345 4043 - CONDOMINIO ALTOS DO 31/08/2023 LQ 288,2 288,2"
"Pago título: 2230001351 4134 - CONDOMINIO RESIDENCI 31/08/2023 LQ 260,47 260,47"
"Pago título: 2230001359 4291 - LAR DOS VELHOS FLAMI 31/08/2023 LQ 255,55 255,55"
"Pago título: 2230001361 4350 - ASSOCIACAO DOS CONDO 31/08/2023 LQ 207,11 207,11"
"Pago título: 2230001365 4430 - INDUSTRIA E COMERCIO 31/08/2023 LQ 219,57 219,57"
"Pago título: 2230001375 4536 - CONDOMINIO RESIDENCI 31/08/2023 LQ 259,9 259,9"
"Pago título: 2230001377 4563 - RESIDENCIAL AUREA 31/08/2023 LQ 291,78 291,78"
"Pago título: 2230001381 4642 - VINICOLA SALTON S/A 31/08/2023 LQ 228,97 228,97"
"Pago título: 2230001383 4689 - RIBEIRA EMPREENDIMEN 31/08/2023 LQ 219,57 219,57"
"Pago título: 2230001385 4690 - RODONAVES TRANSPORTE 31/08/2023 LQ 292,77 292,77"
"Pago título: 2230001387 4696 - NEWSUL S/A EMBALAGEN 31/08/2023 LQ 292,77 292,77"
"Pago título: 2230001395 4796 - CASA DOS MENORES DE 31/08/2023 LQ 215,19 215,19"
"Pago título: 2230001399 4846 - CONDOMINIO RESIDENCI 31/08/2023 LQ 292,77 292,77"
"Pago título: 2230001401 4873 - CONDOMINIO RESIDENCI 31/08/2023 LQ 248,86 248,86"
"Pago título: 2230001403 4961 - INDUSTRIA BRAIDO LTD 31/08/2023 LQ 219,57 219,57"
"Pago título: 2230001409 5019 - ASSOC DOS PROPRIETAR 31/08/2023 LQ 292,77 292,77"
"Pago título: 2230001417 5434 - APARECIDA FLORENCIO 31/08/2023 LQ 238,24 238,24"
"Pago título: 2230001423 5488 - ASSOCIACAO DOS PROPR 31/08/2023 LQ 219,57 219,57"
"Pago título: 2230001427 5498 - CONDOMINIO A MONTANH 31/08/2023 LQ 237,87 237,87"
"Pago título: 2230001429 5529 - CAMPINAS EDUCACAO AS 31/08/2023 LQ 275,4 275,4"
"Pago título: 2230001431 5540 - SUPERMERCADOS CAVICC 31/08/2023 LQ 224,14 224,14"
"Pago título: 2230001437 5571 - FENIX AGRO-PECUS IND 31/08/2023 LQ 208,39 208,39"
"Pago título: 2230001443 5605 - ASSOCIACAO MORADORES 31/08/2023 LQ 278,13 278,13"
"Pago título: 2230001447 5627 - SANCETUR - SANTA CEC 31/08/2023 LQ 272,5 272,5"
"Pago título: 2230001451 5636 - QUIBRITA MINERADORA 31/08/2023 LQ 276,98 276,98"
"Pago título: 2230001453 5648 - MAX GEAR INDUSTRIA E 31/08/2023 LQ 292,77 292,77"
"Pago título: 2230001455 5665 - ASSOCIACAO DEMOCRATI 31/08/2023 LQ 292,77 292,77"
"Pago título: 2230001463 6738 - VIDA NOVA ATIBAIA I 31/08/2023 LQ 219,57 219,57"
"Pago título: 2230001465 6793 - SUPERMERCADOS DALBEN 31/08/2023 LQ 230,29 230,29"
"Pago título: 2230001467 6875 - FUNDACAO CENTRO DE A 31/08/2023 LQ 212,77 212,77"
"Pago título: 2230001471 6994 - ESPORTE CLUBE PRIMAV 31/08/2023 LQ 281,06 281,06"
"Pago título: 2230001473 7017 - PRIMEIRA IGREJA PRES 31/08/2023 LQ 206,34 206,34"
"Pago título: 2230001481 7299 - UNIQUE GARDEN EMPREE 31/08/2023 LQ 219,57 219,57"
"Pago título: 2230001489 7327 - SUPERMERCADOS DALBEN 31/08/2023 LQ 262,79 262,79"
"Pago título: 2230001499 7737 - HIPERMIX BRASIL SP S 31/08/2023 LQ 256,47 256,47"
"Pago título: 2230001501 7743 - BELENUS DO BRASIL SA 31/08/2023 LQ 219,17 219,17"
"Pago título: 2230001512 156 - EMBRASATEC INDUSTRIA 31/08/2023 LQ 201,81 201,81"
"Pago título: 2230001521 275 - TEXTIL CARVALHO E FIL 31/08/2023 LQ 211,68 211,68"
"Pago título: 2230001527 384 - PRO-METAL BENEFICIAME 31/08/2023 LQ 200,18 200,18"
"Pago título: 2230001539 464 - NESTLE BRASIL LTDA 31/08/2023 LQ 231,48 231,48"
"Pago título: 2230001548 561 - JULIMAR LAVANDERIA LT 31/08/2023 LQ 234,63 234,63"
"Pago título: 2230001554 613 - PAULO AGNELO MALZONI 31/08/2023 LQ 243,97 243,97"
"Pago título: 2230001557 737 - ROSILAINE DIONIZIO DA 31/08/2023 LQ 225,46 225,46"
"Pago título: 2230001563 914 - IC TRANSPORTES LTDA 31/08/2023 LQ 231,63 231,63"
"Pago título: 2230001566 972 - OJI PAPEIS ESPECIAIS 31/08/2023 LQ 243,44 243,44"
"Pago título: 2230001569 990 - ASTRA S/A INDUSTRIA E 31/08/2023 LQ 256,95 256,95"
"Pago título: 2230001572 1014 - MINERACAO DIBASE PED 31/08/2023 LQ 228,19 228,19"
"Pago título: 2230001578 1125 - KARCHER INDUSTRIA E 31/08/2023 LQ 219,58 219,58"
"Pago título: 2230001581 1198 - ZUCOLLORS INDUSTRIA 31/08/2023 LQ 205,37 205,37"
"Pago título: 2230001584 1206 - NACIONAL GAS BUTANO 31/08/2023 LQ 235,23 235,23"
"Pago título: 2230001590 1317 - SUPERMERCADO TAQUARA 31/08/2023 LQ 210,17 210,17"
"Pago título: 2230001593 1482 - OLIVEIRA & OLIVEIRA 31/08/2023 LQ 240,3 240,3"
"Pago título: 2230001596 1495 - STORAGE ADMINISTRACA 31/08/2023 LQ 216,35 216,35"
"Pago título: 2230001599 1554 - TRANSPORTADORA CONTA 31/08/2023 LQ 214,56 214,56"
"Pago título: 2230001605 1580 - ENGRATECH TECNOLOGIA 31/08/2023 LQ 219,58 219,58"
"Pago título: 2230001611 1718 - HOTELARIA BRASIL LTD 31/08/2023 LQ 243,14 243,14"
"Pago título: 2230001614 1763 - ASSOC DOS PROP DO LO 31/08/2023 LQ 243,97 243,97"
"Pago título: 2230001623 1871 - PREFEITURA MUNICIPAL 31/08/2023 LQ 234,21 234,21"
"Pago título: 2230001626 1905 - ITUPEVA HOTEIS, CONV 31/08/2023 LQ 238,18 238,18"
"Pago título: 2230001629 1935 - MINERGUITA MINERACAO 31/08/2023 LQ 237,11 237,11"
"Pago título: 2230001644 2076 - PH FIT - FITAS E INO 31/08/2023 LQ 260,43 260,43"
"Pago título: 2230001647 2169 - ASSOCIACAO DE PROPRI 31/08/2023 LQ 219,58 219,58"
"Pago título: 2230001650 2184 - CABLENA DO BRASIL LT 31/08/2023 LQ 261,8 261,8"
"Pago título: 2230001653 2209 - AUTO POSTO 1500 DO S 31/08/2023 LQ 204,93 204,93"
"Pago título: 2230001656 2219 - IRMAOS PARAZZI LTDA 31/08/2023 LQ 218,47 218,47"
"Pago título: 2230001662 2372 - BELENUS DO BRASIL LT 31/08/2023 LQ 241,59 241,59"
"Pago título: 2230001668 2435 - ASSOCIACAO DO SENHOR 31/08/2023 LQ 214,53 214,53"
"Pago título: 2230001677 2492 - PRENSA JUNDIAI S/A 31/08/2023 LQ 222,34 222,34"
"Pago título: 2230001680 2495 - HOTEL NACIONAL INN L 31/08/2023 LQ 211,96 211,96"
"Pago título: 2230001683 2517 - M. TORETI 31/08/2023 LQ 237,74 237,74"
"Pago título: 2230001686 2582 - TEXTIL OMBORGO LTDA 31/08/2023 LQ 213,6 213,6"
"Pago título: 2230001689 2597 - TATU PREMOLDADOS LTD 31/08/2023 LQ 248,85 248,85"
"Pago título: 2230001692 2613 - PAULO BERENGUEL & CI 31/08/2023 LQ 249,37 249,37"
"Pago título: 2230001698 2666 - FUCHS GEWURZE DO BRA 31/08/2023 LQ 226,49 226,49"
"Pago título: 2230001707 2812 - CONDOMINIO PRO-INDIV 31/08/2023 LQ 230,75 230,75"
"Pago título: 2230001710 2866 - CELSO LUIS BELLINI E 31/08/2023 LQ 203,41 203,41"
"Pago título: 2230001713 2875 - ASSOCIACAO DE MORADO 31/08/2023 LQ 219,58 219,58"
"Pago título: 2230001731 3065 - ELETROMEI INDUSTRIA 31/08/2023 LQ 240,56 240,56"
"Pago título: 2230001740 3171 - ANDORINHA COMERCIO E 31/08/2023 LQ 210,15 210,15"
"Pago título: 2230001749 3211 - DENILSON BISPO 31/08/2023 LQ 234,21 234,21"
"Pago título: 2230001758 3315 - ASSOCIACAO DOS PROP 31/08/2023 LQ 219,58 219,58"
"Pago título: 2230001761 3328 - EXPRESSO CAMPIBUS LT 31/08/2023 LQ 264,67 264,67"
"Pago título: 2230001791 3678 - ASSOC DOS PROPR DO L 31/08/2023 LQ 234,73 234,73"
"Pago título: 2230001794 3684 - SOCIEDADE REGIONAL D 31/08/2023 LQ 230,93 230,93"
"Pago título: 2230001812 3882 - SOCIEDADE MELHORAMEN 31/08/2023 LQ 229,15 229,15"
"Pago título: 2230001830 4056 - ASSOCIACAO DOS PROPR 31/08/2023 LQ 204,93 204,93"
"Pago título: 2230001839 4137 - ALBERT SABIN HOSPITA 31/08/2023 LQ 264,23 264,23"
"Pago título: 2230001845 4254 - NTA NOVAS TECNICAS D 31/08/2023 LQ 206,88 206,88"
"Pago título: 2230001851 4419 - MIDAS INCORPORADORA 31/08/2023 LQ 237,77 237,77"
"Pago título: 2230001854 4507 - CONDOMINIO DAS AZALE 31/08/2023 LQ 200,64 200,64"
"Pago título: 2230001860 4582 - CAMPEAO 80 POSTOS DE 31/08/2023 LQ 243,97 243,97"
"Pago título: 2230001875 4777 - ASSOCIACAO DOS FUNCI 31/08/2023 LQ 225,43 225,43"
"Pago título: 2230001881 4826 - ATACADAO S.A. 31/08/2023 LQ 243,97 243,97"
"Pago título: 2230001887 4875 - HIDROALL DO BRASIL L 31/08/2023 LQ 220,59 220,59"
"Pago título: 2230001902 5283 - ARTHI COMERCIAL LTDA 31/08/2023 LQ 239,43 239,43"
"Pago título: 2230001905 5350 - CONDOMINIO RESERVA D 31/08/2023 LQ 244,78 244,78"
"Pago título: 2230001917 5439 - ASSOCIACAO DOS MORAD 31/08/2023 LQ 243,97 243,97"
"Pago título: 2230001920 5528 - TERLOC - TERMINAL LO 31/08/2023 LQ 243,14 243,14"
"Pago título: 2230001923 5537 - SILAS J. TRINDADE  - 31/08/2023 LQ 243,97 243,97"
"Pago título: 2230001929 5583 - RECANTO FAVARO - MAR 31/08/2023 LQ 243,97 243,97"
"Pago título: 2230001932 5611 - ASSOCIACAO DOS FUNCI 31/08/2023 LQ 231,56 231,56"
"Pago título: 2230001935 5618 - ASSOCIACAO DE PROPRI 31/08/2023 LQ 253,73 253,73"
"Pago título: 2230001941 6791 - ASSOCIACAO DOS PROPR 31/08/2023 LQ 231,61 231,61"
"Pago título: 2230001947 6912 - CPE PLASTICOS LTDA 31/08/2023 LQ 202,71 202,71"
"Pago título: 2230001956 7344 - ASSOCIACAO DISTRIBUT 31/08/2023 LQ 201,23 201,23"
"Pago título: 2230001974 7734 - UNIVERSO DO GELO COM 31/08/2023 LQ 207,66 207,66"
"Pago título: 2230001981 222 - NOTRE DAME INTERMEDIC 31/08/2023 LQ 208,09 208,09"
"Pago título: 2230001985 239 - AMCOR PACKAGING DO BR 31/08/2023 LQ 201,28 201,28"
"Pago título: 2230001989 260 - SERVICO DE SAUDE DR. 31/08/2023 LQ 223,97 223,97"
"Pago título: 2230001997 450 - CONDOMINIO CHACARAS D 31/08/2023 LQ 229,09 229,09"
"Pago título: 2230002001 480 - PAPIRUS INDUSTRIA DE 31/08/2023 LQ 218,46 218,46"
"Pago título: 2230002005 522 - CONDOMINIO RESIDENCIA 31/08/2023 LQ 241,13 241,13"
"Pago título: 2230002013 579 - CPQ BRASIL S/A 31/08/2023 LQ 215,1 215,1"
"Pago título: 2230002021 835 - ARKEMA QUIMICA LTDA 31/08/2023 LQ 200,59 200,59"
"Pago título: 2230002037 996 - AGROCERES MULTIMIX NU 31/08/2023 LQ 229,75 229,75"
"Pago título: 2230002041 997 - CEDASA INDUSTRIA E CO 31/08/2023 LQ 230,55 230,55"
"Pago título: 2230002045 1020 - CONDOMINIO RESIDENCI 31/08/2023 LQ 236,42 236,42"
"Pago título: 2230002081 1445 - SOCIEDADE DOS AMIGOS 31/08/2023 LQ 209,25 209,25"
"Pago título: 2230002089 1598 - ARTEC PISOS E REVEST 31/08/2023 LQ 239,4 239,4"
"Pago título: 2230002097 1678 - JATOBA S/A 31/08/2023 LQ 213,76 213,76"
"Pago título: 2230002105 1817 - TECITEX TINTURARIA E 31/08/2023 LQ 201,04 201,04"
"Pago título: 2230002117 1892 - INBRA INDUSTRIAS QUI 31/08/2023 LQ 238,55 238,55"
"Pago título: 2230002125 1967 - PLASTICOS SANTANA LT 31/08/2023 LQ 214,09 214,09"
"Pago título: 2230002129 2051 - BISCOITONE INDUSTRIA 31/08/2023 LQ 244,19 244,19"
"Pago título: 2230002149 2594 - A A DE MELO & CIA LT 31/08/2023 LQ 226,23 226,23"
"Pago título: 2230002165 2871 - CERAMICA PALMA DE OU 31/08/2023 LQ 210,79 210,79"
"Pago título: 2230002169 2926 - R M DE BARROS TEXTIL 31/08/2023 LQ 226,69 226,69"
"Pago título: 2230002181 3162 - CONGE FRUTAS LTDA EP 31/08/2023 LQ 234,65 234,65"
"Pago título: 2230002185 3288 - SELIAL IND E COM, IM 31/08/2023 LQ 201,16 201,16"
"Pago título: 2230002193 3325 - GOODMAN ITUPEVA EMPR 31/08/2023 LQ 215,84 215,84"
"Pago título: 2230002201 3340 - FRIGOGIL INDUSTRIAL 31/08/2023 LQ 219,58 219,58"
"Pago título: 2230002217 3459 - JOFEGE CONCRETO LTDA 31/08/2023 LQ 215,36 215,36"
"Pago título: 2230002233 3663 - ASSOCIACAO DOS ADQ L 31/08/2023 LQ 219,58 219,58"
"Pago título: 2230002237 3726 - SATOSHI ITO E OUTROS 31/08/2023 LQ 219,58 219,58"
"Pago título: 2230002245 3771 - INDUSTRIA E COMERCIO 31/08/2023 LQ 233,04 233,04"
"Pago título: 2230002257 3856 - BRASPARK ADMINISTRAD 31/08/2023 LQ 201,02 201,02"
"Pago título: 2230002265 3927 - FLAMBOIA ALIMENTOS L 31/08/2023 LQ 230,55 230,55"
"Pago título: 2230002269 3946 - CAMPEAO 68 POSTO DE 31/08/2023 LQ 210,33 210,33"
"Pago título: 2230002272 4093 - UNIVERSAL INDUSTRIAS 31/08/2023 LQ 232,93 232,93"
"Pago título: 2230002273 4093 - UNIVERSAL INDUSTRIAS 31/08/2023 LQ 232,92 232,92"
"Pago título: 2230002281 4148 - CHRISTEYNS BRASIL PR 31/08/2023 LQ 236,04 236,04"
"Pago título: 2230002285 4164 - SERELLO RECICLAGEM 31/08/2023 LQ 219,58 219,58"
"Pago título: 2230002305 4650 - ABATEDOURO DE AVES I 31/08/2023 LQ 219,58 219,58"
"Pago título: 2230002313 4793 - AZS INDUSTRIA E COME 31/08/2023 LQ 225,23 225,23"
"Pago título: 2230002317 4820 - TRANSPEDROSA S/A 31/08/2023 LQ 234,21 234,21"
"Pago título: 2230002321 4835 - TRANSPORTES GABARDO 31/08/2023 LQ 210,79 210,79"
"Pago título: 2230002325 4895 - VYLLA EMPREENDIMENTO 31/08/2023 LQ 204,94 204,94"
"Pago título: 2230002329 4976 - ASTRA S/A INDUSTRIA 31/08/2023 LQ 219,58 219,58"
"Pago título: 2230002345 5390 - LOLLY BABY PRODUTOS 31/08/2023 LQ 219,58 219,58"
"Pago título: 2230002353 5468 - LUCIANO TORELLI E CI 31/08/2023 LQ 211,76 211,76"
"Pago título: 2230002381 5635 - RECAP CONSTRUTORA E 31/08/2023 LQ 216,57 216,57"
"Pago título: 2230002389 5907 - TSI - EMPREENDIMENTO 31/08/2023 LQ 248,85 248,85"
"Pago título: 2230002397 6982 - ASSOCIACAO DOS MORAD 31/08/2023 LQ 219,58 219,58"
"Pago título: 2230002405 7150 - VIDA SAO DOMINGOS IN 31/08/2023 LQ 207,03 207,03"
"Pago título: 2230002421 7710 - WLM PART E COMERCIO 31/08/2023 LQ 201,28 201,28"
"Pago título: 2230002429 86 - PROMOCAO DO ENSINO DE 31/08/2023 LQ 234,21 234,21"
"Pago título: 2230002434 153 - CONDOMINIO BOSQUE DOS 31/08/2023 LQ 201,07 201,07"
"Pago título: 2230002439 155 - AUTO POSTO AMIGAO DA 31/08/2023 LQ 204,94 204,94"
"Pago título: 2230002454 413 - INDUSTRIAS ROMI S/A 31/08/2023 LQ 202,87 202,87"
"Pago título: 2230002479 875 - RICHARD KLINGER INDUS 31/08/2023 LQ 234,73 234,73"
"Pago título: 2230002484 890 - LABORATORIO TAYUYNA L 31/08/2023 LQ 224,46 224,46"
"Pago título: 2230002489 894 - DAUNE TRAVESSEIROS DE 31/08/2023 LQ 230,76 230,76"
"Pago título: 2230002494 953 - MAHLE COMPRESSORES DO 31/08/2023 LQ 206,82 206,82"
"Pago título: 2230002499 969 - PRALANA INDUSTRIA E C 31/08/2023 LQ 217,75 217,75"
"Pago título: 2230002509 1430 - ASSOCIACAO DOS MORAD 31/08/2023 LQ 222,5 222,5"
"Pago título: 2230002514 1572 - ETAPA EDUCACIONAL LT 31/08/2023 LQ 204,82 204,82"
"Pago título: 2230002524 1832 - LANMAR INDUSTRIA MET 31/08/2023 LQ 219,33 219,33"
"Pago título: 2230002529 2137 - PREFEITURA MUNICIPAL 31/08/2023 LQ 209,96 209,96"
"Pago título: 2230002539 2360 - ORION COMERCIO DE MI 31/08/2023 LQ 213,44 213,44"
"Pago título: 2230002549 2389 - JOFEGE CONCRETO LTDA 31/08/2023 LQ 215,7 215,7"
"Pago título: 2230002564 2800 - CHENDEL PARTICIPACOE 31/08/2023 LQ 232,75 232,75"
"Pago título: 2230002569 2832 - THERMAS DAS AGUAS DE 31/08/2023 LQ 234,21 234,21"
"Pago título: 2230002574 3098 - ASSOC DOS PROPR E MO 31/08/2023 LQ 239,48 239,48"
"Pago título: 2230002584 3259 - BAG CLEANER COMERCIO 31/08/2023 LQ 202,32 202,32"
"Pago título: 2230002589 3285 - ASSOCIACAO VILLAGE L 31/08/2023 LQ 230,26 230,26"
"Pago título: 2230002599 3424 - ASSOCIACAO DOS PROP. 31/08/2023 LQ 204,94 204,94"
"Pago título: 2230002614 3529 - TECELAGEM JOLITEX LT 31/08/2023 LQ 209,53 209,53"
"Pago título: 2230002619 3608 - BIONOVIS S.A. - CIA 31/08/2023 LQ 220,12 220,12"
"Pago título: 2230002624 3615 - IMOBILIARIA HELVETIA 31/08/2023 LQ 234,21 234,21"
"Pago título: 2230002629 3656 - FAZENDA TOZAN DO BRA 31/08/2023 LQ 204,93 204,93"
"Pago título: 2230002649 3803 - ASSOCIACAO ALPHAVILL 31/08/2023 LQ 235,21 235,21"
"Pago título: 2230002659 3945 - BRASA BURGER IND E C 31/08/2023 LQ 206,27 206,27"
"Pago título: 2230002663 3984 - BELEM TRANSPORTES E 31/08/2023 LQ 215,59 215,59"
"Pago título: 2230002664 3984 - BELEM TRANSPORTES E 31/08/2023 LQ 215,61 215,61"
"Pago título: 2230002669 3991 - HIGIBRAG TRANSPORTE 31/08/2023 LQ 234,21 234,21"
"Pago título: 2230002674 4016 - ITA - AREIA COMERCIO 31/08/2023 LQ 228,36 228,36"
"Pago título: 2230002679 4053 - ASSOCIACAO DOS PROPR 31/08/2023 LQ 237,14 237,14"
