"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448972909202213455.ret"
""
"Cadastrado título novo: 9000007112 4556 - ASSOCIACAO DE MELHOR 31/10/2022 RG 1340,39 0"
"Cadastrado título novo: 9000007113 477 - TERRA DO PARAISO LTDA 10/10/2022 RG 782,12 0"
"Cadastrado título novo: 9000007114 2360 - ORION COMERCIO DE MI 31/10/2022 RG 222,08 0"
"Cadastrado título novo: 9000007115 411 - IOCHPE-MAXION S/A 31/10/2022 RG 1490,99 0"
"Cadastrado título novo: 9000007116 6966 - TONINPAR EMPREENDIME 31/10/2022 RG 1304,09 0"
"Pago título: 2220006381 342 - IPE AGRO AVICOLA LTDA 30/09/2022 LQ 357,53 357,53"
"Pago título: 2220006423 3145 - RCL CAMPING E TURISM 30/09/2022 LQ 353,41 353,41"
"Pago título: 2220006535 5082 - ELLOS EMPREENDIMENTO 30/09/2022 LQ 338,77 338,77"
"Pago título: 2220006633 3366 - TECHIMPORT TECNOLOGI 30/09/2022 LQ 331,37 331,37"
"Pago título: 2220006899 1701 - TINTURARIA E ESTAMPA 30/09/2022 LQ 294,55 294,55"
"Pago título: 2220007228 3971 - VIEIRA E RODRIGUES T 30/09/2022 LQ 250,94 250,94"
"Pago título: 2220007312 4485 - PARQUE DOS EUCALIPTO 30/09/2022 LQ 246,55 246,55"
"Pago título: 2220007431 7717 - ASSOCIACAO DO CONJUN 30/09/2022 LQ 235,45 235,45"
"Pago título: 2220007508 3994 - ASSOCIACAO RESERVA D 30/09/2022 LQ 225,85 225,85"
"Pago título: 2220007522 1742 - CONDOMINIO SERANILA 30/09/2022 LQ 225,85 225,85"
"Pago título: 2220007627 6911 - MAURO DA SILVA ARTUR 30/09/2022 LQ 219,05 219,05"
"Pago título: 2220007676 1077 - DP & LF TRANSPORTES 30/09/2022 LQ 214,56 214,56"
"Pago título: 2220007830 5318 - SERRANO EMPREENDIMEN 30/09/2022 LQ 208,55 208,55"
"Pago título: 2220007879 2047 - ITARARE TRANSPORTE D 30/09/2022 LQ 206,25 206,25"
"Pago título: 9000006808 158 - ALLBEKAH INDUSTRIA TE 30/09/2022 LQ 307,95 307,95"
"Pago título: 9000006888 1792 - ASSOC DE AMIGOS DO C 30/09/2022 LQ 342,96 342,96"
"Pago título: 9000006951 1134 - MUNICIPIO DE SUMARE 30/09/2022 LQ 220417,23 220417,23"
"Pago título: 9000006962 1926 - YADOYA INDUSTRIA E C 30/09/2022 LQ 1699,28 1699,28"
