"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448573108202222900.ret"
""
"Cadastrado título novo: 9000007058 2492 - PRENSA JUNDIAI S/A 30/09/2022 RG 465,02 0"
"Cadastrado título novo: 9000007059 302 - TEXTIL IRINEU MENEGHE 30/09/2022 RG 490,03 0"
"Pago título: 2220001630 3561 - CONDOMINIO RESIDENCI 31/08/2022 LQ 243,97 243,97"
"Pago título: 2220001636 5551 - ASSOCIACAO DOS MORAD 31/08/2022 LQ 243,97 243,97"
"Pago título: 2220001639 4826 - ATACADAO S.A. 31/08/2022 LQ 243,97 243,97"
"Pago título: 2220001663 1718 - HOTELARIA BRASIL LTD 31/08/2022 LQ 243,14 243,14"
"Pago título: 2220001669 2372 - BELENUS DO BRASIL LT 31/08/2022 LQ 241,59 241,59"
"Pago título: 2220001675 3065 - ELETROMEI INDUSTRIA 31/08/2022 LQ 240,56 240,56"
"Pago título: 2220001678 1482 - OLIVEIRA & OLIVEIRA 31/08/2022 LQ 240,3 240,3"
"Pago título: 2220001684 5283 - ARTHI COMERCIAL LTDA 31/08/2022 LQ 239,43 239,43"
"Pago título: 2220001690 176 - SERVICO SOCIAL DO COM 31/08/2022 LQ 238,79 238,79"
"Pago título: 2220001693 3527 - CARFAM EMPREENDIMENT 31/08/2022 LQ 238,54 238,54"
"Pago título: 2220001696 1905 - ITUPEVA HOTEIS, CONV 31/08/2022 LQ 238,18 238,18"
"Pago título: 2220001705 2666 - FUCHS GEWURZE DO BRA 31/08/2022 LQ 235,76 235,76"
"Pago título: 2220001708 7320 - ASSOCIACAO SHOPPING 31/08/2022 LQ 235,29 235,29"
"Pago título: 2220001711 1206 - NACIONAL GAS BUTANO 31/08/2022 LQ 235,23 235,23"
"Pago título: 2220001714 3678 - ASSOC DOS PROPR DO L 31/08/2022 LQ 234,73 234,73"
"Pago título: 2220001729 1871 - PREFEITURA MUNICIPAL 31/08/2022 LQ 234,21 234,21"
"Pago título: 2220001738 4694 - WALDIR PARISE E OUTR 31/08/2022 LQ 233,08 233,08"
"Pago título: 2220001750 914 - IC TRANSPORTES LTDA 31/08/2022 LQ 231,63 231,63"
"Pago título: 2220001765 3734 - ASSOCIACAO DE PROP C 31/08/2022 LQ 230,31 230,31"
"Pago título: 2220001771 1580 - ENGRATECH TECNOLOGIA 31/08/2022 LQ 230,01 230,01"
"Pago título: 2220001783 1014 - MINERACAO DIBASE PED 31/08/2022 LQ 228,19 228,19"
"Pago título: 2220001786 4034 - LUCI AREIA LTDA. ME 31/08/2022 LQ 226,6 226,6"
"Pago título: 2220001789 3030 - TEXTIL GL LTDA 31/08/2022 LQ 226,6 226,6"
"Pago título: 2220001792 2439 - GRAMADO MALL 31/08/2022 LQ 226,41 226,41"
"Pago título: 2220001798 737 - ROSILAINE DIONIZIO DA 31/08/2022 LQ 225,46 225,46"
"Pago título: 2220001801 4777 - ASSOCIACAO DOS FUNCI 31/08/2022 LQ 225,43 225,43"
"Pago título: 2220001807 4523 - ASSOCIACAO DOS PROPR 31/08/2022 LQ 223,97 223,97"
"Pago título: 2220001810 2492 - PRENSA JUNDIAI S/A 31/08/2022 LQ 222,34 222,34"
"Pago título: 2220001813 4875 - HIDROALL DO BRASIL L 31/08/2022 LQ 220,59 220,59"
"Pago título: 2220001822 7370 - GRECO & GUERREIRO LT 31/08/2022 LQ 219,77 219,77"
"Pago título: 2220001828 2875 - ASSOCIACAO DE MORADO 31/08/2022 LQ 219,58 219,58"
"Pago título: 2220001834 2169 - ASSOCIACAO DE PROPRI 31/08/2022 LQ 219,58 219,58"
"Pago título: 2220001840 4817 - MAT S.A. 31/08/2022 LQ 219,58 219,58"
"Pago título: 2220001849 2696 - ASSOCIACAO BOTHANICA 31/08/2022 LQ 219,58 219,58"
"Pago título: 2220001852 3315 - ASSOCIACAO DOS PROP 31/08/2022 LQ 219,58 219,58"
"Pago título: 2220001858 4223 - CONCREBASE SERVICOS 31/08/2022 LQ 218,97 218,97"
"Pago título: 2220001861 3244 - PLANMAR INDUSTRIA E 31/08/2022 LQ 218,95 218,95"
"Pago título: 2220001867 2219 - IRMAOS PARAZZI LTDA 31/08/2022 LQ 218,47 218,47"
"Pago título: 2220001882 1554 - TRANSPORTADORA CONTA 31/08/2022 LQ 214,56 214,56"
"Pago título: 2220001885 2435 - ASSOCIACAO DO SENHOR 31/08/2022 LQ 214,53 214,53"
"Pago título: 2220001888 2582 - TEXTIL OMBORGO LTDA 31/08/2022 LQ 213,6 213,6"
"Pago título: 2220001909 275 - TEXTIL CARVALHO E FIL 31/08/2022 LQ 211,68 211,68"
"Pago título: 2220001915 10 - CONDOMINIO RESIDENCIAL 31/08/2022 LQ 210,48 210,48"
"Pago título: 2220001921 1317 - SUPERMERCADO TAQUARA 31/08/2022 LQ 210,17 210,17"
"Pago título: 2220001924 3171 - ANDORINHA COMERCIO E 31/08/2022 LQ 210,15 210,15"
"Pago título: 2220001927 993 - WESTROCK CELULOSE, PA 31/08/2022 LQ 208,72 208,72"
"Pago título: 2220001930 4254 - NTA NOVAS TECNICAS D 31/08/2022 LQ 206,88 206,88"
"Pago título: 2220001939 1198 - ZUCOLLORS INDUSTRIA 31/08/2022 LQ 205,37 205,37"
"Pago título: 2220001945 4056 - ASSOCIACAO DOS PROPR 31/08/2022 LQ 204,93 204,93"
"Pago título: 2220001948 2209 - AUTO POSTO 1500 DO S 31/08/2022 LQ 204,93 204,93"
"Pago título: 2220001957 2089 - POSTO TROPICOS LTDA 31/08/2022 LQ 204,45 204,45"
"Pago título: 2220001960 5019 - ASSOC DOS PROPRIETAR 31/08/2022 LQ 204,45 204,45"
"Pago título: 2220001963 5648 - MAX GEAR INDUSTRIA E 31/08/2022 LQ 204,45 204,45"
"Pago título: 2220001966 3301 - COMERCIAL ANDRETA DE 31/08/2022 LQ 203,75 203,75"
"Pago título: 2220001969 2866 - CELSO LUIS BELLINI E 31/08/2022 LQ 203,41 203,41"
"Pago título: 2220001972 6912 - CPE PLASTICOS LTDA 31/08/2022 LQ 202,71 202,71"
"Pago título: 2220001978 156 - EMBRASATEC INDUSTRIA 31/08/2022 LQ 201,81 201,81"
"Pago título: 2220001981 1260 - TEXTIL BRASIL LTDA E 31/08/2022 LQ 201,41 201,41"
"Pago título: 2220001984 7344 - ASSOCIACAO DISTRIBUT 31/08/2022 LQ 201,23 201,23"
"Pago título: 2220001999 384 - PRO METAL BENEFICIAME 31/08/2022 LQ 200,18 200,18"
"Pago título: 2220002026 2967 - AGUA MINERAL CASTELO 31/08/2022 LQ 245,54 245,54"
"Pago título: 2220002030 1367 - ASSOCIACAO DE MELHOR 31/08/2022 LQ 245,19 245,19"
"Pago título: 2220002046 522 - CONDOMINIO RESIDENCIA 31/08/2022 LQ 241,13 241,13"
"Pago título: 2220002050 1598 - ARTEC PISOS E REVEST 31/08/2022 LQ 239,4 239,4"
"Pago título: 2220002054 3684 - SOCIEDADE REGIONAL D 31/08/2022 LQ 239,35 239,35"
"Pago título: 2220002058 5571 - FENIX AGRO PECUS IND 31/08/2022 LQ 239,34 239,34"
"Pago título: 2220002066 1892 - INBRA INDUSTRIAS QUI 31/08/2022 LQ 238,55 238,55"
"Pago título: 2220002070 1020 - CONDOMINIO RESIDENCI 31/08/2022 LQ 236,42 236,42"
"Pago título: 2220002078 3162 - CONGE FRUTAS LTDA EP 31/08/2022 LQ 234,65 234,65"
"Pago título: 2220002082 2798 - MINERADORA AGUA BRAN 31/08/2022 LQ 234,21 234,21"
"Pago título: 2220002094 3771 - INDUSTRIA E COMERCIO 31/08/2022 LQ 233,04 233,04"
"Pago título: 2220002098 4093 - UNIVERSAL INDUSTRIAS 31/08/2022 LQ 232,92 232,92"
"Pago título: 2220002110 997 - CEDASA INDUSTRIA E CO 31/08/2022 LQ 230,55 230,55"
"Pago título: 2220002118 3927 - FLAMBOIA ALIMENTOS L 31/08/2022 LQ 230,55 230,55"
"Pago título: 2220002134 5048 - CR2 EMPREENDIMENTOS 31/08/2022 LQ 230,01 230,01"
"Pago título: 2220002138 5390 - LOLLY BABY PRODUTOS 31/08/2022 LQ 230,01 230,01"
"Pago título: 2220002162 450 - CONDOMINIO CHACARAS D 31/08/2022 LQ 229,09 229,09"
"Pago título: 2220002166 2926 - R M DE BARROS TEXTIL 31/08/2022 LQ 226,69 226,69"
"Pago título: 2220002174 2594 - A A DE MELO & CIA LT 31/08/2022 LQ 226,23 226,23"
"Pago título: 2220002186 5219 - TECELAGEM PANAMERICA 31/08/2022 LQ 225,59 225,59"
"Pago título: 2220002194 3822 - PEDREIRA REMANSO LTD 31/08/2022 LQ 223,97 223,97"
"Pago título: 2220002198 260 - SERVICO DE SAUDE DR. 31/08/2022 LQ 223,97 223,97"
"Pago título: 2220002202 3459 - JOFEGE CONCRETO LTDA 31/08/2022 LQ 223,59 223,59"
"Pago título: 2220002218 5428 - TECTEXTIL EMBALAGENS 31/08/2022 LQ 220,34 220,34"
"Pago título: 2220002222 5419 - TECTEXTIL EMBALAGENS 31/08/2022 LQ 220,34 220,34"
"Pago título: 2220002242 1204 - PLASCAR INDUSTRIA DE 31/08/2022 LQ 219,58 219,58"
"Pago título: 2220002262 3726 - SATOSHI ITO E OUTROS 31/08/2022 LQ 219,58 219,58"
"Pago título: 2220002266 4650 - ABATEDOURO DE AVES I 31/08/2022 LQ 219,58 219,58"
"Pago título: 2220002270 4164 - SERELLO RECICLAGEM 31/08/2022 LQ 219,58 219,58"
"Pago título: 2220002274 1945 - G KT DO BRASIL LTDA 31/08/2022 LQ 219,58 219,58"
"Pago título: 2220002290 4976 - ASTRA S/A INDUSTRIA 31/08/2022 LQ 219,58 219,58"
"Pago título: 2220002294 6982 - ASSOCIACAO DOS MORAD 31/08/2022 LQ 219,58 219,58"
"Pago título: 2220002298 3663 - ASSOCIACAO DOS ADQ L 31/08/2022 LQ 219,58 219,58"
"Pago título: 2220002326 5635 - RECAP CONSTRUTORA E 31/08/2022 LQ 216,57 216,57"
"Pago título: 2220002342 579 - CPQ BRASIL S/A 31/08/2022 LQ 215,1 215,1"
"Pago título: 2220002354 1967 - PLASTICOS SANTANA LT 31/08/2022 LQ 214,09 214,09"
"Pago título: 2220002362 1678 - JATOBA S/A 31/08/2022 LQ 213,76 213,76"
"Pago título: 2220002370 837 - CLICK AUTOMOTIVA INDU 31/08/2022 LQ 213,29 213,29"
"Pago título: 2220002378 5468 - LUCIANO TORELLI E CI 31/08/2022 LQ 211,76 211,76"
"Pago título: 2220002382 3150 - QUARTZO MINERACAO LT 31/08/2022 LQ 211,76 211,76"
"Pago título: 2220002394 4509 - EXTRACAO E COMERCIO 31/08/2022 LQ 210,79 210,79"
"Pago título: 2220002402 4835 - TRANSPORTES GABARDO 31/08/2022 LQ 210,79 210,79"
"Pago título: 2220002414 1445 - SOCIEDADE DOS AMIGOS 31/08/2022 LQ 209,25 209,25"
"Pago título: 2220002418 7669 - ASSOCIACAO DA INSTIT 31/08/2022 LQ 208,6 208,6"
"Pago título: 2220002422 222 - NOTRE DAME INTERMEDIC 31/08/2022 LQ 208,09 208,09"
"Pago título: 2220002442 1850 - DP & LF TRANSPORTES 31/08/2022 LQ 204,94 204,94"
"Pago título: 2220002446 4895 - VYLLA EMPREENDIMENTO 31/08/2022 LQ 204,94 204,94"
"Pago título: 2220002454 949 - DANA INDUSTRIAS LTDA 31/08/2022 LQ 203,46 203,46"
"Pago título: 2220002466 239 - AMCOR PACKAGING DO BR 31/08/2022 LQ 201,28 201,28"
"Pago título: 2220002470 3856 - BRASPARK ADMINISTRAD 31/08/2022 LQ 201,02 201,02"
"Pago título: 2220002488 301 - CRIA SIM PRODUTOS DE 31/08/2022 LQ 238,58 238,58"
"Pago título: 2220002498 4053 - ASSOCIACAO DOS PROPR 31/08/2022 LQ 237,14 237,14"
"Pago título: 2220002503 3803 - ASSOCIACAO ALPHAVILL 31/08/2022 LQ 235,21 235,21"
"Pago título: 2220002508 7011 - JS ESPUMAS FLEXIVEIS 31/08/2022 LQ 235,08 235,08"
"Pago título: 2220002518 7294 - ASSOCIACAO DE PROPRI 31/08/2022 LQ 234,21 234,21"
"Pago título: 2220002523 86 - PROMOCAO DO ENSINO DE 31/08/2022 LQ 234,21 234,21"
"Pago título: 2220002528 3991 - HIGIBRAG TRANSPORTE 31/08/2022 LQ 234,21 234,21"
"Pago título: 2220002533 2832 - THERMAS DAS AGUAS DE 31/08/2022 LQ 234,21 234,21"
"Pago título: 2220002538 3615 - IMOBILIARIA HELVETIA 31/08/2022 LQ 234,21 234,21"
"Pago título: 2220002553 2800 - CHENDEL PARTICIPACOE 31/08/2022 LQ 232,75 232,75"
"Pago título: 2220002558 894 - DAUNE TRAVESSEIROS DE 31/08/2022 LQ 230,76 230,76"
"Pago título: 2220002563 3285 - ASSSOCIACAO VILLAGE 31/08/2022 LQ 230,26 230,26"
"Pago título: 2220002573 2280 - TINTURARIA SANTA ADE 31/08/2022 LQ 228,81 228,81"
"Pago título: 2220002578 4016 - ITA   AREIA COMERCIO 31/08/2022 LQ 228,36 228,36"
"Pago título: 2220002583 2719 - E TECNO EMPREENDIMEN 31/08/2022 LQ 227,17 227,17"
"Pago título: 2220002598 5861 - ASSOCIACAO DESPORTIV 31/08/2022 LQ 226,28 226,28"
"Pago título: 2220002608 2338 - WALDIR VIANNA ME 31/08/2022 LQ 225,09 225,09"
"Pago título: 2220002613 890 - LABORATORIO TAYUYNA L 31/08/2022 LQ 224,46 224,46"
"Pago título: 2220002628 1430 - ASSOCIACAO DOS MORAD 31/08/2022 LQ 222,5 222,5"
"Pago título: 2220002653 1832 - LANMAR INDUSTRIA MET 31/08/2022 LQ 219,33 219,33"
"Pago título: 2220002673 969 - PRALANA INDUSTRIA E C 31/08/2022 LQ 217,75 217,75"
"Pago título: 2220002683 4327 - CEETEPS CENTRO ESTAD 31/08/2022 LQ 216,65 216,65"
"Pago título: 2220002688 3399 - EDENA MARIA PECHIO S 31/08/2022 LQ 216,61 216,61"
"Pago título: 2220002693 5274 - AMETEK DO BRASIL LTD 31/08/2022 LQ 216,33 216,33"
"Pago título: 2220002698 3292 - JARDIM SAO GERALDO E 31/08/2022 LQ 216,06 216,06"
"Pago título: 2220002703 2389 - JOFEGE CONCRETO LTDA 31/08/2022 LQ 215,7 215,7"
"Pago título: 2220002708 3984 - BELEM TRANSPORTES E 31/08/2022 LQ 215,61 215,61"
"Pago título: 2220002748 4136 - STORAGE ADMINISTRACA 31/08/2022 LQ 210,79 210,79"
"Pago título: 2220002753 3729 - NP EMPREENDIMENTOS L 31/08/2022 LQ 210,79 210,79"
"Pago título: 2220002763 2137 - PREFEITURA MUNICIPAL 31/08/2022 LQ 209,96 209,96"
"Pago título: 2220002773 953 - MAHLE COMPRESSORES DO 31/08/2022 LQ 206,82 206,82"
"Pago título: 2220002778 3945 - BRASA BURGER IND E C 31/08/2022 LQ 206,27 206,27"
"Pago título: 2220002783 617 - JOAO BOZZA JUNIOR 31/08/2022 LQ 204,94 204,94"
"Pago título: 2220002793 3424 - ASSOCIACAO DOS PROP. 31/08/2022 LQ 204,94 204,94"
"Pago título: 2220002808 1572 - ETAPA EDUCACIONAL LT 31/08/2022 LQ 204,82 204,82"
"Pago título: 2220002813 5007 - ARRICO AGRONEGOCIOS 31/08/2022 LQ 204,74 204,74"
"Pago título: 2220002838 2367 - INDUSTRIA DE FRIOS X 31/08/2022 LQ 202,64 202,64"
"Pago título: 2220002843 3259 - BAG CLEANER COMERCIO 31/08/2022 LQ 202,32 202,32"
"Pago título: 2220002853 4135 - ALCEBIADES FERREIRA 31/08/2022 LQ 232,66 232,66"
"Pago título: 2220002859 391 - CONDOMINIO EDIFICIO E 31/08/2022 LQ 232,33 232,33"
"Pago título: 2220002865 3616 - CONCREMIX S/A 31/08/2022 LQ 230,44 230,44"
"Pago título: 2220002871 1097 - TERRAR INDUSTRIA E C 31/08/2022 LQ 229,5 229,5"
"Pago título: 2220002883 5870 - VILA HIPICA EMPREEND 31/08/2022 LQ 228,36 228,36"
"Pago título: 2220002895 521 - SPG PRINTS BRASIL LTD 31/08/2022 LQ 228,11 228,11"
"Pago título: 2220002901 474 - VINGI INDUSTRIA TEXTI 31/08/2022 LQ 227,97 227,97"
"Pago título: 2220002907 2686 - BOM PEIXE INDUSTRIA 31/08/2022 LQ 226,77 226,77"
"Pago título: 2220002913 495 - NEUMAYER TEKFOR AUTOM 31/08/2022 LQ 226,22 226,22"
"Pago título: 2220002919 959 - ASK PRODUTOS QUIMICOS 31/08/2022 LQ 226,08 226,08"
"Pago título: 2220002937 3547 - NEO RODAS S.A. 31/08/2022 LQ 224,46 224,46"
"Pago título: 2220002943 1113 - PPC SANTANA EQUIPAME 31/08/2022 LQ 223,29 223,29"
"Pago título: 2220002949 4829 - CLUBE RECREATIVO SUM 31/08/2022 LQ 222,02 222,02"
"Pago título: 2220002955 3853 - MONTE COR PROTECAO D 31/08/2022 LQ 221,25 221,25"
"Pago título: 2220002961 4584 - CONJUNTO RESIDENCIAL 31/08/2022 LQ 220,55 220,55"
"Pago título: 2220002979 2528 - MULTILOG BRASIL S.A. 31/08/2022 LQ 219,58 219,58"
"Pago título: 2220002991 4840 - CIALENE INDUSTRIA E 31/08/2022 LQ 219,58 219,58"
"Pago título: 2220003003 2935 - CERAMICA ALMEIDA LTD 31/08/2022 LQ 219,58 219,58"
"Pago título: 2220003015 4938 - MOMBUCA BENEFICIADOR 31/08/2022 LQ 219,58 219,58"
"Pago título: 2220003021 3160 - VIA APPIA FESTAS E E 31/08/2022 LQ 219,57 219,57"
"Pago título: 2220003033 2653 - TANQUE MATERIAS PARA 31/08/2022 LQ 219,24 219,24"
"Pago título: 2220003039 1415 - DPV PRODUTOS QUIMICO 31/08/2022 LQ 218,63 218,63"
"Pago título: 2220003045 3594 - CPM CONCRETO DE PRE 31/08/2022 LQ 218,04 218,04"
"Pago título: 2220003057 5 - AMCOR RIGID PLASTICS DO 31/08/2022 LQ 216,43 216,43"
"Pago título: 2220003063 3516 - JOSE JORGE BERARDINE 31/08/2022 LQ 214,7 214,7"
"Pago título: 2220003081 7659 - LUIZ BASILIO REANI 31/08/2022 LQ 214,17 214,17"
"Pago título: 2220003087 2227 - COMSAPE EXTRACAO E C 31/08/2022 LQ 214,03 214,03"
"Pago título: 2220003093 1276 - INDUSTRIA E COMERCIO 31/08/2022 LQ 213,45 213,45"
"Pago título: 2220003099 186 - OBER S/A INDUSTRIA E 31/08/2022 LQ 213,23 213,23"
"Pago título: 2220003105 473 - TECELAGEM CHUAHY LTDA 31/08/2022 LQ 213,04 213,04"
"Pago título: 2220003117 975 - BANN QUIMICA LTDA 31/08/2022 LQ 211,58 211,58"
"Pago título: 2220003123 2469 - RICLAN S/A 31/08/2022 LQ 211,5 211,5"
"Pago título: 2220003129 1649 - CONDOMINIO CASA GRAN 31/08/2022 LQ 210,79 210,79"
"Pago título: 2220003135 1414 - CERVEJARIA ASHBY LTD 31/08/2022 LQ 210,03 210,03"
"Pago título: 2220003141 289 - INDUSTRIA CERAMICA FR 31/08/2022 LQ 209,82 209,82"
"Pago título: 2220003147 1558 - CONDOMINIO CHACARAS 31/08/2022 LQ 209,82 209,82"
"Pago título: 2220003159 5773 - OWB INDUSTRIA DE AUT 31/08/2022 LQ 208,44 208,44"
"Pago título: 2220003219 2687 - ROTOCROM INDUSTRIA E 31/08/2022 LQ 203,76 203,76"
"Pago título: 2220003249 286 - T.F.T. TECIDOS E FIOS 31/08/2022 LQ 201,13 201,13"
"Pago título: 2220003267 3022 - BORGWARNER BRASIL LT 31/08/2022 LQ 200,21 200,21"
"Pago título: 2220003273 875 - RICHARD KLINGER INDUS 31/08/2022 LQ 200,03 200,03"
"Pago título: 2220003279 1111 - CIA SANEAMENTO BASIC 31/08/2022 LQ 445448,28 445448,28"
"Pago título: 2220003286 898 - SERVICO MUNICIPAL DE 31/08/2022 LQ 250944,29 250944,29"
"Pago título: 2220003300 1078 - DAE S/A AGUA E ESGOT 31/08/2022 LQ 117709,08 117709,08"
"Pago título: 2220003321 882 - SERVICO AUTONOMO DE A 31/08/2022 LQ 79458,34 79458,34"
"Pago título: 2220003335 1052 - DEPARTAMENTO DE AGUA 31/08/2022 LQ 63071,83 63071,83"
"Pago título: 2220003342 828 - SERVICO AUTONOMO DE A 31/08/2022 LQ 56971,89 56971,89"
"Pago título: 2220003356 919 - COMPANHIA DE DESENVOL 31/08/2022 LQ 44433,2 44433,2"
"Pago título: 2220003363 831 - DEPARTAMENTO DE AGUAS 31/08/2022 LQ 41817,17 41817,17"
"Pago título: 2220003370 976 - SOCIEDADE DE ABASTECI 31/08/2022 LQ 40244,64 40244,64"
"Pago título: 2220003384 930 - SERVICO AUTONOMO DE A 31/08/2022 LQ 39331,26 39331,26"
"Pago título: 2220003391 832 - SANEAMENTO BASICO VIN 31/08/2022 LQ 33837,13 33837,13"
"Pago título: 2220003405 487 - USINA ACUCAREIRA ESTE 31/08/2022 LQ 26214,36 26214,36"
"Pago título: 2220003412 966 - SERVICO DE AGUA E ESG 31/08/2022 LQ 25495,14 25495,14"
"Pago título: 2220003419 962 - SAO MARTINHO S.A. 31/08/2022 LQ 25062,6 25062,6"
"Pago título: 2220003426 1057 - CIA SANEAMENTO BASIC 31/08/2022 LQ 21427,84 21427,84"
"Pago título: 2220003461 1084 - COMPANHIA DE SANEAME 31/08/2022 LQ 17626,64 17626,64"
"Pago título: 2220003482 1000 - CIA SANEAMENTO BASIC 31/08/2022 LQ 17077,28 17077,28"
"Pago título: 2220003489 1695 - GOODYEAR DO BRASIL P 31/08/2022 LQ 15287,19 15287,19"
"Pago título: 2220003496 944 - PREFEITURA MUNICIPAL 31/08/2022 LQ 14520,42 14520,42"
"Pago título: 2220003503 4519 - IVO ZARZUR ADMINISTR 31/08/2022 LQ 12610,39 12610,39"
"Pago título: 2220003510 1067 - CIA SANEAMENTO BASIC 31/08/2022 LQ 12207,24 12207,24"
"Pago título: 2220003517 1073 - CIA SANEAMENTO BASIC 31/08/2022 LQ 11381,69 11381,69"
"Pago título: 2220003538 1058 - CIA SANEAMENTO BASIC 31/08/2022 LQ 10002,41 10002,41"
"Pago título: 2220003545 920 - ELEKEIROZ S/A 31/08/2022 LQ 9546,42 9546,42"
"Pago título: 2220003552 1484 - DELTA INDUSTRIA CERA 31/08/2022 LQ 9365,49 9365,49"
"Pago título: 2220003559 1123 - CIA SANEAMENTO BASIC 31/08/2022 LQ 9250,96 9250,96"
"Pago título: 2220003573 986 - PREFEITURA MUNICIPAL 31/08/2022 LQ 8845,9 8845,9"
"Pago título: 2220003580 821 - PREFEITURA MUNICIPAL 31/08/2022 LQ 8131 8131"
"Pago título: 2220003587 5355 - CIA DE SANEAMENTO BA 31/08/2022 LQ 7296,85 7296,85"
"Pago título: 2220003594 1064 - CIA SANEAMENTO BASIC 31/08/2022 LQ 6687,95 6687,95"
"Pago título: 2220003601 885 - CP KELCO BRASIL S/A 31/08/2022 LQ 6233,33 6233,33"
"Pago título: 2220003608 6490 - USINA IRB S.A. 31/08/2022 LQ 6192,84 6192,84"
"Pago título: 2220003615 500 - BIGNARDI IND E COM DE 31/08/2022 LQ 6060,2 6060,2"
"Pago título: 2220003629 1070 - CIA SANEAMENTO BASIC 31/08/2022 LQ 5748,27 5748,27"
"Pago título: 2220003636 845 - THYSSENKRUPP METALURG 31/08/2022 LQ 5652,76 5652,76"
"Pago título: 2220003643 1060 - CIA SANEAMENTO BASIC 31/08/2022 LQ 5577,77 5577,77"
"Pago título: 2220003657 1047 - QUIMICA AMPARO LTDA 31/08/2022 LQ 4942,01 4942,01"
"Pago título: 2220003664 868 - PREFEITURA MUNICIPAL 31/08/2022 LQ 4782,14 4782,14"
"Pago título: 2220003671 5514 - AGUAS DO MIRANTE 31/08/2022 LQ 4534,63 4534,63"
"Pago título: 2220003678 1110 - SERVICO AUTONOMO DE 31/08/2022 LQ 4522,93 4522,93"
"Pago título: 2220003713 2359 - AGROPECUARIA TUIUTI 31/08/2022 LQ 3712,49 3712,49"
"Pago título: 2220003720 1405 - ASSOCIACAO LOTEAMENT 31/08/2022 LQ 3662,78 3662,78"
"Pago título: 2220003727 1063 - CIA SANEAMENTO BASIC 31/08/2022 LQ 3662,16 3662,16"
"Pago título: 2220003734 891 - TIMAVO DO BRASIL S/A 31/08/2022 LQ 3572,06 3572,06"
"Pago título: 2220003741 417 - EMBRAMACO EMPRESA BRA 31/08/2022 LQ 3536,5 3536,5"
"Pago título: 2220003748 1195 - TEXTIL CANATIBA LTDA 31/08/2022 LQ 3448,55 3448,55"
"Pago título: 2220003755 499 - SPAL INDUSTRIA BRASIL 31/08/2022 LQ 3333,99 3333,99"
"Pago título: 2220003762 948 - QUINTA DA BARONEZA GO 31/08/2022 LQ 3327,5 3327,5"
"Pago título: 2220003769 1169 - MINERACAO JUNDU LTDA 31/08/2022 LQ 3238,69 3238,69"
"Pago título: 2220003790 332 - CBR BRANDS INDUSTRIA 31/08/2022 LQ 2969,93 2969,93"
"Pago título: 2220003797 2289 - ADVANCE INDUSTRIA TE 31/08/2022 LQ 2952,21 2952,21"
"Pago título: 2220003811 160 - ASSOCIACAO RESIDENCIA 31/08/2022 LQ 2850,29 2850,29"
"Pago título: 2220003825 7351 - COMPANHIA DE SANEAME 31/08/2022 LQ 2747,82 2747,82"
"Pago título: 2220003839 3384 - FRIGODELISS LTDA 31/08/2022 LQ 2464,29 2464,29"
"Pago título: 2220003860 1087 - TOYOTA DO BRASIL LTD 31/08/2022 LQ 2360,95 2360,95"
"Pago título: 2220003867 559 - BENEFICIADORA DE TECI 31/08/2022 LQ 2274,59 2274,59"
"Pago título: 2220003888 476 - CLUBE DE CAMPO VALINH 31/08/2022 LQ 2254,76 2254,76"
