"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72444592810202112832.ret"
""
"Cadastrado título novo: 9000006650 6872 - ERICK VIOLIM FRANCO 30/11/2021 RG 393,13 0"
"Cadastrado título novo: 9000006651 2819 - ATRISEV COMERCIAL E 30/11/2021 RG 456,27 0"
"Cadastrado título novo: 9000006652 4013 - ANTONIO VITORINO BAR 29/10/2021 RG 644,29 0"
"Cadastrado título novo: 9000006653 801 - JOSE FORTUNA 30/11/2021 RG 1448,15 0"
"Pago título: 2118001911 1222 - SOCIEDADE COMUNITAR 29/10/2021 LQ 299,35 299,35"
"Pago título: 2118001951 1249 - ESTANCIA PARQUE ATI 29/10/2021 LQ 552,79 552,79"
"Pago título: 2118002207 1636 - AGV LOGISTICA S.A. 29/10/2021 LQ 352,42 352,42"
"Pago título: 2118002559 2170 - ISOTERM INDUSTRIA E 29/10/2021 LQ 811,56 811,56"
"Pago título: 2118002647 2289 - ADVANCE IND STRIA T 29/10/2021 LQ 2623,91 2623,91"
"Pago título: 2118002895 2688 - ARYZTA DO BRASIL AL 29/10/2021 LQ 318,73 318,73"
"Pago título: 2118002983 2757 - CARAVITA EMPRESA DE 29/10/2021 LQ 847,23 847,23"
"Pago título: 2118003015 2783 - PIRELLI PNEUS LTDA 29/10/2021 LQ 560,6 560,6"
"Pago título: 2118003079 2906 - TRANSPORTADORA H2O 29/10/2021 LQ 362,29 362,29"
"Pago título: 2118003391 3345 - SAO PAULO SECRETARI 29/10/2021 LQ 431,54 431,54"
"Pago título: 2118003399 3352 - CP KELCO BRASIL S/A 29/10/2021 LQ 315,51 315,51"
"Pago título: 2118003479 3389 - CONDOM NIO RESIDENC 29/10/2021 LQ 618,17 618,17"
"Pago título: 2118003543 3453 - CER MICA SAVANE LTD 29/10/2021 LQ 453,72 453,72"
"Pago título: 2118003623 3608 - BIONOVIS S.A. - CIA 29/10/2021 LQ 215,81 215,81"
"Pago título: 2118003631 3609 - PINHAL CABRE VA EMP 29/10/2021 LQ 226,54 226,54"
"Pago título: 2118003663 3644 - IBG CRYO IND STRIA 29/10/2021 LQ 304,94 304,94"
"Pago título: 2118003799 3851 - USINA GRANELLI LTDA 29/10/2021 LQ 1587,98 1587,98"
"Pago título: 2118003815 3879 - CATALISE IND STRIA 29/10/2021 LQ 292,76 292,76"
"Pago título: 2118003823 3899 - ASSOCIA  O RESIDENC 29/10/2021 LQ 761,69 761,69"
"Pago título: 2118004207 4830 - CONDOMINIO RESIDENC 29/10/2021 LQ 256,17 256,17"
"Pago título: 2118004359 5082 - ELLOS EMPREENDIMENT 29/10/2021 LQ 296,43 296,43"
"Pago título: 2118004375 5168 - NEMPOP IND STRIA QU 29/10/2021 LQ 496,79 496,79"
"Pago título: 2118004383 5260 - MRGM PARTICIPA  ES 29/10/2021 LQ 783,15 783,15"
"Pago título: 2118004415 5323 - ERCA IND STRIA E CO 29/10/2021 LQ 463,56 463,56"
"Pago título: 2118004447 5402 - S O PAULO SECRETARI 29/10/2021 LQ 739,12 739,12"
"Pago título: 2118004719 5754 - ASSOCIA  O DOS PROP 29/10/2021 LQ 204,94 204,94"
"Pago título: 2118004871 6729 - ANTONIO RENAN FERRO 29/10/2021 LQ 731,92 731,92"
"Pago título: 2118004887 6784 - CONDOM NIO RESIDENC 29/10/2021 LQ 330,71 330,71"
"Pago título: 2118005247 7669 - ASSOCIA  O DA INSTI 29/10/2021 LQ 208,6 208,6"
"Pago título: 9000006518 2445 - SBW DO BRASILAGRIFLO 29/10/2021 LQ 588,39 588,39"
"Pago título: 9000006564 2757 - CARAVITA EMPRESA DE 29/10/2021 LQ 829,16 829,16"
"Pago título: 9000006649 4771 - VID'AGUA DISTRIBUICA 29/10/2021 LQ 1246,19 1246,19"
