"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442032804202111650.ret"
""
"Cadastrado título novo: 9000005974 4779 - FUNDACAO CENTRO DE A 31/05/2021 RG 5742,47 0"
"Cadastrado título novo: 9000005975 4779 - FUNDACAO CENTRO DE A 31/05/2021 RG 3396,27 0"
"Cadastrado título novo: 9000005977 392 - CONDOMINIO SHOPPING C 31/05/2021 RG 1162,71 0"
"Cadastrado título novo: 9000005978 392 - CONDOMINIO SHOPPING C 30/06/2021 RG 1162,72 0"
"Cadastrado título novo: 9000005979 392 - CONDOMINIO SHOPPING C 30/07/2021 RG 1162,72 0"
"Cadastrado título novo: 9000005980 392 - CONDOMINIO SHOPPING C 31/08/2021 RG 1162,72 0"
"Cadastrado título novo: 9000005981 392 - CONDOMINIO SHOPPING C 30/09/2021 RG 1162,72 0"
"Cadastrado título novo: 9000005982 392 - CONDOMINIO SHOPPING C 29/10/2021 RG 1162,72 0"
"Cadastrado título novo: 9000005983 392 - CONDOMINIO SHOPPING C 30/11/2021 RG 1162,72 0"
"Cadastrado título novo: 9000005984 392 - CONDOMINIO SHOPPING C 29/12/2021 RG 1162,72 0"
"Pago título: 2118001273 943 - RAIZEN ENERGIA S/A 30/04/2021 LQ 9258,76 9258,76"
"Pago título: 2118001377 978 - CHEM-TREND IND E COM 30/04/2021 LQ 496,94 496,94"
"Pago título: 2118001449 1004 - BRANYL COMERCIO E I 30/04/2021 LQ 1039,37 1039,37"
"Pago título: 2118001497 1048 - AHLSTROM LOUVEIRA L 30/04/2021 LQ 2810,99 2810,99"
"Pago título: 2118001753 1128 - CIA SANEAMENTO BASI 30/04/2021 LQ 2101,26 2101,26"
"Pago título: 2118001761 1129 - CIA SANEAMENTO BASI 30/04/2021 LQ 8069,68 8069,68"
"Pago título: 2118001769 1132 - CIA SANEAMENTO BASI 30/04/2021 LQ 11665,34 11665,34"
"Pago título: 2118001833 1149 - CHT QUMIPEL BRAZIL 30/04/2021 LQ 422,5 422,5"
"Pago título: 2118001889 1216 - CERBA DESTILARIA DE 30/04/2021 LQ 640,41 640,41"
"Pago título: 2118002097 1479 - MEAT SNACK PARTNERS 30/04/2021 LQ 472,68 472,68"
"Pago título: 2118002249 1695 - GOODYEAR DO BRASIL 30/04/2021 LQ 9317,65 9317,65"
"Pago título: 2118002425 1965 - ASSOC DE PROPRIET R 30/04/2021 LQ 512,35 512,35"
"Pago título: 2118002625 2258 - ATMOSFERA GEST O E 30/04/2021 LQ 877,41 877,41"
"Pago título: 2118003089 2949 - INSTITUTO ADVENTIST 30/04/2021 LQ 293,31 293,31"
"Pago título: 2118003313 3231 - BARDUSCH ARRENDAMEN 30/04/2021 LQ 669,42 669,42"
"Pago título: 2118003417 3374 - ATMOSFERA GEST O E 30/04/2021 LQ 1424,28 1424,28"
"Pago título: 2118003449 3382 - CENTRO EMPRESARIAL 30/04/2021 LQ 322,56 322,56"
"Pago título: 2118003457 3383 - CENTRO EMPRESARIAL 30/04/2021 LQ 500,33 500,33"
"Pago título: 2118003545 3462 - CONDOM NIO EMPRESAR 30/04/2021 LQ 1348,91 1348,91"
"Pago título: 2118003601 3540 - COMERCIAL DE ALIMEN 30/04/2021 LQ 307,48 307,48"
"Pago título: 2118003785 3798 - MINERA  O SANTA M N 30/04/2021 LQ 571,1 571,1"
"Pago título: 2118003809 3879 - CATALISE IND STRIA 30/04/2021 LQ 292,78 292,78"
"Pago título: 2118004185 4786 - SEARA ALIMENTOS LTD 30/04/2021 LQ 567,25 567,25"
"Pago título: 2118004441 5402 - S O PAULO SECRETARI 30/04/2021 LQ 739,12 739,12"
"Pago título: 2118004641 5601 - ASSOCIA  O DOS PROP 30/04/2021 LQ 1939,57 1939,57"
"Pago título: 2118004817 6034 - ESPA O GAIA EMPREEN 30/04/2021 LQ 425,78 425,78"
"Pago título: 2118004825 6035 - ESPA O GAIA EMPREEN 30/04/2021 LQ 421,77 421,77"
"Pago título: 2118004865 6729 - ANTONIO RENAN FERRO 30/04/2021 LQ 731,9 731,9"
"Pago título: 2118005121 7324 - THEIA EMPREENDIMENT 30/04/2021 LQ 773,15 773,15"
"Pago título: 2118005129 7329 - ESPA O GAIA EMPREEN 30/04/2021 LQ 425,78 425,78"
"Pago título: 2118005145 7340 - SUZANO S.A. 30/04/2021 LQ 665,32 665,32"
"Pago título: 2118005161 7348 - JATOB  EMPREENDIMEN 30/04/2021 LQ 270,06 270,06"
"Pago título: 2118005217 7444 - THAIS REGINA ROCHIT 30/04/2021 LQ 248,49 248,49"
"Pago título: 9000005192 930 - SERVICO AUTONOMO DE A 30/04/2021 LQ 2302,43 2302,43"
"Pago título: 9000005815 984 - DOM PEDRO EMPREENDIME 30/04/2021 LQ 290 290"
"Pago título: 9000005906 930 - SERVICO AUTONOMO DE A 30/04/2021 LQ 3457,35 3457,35"
"Pago título: 9000005944 3211 - DENILSON BISPO 30/04/2021 LQ 281,33 281,33"
"Pago título: 9000005954 900 - DANA INDUSTRIAS LTDA 30/04/2021 LQ 627,71 627,71"
"Pago título: 9000005962 472 - LINDE GASES LTDA 30/04/2021 LQ 280,82 280,82"
