"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72449393110202224033.ret"
""
"Cadastrado título novo: 9000007216 4820 - TRANSPEDROSA S/A 30/11/2022 RG 989,52 0"
"Pago título: 2220003393 832 - SANEAMENTO BASICO VIN 31/10/2022 LQ 33837,13 33837,13"
"Pago título: 2220003407 487 - USINA ACUCAREIRA ESTE 31/10/2022 LQ 26214,36 26214,36"
"Pago título: 2220003414 966 - SERVICO DE AGUA E ESG 31/10/2022 LQ 25495,14 25495,14"
"Pago título: 2220003428 1057 - CIA SANEAMENTO BASIC 31/10/2022 LQ 21427,84 21427,84"
"Pago título: 2220003463 1084 - COMPANHIA DE SANEAME 31/10/2022 LQ 17626,64 17626,64"
"Pago título: 2220003477 5261 - CIA DE SANEAMENTO BA 31/10/2022 LQ 17302,09 17302,09"
"Pago título: 2220003484 1000 - CIA SANEAMENTO BASIC 31/10/2022 LQ 17077,28 17077,28"
"Pago título: 2220003505 4519 - IVO ZARZUR ADMINISTR 31/10/2022 LQ 12610,39 12610,39"
"Pago título: 2220003512 1067 - CIA SANEAMENTO BASIC 31/10/2022 LQ 12207,24 12207,24"
"Pago título: 2220003519 1073 - CIA SANEAMENTO BASIC 31/10/2022 LQ 11381,69 11381,69"
"Pago título: 2220003526 822 - AGUAS DE HOLAMBRA SAN 31/10/2022 LQ 10430,32 10430,32"
"Pago título: 2220003540 1058 - CIA SANEAMENTO BASIC 31/10/2022 LQ 10002,41 10002,41"
"Pago título: 2220003547 920 - ELEKEIROZ S/A 31/10/2022 LQ 9546,42 9546,42"
"Pago título: 2220003554 1484 - DELTA INDUSTRIA CERA 31/10/2022 LQ 9365,49 9365,49"
"Pago título: 2220003561 1123 - CIA SANEAMENTO BASIC 31/10/2022 LQ 9250,96 9250,96"
"Pago título: 2220003589 5355 - CIA DE SANEAMENTO BA 31/10/2022 LQ 7296,85 7296,85"
"Pago título: 2220003596 1064 - CIA SANEAMENTO BASIC 31/10/2022 LQ 6687,95 6687,95"
"Pago título: 2220003603 885 - CP KELCO BRASIL S/A 31/10/2022 LQ 6233,33 6233,33"
"Pago título: 2220003610 6490 - USINA IRB S.A. 31/10/2022 LQ 6192,84 6192,84"
"Pago título: 2220003617 500 - BIGNARDI IND E COM DE 31/10/2022 LQ 6060,2 6060,2"
"Pago título: 2220003631 1070 - CIA SANEAMENTO BASIC 31/10/2022 LQ 5748,27 5748,27"
"Pago título: 2220003638 845 - THYSSENKRUPP METALURG 31/10/2022 LQ 5652,76 5652,76"
"Pago título: 2220003645 1060 - CIA SANEAMENTO BASIC 31/10/2022 LQ 5577,77 5577,77"
"Pago título: 2220003652 856 - PREFEITURA MUNICIPAL 31/10/2022 LQ 5118,88 5118,88"
"Pago título: 2220003659 1047 - QUIMICA AMPARO LTDA 31/10/2022 LQ 4942,01 4942,01"
"Pago título: 2220003673 5514 - AGUAS DO MIRANTE 31/10/2022 LQ 4534,63 4534,63"
"Pago título: 2220003680 1110 - SERVICO AUTONOMO DE 31/10/2022 LQ 4522,93 4522,93"
"Pago título: 2220003722 1405 - ASSOCIACAO LOTEAMENT 31/10/2022 LQ 3662,78 3662,78"
"Pago título: 2220003729 1063 - CIA SANEAMENTO BASIC 31/10/2022 LQ 3662,16 3662,16"
"Pago título: 2220003736 891 - TIMAVO DO BRASIL S/A 31/10/2022 LQ 3572,06 3572,06"
"Pago título: 2220003743 417 - EMBRAMACO EMPRESA BRA 31/10/2022 LQ 3536,5 3536,5"
"Pago título: 2220003750 1195 - TEXTIL CANATIBA LTDA 31/10/2022 LQ 3448,55 3448,55"
"Pago título: 2220003757 499 - SPAL INDUSTRIA BRASIL 31/10/2022 LQ 3333,99 3333,99"
"Pago título: 2220003764 948 - QUINTA DA BARONEZA GO 31/10/2022 LQ 3327,5 3327,5"
"Pago título: 2220003771 1169 - MINERACAO JUNDU LTDA 31/10/2022 LQ 3238,69 3238,69"
"Pago título: 2220003792 332 - CBR BRANDS INDUSTRIA 31/10/2022 LQ 2969,93 2969,93"
"Pago título: 2220003799 2289 - ADVANCE INDUSTRIA TE 31/10/2022 LQ 2952,21 2952,21"
"Pago título: 2220003820 529 - OWENS CORNING FIBERGL 31/10/2022 LQ 2830,9 2830,9"
"Pago título: 2220003827 7351 - COMPANHIA DE SANEAME 31/10/2022 LQ 2747,82 2747,82"
"Pago título: 2220003834 1575 - SO AGUA COMERCIO E S 31/10/2022 LQ 2508,55 2508,55"
"Pago título: 2220003841 3384 - FRIGODELISS LTDA 31/10/2022 LQ 2464,29 2464,29"
"Pago título: 2220003869 559 - BENEFICIADORA DE TECI 31/10/2022 LQ 2274,59 2274,59"
"Pago título: 2220003890 476 - CLUBE DE CAMPO VALINH 31/10/2022 LQ 2254,76 2254,76"
"Pago título: 2220003897 842 - REGIMAR COMERCIAL S/A 31/10/2022 LQ 2236,8 2236,8"
"Pago título: 2220003904 206 - ROUSSELOT GELATINAS D 31/10/2022 LQ 2226,34 2226,34"
"Pago título: 2220003911 5601 - ASSOCIACAO DOS PROPR 31/10/2022 LQ 2216,66 2216,66"
"Pago título: 2220003918 1075 - TINTEX TINTURARIA TE 31/10/2022 LQ 2183,9 2183,9"
"Pago título: 2220003925 12 - AGUAJATO TRANSPORTES L 31/10/2022 LQ 2180,75 2180,75"
"Pago título: 2220003932 219 - SI GROUP CRIOS RESINA 31/10/2022 LQ 2133,8 2133,8"
"Pago título: 2220003960 1074 - CIA SANEAMENTO BASIC 31/10/2022 LQ 2066,32 2066,32"
"Pago título: 2220003967 2861 - KORIN AGROPECUARIA L 31/10/2022 LQ 2063,59 2063,59"
"Pago título: 2220003974 1194 - TEXTIL CANATIBA LTDA 31/10/2022 LQ 1972,73 1972,73"
"Pago título: 2220003988 917 - BMB BELGO MINEIRA BEK 31/10/2022 LQ 1961,79 1961,79"
"Pago título: 2220003995 2361 - TECELAGEM JOLITEX LT 31/10/2022 LQ 1961,25 1961,25"
"Pago título: 2220004002 906 - TINTURARIA E ESTAMPAR 31/10/2022 LQ 1934,34 1934,34"
"Pago título: 2220004009 839 - BUTILAMIL INDUSTRIAS 31/10/2022 LQ 1933,31 1933,31"
"Pago título: 2220004023 1002 - CIA SANEAMENTO BASIC 31/10/2022 LQ 1918,74 1918,74"
"Pago título: 2220004030 1459 - CIA SANEAMENTO BASIC 31/10/2022 LQ 1910,84 1910,84"
"Pago título: 2220004037 480 - PAPIRUS INDUSTRIA DE 31/10/2022 LQ 1853,08 1853,08"
"Pago título: 2220004044 585 - TEKA - TECELAGEM KUEN 31/10/2022 LQ 1849,98 1849,98"
"Pago título: 2220004058 1086 - ENGENHO SAO PEDRO AG 31/10/2022 LQ 1842,28 1842,28"
"Pago título: 2220004065 895 - FRIGORIFICO ANGELELLI 31/10/2022 LQ 1840,99 1840,99"
"Pago título: 2220004072 3851 - USINA GRANELLI LTDA. 31/10/2022 LQ 1821,34 1821,34"
"Pago título: 2220004079 880 - MD PAPEIS LTDA 31/10/2022 LQ 1814,51 1814,51"
"Pago título: 2220004086 1116 - CROWN  EMBALAGENS ME 31/10/2022 LQ 1809,83 1809,83"
"Pago título: 2220004100 907 - SERRA AZUL WATER PARK 31/10/2022 LQ 1766,51 1766,51"
"Pago título: 2220004107 6923 - PAULO CASTEJON GUERR 31/10/2022 LQ 1752,42 1752,42"
"Pago título: 2220004114 257 - PASTIFICIO SELMI S/A 31/10/2022 LQ 1725,7 1725,7"
"Pago título: 2220004142 357 - CONDOMINIO VILLE DE C 31/10/2022 LQ 1649,35 1649,35"
"Pago título: 2220004149 1001 - CIA SANEAMENTO BASIC 31/10/2022 LQ 1642,23 1642,23"
"Pago título: 2220004156 184 - TECELAGEM JOLITEX LTD 31/10/2022 LQ 1632,83 1632,83"
"Pago título: 2220004163 1136 - VILLARES METALS S/A 31/10/2022 LQ 1627,37 1627,37"
"Pago título: 2220004177 1055 - CARTONIFICIO VALINHO 31/10/2022 LQ 1582,47 1582,47"
"Pago título: 2220004198 3535 - JOFEGE FIACAO E TECE 31/10/2022 LQ 1524,61 1524,61"
"Pago título: 2220004205 2176 - EVONIK BRASIL LTDA 31/10/2022 LQ 1505,96 1505,96"
"Pago título: 2220004212 2750 - SERVICO AUTONOMO DE 31/10/2022 LQ 1485,9 1485,9"
"Pago título: 2220004219 372 - ASSOCIACAO MORAD PROP 31/10/2022 LQ 1465,92 1465,92"
"Pago título: 2220004226 4481 - CLARIPEL INDUSTRIA D 31/10/2022 LQ 1405,93 1405,93"
"Pago título: 2220004233 22 - HONDA AUTOMOVEIS DO BR 31/10/2022 LQ 1400,95 1400,95"
"Pago título: 2220004247 5553 - ASSOCIACAO MASTER DA 31/10/2022 LQ 1385,46 1385,46"
"Pago título: 2220004254 2583 - FRESENIUS MEDICAL CA 31/10/2022 LQ 1383,68 1383,68"
"Pago título: 2220004261 3701 - ASSOCIACAO DE SOCIOS 31/10/2022 LQ 1380,19 1380,19"
"Pago título: 2220004268 98 - SOCIEDADE RESIDENCIAL 31/10/2022 LQ 1371,79 1371,79"
"Pago título: 2220004282 903 - MINASA TRADING INTERN 31/10/2022 LQ 1334,7 1334,7"
"Pago título: 2220004296 2497 - CARVALHEIRA INDUSTRI 31/10/2022 LQ 1314,02 1314,02"
"Pago título: 2220004303 505 - ASSOCIACAO AMIGOS DO 31/10/2022 LQ 1280,55 1280,55"
"Pago título: 2220004310 1054 - CIA SANEAMENTO BASIC 31/10/2022 LQ 1273,94 1273,94"
"Pago título: 2220004317 462 - AD'ORO S/A 31/10/2022 LQ 1268,24 1268,24"
"Pago título: 2220004324 923 - EMS S/A 31/10/2022 LQ 1260,99 1260,99"
"Pago título: 2220004331 4330 - CPD LOCADORA DE VEIC 31/10/2022 LQ 1254,71 1254,71"
"Pago título: 2220004338 507 - TINTURARIA UNIVERSO L 31/10/2022 LQ 1242,63 1242,63"
"Pago título: 2220004352 2740 - EUCATEX INDUSTRIA E 31/10/2022 LQ 1205,52 1205,52"
"Pago título: 2220004359 7321 - COMPANHIA DE SANEAME 31/10/2022 LQ 1198,11 1198,11"
"Pago título: 2220004366 2019 - BAERLOCHER DO BRASIL 31/10/2022 LQ 1196,14 1196,14"
"Pago título: 2220004373 490 - SAINT-GOBAIN DO BRASI 31/10/2022 LQ 1189,85 1189,85"
"Pago título: 2220004394 1143 - CASTELO ALIMENTOS S/ 31/10/2022 LQ 1151,82 1151,82"
"Pago título: 2220004401 203 - TINTURARIA E ESTAMPAR 31/10/2022 LQ 1151,18 1151,18"
"Pago título: 2220004408 3857 - CRS MINERACAO INDUST 31/10/2022 LQ 1139,56 1139,56"
"Pago título: 2220004415 3111 - BRASWELL PAPEL E CEL 31/10/2022 LQ 1131,25 1131,25"
"Pago título: 2220004422 3683 - NOVAPORCELANATO INDU 31/10/2022 LQ 1129,24 1129,24"
"Pago título: 2220004429 5628 - SAFRA INDUSTRIA E CO 31/10/2022 LQ 1127,15 1127,15"
"Pago título: 2220004436 7373 - LEVISSIMA DISTRIBUIC 31/10/2022 LQ 1104,15 1104,15"
"Pago título: 2220004450 824 - UNIVERSIDADE DE SAO P 31/10/2022 LQ 1083,28 1083,28"
"Pago título: 2220004457 383 - EATON LTDA 31/10/2022 LQ 1082,97 1082,97"
"Pago título: 2220004471 3491 - H2ORA DISTRIBUIDORA 31/10/2022 LQ 1070,48 1070,48"
"Pago título: 2220004478 1050 - CIA SANEAMENTO BASIC 31/10/2022 LQ 1069,92 1069,92"
"Pago título: 2220004513 1567 - RPR CAPTACAO E TRANS 31/10/2022 LQ 1043,04 1043,04"
"Pago título: 2220004520 157 - CONDOMINIO TECH TOWN 31/10/2022 LQ 1042,13 1042,13"
"Pago título: 2220004534 1004 - BRANYL COMERCIO E IN 31/10/2022 LQ 1028,19 1028,19"
"Pago título: 2220004562 888 - INCOPISOS INDUSTRIA E 31/10/2022 LQ 1003,77 1003,77"
"Pago título: 2220004576 2074 - SALTORELLI TINTURARI 31/10/2022 LQ 991,96 991,96"
"Pago título: 2220004590 281 - BIO SPRINGER DO BRASI 31/10/2022 LQ 974,06 974,06"
"Pago título: 2220004604 1120 - MOTOROLA MOBILITY CO 31/10/2022 LQ 966,13 966,13"
"Pago título: 2220004618 3908 - TANSAN INDUSTRIA QUI 31/10/2022 LQ 963,23 963,23"
"Pago título: 2220004625 2965 - JAGUARI COMERCIAL E 31/10/2022 LQ 953,99 953,99"
"Pago título: 2220004632 375 - CAPUAVA S/A INDUSTRIA 31/10/2022 LQ 932,98 932,98"
"Pago título: 2220004639 3310 - ELDER COSTA RODRIGUE 31/10/2022 LQ 932,29 932,29"
"Pago título: 2220004667 191 - COOPERATIVA NOVA ESPE 31/10/2022 LQ 926,73 926,73"
"Pago título: 2220004674 2747 - SINTO BRASIL PRODUTO 31/10/2022 LQ 916,78 916,78"
"Pago título: 2220004681 312 - FIACAO ALPINA LTDA 31/10/2022 LQ 910,16 910,16"
"Pago título: 2220004695 5531 - MARILIZE PEZZO ROSSI 31/10/2022 LQ 898,38 898,38"
"Pago título: 2220004716 939 - LEF PISOS E REVESTIME 31/10/2022 LQ 879,95 879,95"
"Pago título: 2220004730 1818 - MARLES INDUSTRIA TEX 31/10/2022 LQ 874,87 874,87"
"Pago título: 2220004737 1592 - MICROSAL INDUSTRIA E 31/10/2022 LQ 873,93 873,93"
"Pago título: 2220004744 1638 - LEITESOL INDUSTRIA E 31/10/2022 LQ 873,47 873,47"
"Pago título: 2220004751 861 - HUDTELFA TEXTILE TECH 31/10/2022 LQ 867,19 867,19"
"Pago título: 2220004758 449 - ASSOCIACAO PRO AGUA T 31/10/2022 LQ 862,72 862,72"
"Pago título: 2220004765 946 - HOTEL CAMPING ESTANCI 31/10/2022 LQ 853,21 853,21"
"Pago título: 2220004772 461 - J.R.M. - PARTICIPACOE 31/10/2022 LQ 852,41 852,41"
"Pago título: 2220004779 1429 - ASSOCIACAO ADMINISTR 31/10/2022 LQ 849,02 849,02"
"Pago título: 2220004786 7689 - WICKBOLD & NOSSO PAO 31/10/2022 LQ 845,64 845,64"
"Pago título: 2220004800 3622 - CONDOMINIO CAPELA DO 31/10/2022 LQ 838,11 838,11"
"Pago título: 2220004807 3449 - CERAMICA CARMELO FIO 31/10/2022 LQ 836,48 836,48"
"Pago título: 2220004814 7213 - AGUAS DE MAIRIPORA L 31/10/2022 LQ 836,48 836,48"
"Pago título: 2220004821 4891 - LOTEAMENTO IMPERIAL 31/10/2022 LQ 836,48 836,48"
"Pago título: 2220004835 400 - FRICOCK FRIGORIFICACA 31/10/2022 LQ 825,15 825,15"
"Pago título: 2220004842 3196 - CEDASA INDUSTRIA E C 31/10/2022 LQ 815,57 815,57"
"Pago título: 2220004863 1423 - TASA TINTURARIA AMER 31/10/2022 LQ 801,55 801,55"
"Pago título: 2220004877 1103 - ASSOCIACAO FAZENDA C 31/10/2022 LQ 796,74 796,74"
"Pago título: 2220004884 981 - PIRACAIA IND E COM EX 31/10/2022 LQ 783,97 783,97"
"Pago título: 2220004891 211 - FERNANDEZ S.A. INDUST 31/10/2022 LQ 771,95 771,95"
"Pago título: 2220004905 2337 - CERAMICA CARMELO FIO 31/10/2022 LQ 759,42 759,42"
"Pago título: 2220004919 2329 - NOVA MIX INDUSTRIAL 31/10/2022 LQ 756,09 756,09"
"Pago título: 2220004940 7308 - MARIA CRISTINA RODRI 31/10/2022 LQ 752,82 752,82"
"Pago título: 2220004947 2175 - INDUSTRIA E COMERCIO 31/10/2022 LQ 751,08 751,08"
"Pago título: 2220004954 2712 - PECANHA & HELENA TRA 31/10/2022 LQ 748,37 748,37"
"Pago título: 2220004968 1193 - TEXTIL CANATIBA LTDA 31/10/2022 LQ 745,05 745,05"
"Pago título: 2220004982 223 - VIVA PISOS E REVESTIM 31/10/2022 LQ 739,45 739,45"
"Pago título: 2220004989 324 - DEDINI S/A INDUSTRIAS 31/10/2022 LQ 735,92 735,92"
"Pago título: 2220005003 503 - FLAMBOIA ALIMENTOS LT 31/10/2022 LQ 733,39 733,39"
"Pago título: 2220005017 7707 - SORVETES JUNDIA INDU 31/10/2022 LQ 729,64 729,64"
"Pago título: 2220005024 390 - TOYOBO DO BRASIL LTDA 31/10/2022 LQ 721,41 721,41"
"Pago título: 2220005045 1979 - QUIMICA AMPARO LTDA 31/10/2022 LQ 711 711"
"Pago título: 2220005052 3662 - ASSOCIACAO RESIDENCI 31/10/2022 LQ 704,73 704,73"
"Pago título: 2220005059 5416 - ZARAPLAST S.A 31/10/2022 LQ 701,61 701,61"
"Pago título: 2220005073 1420 - MIRVI BRASIL LTDA 31/10/2022 LQ 696,67 696,67"
"Pago título: 2220005080 371 - CONDOMINIO ITAEMBU 31/10/2022 LQ 693,23 693,23"
"Pago título: 2220005101 1789 - CENTRAIS DE ABASTECI 31/10/2022 LQ 682,69 682,69"
"Pago título: 2220005115 2284 - AGUA VIDA TRANSPORTE 31/10/2022 LQ 669,18 669,18"
"Pago título: 2220005150 5168 - NEMPOP INDUSTRIA QUI 31/10/2022 LQ 657,16 657,16"
"Pago título: 2220005171 455 - TBK MINERACAO LTDA 31/10/2022 LQ 647,01 647,01"
"Pago título: 2220005178 7715 - CHT BRASIL QUIMICA L 31/10/2022 LQ 645,8 645,8"
"Pago título: 2220005185 2139 - INDUSTRIAS ROMI S/A 31/10/2022 LQ 641,86 641,86"
"Pago título: 2220005206 2331 - STONE BUILDING INDUS 31/10/2022 LQ 639,23 639,23"
"Pago título: 2220005213 356 - ESTANCIA ARVORE DA VI 31/10/2022 LQ 634,44 634,44"
"Pago título: 2220005220 25 - EXTRACAO E COMERCIO DE 31/10/2022 LQ 632,29 632,29"
"Pago título: 2220005234 26 - CERAMICA FORMIGRES LTD 31/10/2022 LQ 625,13 625,13"
