"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72454622212202314855.ret"
""
"Cadastrado título novo: 9000007986 1597 - PREFEITURA MUNICIPAL 29/12/2023 RG 575,16 0"
"Cadastrado título novo: 9000007987 1027 - GRAFICA EDITORA GUTE 29/12/2023 RG 104,16 0"
"Cadastrado título novo: 9000007988 2849 - GERSON FERRAZZO e CI 29/12/2023 RG 444,11 0"
"Pago título: 2230004946 2083 - HANIER ESPECIALIDADE 22/12/2023 LQ 476,45 476,45"
"Pago título: 2230004958 2094 - ASSOCIACAO DE PROPRI 22/12/2023 LQ 377,04 377,04"
"Pago título: 2230004970 2114 - MAXLAV LAVANDERIA ES 22/12/2023 LQ 392,8 392,8"
"Pago título: 2230004976 2139 - INDUSTRIAS ROMI S/A 22/12/2023 LQ 748,84 748,84"
"Pago título: 2230004982 2140 - INDUSTRIAS ROMI S/A 22/12/2023 LQ 258,28 258,28"
"Pago título: 2230004994 2168 - EMEPE INDUSTRIA GRAF 22/12/2023 LQ 268,37 268,37"
"Pago título: 2230005006 2172 - FARMINA PET FOODS BR 22/12/2023 LQ 416,12 416,12"
"Pago título: 2230005012 2175 - INDUSTRIA E COMERCIO 22/12/2023 LQ 876,26 876,26"
"Pago título: 2230005024 2196 - ASSOCIACAO CIVIL PAR 22/12/2023 LQ 260,42 260,42"
"Pago título: 2230005036 2227 - COMSAPE EXTRACAO E C 22/12/2023 LQ 214,03 214,03"
"Pago título: 2230005042 2229 - AUDAX QUIMICA IND E 22/12/2023 LQ 262,54 262,54"
"Pago título: 2230005048 2239 - CERAMICA RAMOS LTDA 22/12/2023 LQ 512,22 512,22"
"Pago título: 2230005066 2284 - AGUA VIDA TRANSPORTE 22/12/2023 LQ 780,71 780,71"
"Pago título: 2230005072 2289 - ADVANCE INDUSTRIA TE 22/12/2023 LQ 3444,24 3444,24"
"Pago título: 2230005090 2304 - LAZARO MELLO BRANDAO 22/12/2023 LQ 219,82 219,82"
"Pago título: 2230005102 2324 - BASF S/A 22/12/2023 LQ 445,01 445,01"
"Pago título: 2230005120 2331 - STONE BUILDING INDUS 22/12/2023 LQ 745,76 745,76"
"Pago título: 2230005126 2337 - CERAMICA CARMELO FIO 22/12/2023 LQ 885,99 885,99"
"Pago título: 2230005132 2348 - RAUL FERREIRA LEITE 22/12/2023 LQ 634,33 634,33"
"Pago título: 2230005138 2359 - AGROPECUARIA TUIUTI 22/12/2023 LQ 4331,25 4331,25"
"Pago título: 2230005144 2361 - TECELAGEM JOLITEX LT 22/12/2023 LQ 2288,13 2288,13"
"Pago título: 2230005150 2362 - ASSOCIACAO  PROPRIET 22/12/2023 LQ 229,26 229,26"
"Pago título: 2230005156 2375 - PRODUTOS ALIMENTICIO 22/12/2023 LQ 315,34 315,34"
"Pago título: 2230005162 2392 - NEW PARQUE TENIS 22/12/2023 LQ 321,07 321,07"
"Pago título: 2230005168 2407 - FERRASPARI S/A INDUS 22/12/2023 LQ 235,25 235,25"
"Pago título: 2230005186 2457 - HYUNDAI MOTOR BRASIL 22/12/2023 LQ 1543,06 1543,06"
"Pago título: 2230005198 2464 - SPARTAN DO BRASIL PR 22/12/2023 LQ 684,59 684,59"
"Pago título: 2230005204 2469 - RICLAN S/A 22/12/2023 LQ 211,5 211,5"
"Pago título: 2230005210 2474 - DE MARCHI INDUSTRIA 22/12/2023 LQ 668,73 668,73"
"Pago título: 2230005228 2528 - MULTILOG BRASIL S.A. 22/12/2023 LQ 219,58 219,58"
"Pago título: 2230005258 2575 - LUBRASIL LUBRIFICANT 22/12/2023 LQ 298,99 298,99"
"Pago título: 2230005264 2583 - FRESENIUS MEDICAL CA 22/12/2023 LQ 1614,29 1614,29"
"Pago título: 2230005270 2590 - DIERBERGER OLEOS ESS 22/12/2023 LQ 555,04 555,04"
"Pago título: 2230005282 2653 - TANQUE MATERIAS PARA 22/12/2023 LQ 219,24 219,24"
"Pago título: 2230005306 2684 - ANTONIO SERGIO LEITE 22/12/2023 LQ 487,95 487,95"
"Pago título: 2230005312 2686 - BOM PEIXE INDUSTRIA 22/12/2023 LQ 226,77 226,77"
"Pago título: 2230005318 2687 - ROTOCROM INDUSTRIA E 22/12/2023 LQ 203,76 203,76"
"Pago título: 2230005342 2740 - EUCATEX INDUSTRIA E 22/12/2023 LQ 1406,44 1406,44"
"Pago título: 2230005348 2745 - CONDOMINIO DO SHOPPI 22/12/2023 LQ 380,85 380,85"
"Pago título: 2230005354 2747 - SINTO BRASIL PRODUTO 22/12/2023 LQ 1041,76 1041,76"
"Pago título: 2230005366 2750 - SERVICO AUTONOMO DE 22/12/2023 LQ 1664,01 1664,01"
"Pago título: 2230005390 2776 - KARINA PISOS E REVES 22/12/2023 LQ 351,32 351,32"
"Pago título: 2230005414 2861 - KORIN AGROPECUARIA L 22/12/2023 LQ 2407,52 2407,52"
"Pago título: 2230005420 2881 - SERVICO DE AGUA E ES 22/12/2023 LQ 243,97 243,97"
"Pago título: 2230005426 2889 - I & M PAPEIS E EMBAL 22/12/2023 LQ 617,93 617,93"
"Pago título: 2230005432 2897 - REQUIPH METALURGICA 22/12/2023 LQ 336,88 336,88"
"Pago título: 2230005450 2910 - CHACARAS LONG ISLAND 22/12/2023 LQ 877,14 877,14"
"Pago título: 2230005462 2935 - CERAMICA ALMEIDA LTD 22/12/2023 LQ 219,58 219,58"
"Pago título: 2230005468 2943 - VTR VETOR EQUIPAMENT 22/12/2023 LQ 202,93 202,93"
"Pago título: 2230005480 2952 - EXTRACAO E COMERCIO 22/12/2023 LQ 593,92 593,92"
"Pago título: 2230005510 2981 - VIVA PISOS E REVESTI 22/12/2023 LQ 512,34 512,34"
