"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453903110202314331.ret"
""
"Cadastrado título novo: 9000007778 1148 - ARCELOR MITTAL GONVA 30/11/2023 RG 557,79 0"
"Cadastrado título novo: 9000007779 2796 - BASALTO PEDREIRA E P 30/11/2023 RG 582,81 0"
"Cadastrado título novo: 9000007780 1303 - GALVANI MINERACAO E 30/11/2023 RG 1249,44 0"
"Cadastrado título novo: 9000007781 7769 - ASSUNCAO EMPREENDIME 30/11/2023 RG 543,07 0"
"Cadastrado título novo: 9000007782 39 - VPJ EVENTOS E COMERCIO 30/11/2023 RG 763,1 0"
"Cadastrado título novo: 9000007783 4169 - JEAF INCORP PART E E 30/11/2023 RG 1120,55 0"
"Cadastrado título novo: 9000007784 2089 - POSTO TROPICOS LTDA 30/11/2023 RG 618,42 0"
"Cadastrado título novo: 9000007785 3044 - ACAO EDUCACIONAL CLA 30/11/2023 RG 803,91 0"
"Cadastrado título novo: 9000007786 7320 - ASSOCIACAO SHOPPING 30/11/2023 RG 691,27 0"
"Cadastrado título novo: 9000007787 1565 - MANCHESTER QUIMICA D 30/11/2023 RG 784,57 0"
"Cadastrado título novo: 9000007788 2936 - RIO NEGRO PARTICIPAC 01/11/2023 RG 657,84 0"
"Cadastrado título novo: 9000007789 4653 - MUNICIPIO DE HOLAMBR 30/11/2023 RG 6349,7 0"
"Cadastrado título novo: 9000007790 4653 - MUNICIPIO DE HOLAMBR 30/11/2023 RG 565,96 0"
"Cadastrado título novo: 9000007791 4653 - MUNICIPIO DE HOLAMBR 22/12/2023 RG 565,96 0"
"Pago título: 2230002586 3259 - BAG CLEANER COMERCIO 31/10/2023 LQ 202,32 202,32"
"Pago título: 2230002591 3285 - ASSOCIACAO VILLAGE L 31/10/2023 LQ 230,26 230,26"
"Pago título: 2230002601 3424 - ASSOCIACAO DOS PROP. 31/10/2023 LQ 204,94 204,94"
"Pago título: 2230002616 3529 - TECELAGEM JOLITEX LT 31/10/2023 LQ 209,53 209,53"
"Pago título: 2230002621 3608 - BIONOVIS S.A. - CIA 31/10/2023 LQ 220,12 220,12"
"Pago título: 2230002626 3615 - IMOBILIARIA HELVETIA 31/10/2023 LQ 234,21 234,21"
"Pago título: 2230002631 3656 - FAZENDA TOZAN DO BRA 31/10/2023 LQ 204,93 204,93"
"Pago título: 2230002641 3729 - NP EMPREENDIMENTOS L 31/10/2023 LQ 210,79 210,79"
"Pago título: 2230002671 3991 - HIGIBRAG TRANSPORTE 31/10/2023 LQ 234,21 234,21"
"Pago título: 2230002676 4016 - ITA - AREIA COMERCIO 31/10/2023 LQ 228,36 228,36"
"Pago título: 2230002681 4053 - ASSOCIACAO DOS PROPR 31/10/2023 LQ 237,14 237,14"
"Pago título: 2230002686 4136 - STORAGE ADMINISTRACA 31/10/2023 LQ 210,79 210,79"
"Pago título: 2230002691 4327 - CEETEPS-CENTRO ESTAD 31/10/2023 LQ 216,65 216,65"
"Pago título: 2230002706 4972 - ADAUTO CONSERVANI 31/10/2023 LQ 221,33 221,33"
"Pago título: 2230002761 5939 - CRYOVAC BRASIL LTDA 31/10/2023 LQ 222,37 222,37"
"Pago título: 2230002766 7011 - JS ESPUMAS FLEXIVEIS 31/10/2023 LQ 221,17 221,17"
"Pago título: 2230002771 7294 - ASSOCIACAO DE PROPRI 31/10/2023 LQ 234,21 234,21"
"Pago título: 2230002776 7330 - LA VITA ALIMENTOS AG 31/10/2023 LQ 210,79 210,79"
"Pago título: 2230002786 7741 - ASSOCIACAO DOS PROP 31/10/2023 LQ 221,87 221,87"
"Pago título: 2230002791 7749 - CONCREPAV PARTICIPAC 31/10/2023 LQ 200,2 200,2"
"Pago título: 2230002796 3 - CONDOMINIO RESIDENCIAL 31/10/2023 LQ 328,24 328,24"
"Pago título: 2230002814 12 - AGUAJATO TRANSPORTES L 31/10/2023 LQ 2545,06 2545,06"
"Pago título: 2230002820 14 - BORGWARNER INDUSTRIA E 31/10/2023 LQ 206,43 206,43"
"Pago título: 2230002832 22 - HONDA AUTOMOVEIS DO BR 31/10/2023 LQ 1634,45 1634,45"
"Pago título: 2230002838 24 - ASSOCIACAO DOS PROPRIE 31/10/2023 LQ 601,7 601,7"
"Pago título: 2230002844 25 - EXTRACAO E COMERCIO DE 31/10/2023 LQ 737,67 737,67"
"Pago título: 2230002850 26 - CERAMICA FORMIGRES LTD 31/10/2023 LQ 3109,49 3109,49"
"Pago título: 2230002862 33 - CONDOMINIO SHOPPING CE 31/10/2023 LQ 329,52 329,52"
"Pago título: 2230002880 43 - CONDOMINIO RESIDENCIAL 31/10/2023 LQ 1976,17 1976,17"
"Pago título: 2230002904 59 - FUND CPQD - CENTRO PES 31/10/2023 LQ 802,7 802,7"
"Pago título: 2230002916 63 - ZERMATT EMPREENDIMENTO 31/10/2023 LQ 487,95 487,95"
"Pago título: 2230002922 68 - ASSOCIACAO GREEN VILLA 31/10/2023 LQ 342,9 342,9"
"Pago título: 2230002928 69 - PLASTEK DO BRASIL INDU 31/10/2023 LQ 423,78 423,78"
"Pago título: 2230002934 72 - ANTENOR MAXIMIANO PART 31/10/2023 LQ 579,68 579,68"
"Pago título: 2230002940 73 - NARDINI PISOS E REVEST 31/10/2023 LQ 292,77 292,77"
"Pago título: 2230002952 94 - SERVICO SOCIAL DA INDU 31/10/2023 LQ 487,95 487,95"
"Pago título: 2230002964 98 - SOCIEDADE RESIDENCIAL 31/10/2023 LQ 2925,71 2925,71"
"Pago título: 2230002976 112 - LUME CERAMICA LTDA 31/10/2023 LQ 292,77 292,77"
"Pago título: 2230003006 149 - GREEN GOLF CLUB 31/10/2023 LQ 297,3 297,3"
"Pago título: 2230003018 157 - CONDOMINIO TECH TOWN 31/10/2023 LQ 1177,76 1177,76"
"Pago título: 2230003024 160 - ASSOCIACAO RESIDENCIA 31/10/2023 LQ 3278,99 3278,99"
"Pago título: 2230003030 163 - SABARA QUIMICOS E ING 31/10/2023 LQ 601,5 601,5"
"Pago título: 2230003036 166 - BRF - BRASIL FOODS S/ 31/10/2023 LQ 346,14 346,14"
"Pago título: 2230003042 182 - UNIPEL INDUSTRIA E CO 31/10/2023 LQ 403,61 403,61"
"Pago título: 2230003048 183 - TEXTIL BASSETO LTDA 31/10/2023 LQ 290,27 290,27"
"Pago título: 2230003054 184 - TECELAGEM JOLITEX LTD 31/10/2023 LQ 1904,97 1904,97"
"Pago título: 2230003060 186 - OBER S/A INDUSTRIA E 31/10/2023 LQ 213,23 213,23"
"Pago título: 2230003066 191 - COOPERATIVA NOVA ESPE 31/10/2023 LQ 1081,18 1081,18"
"Pago título: 2230003072 202 - NOVA PLAST IND E COM 31/10/2023 LQ 262,08 262,08"
"Pago título: 2230003078 203 - TINTURARIA E ESTAMPAR 31/10/2023 LQ 1343,04 1343,04"
"Pago título: 2230003084 206 - ROUSSELOT GELATINAS D 31/10/2023 LQ 2597,39 2597,39"
"Pago título: 2230003090 211 - FERNANDEZ S.A. INDUST 31/10/2023 LQ 517,14 517,14"
"Pago título: 2230003102 219 - SI GROUP CRIOS RESINA 31/10/2023 LQ 2443,08 2443,08"
"Pago título: 2230003108 223 - VIVA PISOS E REVESTIM 31/10/2023 LQ 862,69 862,69"
"Pago título: 2230003132 237 - IPLASA - INDUSTRIA E 31/10/2023 LQ 585,53 585,53"
"Pago título: 2230003144 244 - CONFIBRA INDUSTRIA E 31/10/2023 LQ 693,32 693,32"
"Pago título: 2230003150 246 - 3M DO BRASIL LTDA 31/10/2023 LQ 1958,57 1958,57"
"Pago título: 2230003162 257 - PASTIFICIO SELMI S/A 31/10/2023 LQ 2004,04 2004,04"
"Pago título: 2230003168 262 - INDUSTRIA CAMPINEIRA 31/10/2023 LQ 395,24 395,24"
"Pago título: 2230003174 265 - ADERE PRODUTOS AUTO-A 31/10/2023 LQ 315,22 315,22"
"Pago título: 2230003180 281 - BIO SPRINGER DO BRASI 31/10/2023 LQ 1136,41 1136,41"
"Pago título: 2230003198 293 - OMAMORI INDUSTRIA DE 31/10/2023 LQ 402,33 402,33"
"Pago título: 2230003204 297 - CERAMICA CRISTOFOLETT 31/10/2023 LQ 585,53 585,53"
"Pago título: 2230003216 312 - FIACAO ALPINA LTDA 31/10/2023 LQ 1061,86 1061,86"
"Pago título: 2230003228 324 - DEDINI S/A INDUSTRIAS 31/10/2023 LQ 858,58 858,58"
"Pago título: 2230003234 332 - CRS BRANDS INDUSTRIA 31/10/2023 LQ 4783,81 4783,81"
"Pago título: 2230003240 335 - ANTONIO BORIN SA IND 31/10/2023 LQ 428,34 428,34"
"Pago título: 2230003246 342 - IPE AGRO AVICOLA LTDA 31/10/2023 LQ 417,11 417,11"
"Pago título: 2230003252 349 - SOBAM CENTRO MEDICO H 31/10/2023 LQ 234,01 234,01"
"Pago título: 2230003288 375 - CAPUAVA S/A INDUSTRIA 31/10/2023 LQ 1088,48 1088,48"
"Pago título: 2230003294 383 - EATON LTDA 31/10/2023 LQ 1263,47 1263,47"
"Pago título: 2230003300 390 - TOYOBO DO BRASIL LTDA 31/10/2023 LQ 841,64 841,64"
"Pago título: 2230003306 391 - CONDOMINIO EDIFICIO E 31/10/2023 LQ 232,33 232,33"
"Pago título: 2230003336 417 - EMBRAMACO EMPRESA BRA 31/10/2023 LQ 4044,79 4044,79"
"Pago título: 2230003348 426 - RUY R. DA ROCHA PRODU 31/10/2023 LQ 439,15 439,15"
"Pago título: 2230003372 449 - ASSOCIACAO PRO AGUA T 31/10/2023 LQ 997,24 997,24"
"Pago título: 2230003384 455 - TBK MINERACAO LTDA 31/10/2023 LQ 754,85 754,85"
"Pago título: 2230003390 461 - J.R.M. - PARTICIPACOE 31/10/2023 LQ 994,48 994,48"
"Pago título: 2230003396 462 - AD ORO S/A 31/10/2023 LQ 4632,68 4632,68"
"Pago título: 2230003408 473 - TECELAGEM CHUAHY LTDA 31/10/2023 LQ 213,04 213,04"
"Pago título: 2230003414 474 - VINGI INDUSTRIA TEXTI 31/10/2023 LQ 227,97 227,97"
"Pago título: 2230003420 476 - CLUBE DE CAMPO VALINH 31/10/2023 LQ 2607,38 2607,38"
"Pago título: 2230003426 477 - TERRA DO PARAISO LTDA 31/10/2023 LQ 702,64 702,64"
"Pago título: 2230003432 482 - TAVARES PINHEIRO INDU 31/10/2023 LQ 707,52 707,52"
"Pago título: 2230003438 487 - USINA ACUCAREIRA ESTE 31/10/2023 LQ 27234,28 27234,28"
"Pago título: 2230003444 490 - SAINT-GOBAIN DO BRASI 31/10/2023 LQ 1388,16 1388,16"
"Pago título: 2230003456 495 - NEUMAYER TEKFOR AUTOM 31/10/2023 LQ 226,22 226,22"
"Pago título: 2230003462 497 - ALCOOL FERREIRA S/A 31/10/2023 LQ 698,5 698,5"
"Pago título: 2230003468 499 - SPAL INDUSTRIA BRASIL 31/10/2023 LQ 3889,66 3889,66"
"Pago título: 2230003474 500 - BIGNARDI IND E COM DE 31/10/2023 LQ 7070,23 7070,23"
"Pago título: 2230003480 503 - FLAMBOIA ALIMENTOS LT 31/10/2023 LQ 855,62 855,62"
"Pago título: 2230003486 505 - ASSOCIACAO AMIGOS DO 31/10/2023 LQ 1493,97 1493,97"
"Pago título: 2230003492 507 - TINTURARIA UNIVERSO L 31/10/2023 LQ 1430,69 1430,69"
"Pago título: 2230003498 521 - SPG PRINTS BRASIL LTD 31/10/2023 LQ 228,11 228,11"
"Pago título: 2230003510 529 - OWENS CORNING FIBERGL 31/10/2023 LQ 3302,72 3302,72"
"Pago título: 2230003540 563 - PLAZA INDUSTRIA E COM 31/10/2023 LQ 271,35 271,35"
"Pago título: 2230003546 585 - TEKA - TECELAGEM KUEN 31/10/2023 LQ 2158,31 2158,31"
"Pago título: 2230003564 680 - JOSE EDUARDO ANNICCHI 31/10/2023 LQ 243,97 243,97"
"Pago título: 2230003570 760 - LETICIA APARECIDA MAR 31/10/2023 LQ 217,47 217,47"
"Pago título: 2230003588 824 - UNIVERSIDADE DE SAO P 31/10/2023 LQ 1263,82 1263,82"
"Pago título: 2230003594 826 - DEPARTAMENTO AUTONOMO 31/10/2023 LQ 118046,64 118046,64"
"Pago título: 2230003600 828 - SERVICO AUTONOMO DE A 31/10/2023 LQ 66566,16 66566,16"
"Pago título: 2230003612 831 - DEPARTAMENTO DE AGUAS 31/10/2023 LQ 45502,62 45502,62"
"Pago título: 2230003618 832 - SANEAMENTO BASICO VIN 31/10/2023 LQ 38330,31 38330,31"
"Pago título: 2230003624 839 - BUTILAMIL INDUSTRIAS 31/10/2023 LQ 4792,57 4792,57"
"Pago título: 2230003636 842 - REGIMAR COMERCIAL S/A 31/10/2023 LQ 2609,6 2609,6"
"Pago título: 2230003642 844 - COIM BRASIL LTDA 31/10/2023 LQ 557,12 557,12"
"Pago título: 2230003648 845 - THYSSENKRUPP METALURG 31/10/2023 LQ 6626,37 6626,37"
"Pago título: 2230003654 851 - KROMBERG & SCHUBERT D 31/10/2023 LQ 369,13 369,13"
"Pago título: 2230003660 852 - ECOFABRIL INDUSTRIA E 31/10/2023 LQ 371 371"
"Pago título: 2230003666 855 - LOG & PRINT GRAFICA E 31/10/2023 LQ 283,5 283,5"
"Pago título: 2230003696 867 - EUCATEX INDUSTRIA E C 31/10/2023 LQ 53008,88 53008,88"
"Pago título: 2230003702 868 - PREFEITURA MUNICIPAL 31/10/2023 LQ 5625,52 5625,52"
"Pago título: 2230003714 880 - MD PAPEIS LTDA 31/10/2023 LQ 5132,01 5132,01"
"Pago título: 2230003720 882 - SERVICO AUTONOMO DE A 31/10/2023 LQ 115892,59 115892,59"
"Pago título: 2230003726 885 - CP KELCO BRASIL S/A 31/10/2023 LQ 7191,1 7191,1"
"Pago título: 2230003738 888 - INCOPISOS INDUSTRIA E 31/10/2023 LQ 1200,34 1200,34"
"Pago título: 2230003744 891 - TIMAVO DO BRASIL S/A 31/10/2023 LQ 4167,41 4167,41"
"Pago título: 2230003750 892 - A. AZEVEDO INDUSTRIA 31/10/2023 LQ 1743,78 1743,78"
"Pago título: 2230003756 895 - FRIGORIFICO ANGELELLI 31/10/2023 LQ 2147,82 2147,82"
"Pago título: 2230003780 903 - MINASA TRADING INTERN 31/10/2023 LQ 1557,15 1557,15"
"Pago título: 2230003786 906 - TINTURARIA E ESTAMPAR 31/10/2023 LQ 2311,51 2311,51"
"Pago título: 2230003792 907 - SERRA AZUL WATER PARK 31/10/2023 LQ 2060,93 2060,93"
"Pago título: 2230003798 908 - PREFEITURA MUNICIPAL 31/10/2023 LQ 1556 1556"
"Pago título: 2230003804 909 - FLEX PARQUE EMPRESARI 31/10/2023 LQ 934,42 934,42"
"Pago título: 2230003816 917 - BMB BELGO MINEIRA BEK 31/10/2023 LQ 1419,27 1419,27"
"Pago título: 2230003822 919 - COMPANHIA DE DESENVOL 31/10/2023 LQ 57073,69 57073,69"
"Pago título: 2230003828 920 - ELEKEIROZ S/A 31/10/2023 LQ 11137,49 11137,49"
"Pago título: 2230003864 938 - MIRACEMA NUODEX INDUS 31/10/2023 LQ 474,84 474,84"
"Pago título: 2230003870 939 - LEF PISOS E REVESTIME 31/10/2023 LQ 1026,61 1026,61"
"Pago título: 2230003882 941 - RAIZEN ENERGIA S/A 31/10/2023 LQ 17455,42 17455,42"
"Pago título: 2230003900 944 - PREFEITURA MUNICIPAL 31/10/2023 LQ 21207,58 21207,58"
"Pago título: 2230003906 946 - HOTEL CAMPING ESTANCI 31/10/2023 LQ 995,41 995,41"
"Pago título: 2230003912 948 - QUINTA DA BARONEZA GO 31/10/2023 LQ 3882,08 3882,08"
"Pago título: 2230003930 955 - PREFEITURA DO MUNICIP 31/10/2023 LQ 5687,31 5687,31"
"Pago título: 2230003936 959 - ASK PRODUTOS QUIMICOS 31/10/2023 LQ 226,08 226,08"
"Pago título: 2230003948 965 - IGARATIBA INDUSTRIA E 31/10/2023 LQ 378,18 378,18"
"Pago título: 2230003954 966 - SERVICO DE AGUA E ESG 31/10/2023 LQ 24904,28 24904,28"
"Pago título: 2230003972 975 - BANN QUIMICA LTDA 31/10/2023 LQ 210,81 210,81"
"Pago título: 2230003978 976 - SOCIEDADE DE ABASTECI 31/10/2023 LQ 44650,43 44650,43"
"Pago título: 2230003990 981 - PIRACAIA IND E COM EX 31/10/2023 LQ 914,64 914,64"
"Pago título: 2230003996 985 - CONDOMINIO FAZENDA DU 31/10/2023 LQ 390,9 390,9"
"Pago título: 2230004002 986 - PREFEITURA MUNICIPAL 31/10/2023 LQ 48182,36 48182,36"
"Pago título: 2230004020 1000 - CIA SANEAMENTO BASIC 31/10/2023 LQ 2977,62 2977,62"
"Pago título: 2230004026 1001 - CIA SANEAMENTO BASIC 31/10/2023 LQ 1059,78 1059,78"
"Pago título: 2230004032 1002 - CIA SANEAMENTO BASIC 31/10/2023 LQ 2139,08 2139,08"
"Pago título: 2230004038 1004 - BRANYL COMERCIO E IN 31/10/2023 LQ 1199,56 1199,56"
"Pago título: 2230004050 1033 - CCS TECNOLOGIA E SER 31/10/2023 LQ 298,03 298,03"
"Pago título: 2230004062 1047 - QUIMICA AMPARO LTDA 31/10/2023 LQ 5765,68 5765,68"
"Pago título: 2230004074 1050 - CIA SANEAMENTO BASIC 31/10/2023 LQ 922,17 922,17"
"Pago título: 2230004086 1054 - CIA SANEAMENTO BASIC 31/10/2023 LQ 2781,29 2781,29"
"Pago título: 2230004092 1055 - CARTONIFICIO VALINHO 31/10/2023 LQ 1846,21 1846,21"
"Pago título: 2230004098 1057 - CIA SANEAMENTO BASIC 31/10/2023 LQ 19277,88 19277,88"
"Pago título: 2230004104 1058 - CIA SANEAMENTO BASIC 31/10/2023 LQ 9318,78 9318,78"
"Pago título: 2230004110 1060 - CIA SANEAMENTO BASIC 31/10/2023 LQ 5090,4 5090,4"
"Pago título: 2230004116 1063 - CIA SANEAMENTO BASIC 31/10/2023 LQ 3818,66 3818,66"
"Pago título: 2230004122 1064 - CIA SANEAMENTO BASIC 31/10/2023 LQ 710,79 710,79"
"Pago título: 2230004128 1065 - CIA SANEAMENTO BASIC 31/10/2023 LQ 32349,45 32349,45"
"Pago título: 2230004134 1066 - CIA SANEAMENTO BASIC 31/10/2023 LQ 1538,25 1538,25"
"Pago título: 2230004140 1067 - CIA SANEAMENTO BASIC 31/10/2023 LQ 9552,93 9552,93"
"Pago título: 2230004146 1070 - CIA SANEAMENTO BASIC 31/10/2023 LQ 5153,11 5153,11"
"Pago título: 2230004152 1073 - CIA SANEAMENTO BASIC 31/10/2023 LQ 12498,14 12498,14"
"Pago título: 2230004158 1074 - CIA SANEAMENTO BASIC 31/10/2023 LQ 1849,81 1849,81"
"Pago título: 2230004164 1075 - TINTEX TINTURARIA TE 31/10/2023 LQ 2547,88 2547,88"
"Pago título: 2230004170 1077 - DP & LF TRANSPORTES 31/10/2023 LQ 250,32 250,32"
"Pago título: 2230004176 1078 - DAE S/A AGUA E ESGOT 31/10/2023 LQ 144045,96 144045,96"
"Pago título: 2230004182 1082 - LENA & CIA LTDA 31/10/2023 LQ 425,43 425,43"
"Pago título: 2230004188 1084 - COMPANHIA DE SANEAME 31/10/2023 LQ 27062,38 27062,38"
"Pago título: 2230004194 1085 - YAKULT S/A INDUSTRIA 31/10/2023 LQ 369,37 369,37"
