"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72458841812202421016.ret"
""
"Cadastrado título novo: 9000008460 2901 - AGUA RICA LTDA 31/01/2025 RG 517,22 0"
"Cadastrado título novo: 9000008461 2901 - AGUA RICA LTDA 28/02/2025 RG 517,22 0"
"Cadastrado título novo: 9000008462 2901 - AGUA RICA LTDA 31/03/2025 RG 517,22 0"
"Cadastrado título novo: 9000008463 2901 - AGUA RICA LTDA 30/04/2025 RG 517,22 0"
"Cadastrado título novo: 9000008464 2901 - AGUA RICA LTDA 30/05/2025 RG 517,22 0"
"Cadastrado título novo: 9000008465 2901 - AGUA RICA LTDA 30/06/2025 RG 517,22 0"
"Cadastrado título novo: 9000008466 7321 - COMPANHIA SANEAMENTO 27/12/2024 RG 1536,89 0"
"Cadastrado título novo: 9000008467 5517 - MUNICIPIO DE HORTOLA 20/12/2024 RG 2930,69 0"
"Pago título: 2400004885 1113 - PPC SANTANA EQUIPAME 19/12/2024 LQ 334,93 334,93"
"Pago título: 2400004953 1415 - DPV PRODUTOS QUIMICO 19/12/2024 LQ 327,94 327,94"
"Pago título: 2400004957 3594 - CPM CONCRETO DE PRE 19/12/2024 LQ 327,07 327,07"
"Pago título: 2400005149 5616 - TRADECORP DO BRASIL, 19/12/2024 LQ 296,34 296,34"
"Pago título: 2400005173 7294 - ASSOCIACAO DE PROPRI 19/12/2024 LQ 292,77 292,77"
"Pago título: 2400005293 2389 - JOFEGE CONCRETO LTDA 19/12/2024 LQ 269,63 269,63"
"Pago título: 2400005325 4973 - ASSOCIACAO DOS PROPR 19/12/2024 LQ 263,49 263,49"
"Pago título: 2400005369 3424 - ASSOCIACAO DOS PROP. 19/12/2024 LQ 256,17 256,17"
"Pago título: 2400005437 3827 - STAVIAS SATANOSKI TE 19/12/2024 LQ 246,65 246,65"
"Pago título: 2400005537 4407 - RODOPOSTO BANDEIRANT 19/12/2024 LQ 229,45 229,45"
"Pago título: 2400005593 7324 - THEIA EMPREENDIMENTO 19/12/2024 LQ 221,97 221,97"
"Pago título: 2400005637 4650 - ABATEDOURO DE AVES I 19/12/2024 LQ 219,58 219,58"
"Pago título: 2400005649 3298 - ASSOC DO CONJUNTO RE 19/12/2024 LQ 219,58 219,58"
"Pago título: 2400005713 3459 - JOFEGE CONCRETO LTDA 19/12/2024 LQ 215,36 215,36"
"Pago título: 2400005717 4534 - CONDOMINIO CIVIL CEN 19/12/2024 LQ 215,11 215,11"
"Pago título: 2400005829 7361 - GENCONS EMPREENDIMEN 19/12/2024 LQ 204,94 204,94"
"Pago título: 2400005841 949 - DANA INDUSTRIAS LTDA 19/12/2024 LQ 203,46 203,46"
"Pago título: 9000008218 7884 - ASSOCIACAO DE CONSER 19/12/2024 LQ 292,77 292,77"
"Pago título: 9000008230 3011 - VIRONDA CONFECCOES L 19/12/2024 LQ 3348,49 3348,49"
"Pago título: 9000008276 7887 - ASS MOR. E PROP. LOT 19/12/2024 LQ 590,35 590,35"
"Pago título: 9000008333 7759 - THIAGO RODRIGO ROCHI 19/12/2024 LQ 1283,86 1283,86"
"Cancelado título: 2400002872 7321 - COMPANHIA DE SANEAME 29/11/2024 BX 1493,11 0"
"Cancelado título: 2400005820 5517 - MUNICIPIO DE HORTOLA 29/11/2024 BX 204,94 0"
"Cancelado título: 2400005821 5517 - MUNICIPIO DE HORTOLA 19/12/2024 BX 204,94 0"
