"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72445013011202114703.ret"
""
"Cadastrado título novo: 9000006690 3606 - ANTONIO CHAVES DOS S 31/12/2021 RG 219,11 0"
"Pago título: 2118000936 829 - SERVICO AUT NOMO DE 30/11/2021 LQ 9435,57 9435,57"
"Pago título: 2118000944 831 - DEPARTAMENTO DE  GUA 30/11/2021 LQ 31800,05 31800,05"
"Pago título: 2118000960 841 - MAGNETI MARELLI SIST 30/11/2021 LQ 387,29 387,29"
"Pago título: 2118000968 842 - REGIMAR COMERCIAL S/ 30/11/2021 LQ 1957,2 1957,2"
"Pago título: 2118000976 844 - COIM BRASIL LTDA 30/11/2021 LQ 417,84 417,84"
"Pago título: 2118000984 845 - THYSSENKRUPP METALUR 30/11/2021 LQ 3874,04 3874,04"
"Pago título: 2118000992 851 - KROMBERG & SCHUBERT 30/11/2021 LQ 276,84 276,84"
"Pago título: 2118001000 852 - ECOFABRIL INDUSTRIA 30/11/2021 LQ 278,25 278,25"
"Pago título: 2118001008 855 - LOG & PRINT GR FICA 30/11/2021 LQ 212,62 212,62"
"Pago título: 2118001016 856 - PREFEITURA MUNICIPAL 30/11/2021 LQ 4819,51 4819,51"
"Pago título: 2118001032 861 - HUDTELFA TEXTILE TEC 30/11/2021 LQ 672,03 672,03"
"Pago título: 2118001040 863 - SENPAR TERRAS DE S O 30/11/2021 LQ 892,67 892,67"
"Pago título: 2118001056 868 - PREFEITURA MUNICIPAL 30/11/2021 LQ 2470,93 2470,93"
"Pago título: 2118001072 882 - SERVI O AUT NOMO DE 30/11/2021 LQ 117153,09 117153,09"
"Pago título: 2118001080 885 - CP KELCO BRASIL S/A 30/11/2021 LQ 6754,61 6754,61"
"Pago título: 2118001096 888 - INCOPISOS INDUSTRIA 30/11/2021 LQ 1154,67 1154,67"
"Pago título: 2118001104 891 - TIMAVO DO BRASIL S/A 30/11/2021 LQ 3125,55 3125,55"
"Pago título: 2118001112 892 - A. AZEVEDO INDUSTRIA 30/11/2021 LQ 484,19 484,19"
"Pago título: 2118001120 895 - FRIGORIFICO ANGELELL 30/11/2021 LQ 1559,67 1559,67"
"Pago título: 2118001152 903 - MINASA TRADING INTER 30/11/2021 LQ 1167,86 1167,86"
"Pago título: 2118001160 907 - SERRA AZUL WATER PAR 30/11/2021 LQ 1770,7 1770,7"
"Pago título: 2118001184 919 - COMPANHIA DE DESENVO 30/11/2021 LQ 32951,79 32951,79"
"Pago título: 2118001192 920 - ELEKEIROZ S/A 30/11/2021 LQ 8353,12 8353,12"
"Pago título: 2118001224 931 - CENTRO CULTURAL E RE 30/11/2021 LQ 309,17 309,17"
"Pago título: 2118001240 938 - MIRACEMA NUODEX INDU 30/11/2021 LQ 349,2 349,2"
"Pago título: 2118001248 939 - LEF PISOS E REVESTIM 30/11/2021 LQ 769,96 769,96"
"Pago título: 2118001264 941 - RAIZEN ENERGIA S/A 30/11/2021 LQ 16893,22 16893,22"
"Pago título: 2118001288 944 - PREFEITURA MUNICIPAL 30/11/2021 LQ 21344,03 21344,03"
"Pago título: 2118001296 946 - HOTEL CAMPING ESTANC 30/11/2021 LQ 746,56 746,56"
"Pago título: 2118001304 948 - QUINTA DA BARONEZA G 30/11/2021 LQ 2911,56 2911,56"
"Pago título: 2118001336 959 - ASK PRODUTOS QUIMICO 30/11/2021 LQ 216,52 216,52"
"Pago título: 2118001344 962 - SAO MARTINHO S.A. 30/11/2021 LQ 33958,94 33958,94"
"Pago título: 2118001352 965 - IGARATIBA INDUSTRIA 30/11/2021 LQ 287,63 287,63"
"Pago título: 2118001360 966 - SERVICO DE AGUA E ES 30/11/2021 LQ 23635,42 23635,42"
"Pago título: 2118001376 976 - SOCIEDADE DE ABASTEC 30/11/2021 LQ 23493,63 23493,63"
"Pago título: 2118001392 981 - PIRACAIA IND E COM E 30/11/2021 LQ 753,96 753,96"
"Pago título: 2118001400 985 - CONDOMINIO FAZENDA D 30/11/2021 LQ 293,18 293,18"
"Pago título: 2118001432 1000 - CIA SANEAMENTO BASI 30/11/2021 LQ 16405,88 16405,88"
"Pago título: 2118001440 1001 - CIA SANEAMENTO BASI 30/11/2021 LQ 843,24 843,24"
"Pago título: 2118001448 1002 - CIA SANEAMENTO BASI 30/11/2021 LQ 1360,24 1360,24"
"Pago título: 2118001456 1004 - BRANYL COMERCIO E I 30/11/2021 LQ 1039,39 1039,39"
"Pago título: 2118001464 1024 - RAIZEN ENERGIA S/A 30/11/2021 LQ 7506,81 7506,81"
"Pago título: 2118001472 1033 - CCS TECNOLOGIA E SE 30/11/2021 LQ 223,52 223,52"
"Pago título: 2118001496 1047 - QUIMICA AMPARO LTDA 30/11/2021 LQ 5224,9 5224,9"
"Pago título: 2118001504 1048 - AHLSTROM LOUVEIRA L 30/11/2021 LQ 2810,99 2810,99"
"Pago título: 2118001512 1050 - CIA SANEAMENTO BASI 30/11/2021 LQ 511,69 511,69"
"Pago título: 2118001520 1052 - DEPARTAMENTO DE  GU 30/11/2021 LQ 4541,51 4541,51"
"Pago título: 2118001528 1055 - CARTONIFICIO VALINH 30/11/2021 LQ 1388,88 1388,88"
"Pago título: 2118001536 1057 - CIA SANEAMENTO BASI 30/11/2021 LQ 36982,34 36982,34"
"Pago título: 2118001544 1058 - CIA SANEAMENTO BASI 30/11/2021 LQ 4362,4 4362,4"
"Pago título: 2118001552 1060 - CIA SANEAMENTO BASI 30/11/2021 LQ 4566,64 4566,64"
"Pago título: 2118001560 1063 - CIA SANEAMENTO BASI 30/11/2021 LQ 2859,79 2859,79"
"Pago título: 2118001568 1064 - CIA SANEAMENTO BASI 30/11/2021 LQ 9707,52 9707,52"
"Pago título: 2118001576 1065 - CIA SANEAMENTO BASI 30/11/2021 LQ 5801,77 5801,77"
"Pago título: 2118001584 1067 - CIA SANEAMENTO BASI 30/11/2021 LQ 6538,48 6538,48"
"Pago título: 2118001592 1070 - CIA SANEAMENTO BASI 30/11/2021 LQ 4655,64 4655,64"
"Pago título: 2118001600 1073 - CIA SANEAMENTO BASI 30/11/2021 LQ 8343,9 8343,9"
"Pago título: 2118001608 1074 - CIA SANEAMENTO BASI 30/11/2021 LQ 844,45 844,45"
"Pago título: 2118001616 1075 - TINTEX TINTURARIA T 30/11/2021 LQ 222,59 222,59"
"Pago título: 2118001632 1082 - LENA & CIA LTDA 30/11/2021 LQ 319,08 319,08"
"Pago título: 2118001640 1084 - COMPANHIA DE SANEAM 30/11/2021 LQ 14269,47 14269,47"
"Pago título: 2118001648 1086 - ENGENHO SAO PEDRO A 30/11/2021 LQ 1612 1612"
"Pago título: 2118001656 1087 - TOYOTA DO BRASIL LT 30/11/2021 LQ 1333,39 1333,39"
"Pago título: 2118001664 1090 - CITROSUCO S/A AGROI 30/11/2021 LQ 1716,94 1716,94"
"Pago título: 2118001688 1103 - ASSOCIACAO FAZENDA 30/11/2021 LQ 687,22 687,22"
"Pago título: 2118001704 1110 - SERVICO AUTONOMO DE 30/11/2021 LQ 3684,15 3684,15"
"Pago título: 2118001712 1111 - CIA SANEAMENTO BASI 30/11/2021 LQ 410433,13 410433,13"
"Pago título: 2118001720 1112 - CIA SANEAMENTO BASI 30/11/2021 LQ 23029,06 23029,06"
"Pago título: 2118001728 1116 - CROWN  EMBALAGENS M 30/11/2021 LQ 1530,5 1530,5"
"Pago título: 2118001736 1120 - MOTOROLA MOBILITY C 30/11/2021 LQ 845,37 845,37"
"Pago título: 2118001752 1123 - CIA SANEAMENTO BASI 30/11/2021 LQ 21391,91 21391,91"
"Pago título: 2118001784 1136 - VILLARES METALS S/A 30/11/2021 LQ 1423,95 1423,95"
"Pago título: 2118001800 1140 - VIA VAREJO S/A 30/11/2021 LQ 301,06 301,06"
"Pago título: 2118001808 1143 - CASTELO ALIMENTOS S 30/11/2021 LQ 695,34 695,34"
"Pago título: 2118001816 1144 - ASSOCIACAO PROPRIET 30/11/2021 LQ 274,47 274,47"
"Pago título: 2118001848 1154 - GREENBRIER MAXION E 30/11/2021 LQ 444,23 444,23"
"Pago título: 2118001872 1193 - TEXTIL CANATIBA LTD 30/11/2021 LQ 780,38 780,38"
"Pago título: 2118001880 1194 - TEXTIL CANATIBA LTD 30/11/2021 LQ 1726,14 1726,14"
"Pago título: 2118001888 1195 - TEXTIL CANATIBA LTD 30/11/2021 LQ 1300,15 1300,15"
"Pago título: 2118001904 1221 - NORQUIMA PRODUTOS Q 30/11/2021 LQ 298,7 298,7"
"Pago título: 2118001928 1231 - COVOLAN IND STRIA T 30/11/2021 LQ 17031,49 17031,49"
"Pago título: 2118001936 1243 - ASSOCIACAO PROPRIET 30/11/2021 LQ 329,36 329,36"
"Pago título: 2118001960 1266 - ASSOCIA  O COMUNIT 30/11/2021 LQ 247,02 247,02"
"Pago título: 2118001968 1274 - GUAINUMBY TEXTIL LT 30/11/2021 LQ 452,85 452,85"
"Pago título: 2118001984 1313 - AZUMA KIRIN IND STR 30/11/2021 LQ 268,75 268,75"
"Pago título: 2118002008 1405 - ASSOCIACAO LOTEAMEN 30/11/2021 LQ 3204,93 3204,93"
"Pago título: 2118002016 1414 - CERVEJARIA ASHBY LT 30/11/2021 LQ 222,64 222,64"
"Pago título: 2118002024 1417 - IND STRIA DE PRODUT 30/11/2021 LQ 222,42 222,42"
"Pago título: 2118002032 1420 - MIRVI BRASIL LTDA 30/11/2021 LQ 335,43 335,43"
"Pago título: 2118002048 1425 - TRANSPORTE E COMERC 30/11/2021 LQ 314,72 314,72"
"Pago título: 2118002056 1429 - ASSOCIACAO ADMINIST 30/11/2021 LQ 742,9 742,9"
"Pago título: 2118002072 1456 - ASSOC DOS PROP DO L 30/11/2021 LQ 347,66 347,66"
"Pago título: 2118002080 1459 - CIA SANEAMENTO BASI 30/11/2021 LQ 3140,21 3140,21"
"Pago título: 2118002088 1465 - BBC INDUSTRIA E COM 30/11/2021 LQ 311,76 311,76"
"Pago título: 2118002096 1477 - JETFIO INDUSTRIA TE 30/11/2021 LQ 316,68 316,68"
"Pago título: 2118002112 1484 - DELTA INDUSTRIA CER 30/11/2021 LQ 8194,81 8194,81"
"Pago título: 2118002128 1547 - SOCER BRASIL INDUST 30/11/2021 LQ 570,6 570,6"
"Pago título: 2118002152 1567 - RPR CAPTACAO E TRAN 30/11/2021 LQ 912,66 912,66"
"Pago título: 2118002168 1591 - TQA INDUSTRIA E COM 30/11/2021 LQ 311,07 311,07"
"Pago título: 2118002176 1592 - MICROSAL INDUSTRIA 30/11/2021 LQ 1164,8 1164,8"
"Pago título: 2118002184 1603 - OLIVEIRA & LOPES LT 30/11/2021 LQ 219,74 219,74"
"Pago título: 2118002192 1609 - GRANITEC IND E COM 30/11/2021 LQ 214,35 214,35"
"Pago título: 2118002200 1618 - NAZATO PIRACICABA T 30/11/2021 LQ 356,68 356,68"
"Pago título: 2118002208 1636 - AGV LOGISTICA S.A. 30/11/2021 LQ 352,42 352,42"
"Pago título: 2118002216 1638 - LEITESOL INDUSTRIA 30/11/2021 LQ 764,29 764,29"
"Pago título: 2118002224 1666 - VOTORANTIM CIMENTOS 30/11/2021 LQ 334,9 334,9"
"Pago título: 2118002232 1675 - ASSOCIACAO DOS MORA 30/11/2021 LQ 315,7 315,7"
"Pago título: 2118002240 1676 - CASSOL PRE  FABRICA 30/11/2021 LQ 281,54 281,54"
"Pago título: 2118002264 1701 - TINTURARIA E ESTAMP 30/11/2021 LQ 257,73 257,73"
"Pago título: 2118002272 1705 - SAINT-GOBAIN DO BRA 30/11/2021 LQ 250,03 250,03"
"Pago título: 2118002280 1713 - JACOBS DOUWE EGBERT 30/11/2021 LQ 309,24 309,24"
"Pago título: 2118002288 1742 - CONDOMINIO SERANILA 30/11/2021 LQ 216,21 216,21"
"Pago título: 2118002312 1789 - CENTRAIS DE ABASTEC 30/11/2021 LQ 775,52 775,52"
"Pago título: 2118002328 1813 - MAXLAV LAVANDERIA E 30/11/2021 LQ 332,09 332,09"
"Pago título: 2118002352 1818 - MARLES INDUSTRIA TE 30/11/2021 LQ 765,51 765,51"
"Pago título: 2118002360 1829 - NHEEL QUIMICA LTDA 30/11/2021 LQ 347,66 347,66"
"Pago título: 2118002368 1830 - SUOMINEN BRASIL IND 30/11/2021 LQ 202,7 202,7"
"Pago título: 2118002376 1846 - COMPANHIA NACIONAL 30/11/2021 LQ 819,09 819,09"
"Pago título: 2118002384 1848 - PREFEITURA MUNICIPA 30/11/2021 LQ 2111,58 2111,58"
"Pago título: 2118002392 1859 - CWS CABLE PARKS LTD 30/11/2021 LQ 407,43 407,43"
"Pago título: 2118002408 1885 - A PRESS TRANSPORTES 30/11/2021 LQ 210,79 210,79"
"Pago título: 2118002416 1902 - KENJI EXTRACAO E CO 30/11/2021 LQ 294,45 294,45"
"Pago título: 2118002448 1976 - SOL INVEST EMPREEND 30/11/2021 LQ 254,76 254,76"
"Pago título: 2118002456 1979 - QUIMICA AMPARO LTDA 30/11/2021 LQ 622,13 622,13"
"Pago título: 2118002472 1990 - PEDREIRA FAZENDA VE 30/11/2021 LQ 599,71 599,71"
"Pago título: 2118002480 2019 - BAERLOCHER DO BRASI 30/11/2021 LQ 994,48 994,48"
"Pago título: 2118002488 2074 - SALTORELLI TINTURAR 30/11/2021 LQ 895,5 895,5"
"Pago título: 2118002496 2083 - HANIER ESPECIALIDAD 30/11/2021 LQ 357,34 357,34"
"Pago título: 2118002504 2088 - ASSOCIA  O DE PROPR 30/11/2021 LQ 534,3 534,3"
"Pago título: 2118002528 2114 - MAXLAV LAVANDERIA E 30/11/2021 LQ 294,6 294,6"
"Pago título: 2118002536 2139 - INDUSTRIAS ROMI S/A 30/11/2021 LQ 561,63 561,63"
"Pago título: 2118002552 2168 - EMEPE INDUSTRIA GRA 30/11/2021 LQ 201,28 201,28"
"Pago título: 2118002560 2170 - ISOTERM INDUSTRIA E 30/11/2021 LQ 811,56 811,56"
"Pago título: 2118002568 2172 - FARMINA PET FOODS B 30/11/2021 LQ 330,67 330,67"
"Pago título: 2118002584 2175 - INDUSTRIA E COMERCI 30/11/2021 LQ 685,46 685,46"
"Pago título: 2118002616 2239 - CERAMICA RAMOS LTDA 30/11/2021 LQ 458,03 458,03"
"Pago título: 2118002640 2284 -  GUA VIDA TRANSPORT 30/11/2021 LQ 585,53 585,53"
"Pago título: 2118002648 2289 - ADVANCE IND STRIA T 30/11/2021 LQ 2623,91 2623,91"
"Pago título: 2118002656 2293 - BRUNO NICOLETTI TEC 30/11/2021 LQ 212,29 212,29"
"Pago título: 2118002680 2324 - BASF S/A 30/11/2021 LQ 333,75 333,75"
"Pago título: 2118002704 2337 - CERAMICA CARMELO FI 30/11/2021 LQ 791,72 791,72"
"Pago título: 2118002712 2348 - RAUL FERREIRA LEITE 30/11/2021 LQ 475,75 475,75"
"Pago título: 2118002728 2361 - TECELAGEM JOLITEX L 30/11/2021 LQ 496,76 496,76"
"Pago título: 2118002752 2392 - NEW PARQUE TENIS 30/11/2021 LQ 240,8 240,8"
"Pago título: 2118002768 2457 - HYUNDAI MOTOR BRASI 30/11/2021 LQ 920,24 920,24"
"Pago título: 2118002776 2458 - SENPAR TERRAS DE S 30/11/2021 LQ 322,41 322,41"
"Pago título: 2118002784 2464 - SPARTAN DO BRASIL P 30/11/2021 LQ 629,25 629,25"
"Pago título: 2118002792 2474 - DE MARCHI INDUSTRIA 30/11/2021 LQ 501,55 501,55"
"Pago título: 2118002800 2478 - ASSOC DOS PROPRIET 30/11/2021 LQ 320,45 320,45"
"Pago título: 2118002808 2497 - CARVALHEIRA IND STR 30/11/2021 LQ 1122,16 1122,16"
"Pago título: 2118002816 2538 - APTAR DO BRASIL EMB 30/11/2021 LQ 238,47 238,47"
"Pago título: 2118002832 2559 - CONDOMINIO RESIDENC 30/11/2021 LQ 265,32 265,32"
"Pago título: 2118002840 2575 - LUBRASIL LUBRIFICAN 30/11/2021 LQ 224,24 224,24"
"Pago título: 2118002848 2583 - FRESENIUS MEDICAL C 30/11/2021 LQ 1562,01 1562,01"
"Pago título: 2118002856 2590 - DIERBERGER  LEOS ES 30/11/2021 LQ 480,32 480,32"
"Pago título: 2118002880 2675 - CORR PLASTIK LTDA 30/11/2021 LQ 215,92 215,92"
"Pago título: 2118002888 2684 - ANTONIO SERGIO LEIT 30/11/2021 LQ 365,96 365,96"
"Pago título: 2118002920 2740 - EUCATEX IND STRIA E 30/11/2021 LQ 1027,74 1027,74"
"Pago título: 2118002928 2743 - SORVETES JUNDI  IND 30/11/2021 LQ 1027,97 1027,97"
"Pago título: 2118002936 2745 - CONDOM NIO DO SHOPP 30/11/2021 LQ 429,65 429,65"
"Pago título: 2118002944 2747 - SINTO BRASIL PRODUT 30/11/2021 LQ 761,63 761,63"
"Pago título: 2118002952 2748 - QUALITY BENEFICIADO 30/11/2021 LQ 477,2 477,2"
"Pago título: 2118002960 2750 - SERVICO AUTONOMO DE 30/11/2021 LQ 1165,23 1165,23"
"Pago título: 2118002968 2751 - SERVICO AUTONOMO DE 30/11/2021 LQ 941,17 941,17"
"Pago título: 2118002992 2773 - SOCIEDADE DE ARMAZE 30/11/2021 LQ 352,63 352,63"
"Pago título: 2118003000 2776 - KARINA PISOS E REVE 30/11/2021 LQ 263,49 263,49"
"Pago título: 2118003024 2814 - REAL INDUSTRIA E CO 30/11/2021 LQ 254,49 254,49"
"Pago título: 2118003032 2845 - SIND DO EMPREGADOS 30/11/2021 LQ 264,04 264,04"
"Pago título: 2118003040 2846 - AGUAS DAS TERRAS SO 30/11/2021 LQ 512,34 512,34"
"Pago título: 2118003048 2861 - KORIN AGROPECU RIA 30/11/2021 LQ 2011,08 2011,08"
"Pago título: 2118003056 2889 - I & M PAP IS E EMBA 30/11/2021 LQ 463,45 463,45"
"Pago título: 2118003064 2897 - REQUIPH METAL RGICA 30/11/2021 LQ 252,66 252,66"
"Pago título: 2118003072 2901 - A D RICARDO  GUA - 30/11/2021 LQ 427,66 427,66"
"Pago título: 2118003096 2949 - INSTITUTO ADVENTIST 30/11/2021 LQ 293,32 293,32"
"Pago título: 2118003104 2952 - EXTRA  O E COM RCIO 30/11/2021 LQ 890,87 890,87"
"Pago título: 2118003112 2956 - CENTER GIRO TRANSPO 30/11/2021 LQ 215,43 215,43"
"Pago título: 2118003128 2965 - JAGUARI COMERCIAL E 30/11/2021 LQ 938,75 938,75"
"Pago título: 2118003144 2981 - VIVA PISOS E REVEST 30/11/2021 LQ 384,25 384,25"
"Pago título: 2118003152 2988 - K & G IND STRIA E C 30/11/2021 LQ 201,47 201,47"
"Pago título: 2118003192 3060 - ASSOCIA  O DOS PROP 30/11/2021 LQ 1096,24 1096,24"
"Pago título: 2118003216 3094 - RENATO PASSARIN & F 30/11/2021 LQ 329,36 329,36"
"Pago título: 2118003224 3097 - CISOL DO BRASIL EXP 30/11/2021 LQ 201,64 201,64"
"Pago título: 2118003232 3107 - RUY R. DA ROCHA PRO 30/11/2021 LQ 219,58 219,58"
"Pago título: 2118003240 3111 - BRASWELL PAPEL E CE 30/11/2021 LQ 989,84 989,84"
"Pago título: 2118003288 3160 - VIA APPIA FESTAS E 30/11/2021 LQ 207,09 207,09"
"Pago título: 2118003296 3163 - RESIDENCIAL FAZENDA 30/11/2021 LQ 355,21 355,21"
"Pago título: 2118003312 3196 - CEDASA IND STRIA E 30/11/2021 LQ 713,62 713,62"
"Pago título: 2118003336 3253 - COPASIL QUIMICA IND 30/11/2021 LQ 387,77 387,77"
"Pago título: 2118003344 3262 - ASSOCIA  O DE AMIGO 30/11/2021 LQ 771,28 771,28"
"Pago título: 2118003360 3310 - ELDER COSTA RODRIGU 30/11/2021 LQ 866,2 866,2"
"Pago título: 2118003384 3336 - CONDOM NIO RESIDENC 30/11/2021 LQ 438,44 438,44"
"Pago título: 2118003400 3352 - CP KELCO BRASIL S/A 30/11/2021 LQ 315,51 315,51"
"Pago título: 2118003408 3365 - MALIBER INDUSTRIA E 30/11/2021 LQ 505,31 505,31"
"Pago título: 2118003416 3366 - TECHIMPORT TECNOLOG 30/11/2021 LQ 337,09 337,09"
"Pago título: 2118003432 3377 - COMERCIO DE  GUAS E 30/11/2021 LQ 274,47 274,47"
"Pago título: 2118003472 3384 - FRIGODELISS LTDA 30/11/2021 LQ 3168,13 3168,13"
"Pago título: 2118003480 3389 - CONDOM NIO RESIDENC 30/11/2021 LQ 618,17 618,17"
"Pago título: 2118003488 3411 - PREFEITURA MUNICIPA 30/11/2021 LQ 18932,76 18932,76"
