"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453883010202341156.ret"
""
"Cadastrado título novo: 9000007766 2819 - ATRISEV COMERCIAL E 30/11/2023 RG 551,93 0"
"Cadastrado título novo: 9000007767 3342 - XERIUM TECHNOLOGIES 30/11/2023 RG 582,1 0"
"Cadastrado título novo: 9000007768 2349 - ASSOCIACAO AMIGOS DO 30/11/2023 RG 618,42 0"
"Cadastrado título novo: 9000007769 5625 - CONDOMINIO EDIFICIO 31/10/2023 RG 581,79 0"
"Cadastrado título novo: 9000007770 3316 - CONCESSIONARIA  DO S 30/11/2023 RG 638,73 0"
"Cadastrado título novo: 9000007771 3317 - CONCESSIONARIA  DO S 30/11/2023 RG 574,46 0"
"Cadastrado título novo: 9000007772 3318 - CONCESSIONARIA  DO S 30/11/2023 RG 290,55 0"
"Cadastrado título novo: 9000007773 1427 - CONCESSIONARIA  DO S 30/11/2023 RG 695,25 0"
"Cadastrado título novo: 9000007774 2675 - CORR PLASTIK LTDA 30/11/2023 RG 919,18 0"
"Cadastrado título novo: 9000007775 1769 - KREBSFER INDUSTRIAL 30/11/2023 RG 270,98 0"
"Cadastrado título novo: 9000007776 4013 - ANTONIO VITORINO BAR 30/11/2023 RG 651,12 0"
"Cadastrado título novo: 9000007777 1860 - LEAL ROSA INDUSTRIA 31/10/2023 RG 598,82 0"
"Pago título: 2230003330 411 - IOCHPE-MAXION S/A 31/10/2023 LQ 753,53 753,53"
"Pago título: 2230003354 432 - ASSOCIACAO PROPRIETAR 31/10/2023 LQ 611,27 611,27"
"Pago título: 2230003366 448 - INDUSTRIA DE PAPEL R. 31/10/2023 LQ 3352,2 3352,2"
"Pago título: 2230003534 559 - BENEFICIADORA DE TECI 31/10/2023 LQ 2642,02 2642,02"
"Pago título: 2230003552 604 - ASSOCIACAO RESIDENCIA 31/10/2023 LQ 268,37 268,37"
"Pago título: 2230003630 841 - MAGNETI MARELLI SISTE 31/10/2023 LQ 425,9 425,9"
"Pago título: 2230003672 856 - PREFEITURA MUNICIPAL 31/10/2023 LQ 5972,03 5972,03"
"Pago título: 2230003684 861 - HUDTELFA TEXTILE TECH 31/10/2023 LQ 1011,72 1011,72"
"Pago título: 2230003858 932 - GREMIO RECR EMPREGADO 31/10/2023 LQ 461,64 461,64"
"Pago título: 2230003942 962 - SAO MARTINHO S.A. 31/10/2023 LQ 44735,33 44735,33"
"Pago título: 2230004014 999 - BRK AMBIENTAL - SANTA 31/10/2023 LQ 10854,05 10854,05"
"Pago título: 2230004254 1113 - PPC SANTANA EQUIPAME 31/10/2023 LQ 223,29 223,29"
"Pago título: 2230004272 1122 - PPC SANTANA EQUIPAME 31/10/2023 LQ 388,99 388,99"
"Pago título: 2230004284 1128 - CIA SANEAMENTO BASIC 31/10/2023 LQ 2801,72 2801,72"
"Pago título: 2230004290 1129 - CIA SANEAMENTO BASIC 31/10/2023 LQ 10759,55 10759,55"
"Pago título: 2230004302 1132 - CIA SANEAMENTO BASIC 31/10/2023 LQ 20404,69 20404,69"
"Pago título: 2230004344 1145 - JOBEMA DISTRIBUIDORA 31/10/2023 LQ 1218,79 1218,79"
"Pago título: 2230004434 1249 - ESTANCIA PARQUE ATIB 31/10/2023 LQ 737,06 737,06"
"Pago título: 2230004482 1354 - SILGAN DISPENSING SY 31/10/2023 LQ 503,74 503,74"
"Pago título: 2230004488 1405 - ASSOCIACAO LOTEAMENT 31/10/2023 LQ 4273,24 4273,24"
"Pago título: 2230004518 1423 - TASA TINTURARIA AMER 31/10/2023 LQ 935,14 935,14"
"Pago título: 2230004548 1456 - ASSOC DOS PROP DO LO 31/10/2023 LQ 463,55 463,55"
"Pago título: 2230004650 1618 - NAZATO PIRACICABA TR 31/10/2023 LQ 510,34 510,34"
"Pago título: 2230004686 1675 - ASSOCIACAO DOS MORAD 31/10/2023 LQ 348,39 348,39"
"Pago título: 2230004740 1743 - EDSON CHINARELLI TRA 31/10/2023 LQ 2615,38 2615,38"
"Pago título: 2230004848 1902 - KENJI EXTRACAO E COM 31/10/2023 LQ 386,75 386,75"
"Pago título: 2230005088 2304 - LAZARO MELLO BRANDAO 31/10/2023 LQ 219,82 219,82"
"Pago título: 2230005172 2410 - COND CENTRO DE LOGIS 31/10/2023 LQ 1336,21 1336,21"
"Pago título: 2230005472 2949 - INSTITUTO ADVENTISTA 31/10/2023 LQ 391,09 391,09"
"Pago título: 2230005484 2956 - CENTER GIRO TRANSPOR 31/10/2023 LQ 287,24 287,24"
"Pago título: 2230005490 2962 - CONDOMINIO VITORIA D 31/10/2023 LQ 316,19 316,19"
"Pago título: 2230005520 3022 - BORGWARNER BRASIL LT 31/10/2023 LQ 200,21 200,21"
"Pago título: 2230005676 3262 - ASSOCIACAO DE AMIGOS 31/10/2023 LQ 750,09 750,09"
"Pago título: 2230005682 3271 - ASSOCIACAO DOS PROPR 31/10/2023 LQ 234,21 234,21"
"Pago título: 2230005706 3333 - AUREO ALESSANDRO DA 31/10/2023 LQ 583,8 583,8"
"Pago título: 2230005736 3366 - TECHIMPORT TECNOLOGI 31/10/2023 LQ 386,59 386,59"
"Pago título: 2230006090 3926 - HWT PROMOCOES ESPORT 31/10/2023 LQ 473,31 473,31"
"Pago título: 2230006126 3994 - ASSOCIACAO RESERVA D 31/10/2023 LQ 263,49 263,49"
"Pago título: 2230006132 4014 - ASSOC DOS PROPRIETAR 31/10/2023 LQ 878,3 878,3"
"Pago título: 2230006150 4129 - TERRAPLANAGEM PARAIZ 31/10/2023 LQ 397,43 397,43"
"Pago título: 2230006162 4135 - ALCEBIADES FERREIRA 31/10/2023 LQ 232,66 232,66"
"Pago título: 2230006192 4315 - AGE DO BRASIL INDUST 31/10/2023 LQ 234,21 234,21"
"Pago título: 2230006198 4330 - CPD LOCADORA DE VEIC 31/10/2023 LQ 1463,83 1463,83"
"Pago título: 2230006276 4580 - ASSOCIACAO DOS PROPR 31/10/2023 LQ 967,54 967,54"
"Pago título: 2230006402 4840 - CIALENE INDUSTRIA E 31/10/2023 LQ 219,58 219,58"
"Pago título: 2230006474 5035 - CLOSURE SYSTEMS INTE 31/10/2023 LQ 439,15 439,15"
"Pago título: 2230006480 5040 - CONDOMINIO GARNET 31/10/2023 LQ 585,53 585,53"
"Pago título: 2230006492 5076 - CLUBE DE CAMPO FAZEN 31/10/2023 LQ 2156,71 2156,71"
"Pago título: 2230006588 5402 - SAO PAULO SECRETARIA 31/10/2023 LQ 985,49 985,49"
"Pago título: 2230006636 5442 - ASSOCIACAO DOS PROPR 31/10/2023 LQ 288,38 288,38"
"Pago título: 2230006648 5449 - CONDOMINIO HOTEL INT 31/10/2023 LQ 234,21 234,21"
"Pago título: 2230006726 5558 - PARKLOG ADMINISTRADO 31/10/2023 LQ 390,36 390,36"
"Pago título: 2230006900 6692 - CONDOMINIO EMPRESARI 31/10/2023 LQ 486,47 486,47"
"Pago título: 2230006972 7159 - FLAVOUR MIX INDUSTRI 31/10/2023 LQ 481,12 481,12"
"Pago título: 2230006984 7213 - AGUAS DE MAIRIPORA L 31/10/2023 LQ 975,89 975,89"
"Pago título: 2230007014 7308 - MARIA CRISTINA RODRI 31/10/2023 LQ 878,29 878,29"
"Pago título: 2230007086 7373 - LEVISSIMA DISTRIBUIC 31/10/2023 LQ 1288,17 1288,17"
"Pago título: 2230007122 7711 - PAULO SETUBAL NETO 31/10/2023 LQ 257,64 257,64"
"Pago título: 2230007182 7738 - AAK DO BRASIL INDUST 31/10/2023 LQ 565,1 565,1"
"Pago título: 9000007604 7764 - ASSOCIACAO BUSINESS 31/10/2023 LQ 941,13 941,13"
"Pago título: 9000007614 1809 - ASSOCIACAO RESIDENCI 31/10/2023 LQ 2565,14 2565,14"
"Pago título: 9000007645 5040 - CONDOMINIO GARNET 31/10/2023 LQ 1424,26 1424,26"
"Pago título: 9000007675 1680 - CONDOMINIO CIVIL DO 31/10/2023 LQ 3609,65 3609,65"
"Pago título: 9000007729 5354 - CONDOMINIO RESIDENCI 31/10/2023 LQ 912,56 912,56"
"Pago título: 9000007730 5038 - COLEGIO RENOVACAO IN 31/10/2023 LQ 923,01 923,01"
"Pago título: 9000007734 2949 - INSTITUTO ADVENTISTA 31/10/2023 LQ 1220,84 1220,84"
"Pago título: 9000007742 3634 - CELLERA FARMACEUTICA 31/10/2023 LQ 832,04 832,04"
"Pago título: 9000007764 3830 - CONDOMINIO RESIDENCI 30/11/2023 LQ 1322,24 1322,24"
