"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72450152612202224108.ret"
""
"Cadastrado título novo: 9000007333 2553 - UNIGRES CERAMICA LTD 31/01/2023 RG 228,56 0"
"Pago título: 2220003892 476 - CLUBE DE CAMPO VALINH 26/12/2022 LQ 2254,76 2254,76"
"Pago título: 2220003899 842 - REGIMAR COMERCIAL S/A 26/12/2022 LQ 2236,8 2236,8"
"Pago título: 2220003906 206 - ROUSSELOT GELATINAS D 26/12/2022 LQ 2226,34 2226,34"
"Pago título: 2220003913 5601 - ASSOCIACAO DOS PROPR 26/12/2022 LQ 2216,66 2216,66"
"Pago título: 2220003920 1075 - TINTEX TINTURARIA TE 26/12/2022 LQ 2183,9 2183,9"
"Pago título: 2220003927 12 - AGUAJATO TRANSPORTES L 26/12/2022 LQ 2180,75 2180,75"
"Pago título: 2220003934 219 - SI GROUP CRIOS RESINA 26/12/2022 LQ 2133,8 2133,8"
"Pago título: 2220003962 1074 - CIA SANEAMENTO BASIC 26/12/2022 LQ 2066,32 2066,32"
"Pago título: 2220003969 2861 - KORIN AGROPECUARIA L 26/12/2022 LQ 2063,59 2063,59"
"Pago título: 2220003976 1194 - TEXTIL CANATIBA LTDA 26/12/2022 LQ 1972,73 1972,73"
"Pago título: 2220003990 917 - BMB BELGO MINEIRA BEK 26/12/2022 LQ 1961,79 1961,79"
"Pago título: 2220003997 2361 - TECELAGEM JOLITEX LT 26/12/2022 LQ 1961,25 1961,25"
"Pago título: 2220004004 906 - TINTURARIA E ESTAMPAR 26/12/2022 LQ 1934,34 1934,34"
"Pago título: 2220004011 839 - BUTILAMIL INDUSTRIAS 26/12/2022 LQ 1933,31 1933,31"
"Pago título: 2220004025 1002 - CIA SANEAMENTO BASIC 26/12/2022 LQ 1918,74 1918,74"
"Pago título: 2220004032 1459 - CIA SANEAMENTO BASIC 26/12/2022 LQ 1910,84 1910,84"
"Pago título: 2220004039 480 - PAPIRUS INDUSTRIA DE 26/12/2022 LQ 1853,08 1853,08"
"Pago título: 2220004046 585 - TEKA - TECELAGEM KUEN 26/12/2022 LQ 1849,98 1849,98"
"Pago título: 2220004060 1086 - ENGENHO SAO PEDRO AG 26/12/2022 LQ 1842,28 1842,28"
"Pago título: 2220004067 895 - FRIGORIFICO ANGELELLI 26/12/2022 LQ 1840,99 1840,99"
"Pago título: 2220004074 3851 - USINA GRANELLI LTDA. 26/12/2022 LQ 1821,34 1821,34"
"Pago título: 2220004081 880 - MD PAPEIS LTDA 26/12/2022 LQ 1814,51 1814,51"
"Pago título: 2220004088 1116 - CROWN  EMBALAGENS ME 26/12/2022 LQ 1809,83 1809,83"
"Pago título: 2220004102 907 - SERRA AZUL WATER PARK 26/12/2022 LQ 1766,51 1766,51"
"Pago título: 2220004116 257 - PASTIFICIO SELMI S/A 26/12/2022 LQ 1725,7 1725,7"
"Pago título: 2220004151 1001 - CIA SANEAMENTO BASIC 26/12/2022 LQ 1642,23 1642,23"
"Pago título: 2220004158 184 - TECELAGEM JOLITEX LTD 26/12/2022 LQ 1632,83 1632,83"
"Pago título: 2220004165 1136 - VILLARES METALS S/A 26/12/2022 LQ 1627,37 1627,37"
"Pago título: 2220004179 1055 - CARTONIFICIO VALINHO 26/12/2022 LQ 1582,47 1582,47"
"Pago título: 2220004200 3535 - JOFEGE FIACAO E TECE 26/12/2022 LQ 1524,61 1524,61"
"Pago título: 2220004207 2176 - EVONIK BRASIL LTDA 26/12/2022 LQ 1505,96 1505,96"
"Pago título: 2220004214 2750 - SERVICO AUTONOMO DE 26/12/2022 LQ 1485,9 1485,9"
"Pago título: 2220004221 372 - ASSOCIACAO MORAD PROP 26/12/2022 LQ 1465,92 1465,92"
"Pago título: 2220004235 22 - HONDA AUTOMOVEIS DO BR 26/12/2022 LQ 1400,95 1400,95"
"Pago título: 2220004249 5553 - ASSOCIACAO MASTER DA 26/12/2022 LQ 1385,46 1385,46"
"Pago título: 2220004256 2583 - FRESENIUS MEDICAL CA 26/12/2022 LQ 1383,68 1383,68"
"Pago título: 2220004270 98 - SOCIEDADE RESIDENCIAL 26/12/2022 LQ 1371,79 1371,79"
"Pago título: 2220004284 903 - MINASA TRADING INTERN 26/12/2022 LQ 1334,7 1334,7"
"Pago título: 2220004305 505 - ASSOCIACAO AMIGOS DO 26/12/2022 LQ 1280,55 1280,55"
"Pago título: 2220004312 1054 - CIA SANEAMENTO BASIC 26/12/2022 LQ 1273,94 1273,94"
"Pago título: 2220004319 462 - AD'ORO S/A 26/12/2022 LQ 1268,24 1268,24"
"Pago título: 2220004326 923 - EMS S/A 26/12/2022 LQ 1260,99 1260,99"
"Pago título: 2220004333 4330 - CPD LOCADORA DE VEIC 26/12/2022 LQ 1254,71 1254,71"
"Pago título: 2220004361 7321 - COMPANHIA DE SANEAME 26/12/2022 LQ 1198,11 1198,11"
"Pago título: 2220004368 2019 - BAERLOCHER DO BRASIL 26/12/2022 LQ 1196,14 1196,14"
"Pago título: 2220004382 452 - WHIRLPOOL S/A 26/12/2022 LQ 1177,67 1177,67"
"Pago título: 2220004396 1143 - CASTELO ALIMENTOS S/ 26/12/2022 LQ 1151,82 1151,82"
"Pago título: 2220004403 203 - TINTURARIA E ESTAMPAR 26/12/2022 LQ 1151,18 1151,18"
"Pago título: 2220004410 3857 - CRS MINERACAO INDUST 26/12/2022 LQ 1139,56 1139,56"
"Pago título: 2220004417 3111 - BRASWELL PAPEL E CEL 26/12/2022 LQ 1131,25 1131,25"
"Pago título: 2220004424 3683 - NOVAPORCELANATO INDU 26/12/2022 LQ 1129,24 1129,24"
"Pago título: 2220004431 5628 - SAFRA INDUSTRIA E CO 26/12/2022 LQ 1127,15 1127,15"
"Pago título: 2220004438 7373 - LEVISSIMA DISTRIBUIC 26/12/2022 LQ 1104,15 1104,15"
"Pago título: 2220004452 824 - UNIVERSIDADE DE SAO P 26/12/2022 LQ 1083,28 1083,28"
"Pago título: 2220004459 383 - EATON LTDA 26/12/2022 LQ 1082,97 1082,97"
"Pago título: 2220004473 3491 - H2ORA DISTRIBUIDORA 26/12/2022 LQ 1070,48 1070,48"
"Pago título: 2220004480 1050 - CIA SANEAMENTO BASIC 26/12/2022 LQ 1069,92 1069,92"
"Pago título: 2220004515 1567 - RPR CAPTACAO E TRANS 26/12/2022 LQ 1043,04 1043,04"
"Pago título: 2220004522 157 - CONDOMINIO TECH TOWN 26/12/2022 LQ 1042,13 1042,13"
"Pago título: 2220004529 2910 - CHACARAS LONG ISLAND 26/12/2022 LQ 1040,68 1040,68"
"Pago título: 2220004536 1004 - BRANYL COMERCIO E IN 26/12/2022 LQ 1028,19 1028,19"
"Pago título: 2220004550 5599 - COOPERATIVA PECUARIA 26/12/2022 LQ 1018,44 1018,44"
"Pago título: 2220004564 888 - INCOPISOS INDUSTRIA E 26/12/2022 LQ 1003,77 1003,77"
"Pago título: 2220004578 2074 - SALTORELLI TINTURARI 26/12/2022 LQ 991,96 991,96"
"Pago título: 2220004592 281 - BIO SPRINGER DO BRASI 26/12/2022 LQ 974,06 974,06"
"Pago título: 2220004606 1120 - MOTOROLA MOBILITY CO 26/12/2022 LQ 966,13 966,13"
"Pago título: 2220004620 3908 - TANSAN INDUSTRIA QUI 26/12/2022 LQ 963,23 963,23"
"Pago título: 2220004627 2965 - JAGUARI COMERCIAL E 26/12/2022 LQ 953,99 953,99"
"Pago título: 2220004634 375 - CAPUAVA S/A INDUSTRIA 26/12/2022 LQ 932,98 932,98"
"Pago título: 2220004641 3310 - ELDER COSTA RODRIGUE 26/12/2022 LQ 932,29 932,29"
"Pago título: 2220004669 191 - COOPERATIVA NOVA ESPE 26/12/2022 LQ 926,73 926,73"
"Pago título: 2220004676 2747 - SINTO BRASIL PRODUTO 26/12/2022 LQ 916,78 916,78"
"Pago título: 2220004683 312 - FIACAO ALPINA LTDA 26/12/2022 LQ 910,16 910,16"
"Pago título: 2220004697 5531 - MARILIZE PEZZO ROSSI 26/12/2022 LQ 898,38 898,38"
"Pago título: 2220004704 5260 - MRGM PARTICIPACOES E 26/12/2022 LQ 895,03 895,03"
"Pago título: 2220004718 939 - LEF PISOS E REVESTIME 26/12/2022 LQ 879,95 879,95"
"Pago título: 2220004732 1818 - MARLES INDUSTRIA TEX 26/12/2022 LQ 874,87 874,87"
"Pago título: 2220004739 1592 - MICROSAL INDUSTRIA E 26/12/2022 LQ 873,93 873,93"
"Pago título: 2220004746 1638 - LEITESOL INDUSTRIA E 26/12/2022 LQ 873,47 873,47"
"Pago título: 2220004760 449 - ASSOCIACAO PRO AGUA T 26/12/2022 LQ 862,72 862,72"
"Pago título: 2220004767 946 - HOTEL CAMPING ESTANCI 26/12/2022 LQ 853,21 853,21"
"Pago título: 2220004774 461 - J.R.M. - PARTICIPACOE 26/12/2022 LQ 852,41 852,41"
"Pago título: 2220004781 1429 - ASSOCIACAO ADMINISTR 26/12/2022 LQ 849,02 849,02"
"Pago título: 2220004788 7689 - WICKBOLD & NOSSO PAO 26/12/2022 LQ 845,64 845,64"
"Pago título: 2220004802 3622 - CONDOMINIO CAPELA DO 26/12/2022 LQ 838,11 838,11"
"Pago título: 2220004809 3449 - CERAMICA CARMELO FIO 26/12/2022 LQ 836,48 836,48"
"Pago título: 2220004816 7213 - AGUAS DE MAIRIPORA L 26/12/2022 LQ 836,48 836,48"
"Pago título: 2220004823 4891 - LOTEAMENTO IMPERIAL 26/12/2022 LQ 836,48 836,48"
"Pago título: 2220004830 4580 - ASSOCIACAO DOS PROPR 26/12/2022 LQ 829,32 829,32"
"Pago título: 2220004837 400 - FRICOCK FRIGORIFICACA 26/12/2022 LQ 825,15 825,15"
"Pago título: 2220004844 3196 - CEDASA INDUSTRIA E C 26/12/2022 LQ 815,57 815,57"
"Pago título: 2220004879 1103 - ASSOCIACAO FAZENDA C 26/12/2022 LQ 796,74 796,74"
"Pago título: 2220004886 981 - PIRACAIA IND E COM EX 26/12/2022 LQ 783,97 783,97"
"Pago título: 2220004893 211 - FERNANDEZ S.A. INDUST 26/12/2022 LQ 771,95 771,95"
"Pago título: 2220004907 2337 - CERAMICA CARMELO FIO 26/12/2022 LQ 759,42 759,42"
"Pago título: 2220004921 2329 - NOVA MIX INDUSTRIAL 26/12/2022 LQ 756,09 756,09"
"Pago título: 2220004949 2175 - INDUSTRIA E COMERCIO 26/12/2022 LQ 751,08 751,08"
"Pago título: 2220004956 2712 - PECANHA & HELENA TRA 26/12/2022 LQ 748,37 748,37"
"Pago título: 2220004970 1193 - TEXTIL CANATIBA LTDA 26/12/2022 LQ 745,05 745,05"
"Pago título: 2220004984 223 - VIVA PISOS E REVESTIM 26/12/2022 LQ 739,45 739,45"
"Pago título: 2220004998 225 - AMPARO ATLETICO CLUBE 26/12/2022 LQ 734,99 734,99"
"Pago título: 2220005005 503 - FLAMBOIA ALIMENTOS LT 26/12/2022 LQ 733,39 733,39"
"Pago título: 2220005019 7707 - SORVETES JUNDIA INDU 26/12/2022 LQ 729,64 729,64"
"Pago título: 2220005026 390 - TOYOBO DO BRASIL LTDA 26/12/2022 LQ 721,41 721,41"
"Pago título: 2220005047 1979 - QUIMICA AMPARO LTDA 26/12/2022 LQ 711 711"
"Pago título: 2220005054 3662 - ASSOCIACAO RESIDENCI 26/12/2022 LQ 704,73 704,73"
"Pago título: 2220005061 5416 - ZARAPLAST S.A 26/12/2022 LQ 701,61 701,61"
"Pago título: 2220005075 1420 - MIRVI BRASIL LTDA 26/12/2022 LQ 696,67 696,67"
"Pago título: 2220005103 1789 - CENTRAIS DE ABASTECI 26/12/2022 LQ 682,69 682,69"
"Pago título: 2220005110 52 - ASSOCIACAO DOS PROPRIE 26/12/2022 LQ 670,76 670,76"
"Pago título: 2220005117 2284 - AGUA VIDA TRANSPORTE 26/12/2022 LQ 669,18 669,18"
"Pago título: 2220005173 455 - TBK MINERACAO LTDA 26/12/2022 LQ 647,01 647,01"
"Pago título: 2220005180 7715 - CHT BRASIL QUIMICA L 26/12/2022 LQ 645,8 645,8"
"Pago título: 2220005208 2331 - STONE BUILDING INDUS 26/12/2022 LQ 639,23 639,23"
"Pago título: 2220005222 25 - EXTRACAO E COMERCIO DE 26/12/2022 LQ 632,29 632,29"
"Pago título: 2220005236 26 - CERAMICA FORMIGRES LTD 26/12/2022 LQ 625,13 625,13"
"Pago título: 2220005285 1846 - COMPANHIA NACIONAL D 26/12/2022 LQ 611,93 611,93"
"Pago título: 2220005292 2088 - ASSOCIACAO DE PROPRI 26/12/2022 LQ 610,63 610,63"
"Pago título: 2220005306 482 - TAVARES PINHEIRO INDU 26/12/2022 LQ 606,44 606,44"
"Pago título: 2220005327 497 - ALCOOL FERREIRA S/A 26/12/2022 LQ 598,71 598,71"
"Pago título: 2220005341 244 - CONFIBRA INDUSTRIA E 26/12/2022 LQ 594,27 594,27"
"Pago título: 2220005362 2464 - SPARTAN DO BRASIL PR 26/12/2022 LQ 586,79 586,79"
"Pago título: 2220005376 2846 - AGUAS DAS TERRAS SOL 26/12/2022 LQ 585,53 585,53"
"Pago título: 2220005383 2474 - DE MARCHI INDUSTRIA 26/12/2022 LQ 573,19 573,19"
"Pago título: 2220005411 4979 - KEVIDA DISTRIBUIDORA 26/12/2022 LQ 564,62 564,62"
"Pago título: 2220005425 163 - SABARA QUIMICOS E ING 26/12/2022 LQ 555,44 555,44"
"Pago título: 2220005432 892 - A. AZEVEDO INDUSTRIA 26/12/2022 LQ 553,36 553,36"
"Pago título: 2220005439 5560 - WT NEGOCIOS IMOBILIA 26/12/2022 LQ 550,4 550,4"
"Pago título: 2220005474 4288 - PTM AGRICOLA E PARTI 26/12/2022 LQ 539,18 539,18"
"Pago título: 2220005481 6995 - SPAL INDUSTRIA BRASI 26/12/2022 LQ 532,77 532,77"
"Pago título: 2220005488 2889 - I & M PAPEIS E EMBAL 26/12/2022 LQ 529,65 529,65"
"Pago título: 2220005509 432 - ASSOCIACAO PROPRIETAR 26/12/2022 LQ 523,95 523,95"
"Pago título: 2220005516 1689 - AJINOMOTO DO BRASIL 26/12/2022 LQ 522,81 522,81"
"Pago título: 2220005530 924 - CONDOMINIO CHACARAS M 26/12/2022 LQ 519,92 519,92"
"Pago título: 2220005537 142 - SOCIEDADE DE MELHORAM 26/12/2022 LQ 519,87 519,87"
"Pago título: 2220005544 1274 - GUAINUMBY TEXTIL LTD 26/12/2022 LQ 517,54 517,54"
"Pago título: 2220005551 3413 - TUIUTI ECO PARK EMPR 26/12/2022 LQ 517,14 517,14"
"Pago título: 2220005558 24 - ASSOCIACAO DOS PROPRIE 26/12/2022 LQ 515,75 515,75"
"Pago título: 2220005565 2952 - EXTRACAO E COMERCIO 26/12/2022 LQ 509,07 509,07"
"Pago título: 2220005572 1154 - GREENBRIER MAXION EQ 26/12/2022 LQ 507,69 507,69"
"Pago título: 2220005579 4697 - MARFRIG GLOBAL FOODS 26/12/2022 LQ 507,56 507,56"
"Pago título: 2220005586 237 - IPLASA - INDUSTRIA E 26/12/2022 LQ 501,89 501,89"
"Pago título: 2220005593 3637 - PICOLI & CARRARA COM 26/12/2022 LQ 501,89 501,89"
"Pago título: 2220005600 297 - CERAMICA CRISTOFOLETT 26/12/2022 LQ 501,89 501,89"
"Pago título: 2220005607 989 - A P LOSA & CIA LTDA 26/12/2022 LQ 501,89 501,89"
"Pago título: 2220005614 4862 - PSS DE CAMARGO SERVI 26/12/2022 LQ 501,89 501,89"
"Pago título: 2220005642 2457 - HYUNDAI MOTOR BRASIL 26/12/2022 LQ 491,02 491,02"
"Pago título: 2220005649 3992 - HOTEL FAZENDA HARAS 26/12/2022 LQ 489,34 489,34"
"Pago título: 2220005670 7252 - CRJP LOTEAMENTOS SPE 26/12/2022 LQ 481,91 481,91"
"Pago título: 2220005677 3666 - RAUL FERREIRA LEITE 26/12/2022 LQ 480,97 480,97"
"Pago título: 2220005691 844 - COIM BRASIL LTDA 26/12/2022 LQ 477,53 477,53"
"Pago título: 2220005698 3365 - MALIBER INDUSTRIA E 26/12/2022 LQ 476,26 476,26"
"Pago título: 2220005705 2590 - DIERBERGER OLEOS ESS 26/12/2022 LQ 475,75 475,75"
"Pago título: 2220005712 5539 - SPEEDY INCORPORACOES 26/12/2022 LQ 463,31 463,31"
"Pago título: 2220005740 4361 - RAUL FERREIRA LEITE 26/12/2022 LQ 460,06 460,06"
"Pago título: 2220005747 3453 - CERAMICA SAVANE LTDA 26/12/2022 LQ 457,72 457,72"
"Pago título: 2220005754 1859 - CWS CABLE PARKS LTDA 26/12/2022 LQ 455,53 455,53"
"Pago título: 2220005768 1618 - NAZATO PIRACICABA TR 26/12/2022 LQ 452,33 452,33"
"Pago título: 2220005775 1547 - SOCER BRASIL INDUSTR 26/12/2022 LQ 450,8 450,8"
"Pago título: 2220005782 4641 - DYNATECH INDUSTRIAS 26/12/2022 LQ 450,77 450,77"
"Pago título: 2220005803 2239 - CERAMICA RAMOS LTDA 26/12/2022 LQ 448,98 448,98"
"Pago título: 2220005810 2385 - SOLENIS ESPECIALIDAD 26/12/2022 LQ 446,46 446,46"
"Pago título: 2220005824 3253 - COPASIL QUIMICA INDU 26/12/2022 LQ 443,16 443,16"
"Pago título: 2220005831 2981 - VIVA PISOS E REVESTI 26/12/2022 LQ 439,15 439,15"
"Pago título: 2220005838 7129 - POUSADA CHALES DO TH 26/12/2022 LQ 438,11 438,11"
"Pago título: 2220005859 7159 - FLAVOUR MIX INDUSTRI 26/12/2022 LQ 432,25 432,25"
"Pago título: 2220005873 4779 - FUNDACAO CENTRO DE A 26/12/2022 LQ 429,53 429,53"
"Pago título: 2220005880 152 - SOCIEDADE AMIGOS DO R 26/12/2022 LQ 428,69 428,69"
"Pago título: 2220005887 4556 - ASSOCIACAO DE MELHOR 26/12/2022 LQ 425,15 425,15"
"Pago título: 2220005922 1692 - LALLEMAND SOLUCOES B 26/12/2022 LQ 418,84 418,84"
"Pago título: 2220005950 2684 - ANTONIO SERGIO LEITE 26/12/2022 LQ 418,24 418,24"
"Pago título: 2220005957 4654 - ASSOC DOS PROP DE LO 26/12/2022 LQ 418,24 418,24"
"Pago título: 2220005978 4631 - AGROPECUARIA CAPUAVA 26/12/2022 LQ 418,24 418,24"
"Pago título: 2220006020 3926 - HWT PROMOCOES ESPORT 26/12/2022 LQ 415,62 415,62"
"Pago título: 2220006048 6966 - TONINPAR EMPREENDIME 26/12/2022 LQ 413,63 413,63"
"Pago título: 2220006055 2083 - HANIER ESPECIALIDADE 26/12/2022 LQ 408,38 408,38"
"Pago título: 2220006090 3163 - RESIDENCIAL FAZENDA 26/12/2022 LQ 405,96 405,96"
"Pago título: 2220006097 2773 - SOCIEDADE DE ARMAZEN 26/12/2022 LQ 403,01 403,01"
"Pago título: 2220006104 3660 - SO AGUA COMERCIAL E 26/12/2022 LQ 401,51 401,51"
"Pago título: 2220006111 1465 - BBC INDUSTRIA E COME 26/12/2022 LQ 400,99 400,99"
"Pago título: 2220006125 1456 - ASSOC DOS PROP DO LO 26/12/2022 LQ 397,33 397,33"
"Pago título: 2220006139 932 - GREMIO RECR EMPREGADO 26/12/2022 LQ 395,69 395,69"
"Pago título: 2220006160 1477 - JETFIO INDUSTRIA TEX 26/12/2022 LQ 386,16 386,16"
"Pago título: 2220006174 2324 - BASF S/A 26/12/2022 LQ 381,43 381,43"
"Pago título: 2220006188 1813 - MAXLAV LAVANDERIA ES 26/12/2022 LQ 379,53 379,53"
"Pago título: 2220006209 265 - ADERE PRODUTOS AUTO-A 26/12/2022 LQ 377,81 377,81"
"Pago título: 2220006216 136 - MARCIA REGINA PEZZENT 26/12/2022 LQ 376,41 376,41"
"Pago título: 2220006223 5487 - ASSOC DOS PROPR DE L 26/12/2022 LQ 376,41 376,41"
"Pago título: 2220006230 5652 - CONDOMINIO D. PEDRO 26/12/2022 LQ 376,41 376,41"
"Pago título: 2220006237 4280 - YARA BRASIL FERTILIZ 26/12/2022 LQ 376,41 376,41"
"Pago título: 2220006244 426 - RUY R. DA ROCHA PRODU 26/12/2022 LQ 376,41 376,41"
"Pago título: 2220006258 1243 - ASSOCIACAO PROPRIETA 26/12/2022 LQ 376,41 376,41"
"Pago título: 2220006265 5580 - IRMAOS SEGEREN AGROP 26/12/2022 LQ 376,41 376,41"
"Pago título: 2220006272 5035 - CLOSURE SYSTEMS INTE 26/12/2022 LQ 376,41 376,41"
"Pago título: 2220006279 545 - SOCIEDADE DE PROPRIET 26/12/2022 LQ 376,36 376,36"
"Pago título: 2220006300 2458 - SENPAR TERRAS DE SAO 26/12/2022 LQ 368,47 368,47"
"Pago título: 2220006307 335 - ANTONIO BORIN SA IND 26/12/2022 LQ 367,15 367,15"
"Pago título: 2220006328 841 - MAGNETI MARELLI SISTE 26/12/2022 LQ 365,06 365,06"
"Pago título: 2220006349 69 - PLASTEK DO BRASIL INDU 26/12/2022 LQ 363,24 363,24"
"Pago título: 2220006363 1425 - TRANSPORTE E COMERCI 26/12/2022 LQ 359,68 359,68"
"Pago título: 2220006384 342 - IPE AGRO AVICOLA LTDA 26/12/2022 LQ 357,53 357,53"
"Pago título: 2220006398 2172 - FARMINA PET FOODS BR 26/12/2022 LQ 356,68 356,68"
"Pago título: 2220006405 3221 - LIMEIRENSE FERTILIZA 26/12/2022 LQ 356,28 356,28"
"Pago título: 2220006412 1591 - TQA INDUSTRIA E COME 26/12/2022 LQ 355,5 355,5"
"Pago título: 2220006440 5654 - FUNDICAO REGALI BRAS 26/12/2022 LQ 352,26 352,26"
"Pago título: 2220006447 17 - LEDERVIN INDUSTRIA E C 26/12/2022 LQ 351,32 351,32"
"Pago título: 2220006482 182 - UNIPEL INDUSTRIA E CO 26/12/2022 LQ 345,95 345,95"
"Pago título: 2220006489 293 - OMAMORI INDUSTRIA DE 26/12/2022 LQ 344,85 344,85"
"Pago título: 2220006496 7306 - TRANSPORTADORA FREZZ 26/12/2022 LQ 344,47 344,47"
"Pago título: 2220006517 4129 - TERRAPLANAGEM PARAIZ 26/12/2022 LQ 340,65 340,65"
"Pago título: 2220006524 4869 - ASSOCIACAO DOS MORAD 26/12/2022 LQ 338,77 338,77"
"Pago título: 2220006545 5938 - CLAUDETE APARECIDA G 26/12/2022 LQ 338,04 338,04"
"Pago título: 2220006552 2114 - MAXLAV LAVANDERIA ES 26/12/2022 LQ 336,68 336,68"
