"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72452562607202313639.ret"
""
"Cadastrado título novo: 9000007518 746 - RENATO RIOTARO TAKIGU 31/08/2023 RG 198,42 0"
"Pago título: 2230001664 2376 - MARILIA FERNANDES DE 31/07/2023 LQ 263,48 263,48"
"Pago título: 2230001754 3244 - PLANMAR INDUSTRIA E 31/07/2023 LQ 218,96 218,96"
"Pago título: 2230001799 3765 - CONDOMINIO RESIDENCI 31/07/2023 LQ 245,93 245,93"
"Pago título: 2230001862 4586 - GRAN FLORIDIAN EMPRE 31/07/2023 LQ 232,96 232,96"
"Pago título: 2230001925 5551 - ASSOCIACAO DOS MORAD 31/07/2023 LQ 243,97 243,97"
"Pago título: 2230002028 949 - DANA INDUSTRIAS LTDA 31/07/2023 LQ 203,45 203,45"
"Pago título: 2230002907 62 - GKN SINTER METALS LTDA 31/07/2023 LQ 452,15 452,15"
"Pago título: 2230002979 133 - CONDOMINIO SHOPPING P 31/07/2023 LQ 340,48 340,48"
"Pago título: 2230003327 411 - IOCHPE-MAXION S/A 31/07/2023 LQ 753,53 753,53"
"Pago título: 2230003525 558 - CONDOMINIO CENTRO EMP 31/07/2023 LQ 1018,63 1018,63"
"Pago título: 2230003771 900 - DANA INDUSTRIAS LTDA 31/07/2023 LQ 836,95 836,95"
"Pago título: 2230004011 999 - BRK AMBIENTAL - SANTA 31/07/2023 LQ 10854,06 10854,06"
"Pago título: 2230004065 1048 - AHLSTROM LOUVEIRA LT 31/07/2023 LQ 3611,26 3611,26"
"Pago título: 2230004527 1426 - WEIDMANN TECNOLOGIA 31/07/2023 LQ 243,12 243,12"
"Pago título: 2230004617 1575 - SO AGUA COMERCIO E S 31/07/2023 LQ 2926,62 2926,62"
"Pago título: 2230004707 1695 - GOODYEAR DO BRASIL P 31/07/2023 LQ 17740,58 17740,58"
"Pago título: 2230004863 1936 - IVO ZARZUR ADMINISTR 31/07/2023 LQ 236,58 236,58"
"Pago título: 2230005025 2205 - MPW LAVANDERIA CONFE 31/07/2023 LQ 362,16 362,16"
"Pago título: 2230005026 2205 - MPW LAVANDERIA CONFE 31/08/2023 LQ 362,15 362,15"
"Pago título: 2230005027 2205 - MPW LAVANDERIA CONFE 29/09/2023 LQ 362,15 362,15"
"Pago título: 2230005028 2205 - MPW LAVANDERIA CONFE 31/10/2023 LQ 362,15 362,15"
"Pago título: 2230005029 2205 - MPW LAVANDERIA CONFE 30/11/2023 LQ 362,15 362,15"
"Pago título: 2230005030 2205 - MPW LAVANDERIA CONFE 22/12/2023 LQ 362,15 362,15"
"Pago título: 2230005049 2258 - ATMOSFERA GESTAO E H 31/07/2023 LQ 1169,9 1169,9"
"Pago título: 2230005050 2258 - ATMOSFERA GESTAO E H 31/08/2023 LQ 1169,89 1169,89"
"Pago título: 2230005051 2258 - ATMOSFERA GESTAO E H 29/09/2023 LQ 1169,89 1169,89"
"Pago título: 2230005052 2258 - ATMOSFERA GESTAO E H 31/10/2023 LQ 1169,89 1169,89"
"Pago título: 2230005053 2258 - ATMOSFERA GESTAO E H 30/11/2023 LQ 1169,89 1169,89"
"Pago título: 2230005054 2258 - ATMOSFERA GESTAO E H 22/12/2023 LQ 1169,89 1169,89"
"Pago título: 2230005115 2331 - STONE BUILDING INDUS 31/07/2023 LQ 745,78 745,78"
"Pago título: 2230005247 2559 - CONDOMINIO RESIDENCI 31/07/2023 LQ 353,76 353,76"
"Pago título: 2230005649 3214 - S.ZANARDI EMPREENDIM 31/07/2023 LQ 260,05 260,05"
"Pago título: 2230005739 3374 - ATMOSFERA GESTAO E H 31/07/2023 LQ 1782,52 1782,52"
"Pago título: 2230005740 3374 - ATMOSFERA GESTAO E H 31/08/2023 LQ 1782,51 1782,51"
"Pago título: 2230005741 3374 - ATMOSFERA GESTAO E H 29/09/2023 LQ 1782,51 1782,51"
"Pago título: 2230005742 3374 - ATMOSFERA GESTAO E H 31/10/2023 LQ 1782,51 1782,51"
"Pago título: 2230005743 3374 - ATMOSFERA GESTAO E H 30/11/2023 LQ 1782,51 1782,51"
"Pago título: 2230005744 3374 - ATMOSFERA GESTAO E H 22/12/2023 LQ 1782,51 1782,51"
"Pago título: 2230005757 3382 - CENTRO EMPRESARIAL E 31/07/2023 LQ 383,69 383,69"
"Pago título: 2230005763 3383 - CENTRO EMPRESARIAL E 31/07/2023 LQ 730,09 730,09"
"Pago título: 2230005811 3443 - BRK AMBIENTAL - SUMA 31/07/2023 LQ 120020,47 120020,47"
"Pago título: 2230005829 3462 - CONDOMINIO EMPRESARI 31/07/2023 LQ 1442,21 1442,21"
"Pago título: 2230006171 4280 - YARA BRASIL FERTILIZ 31/07/2023 LQ 439,15 439,15"
"Pago título: 2230006555 5318 - SERRANO EMPREENDIMEN 31/07/2023 LQ 243,32 243,32"
"Pago título: 2230006669 5487 - ASSOC DOS PROPR DE L 31/07/2023 LQ 439,15 439,15"
"Pago título: 2230006813 5802 - AGUAS DO BARREIRO RI 31/07/2023 LQ 390,33 390,33"
"Pago título: 2230007053 7348 - JATOBA EMPREENDIMENT 31/07/2023 LQ 260,73 260,73"
"Cancelado título: 2230000200 1278 - LIQUIGAS DISTRIBUIDO 31/07/2023 BX 260,56 0"
