"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72453462809202321236.ret"
""
"Cadastrado título novo: 9000007671 2825 - AGRISTAR DO BRASIL L 31/10/2023 RG 526,98 0"
"Cadastrado título novo: 9000007672 7320 - ASSOCIACAO SHOPPING 31/10/2023 RG 684,53 0"
"Cadastrado título novo: 9000007673 886 - PROVIDER INDUSTRIA E 29/09/2023 RG 3026,79 0"
"Pago título: 2230004301 1132 - CIA SANEAMENTO BASIC 29/09/2023 LQ 20404,69 20404,69"
"Pago título: 2230004433 1249 - ESTANCIA PARQUE ATIB 29/09/2023 LQ 737,06 737,06"
"Pago título: 2230004487 1405 - ASSOCIACAO LOTEAMENT 29/09/2023 LQ 4273,24 4273,24"
"Pago título: 2230004715 1701 - TINTURARIA E ESTAMPA 29/09/2023 LQ 343,64 343,64"
"Pago título: 2230004739 1743 - EDSON CHINARELLI TRA 29/09/2023 LQ 2615,38 2615,38"
"Pago título: 2230004745 1749 - USINA PAULISTA DE BR 29/09/2023 LQ 376,83 376,83"
"Pago título: 2230005171 2410 - COND CENTRO DE LOGIS 29/09/2023 LQ 1336,21 1336,21"
"Pago título: 2230005489 2962 - CONDOMINIO VITORIA D 29/09/2023 LQ 316,19 316,19"
"Pago título: 2230005525 3026 - RAIZEN ENERGIA S/A 29/09/2023 LQ 530,64 530,64"
"Pago título: 2230005543 3053 - JR GOMES IMOBILIARIA 29/09/2023 LQ 317,17 317,17"
"Pago título: 2230005567 3091 - KARCHER INDUSTRIA E 29/09/2023 LQ 302,03 302,03"
"Pago título: 2230005651 3214 - S.ZANARDI EMPREENDIM 29/09/2023 LQ 260,08 260,08"
"Pago título: 2230005669 3253 - COPASIL QUIMICA INDU 29/09/2023 LQ 517,02 517,02"
"Pago título: 2230005705 3333 - AUREO ALESSANDRO DA 29/09/2023 LQ 583,8 583,8"
"Pago título: 2230005867 3516 - JOSE JORGE BERARDINE 29/09/2023 LQ 214,7 214,7"
"Pago título: 2230005903 3594 - CPM CONCRETO DE PRE 29/09/2023 LQ 218,04 218,04"
"Pago título: 2230006089 3926 - HWT PROMOCOES ESPORT 29/09/2023 LQ 473,31 473,31"
"Pago título: 2230006131 4014 - ASSOC DOS PROPRIETAR 29/09/2023 LQ 878,3 878,3"
"Pago título: 2230006161 4135 - ALCEBIADES FERREIRA 29/09/2023 LQ 232,66 232,66"
"Pago título: 2230006197 4330 - CPD LOCADORA DE VEIC 29/09/2023 LQ 1463,83 1463,83"
"Pago título: 2230006473 5035 - CLOSURE SYSTEMS INTE 29/09/2023 LQ 439,15 439,15"
"Pago título: 2230006479 5040 - CONDOMINIO GARNET 29/09/2023 LQ 585,53 585,53"
"Pago título: 2230006587 5402 - SAO PAULO SECRETARIA 29/09/2023 LQ 985,49 985,49"
"Pago título: 2230007085 7373 - LEVISSIMA DISTRIBUIC 29/09/2023 LQ 1288,17 1288,17"
"Pago título: 2230007145 7722 - ASSOC DE PROP DO LOT 29/09/2023 LQ 207,17 207,17"
"Pago título: 2230007151 7724 - CONDOMINIO RESIDENCI 29/09/2023 LQ 295,53 295,53"
"Pago título: 9000007583 7759 - THIAGO RODRIGO ROCHI 29/09/2023 LQ 1712,02 1712,02"
"Pago título: 9000007637 411 - IOCHPE-MAXION S/A 29/09/2023 LQ 776,29 776,29"
"Pago título: 9000007644 5040 - CONDOMINIO GARNET 29/09/2023 LQ 1424,26 1424,26"
"Pago título: 9000007651 853 - TAKASAGO FRANGANCIAS 29/09/2023 LQ 422,97 422,97"
"Pago título: 9000007656 1556 - CONDOMINIO EDIFICIO 29/09/2023 LQ 92,2 92,2"
"Pago título: 9000007657 1556 - CONDOMINIO EDIFICIO 29/09/2023 LQ 287,69 287,69"
"Pago título: 9000007658 72 - ANTENOR MAXIMIANO PART 29/09/2023 LQ 1750,17 1750,17"
