"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442892906202114353.ret"
""
"Cadastrado título novo: 9000006219 3342 - XERIUM TECHNOLOGIES 30/07/2021 RG 435,56 0"
"Cadastrado título novo: 9000006220 5212 - SUPERMERCADO DELTA M 30/07/2021 RG 121,62 0"
"Cadastrado título novo: 9000006221 194 - CRUZEIRO DO SUL INDUS 30/07/2021 RG 1838,18 0"
"Cadastrado título novo: 9000006222 4356 - CONDOMINIO RESIDENCI 30/06/2021 RG 454,64 0"
"Cadastrado título novo: 9000006223 5947 - SERVICO SOCIAL DO CO 30/07/2021 RG 421,7 0"
"Cadastrado título novo: 9000006224 1705 - SAINT-GOBAIN DO BRAS 30/06/2021 RG 257,58 0"
"Pago título: 2111000275 1791 - MAHLE METAL LEVE S 30/06/2021 LQ 900,39 900,39"
"Pago título: 2111000282 1839 - TEXTIL PBS LTDA 30/06/2021 LQ 208,29 208,29"
"Pago título: 2111000290 1888 - OMIKRON GALVANOPLAS 30/06/2021 LQ 263,06 263,06"
"Pago título: 2111000294 1911 - AUTO POSTO PETROPEN 30/06/2021 LQ 137,5 137,5"
"Pago título: 2111000298 1932 - MARIA EMILIA IRINEU 30/06/2021 LQ 234,21 234,21"
"Pago título: 2111000332 2154 - PREFEITURA DO MUNIC 30/06/2021 LQ 231 231"
"Pago título: 2111000361 2303 - MAUSA S/A EQUIPAMEN 30/06/2021 LQ 320,65 320,65"
"Pago título: 2111000364 2333 - AGUA BRAG ABASTECIM 30/06/2021 LQ 240,63 240,63"
"Pago título: 2111000376 2411 - ASSOC DOS PROP DO R 30/06/2021 LQ 344,77 344,77"
"Pago título: 2111000401 2502 - IND STRIAS REUNIDAS 30/06/2021 LQ 6637,61 6637,61"
"Pago título: 2111000404 2513 - LAVAPANO T XTIL LTD 30/06/2021 LQ 337,16 337,16"
"Pago título: 2111000413 2544 - GIANNINI S/A 30/06/2021 LQ 161,94 161,94"
"Pago título: 2111000426 2623 - ROBERTO TOSHIAKI KA 30/06/2021 LQ 360,46 360,46"
"Pago título: 2111000461 2765 - CONDOM NIO EDIF CIO 30/06/2021 LQ 233,21 233,21"
"Pago título: 2111000466 2781 - MORAES & MORAES LTD 30/06/2021 LQ 213,13 213,13"
"Pago título: 2111000471 2799 - DUBAR IND STRIA E C 30/06/2021 LQ 274,75 274,75"
"Pago título: 2111000578 3302 - PANIFICADORA E DIST 30/06/2021 LQ 1610,22 1610,22"
"Pago título: 2111000595 3405 - VICMA CONSTRU  ES E 30/06/2021 LQ 471,34 471,34"
"Pago título: 2111000597 3420 - CONDOM NIO INDUSTRI 30/06/2021 LQ 160,12 160,12"
"Pago título: 2111000613 3478 - MAHEI HOTEIS E TURI 30/06/2021 LQ 149,36 149,36"
"Pago título: 2111000636 3610 - FENIX FABRIL IND ST 30/06/2021 LQ 503,1 503,1"
"Pago título: 2111000640 3625 - ANODICAMP - IND STR 30/06/2021 LQ 265,22 265,22"
"Pago título: 2111000648 3655 - ALPHAFER CONSTRU  E 30/06/2021 LQ 303,19 303,19"
"Pago título: 2111000659 3695 - CONDOM NIO RESIDENC 30/06/2021 LQ 64,4 64,4"
"Pago título: 2111000660 3702 - LUIZZI INDUSTRIA E 30/06/2021 LQ 215,92 215,92"
"Pago título: 2111000669 3736 - C L A - CENTRO LOGI 30/06/2021 LQ 196,98 196,98"
"Pago título: 2111000691 3811 - ROXO NOBRE E FILHO 30/06/2021 LQ 875,32 875,32"
"Pago título: 2111000715 3907 - SUPERMERCADOS BON-N 30/06/2021 LQ 145,89 145,89"
"Pago título: 2111000720 3922 - LEONARDO SANCHEZ SE 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000734 3986 - UR NIO DISTRIBUIDOR 30/06/2021 LQ 219,3 219,3"
"Pago título: 2111000747 4055 - CONDOMINIO RESIDENC 30/06/2021 LQ 357,54 357,54"
"Pago título: 2111000749 4061 - CONDOM NIO EDIF CIO 30/06/2021 LQ 282,59 282,59"
"Pago título: 2111000783 4401 - SUPERMERCADOS BOM-N 30/06/2021 LQ 116,71 116,71"
"Pago título: 2111000801 4524 - ASSOC DE PROP E MOR 30/06/2021 LQ 233,51 233,51"
"Pago título: 2111000810 4685 - PRISMA COMERCIAL EX 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000893 5508 - INDUSTRIA E COM RCI 30/06/2021 LQ 375,38 375,38"
"Pago título: 2111000899 5538 - SOCIEDADE RECREATIV 30/06/2021 LQ 344,66 344,66"
"Pago título: 2111000900 5552 - ASSOCIA  O EDUCACIO 30/06/2021 LQ 96,74 96,74"
"Pago título: 2111000911 5607 - ASSOCIA  O DE MORAD 30/06/2021 LQ 316,19 316,19"
"Pago título: 2111000918 5624 - CONDOM NIO EDIF CIO 30/06/2021 LQ 266,37 266,37"
"Pago título: 2111000938 7189 - COMERCIO DE FRUTAS 30/06/2021 LQ 389,64 389,64"
"Pago título: 2113000036 556 - CONDOMINIO VILLAGE V 30/06/2021 LQ 231,97 231,97"
"Pago título: 2113000066 972 - OJI PAPEIS ESPECIAIS 30/06/2021 LQ 243,44 243,44"
"Pago título: 2113000204 2485 - ENGELO IND STRIA E 30/06/2021 LQ 229,1 229,1"
"Pago título: 2113000240 2866 - CELSO LUIS BELLINI 30/06/2021 LQ 203,41 203,41"
"Pago título: 2113000360 3928 - ABONDANZA & GARCIA 30/06/2021 LQ 256,88 256,88"
"Pago título: 2113000384 4109 - COND CENTRO DE LOG 30/06/2021 LQ 254,23 254,23"
"Pago título: 2113000417 4586 - GRAN FLORIDIAN EMPR 30/06/2021 LQ 230,12 230,12"
"Pago título: 2113000447 5011 - ASSOCIA  O DOS MORA 30/06/2021 LQ 220,79 220,79"
"Pago título: 2113000525 5998 - SERVI O SOCIAL DO C 30/06/2021 LQ 261,29 261,29"
"Pago título: 2113000543 7017 - PRIMEIRA IGREJA PRE 30/06/2021 LQ 211,38 211,38"
"Pago título: 2113000552 7299 - UNIQUE GARDEN EMPRE 30/06/2021 LQ 239,02 239,02"
"Pago título: 2114000087 1039 - BRAGA COMERCIO E IN 30/06/2021 LQ 210,21 210,21"
"Pago título: 2114000103 1228 - FERNANDES TEXTIL LT 30/06/2021 LQ 212,35 212,35"
"Pago título: 2114000115 1478 - ARGIPAR ARGILA PART 30/06/2021 LQ 230,55 230,55"
"Pago título: 2114000199 2837 - DON ORIONE EMPREEND 30/06/2021 LQ 219,58 219,58"
"Pago título: 2114000259 3415 - CONDOM NIO EDIF CIO 30/06/2021 LQ 202,52 202,52"
"Pago título: 2114000323 4164 - SERELLO RECICLAGEM 30/06/2021 LQ 219,58 219,58"
"Pago título: 2114000339 4534 - CONDOM NIO CIVIL CE 30/06/2021 LQ 215,11 215,11"
"Pago título: 2115000008 153 - CONDOMINIO BOSQUE DO 30/06/2021 LQ 201,07 201,07"
"Pago título: 2115000248 4973 - ASSOCIA  O DOS PROP 30/06/2021 LQ 210,79 210,79"
"Pago título: 2115000328 7361 - GENCONS EMPREENDIME 30/06/2021 LQ 222,91 222,91"
"Pago título: 2116000081 474 - VINGI INDUSTRIA TEXT 30/06/2021 LQ 207,74 207,74"
"Pago título: 2116000237 2553 - UNIGRES CERAMICA LT 30/06/2021 LQ 219,78 219,78"
"Pago título: 2116000381 3929 - MINERA  O SAMAMBAIA 30/06/2021 LQ 202,19 202,19"
"Pago título: 2116000399 4135 - ALCEBIADES FERREIRA 30/06/2021 LQ 232,66 232,66"
"Pago título: 2116000400 4135 - ALCEBIADES FERREIRA 30/07/2021 LQ 232,66 232,66"
"Pago título: 2116000401 4135 - ALCEBIADES FERREIRA 31/08/2021 LQ 232,66 232,66"
"Pago título: 2116000402 4135 - ALCEBIADES FERREIRA 30/09/2021 LQ 232,66 232,66"
"Pago título: 2117000178 2196 - ASSOCIA AO CIVIL PA 30/06/2021 LQ 223,22 223,22"
"Pago título: 2117000255 3271 - ASSOCIA  O DOS PROP 30/06/2021 LQ 200,75 200,75"
"Pago título: 2117000311 3994 - ASSOCIA  O RESERVA 30/06/2021 LQ 225,85 225,85"
"Pago título: 2117000374 5354 - CONDOM NIO RESIDENC 30/06/2021 LQ 226,73 226,73"
"Pago título: 2118000275 157 - CONDOMINIO TECH TOWN 30/06/2021 LQ 873,81 873,81"
"Pago título: 2118000491 297 - CERAMICA CRISTOFOLET 30/06/2021 LQ 439,15 439,15"
"Pago título: 2118000955 841 - MAGNETI MARELLI SIST 30/06/2021 LQ 387,29 387,29"
"Pago título: 2118001667 1092 - PREFEITURA MUNICIPA 30/06/2021 LQ 453,54 453,54"
"Pago título: 2118001755 1128 - CIA SANEAMENTO BASI 30/06/2021 LQ 2101,29 2101,29"
"Pago título: 2118001763 1129 - CIA SANEAMENTO BASI 30/06/2021 LQ 8069,66 8069,66"
"Pago título: 2118001771 1132 - CIA SANEAMENTO BASI 30/06/2021 LQ 11665,37 11665,37"
"Pago título: 2118001891 1216 - CERBA DESTILARIA DE 30/06/2021 LQ 640,43 640,43"
"Pago título: 2118001907 1222 - SOCIEDADE COMUNITAR 30/06/2021 LQ 299,35 299,35"
"Pago título: 2118001947 1249 - ESTANCIA PARQUE ATI 30/06/2021 LQ 552,79 552,79"
"Pago título: 2118002155 1575 - SO AGUA COMERCIO E 30/06/2021 LQ 2194,98 2194,98"
"Pago título: 2118002203 1636 - AGV LOGISTICA S.A. 30/06/2021 LQ 352,42 352,42"
"Pago título: 2118002291 1749 - USINA PAULISTA DE B 30/06/2021 LQ 282,62 282,62"
"Pago título: 2118002643 2289 - ADVANCE IND STRIA T 30/06/2021 LQ 2623,91 2623,91"
"Pago título: 2118002659 2304 - LAZARO MELLO BRANDA 30/06/2021 LQ 214,45 214,45"
"Pago título: 2118002691 2331 - STONE BUILDING INDU 30/06/2021 LQ 559,32 559,32"
"Pago título: 2118002803 2497 - CARVALHEIRA IND STR 30/06/2021 LQ 1122,16 1122,16"
"Pago título: 2118002891 2688 - ARYZTA DO BRASIL AL 30/06/2021 LQ 318,73 318,73"
"Pago título: 2118002899 2712 - PE ANHA & HELENA TR 30/06/2021 LQ 654,82 654,82"
"Pago título: 2118003115 2962 - CONDOMINIO VITORIA 30/06/2021 LQ 237,14 237,14"
"Pago título: 2118003275 3145 - RCL CAMPING E TURIS 30/06/2021 LQ 309,24 309,24"
"Pago título: 2118003347 3273 - AMBITEC S/A 30/06/2021 LQ 321,99 321,99"
"Pago título: 2118003475 3389 - CONDOM NIO RESIDENC 30/06/2021 LQ 618,17 618,17"
"Pago título: 2118003515 3443 - BRK AMBIENTAL - SUM 30/06/2021 LQ 63682,99 63682,99"
"Pago título: 2118003619 3608 - BIONOVIS S.A. - CIA 30/06/2021 LQ 215,81 215,81"
"Pago título: 2118003667 3660 - SO AGUA COMERCIAL E 30/06/2021 LQ 351,32 351,32"
"Pago título: 2118003675 3662 - ASSOCIA  O RESIDENC 30/06/2021 LQ 616,64 616,64"
"Pago título: 2118003811 3879 - CATALISE IND STRIA 30/06/2021 LQ 292,76 292,76"
"Pago título: 2118003979 4306 - CONSTANTE DE OLIVEI 30/06/2021 LQ 883,79 883,79"
"Pago título: 2118004123 4653 - SERVI O DE  GUA E E 30/06/2021 LQ 424,47 424,47"
"Pago título: 2118004203 4830 - CONDOMINIO RESIDENC 30/06/2021 LQ 256,17 256,17"
"Pago título: 2118004339 5076 - CLUBE DE CAMPO FAZE 30/06/2021 LQ 1617,53 1617,53"
"Pago título: 2118004483 5418 - SAMUEL SAMPAIO TOCA 30/06/2021 LQ 365,51 365,51"
"Pago título: 2118004683 5652 - CONDOM NIO D. PEDRO 30/06/2021 LQ 527,33 527,33"
"Pago título: 2118004771 5865 - CONDOMINIO VILLA UN 30/06/2021 LQ 468,55 468,55"
"Pago título: 2118005059 7226 - ASSOCIA  O DE MORAD 30/06/2021 LQ 1303,27 1303,27"
"Pago título: 2118005099 7308 - MARIA CRISTINA RODR 30/06/2021 LQ 1012,44 1012,44"
"Pago título: 2118005243 7669 - ASSOCIA  O DA INSTI 30/06/2021 LQ 208,6 208,6"
"Pago título: 9000005842 2748 - QUALITY BENEFICIADOR 30/06/2021 LQ 2679,6 2679,6"
"Pago título: 9000006081 2962 - CONDOMINIO VITORIA D 30/06/2021 LQ 491,05 491,05"
"Pago título: 9000006117 7226 - ASSOCIACAO DE MORADO 30/06/2021 LQ 2698,71 2698,71"
"Pago título: 9000006120 3593 - T.H.R. INDUSTRIA E C 30/06/2021 LQ 545,61 545,61"
"Pago título: 9000006163 3728 - VALMIR FERNANDES FON 30/06/2021 LQ 1597,74 1597,74"
"Pago título: 9000006194 3443 - BRK AMBIENTAL - SUMA 30/06/2021 LQ 131868,51 131868,51"
"Pago título: 9000006198 3737 - CASA DOS SONHOS COM, 30/06/2021 LQ 454,65 454,65"
"Pago título: 9000006207 1042 - MANETONI CENTRAL DE 30/06/2021 LQ 480,54 480,54"
"Pago título: 9000006215 3929 - MINERACAO SAMAMBAIA 30/06/2021 LQ 418,68 418,68"
"Cancelado título: 2111000040 194 - CRUZEIRO DO SUL IND 30/06/2021 BX 5390,59 0"
"Cancelado título: 2111000735 3987 - SPUMAPAC - INDUSTRI 30/06/2021 BX 218,81 0"
"Cancelado título: 2117000380 5432 - AGROMAIS COMERCIO E 31/05/2021 BX 209,12 0"
"Cancelado título: 2117000381 5432 - AGROMAIS COMERCIO E 30/06/2021 BX 209,12 0"
"Cancelado título: 2117000382 5432 - AGROMAIS COMERCIO E 30/07/2021 BX 209,12 0"
"Cancelado título: 2117000383 5432 - AGROMAIS COMERCIO E 31/08/2021 BX 209,12 0"
"Cancelado título: 2117000384 5432 - AGROMAIS COMERCIO E 30/09/2021 BX 209,12 0"
"Cancelado título: 2117000385 5432 - AGROMAIS COMERCIO E 29/10/2021 BX 209,12 0"
"Cancelado título: 2118003434 3378 - SMART MODULAR TECHN 31/05/2021 BX 559,9 0"
"Cancelado título: 2118003435 3378 - SMART MODULAR TECHN 30/06/2021 BX 559,9 0"
"Cancelado título: 2118003436 3378 - SMART MODULAR TECHN 30/07/2021 BX 559,9 0"
"Cancelado título: 2118003437 3378 - SMART MODULAR TECHN 31/08/2021 BX 559,9 0"
"Cancelado título: 2118003438 3378 - SMART MODULAR TECHN 30/09/2021 BX 559,9 0"
"Cancelado título: 2118003439 3378 - SMART MODULAR TECHN 29/10/2021 BX 559,9 0"
"Cancelado título: 2118003440 3378 - SMART MODULAR TECHN 30/11/2021 BX 559,9 0"
