"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72458183010202421236.ret"
""
"Cadastrado título novo: 9000008348 5643 - MARCELO ALVES PEREIR 31/10/2024 RG 441,11 0"
"Cadastrado título novo: 9000008349 5537 - SILAS J. TRINDADE  - 29/11/2024 RG 253,85 0"
"Cadastrado título novo: 9000008350 7324 - THEIA EMPREENDIMENTO 31/10/2024 RG 228,65 0"
"Cadastrado título novo: 9000008351 2156 - HENKEL LTDA 29/11/2024 RG 1884,54 0"
"Pago título: 2400002639 3462 - CONDOMINIO EMPRESARI 31/10/2024 LQ 2163,35 2163,35"
"Pago título: 2400002807 375 - CAPUAVA S/A INDUSTRIA 31/10/2024 LQ 1632,71 1632,71"
"Pago título: 2400002851 558 - CONDOMINIO CENTRO EMP 31/10/2024 LQ 1551,14 1551,14"
"Pago título: 2400002863 861 - HUDTELFA TEXTILE TECH 31/10/2024 LQ 1517,58 1517,58"
"Pago título: 2400002915 7213 - AGUAS DE MAIRIPORA L 31/10/2024 LQ 1463,83 1463,83"
"Pago título: 2400003059 900 - DANA INDUSTRIAS LTDA 31/10/2024 LQ 1255,41 1255,41"
"Pago título: 2400003183 3383 - CENTRO EMPRESARIAL E 31/10/2024 LQ 1111,44 1111,44"
"Pago título: 2400003203 2410 - COND CENTRO DE LOGIS 31/10/2024 LQ 1097,88 1097,88"
"Pago título: 2400003247 6849 - ASSOCIACAO DOS MORAD 31/10/2024 LQ 1061,28 1061,28"
"Pago título: 2400003311 978 - CHEM-TREND IND E COM 31/10/2024 LQ 987,88 987,88"
"Pago título: 2400003391 237 - IPLASA - INDUSTRIA E 31/10/2024 LQ 878,3 878,3"
"Pago título: 2400003419 3333 - AUREO ALESSANDRO DA 31/10/2024 LQ 875,69 875,69"
"Pago título: 2400003455 7822 - ASSOC CONDOMINIOS RE 31/10/2024 LQ 836,88 836,88"
"Pago título: 2400003503 3453 - CERAMICA SAVANE LTDA 31/10/2024 LQ 801,01 801,01"
"Pago título: 2400003591 3954 - MARCO ANTONIO TONOLI 31/10/2024 LQ 731,92 731,92"
"Pago título: 2400003619 4631 - AGROPECUARIA CAPUAVA 31/10/2024 LQ 731,92 731,92"
"Pago título: 2400003687 3926 - HWT PROMOCOES ESPORT 31/10/2024 LQ 709,96 709,96"
"Pago título: 2400003715 932 - GREMIO RECR EMPREGADO 31/10/2024 LQ 692,46 692,46"
"Pago título: 2400003723 62 - GKN SINTER METALS LTDA 31/10/2024 LQ 678,26 678,26"
"Pago título: 2400003799 5035 - CLOSURE SYSTEMS INTE 31/10/2024 LQ 658,73 658,73"
"Pago título: 2400003839 5545 - COOPERATIVA VEILING 31/10/2024 LQ 638,97 638,97"
"Pago título: 2400003843 841 - MAGNETI MARELLI SISTE 31/10/2024 LQ 638,85 638,85"
"Pago título: 2400003923 5323 - ERCA INDUSTRIA E COM 31/10/2024 LQ 596,9 596,9"
"Pago título: 2400003995 1122 - PPC SANTANA EQUIPAME 31/10/2024 LQ 583,49 583,49"
"Pago título: 2400004019 3382 - CENTRO EMPRESARIAL E 31/10/2024 LQ 575,56 575,56"
"Pago título: 2400004063 1749 - USINA PAULISTA DE BR 31/10/2024 LQ 565,24 565,24"
"Pago título: 2400004111 5803 - ASSOCIACAO DOS AMIGO 31/10/2024 LQ 548,94 548,94"
"Pago título: 2400004231 133 - CONDOMINIO SHOPPING P 31/10/2024 LQ 510,7 510,7"
"Pago título: 2400004239 2814 - REAL INDUSTRIA E COM 31/10/2024 LQ 508,98 508,98"
"Pago título: 2400004307 3139 - RAIZEN ENERGIA S/A 31/10/2024 LQ 475,75 475,75"
"Pago título: 2400004327 1603 - OLIVEIRA & LOPES LTD 31/10/2024 LQ 472,13 472,13"
"Pago título: 2400004371 5009 - ASSOCIACAO DOS MORAD 31/10/2024 LQ 443,55 443,55"
"Pago título: 2400004411 4356 - CONDOMINIO RESIDENCI 31/10/2024 LQ 439,15 439,15"
"Pago título: 2400004459 5643 - MARCELO ALVES PEREIR 31/10/2024 LQ 428,17 428,17"
"Pago título: 2400004543 3994 - ASSOCIACAO RESERVA D 31/10/2024 LQ 395,24 395,24"
"Pago título: 2400004619 3540 - COMERCIAL DE ALIMENT 31/10/2024 LQ 380,98 380,98"
"Pago título: 2400004651 658 - LUIZ DE MORAES BARROS 31/10/2024 LQ 365,96 365,96"
"Pago título: 2400004683 6911 - MAURO DA SILVA ARTUR 31/10/2024 LQ 365,96 365,96"
"Pago título: 2400004719 1426 - WEIDMANN TECNOLOGIA 31/10/2024 LQ 364,72 364,72"
"Pago título: 2400004783 5449 - CONDOMINIO HOTEL INT 31/10/2024 LQ 351,32 351,32"
"Pago título: 2400004883 1113 - PPC SANTANA EQUIPAME 31/10/2024 LQ 334,93 334,93"
"Pago título: 2400004923 4840 - CIALENE INDUSTRIA E 31/10/2024 LQ 329,36 329,36"
"Pago título: 2400004955 3594 - CPM CONCRETO DE PRE 31/10/2024 LQ 327,07 327,07"
"Pago título: 2400004979 3516 - JOSE JORGE BERARDINE 31/10/2024 LQ 322,04 322,04"
"Pago título: 2400004995 2227 - COMSAPE EXTRACAO E C 31/10/2024 LQ 321,05 321,05"
"Pago título: 2400005039 1558 - CONDOMINIO CHACARAS 31/10/2024 LQ 314,72 314,72"
"Pago título: 2400005055 7722 - ASSOC DE PROP DO LOT 31/10/2024 LQ 310,75 310,75"
"Pago título: 2400005147 5616 - TRADECORP DO BRASIL, 31/10/2024 LQ 296,34 296,34"
"Pago título: 2400005164 302 - TEXTIL IRINEU MENEGHE 29/11/2024 LQ 292,88 292,88"
"Pago título: 2400005171 7294 - ASSOCIACAO DE PROPRI 31/10/2024 LQ 292,77 292,77"
"Pago título: 2400005223 3774 - ASSOCIACAO DOS PROP 31/10/2024 LQ 283,07 283,07"
"Pago título: 2400005319 769 - LUIZ CARLOS SCARPONI 31/10/2024 LQ 263,49 263,49"
"Pago título: 2400005367 3424 - ASSOCIACAO DOS PROP. 31/10/2024 LQ 256,17 256,17"
"Pago título: 2400005371 155 - AUTO POSTO AMIGAO DA 31/10/2024 LQ 256,17 256,17"
"Pago título: 2400005411 2280 - TINTURARIA SANTA ADE 31/10/2024 LQ 250,46 250,46"
"Pago título: 2400005427 5907 - TSI - EMPREENDIMENTO 31/10/2024 LQ 248,85 248,85"
"Pago título: 2400005435 3827 - STAVIAS SATANOSKI TE 31/10/2024 LQ 246,65 246,65"
"Pago título: 2400005447 1092 - PREFEITURA MUNICIPAL 31/10/2024 LQ 243,89 243,89"
"Pago título: 2400005591 7324 - THEIA EMPREENDIMENTO 31/10/2024 LQ 221,97 221,97"
"Pago título: 2400005647 3298 - ASSOC DO CONJUNTO RE 31/10/2024 LQ 219,58 219,58"
"Pago título: 2400005651 5621 - CENTERANEL 1 PARTICI 31/10/2024 LQ 219,58 219,58"
"Pago título: 2400005715 4534 - CONDOMINIO CIVIL CEN 31/10/2024 LQ 215,11 215,11"
"Pago título: 2400005751 5468 - LUCIANO TORELLI E CI 31/10/2024 LQ 211,76 211,76"
"Pago título: 2400005803 1228 - FERNANDES TEXTIL LTD 31/10/2024 LQ 207,5 207,5"
"Pago título: 2400005827 7361 - GENCONS EMPREENDIMEN 31/10/2024 LQ 204,94 204,94"
"Pago título: 2400005839 949 - DANA INDUSTRIAS LTDA 31/10/2024 LQ 203,46 203,46"
"Pago título: 2400005859 1817 - TECITEX TINTURARIA E 31/10/2024 LQ 201,04 201,04"
"Pago título: 9000008216 7884 - ASSOCIACAO DE CONSER 31/10/2024 LQ 292,77 292,77"
"Pago título: 9000008245 7324 - THEIA EMPREENDIMENTO 31/10/2024 LQ 2879,6 2879,6"
"Pago título: 9000008248 907 - SERRA AZUL WATER PARK 31/10/2024 LQ 2473,12 2473,12"
"Pago título: 9000008269 5080 - ALEGRO HOTEL BY TAUA 31/10/2024 LQ 265,67 265,67"
"Pago título: 9000008270 4211 - TAUA HOTEL CONVENTIO 31/10/2024 LQ 4882,82 4882,82"
"Pago título: 9000008316 564 - LOGISPOT ARMAZENS GER 31/10/2024 LQ 3317,68 3317,68"
"Pago título: 9000008334 4972 - ADAUTO CONSERVANI 31/10/2024 LQ 3229,17 3229,17"
"Pago título: 9000008347 7892 - ASSOCIACAO AMIGOS DO 31/10/2024 LQ 379,79 379,79"
