"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72454303011202324206.ret"
""
"Cadastrado título novo: 9000007875 2894 - BT DE OLIVEIRA CARNE 29/12/2023 RG 322,24 0"
"Cadastrado título novo: 9000007876 4339 - JOATE DO BRASIL ADMI 29/12/2023 RG 309,56 0"
"Cadastrado título novo: 9000007877 3604 - TEMPO DISTRIBUIDORA 29/12/2023 RG 376,68 0"
"Cadastrado título novo: 9000007878 2501 - AUTO POSTO E RESTAUR 29/12/2023 RG 310,92 0"
"Cadastrado título novo: 9000007879 5509 - IRON MOUNTAIN DO BRA 29/12/2023 RG 313,8 0"
"Cadastrado título novo: 9000007880 1601 - CONTECH PRODUTOS BIO 29/12/2023 RG 272,81 0"
"Cadastrado título novo: 9000007881 5309 - ASSOCIACAO RESIDENCI 29/12/2023 RG 266,77 0"
"Cadastrado título novo: 9000007882 3617 - HOSPITAL SAMARITANO 29/12/2023 RG 281,51 0"
"Cadastrado título novo: 9000007883 5075 - INDUSTRIA DE PRODUTO 29/12/2023 RG 297,17 0"
"Cadastrado título novo: 9000007884 6890 - SP TINTAS E COMERCIO 30/11/2023 RG 918,48 0"
"Cadastrado título novo: 9000007885 1215 - RAPIDO LUXO CAMPINAS 29/12/2023 RG 328,43 0"
"Pago título: 2230003073 202 - NOVA PLAST IND E COM 30/11/2023 LQ 262,08 262,08"
"Pago título: 2230003079 203 - TINTURARIA E ESTAMPAR 30/11/2023 LQ 1343,04 1343,04"
"Pago título: 2230003085 206 - ROUSSELOT GELATINAS D 30/11/2023 LQ 2597,39 2597,39"
"Pago título: 2230003091 211 - FERNANDEZ S.A. INDUST 30/11/2023 LQ 517,14 517,14"
"Pago título: 2230003103 219 - SI GROUP CRIOS RESINA 30/11/2023 LQ 2443,08 2443,08"
"Pago título: 2230003109 223 - VIVA PISOS E REVESTIM 30/11/2023 LQ 862,69 862,69"
"Pago título: 2230003133 237 - IPLASA - INDUSTRIA E 30/11/2023 LQ 585,53 585,53"
"Pago título: 2230003145 244 - CONFIBRA INDUSTRIA E 30/11/2023 LQ 693,32 693,32"
"Pago título: 2230003146 244 - CONFIBRA INDUSTRIA E 22/12/2023 LQ 693,32 693,32"
"Pago título: 2230003151 246 - 3M DO BRASIL LTDA 30/11/2023 LQ 1958,57 1958,57"
"Pago título: 2230003163 257 - PASTIFICIO SELMI S/A 30/11/2023 LQ 2004,04 2004,04"
"Pago título: 2230003169 262 - INDUSTRIA CAMPINEIRA 30/11/2023 LQ 395,24 395,24"
"Pago título: 2230003175 265 - ADERE PRODUTOS AUTO-A 30/11/2023 LQ 315,22 315,22"
"Pago título: 2230003181 281 - BIO SPRINGER DO BRASI 30/11/2023 LQ 1136,41 1136,41"
"Pago título: 2230003199 293 - OMAMORI INDUSTRIA DE 30/11/2023 LQ 402,33 402,33"
"Pago título: 2230003205 297 - CERAMICA CRISTOFOLETT 30/11/2023 LQ 585,53 585,53"
"Pago título: 2230003217 312 - FIACAO ALPINA LTDA 30/11/2023 LQ 1061,86 1061,86"
"Pago título: 2230003229 324 - DEDINI S/A INDUSTRIAS 30/11/2023 LQ 858,58 858,58"
"Pago título: 2230003235 332 - CRS BRANDS INDUSTRIA 30/11/2023 LQ 4783,81 4783,81"
"Pago título: 2230003241 335 - ANTONIO BORIN SA IND 30/11/2023 LQ 428,34 428,34"
"Pago título: 2230003253 349 - SOBAM CENTRO MEDICO H 30/11/2023 LQ 234,01 234,01"
"Pago título: 2230003259 356 - ESTANCIA ARVORE DA VI 30/11/2023 LQ 740,18 740,18"
"Pago título: 2230003265 357 - CONDOMINIO VILLE DE C 30/11/2023 LQ 1924,24 1924,24"
"Pago título: 2230003295 383 - EATON LTDA 30/11/2023 LQ 1263,47 1263,47"
"Pago título: 2230003301 390 - TOYOBO DO BRASIL LTDA 30/11/2023 LQ 841,64 841,64"
"Pago título: 2230003307 391 - CONDOMINIO EDIFICIO E 30/11/2023 LQ 232,33 232,33"
"Pago título: 2230003331 411 - IOCHPE-MAXION S/A 30/11/2023 LQ 753,53 753,53"
"Pago título: 2230003337 417 - EMBRAMACO EMPRESA BRA 30/11/2023 LQ 4044,79 4044,79"
"Pago título: 2230003343 421 - MARTINREA HONSEL BRAS 30/11/2023 LQ 1156,45 1156,45"
"Pago título: 2230003349 426 - RUY R. DA ROCHA PRODU 30/11/2023 LQ 439,15 439,15"
"Pago título: 2230003355 432 - ASSOCIACAO PROPRIETAR 30/11/2023 LQ 611,27 611,27"
"Pago título: 2230003373 449 - ASSOCIACAO PRO AGUA T 30/11/2023 LQ 997,24 997,24"
"Pago título: 2230003385 455 - TBK MINERACAO LTDA 30/11/2023 LQ 754,85 754,85"
"Pago título: 2230003391 461 - J.R.M. - PARTICIPACOE 30/11/2023 LQ 994,48 994,48"
"Pago título: 2230003397 462 - AD ORO S/A 30/11/2023 LQ 4632,68 4632,68"
"Pago título: 2230003409 473 - TECELAGEM CHUAHY LTDA 30/11/2023 LQ 213,04 213,04"
"Pago título: 2230003415 474 - VINGI INDUSTRIA TEXTI 30/11/2023 LQ 227,97 227,97"
"Pago título: 2230003421 476 - CLUBE DE CAMPO VALINH 30/11/2023 LQ 2607,38 2607,38"
"Pago título: 2230003433 482 - TAVARES PINHEIRO INDU 30/11/2023 LQ 707,52 707,52"
"Pago título: 2230003445 490 - SAINT-GOBAIN DO BRASI 30/11/2023 LQ 1388,16 1388,16"
"Pago título: 2230003457 495 - NEUMAYER TEKFOR AUTOM 30/11/2023 LQ 226,22 226,22"
"Pago título: 2230003463 497 - ALCOOL FERREIRA S/A 30/11/2023 LQ 698,5 698,5"
"Pago título: 2230003469 499 - SPAL INDUSTRIA BRASIL 30/11/2023 LQ 3889,66 3889,66"
"Pago título: 2230003475 500 - BIGNARDI IND E COM DE 30/11/2023 LQ 7070,23 7070,23"
"Pago título: 2230003481 503 - FLAMBOIA ALIMENTOS LT 30/11/2023 LQ 855,62 855,62"
"Pago título: 2230003487 505 - ASSOCIACAO AMIGOS DO 30/11/2023 LQ 1493,97 1493,97"
"Pago título: 2230003493 507 - TINTURARIA UNIVERSO L 30/11/2023 LQ 1430,69 1430,69"
"Pago título: 2230003499 521 - SPG PRINTS BRASIL LTD 30/11/2023 LQ 228,11 228,11"
"Pago título: 2230003511 529 - OWENS CORNING FIBERGL 30/11/2023 LQ 3302,72 3302,72"
"Pago título: 2230003541 563 - PLAZA INDUSTRIA E COM 30/11/2023 LQ 271,35 271,35"
"Pago título: 2230003547 585 - TEKA - TECELAGEM KUEN 30/11/2023 LQ 2158,31 2158,31"
"Pago título: 2230003553 604 - ASSOCIACAO RESIDENCIA 30/11/2023 LQ 268,37 268,37"
"Pago título: 2230003565 680 - JOSE EDUARDO ANNICCHI 30/11/2023 LQ 243,97 243,97"
"Pago título: 2230003571 760 - LETICIA APARECIDA MAR 30/11/2023 LQ 217,47 217,47"
"Pago título: 2230003589 824 - UNIVERSIDADE DE SAO P 30/11/2023 LQ 1263,82 1263,82"
"Pago título: 2230003595 826 - DEPARTAMENTO AUTONOMO 30/11/2023 LQ 118046,64 118046,64"
"Pago título: 2230003601 828 - SERVICO AUTONOMO DE A 30/11/2023 LQ 66566,16 66566,16"
"Pago título: 2230003613 831 - DEPARTAMENTO DE AGUAS 30/11/2023 LQ 45502,62 45502,62"
"Pago título: 2230003619 832 - SANEAMENTO BASICO VIN 30/11/2023 LQ 38330,31 38330,31"
"Pago título: 2230003625 839 - BUTILAMIL INDUSTRIAS 30/11/2023 LQ 4792,57 4792,57"
"Pago título: 2230003637 842 - REGIMAR COMERCIAL S/A 30/11/2023 LQ 2609,6 2609,6"
"Pago título: 2230003643 844 - COIM BRASIL LTDA 30/11/2023 LQ 557,12 557,12"
"Pago título: 2230003649 845 - THYSSENKRUPP METALURG 30/11/2023 LQ 6626,37 6626,37"
"Pago título: 2230003655 851 - KROMBERG & SCHUBERT D 30/11/2023 LQ 369,13 369,13"
"Pago título: 2230003661 852 - ECOFABRIL INDUSTRIA E 30/11/2023 LQ 371 371"
"Pago título: 2230003667 855 - LOG & PRINT GRAFICA E 30/11/2023 LQ 283,5 283,5"
"Pago título: 2230003697 867 - EUCATEX INDUSTRIA E C 30/11/2023 LQ 53008,88 53008,88"
"Pago título: 2230003703 868 - PREFEITURA MUNICIPAL 30/11/2023 LQ 5625,52 5625,52"
"Pago título: 2230003715 880 - MD PAPEIS LTDA 30/11/2023 LQ 5132,01 5132,01"
"Pago título: 2230003721 882 - SERVICO AUTONOMO DE A 30/11/2023 LQ 115892,59 115892,59"
"Pago título: 2230003722 882 - SERVICO AUTONOMO DE A 22/12/2023 LQ 115892,59 115892,59"
"Pago título: 2230003727 885 - CP KELCO BRASIL S/A 30/11/2023 LQ 7191,1 7191,1"
"Pago título: 2230003733 886 - PROVIDER INDUSTRIA E 30/11/2023 LQ 1461,71 1461,71"
"Pago título: 2230003739 888 - INCOPISOS INDUSTRIA E 30/11/2023 LQ 1200,34 1200,34"
"Pago título: 2230003745 891 - TIMAVO DO BRASIL S/A 30/11/2023 LQ 4167,41 4167,41"
"Pago título: 2230003751 892 - A. AZEVEDO INDUSTRIA 30/11/2023 LQ 1743,78 1743,78"
"Pago título: 2230003757 895 - FRIGORIFICO ANGELELLI 30/11/2023 LQ 2147,82 2147,82"
"Pago título: 2230003763 896 - PREFEITURA MUNICIPAL 30/11/2023 LQ 1728,95 1728,95"
"Pago título: 2230003781 903 - MINASA TRADING INTERN 30/11/2023 LQ 1557,15 1557,15"
"Pago título: 2230003787 906 - TINTURARIA E ESTAMPAR 30/11/2023 LQ 2311,51 2311,51"
"Pago título: 2230003793 907 - SERRA AZUL WATER PARK 30/11/2023 LQ 2060,93 2060,93"
"Pago título: 2230003799 908 - PREFEITURA MUNICIPAL 30/11/2023 LQ 1556 1556"
"Pago título: 2230003805 909 - FLEX PARQUE EMPRESARI 30/11/2023 LQ 934,42 934,42"
"Pago título: 2230003817 917 - BMB BELGO MINEIRA BEK 30/11/2023 LQ 1419,27 1419,27"
"Pago título: 2230003823 919 - COMPANHIA DE DESENVOL 30/11/2023 LQ 57073,69 57073,69"
"Pago título: 2230003829 920 - ELEKEIROZ S/A 30/11/2023 LQ 11137,49 11137,49"
"Pago título: 2230003865 938 - MIRACEMA NUODEX INDUS 30/11/2023 LQ 474,84 474,84"
"Pago título: 2230003871 939 - LEF PISOS E REVESTIME 30/11/2023 LQ 1026,61 1026,61"
"Pago título: 2230003883 941 - RAIZEN ENERGIA S/A 30/11/2023 LQ 17455,42 17455,42"
"Pago título: 2230003901 944 - PREFEITURA MUNICIPAL 30/11/2023 LQ 21207,58 21207,58"
"Pago título: 2230003907 946 - HOTEL CAMPING ESTANCI 30/11/2023 LQ 995,41 995,41"
"Pago título: 2230003913 948 - QUINTA DA BARONEZA GO 30/11/2023 LQ 3882,08 3882,08"
"Pago título: 2230003931 955 - PREFEITURA DO MUNICIP 30/11/2023 LQ 5687,31 5687,31"
"Pago título: 2230003937 959 - ASK PRODUTOS QUIMICOS 30/11/2023 LQ 226,08 226,08"
"Pago título: 2230003943 962 - SAO MARTINHO S.A. 30/11/2023 LQ 44735,33 44735,33"
"Pago título: 2230003949 965 - IGARATIBA INDUSTRIA E 30/11/2023 LQ 378,18 378,18"
"Pago título: 2230003973 975 - BANN QUIMICA LTDA 30/11/2023 LQ 210,81 210,81"
"Pago título: 2230003979 976 - SOCIEDADE DE ABASTECI 30/11/2023 LQ 44650,43 44650,43"
"Pago título: 2230003991 981 - PIRACAIA IND E COM EX 30/11/2023 LQ 914,64 914,64"
"Pago título: 2230003997 985 - CONDOMINIO FAZENDA DU 30/11/2023 LQ 390,9 390,9"
"Pago título: 2230004021 1000 - CIA SANEAMENTO BASIC 30/11/2023 LQ 2977,62 2977,62"
"Pago título: 2230004027 1001 - CIA SANEAMENTO BASIC 30/11/2023 LQ 1059,78 1059,78"
"Pago título: 2230004033 1002 - CIA SANEAMENTO BASIC 30/11/2023 LQ 2139,08 2139,08"
"Pago título: 2230004039 1004 - BRANYL COMERCIO E IN 30/11/2023 LQ 1199,56 1199,56"
"Pago título: 2230004045 1024 - RAIZEN ENERGIA S/A 30/11/2023 LQ 15495,82 15495,82"
"Pago título: 2230004051 1033 - CCS TECNOLOGIA E SER 30/11/2023 LQ 298,03 298,03"
"Pago título: 2230004063 1047 - QUIMICA AMPARO LTDA 30/11/2023 LQ 5765,68 5765,68"
"Pago título: 2230004075 1050 - CIA SANEAMENTO BASIC 30/11/2023 LQ 922,17 922,17"
"Pago título: 2230004087 1054 - CIA SANEAMENTO BASIC 30/11/2023 LQ 2781,29 2781,29"
"Pago título: 2230004093 1055 - CARTONIFICIO VALINHO 30/11/2023 LQ 1846,21 1846,21"
"Pago título: 2230004099 1057 - CIA SANEAMENTO BASIC 30/11/2023 LQ 19277,88 19277,88"
"Pago título: 2230004105 1058 - CIA SANEAMENTO BASIC 30/11/2023 LQ 9318,78 9318,78"
"Pago título: 2230004111 1060 - CIA SANEAMENTO BASIC 30/11/2023 LQ 5090,4 5090,4"
"Pago título: 2230004117 1063 - CIA SANEAMENTO BASIC 30/11/2023 LQ 3818,66 3818,66"
"Pago título: 2230004123 1064 - CIA SANEAMENTO BASIC 30/11/2023 LQ 710,79 710,79"
"Pago título: 2230004129 1065 - CIA SANEAMENTO BASIC 30/11/2023 LQ 32349,45 32349,45"
"Pago título: 2230004135 1066 - CIA SANEAMENTO BASIC 30/11/2023 LQ 1538,25 1538,25"
"Pago título: 2230004141 1067 - CIA SANEAMENTO BASIC 30/11/2023 LQ 9552,93 9552,93"
"Pago título: 2230004147 1070 - CIA SANEAMENTO BASIC 30/11/2023 LQ 5153,11 5153,11"
"Pago título: 2230004153 1073 - CIA SANEAMENTO BASIC 30/11/2023 LQ 12498,14 12498,14"
"Pago título: 2230004159 1074 - CIA SANEAMENTO BASIC 30/11/2023 LQ 1849,81 1849,81"
"Pago título: 2230004165 1075 - TINTEX TINTURARIA TE 30/11/2023 LQ 2547,88 2547,88"
"Pago título: 2230004177 1078 - DAE S/A AGUA E ESGOT 30/11/2023 LQ 144045,96 144045,96"
"Pago título: 2230004189 1084 - COMPANHIA DE SANEAME 30/11/2023 LQ 27062,38 27062,38"
"Pago título: 2230004195 1085 - YAKULT S/A INDUSTRIA 30/11/2023 LQ 369,37 369,37"
"Pago título: 2230004201 1086 - ENGENHO SAO PEDRO AG 30/11/2023 LQ 2149,33 2149,33"
"Pago título: 2230004207 1087 - TOYOTA DO BRASIL LTD 30/11/2023 LQ 2691,13 2691,13"
"Pago título: 2230004213 1091 - DEPARTAMENTO DE AGUA 30/11/2023 LQ 492,72 492,72"
"Pago título: 2230004219 1097 - TERRAR INDUSTRIA E C 30/11/2023 LQ 229,5 229,5"
"Pago título: 2230004225 1103 - ASSOCIACAO FAZENDA C 30/11/2023 LQ 929,53 929,53"
"Pago título: 2230004237 1110 - SERVICO AUTONOMO DE 30/11/2023 LQ 5361,71 5361,71"
"Pago título: 2230004243 1111 - CIA SANEAMENTO BASIC 30/11/2023 LQ 537248,28 537248,28"
"Pago título: 2230004249 1112 - CIA SANEAMENTO BASIC 30/11/2023 LQ 20238,79 20238,79"
"Pago título: 2230004261 1116 - CROWN  EMBALAGENS ME 30/11/2023 LQ 2111,47 2111,47"
"Pago título: 2230004267 1120 - MOTOROLA MOBILITY CO 30/11/2023 LQ 1127,15 1127,15"
"Pago título: 2230004279 1123 - CIA SANEAMENTO BASIC 30/11/2023 LQ 16853,47 16853,47"
"Pago título: 2230004297 1130 - BRASALIMENT INDUSTRI 30/11/2023 LQ 254,6 254,6"
"Pago título: 2230004309 1136 - VILLARES METALS S/A 30/11/2023 LQ 1898,6 1898,6"
"Pago título: 2230004315 1137 - SICAD DO BRASIL FITA 30/11/2023 LQ 265,81 265,81"
"Pago título: 2230004321 1139 - HOPI HARI S/A 30/11/2023 LQ 720,9 720,9"
"Pago título: 2230004333 1143 - CASTELO ALIMENTOS S/ 30/11/2023 LQ 1336,38 1336,38"
"Pago título: 2230004339 1144 - ASSOCIACAO PROPRIET. 30/11/2023 LQ 365,96 365,96"
"Pago título: 2230004345 1145 - JOBEMA DISTRIBUIDORA 30/11/2023 LQ 1218,79 1218,79"
"Pago título: 2230004357 1154 - GREENBRIER MAXION EQ 30/11/2023 LQ 592,31 592,31"
"Pago título: 2230004363 1158 - SI GROUP RESINAS S.A 30/11/2023 LQ 394,87 394,87"
"Pago título: 2230004369 1169 - MINERACAO JUNDU LTDA 30/11/2023 LQ 6480,43 6480,43"
"Pago título: 2230004375 1173 - MASTERCOR BENEFICIAM 30/11/2023 LQ 292,53 292,53"
"Pago título: 2230004381 1193 - TEXTIL CANATIBA LTDA 30/11/2023 LQ 869,22 869,22"
"Pago título: 2230004387 1194 - TEXTIL CANATIBA LTDA 30/11/2023 LQ 2301,52 2301,52"
"Pago título: 2230004393 1195 - TEXTIL CANATIBA LTDA 30/11/2023 LQ 2878,43 2878,43"
"Pago título: 2230004405 1221 - NORQUIMA PRODUTOS QU 30/11/2023 LQ 582,49 582,49"
"Pago título: 2230004417 1231 - COVOLAN INDUSTRIA TE 30/11/2023 LQ 11292,34 11292,34"
"Pago título: 2230004423 1243 - ASSOCIACAO PROPRIETA 30/11/2023 LQ 439,15 439,15"
"Pago título: 2230004447 1274 - GUAINUMBY TEXTIL LTD 30/11/2023 LQ 603,79 603,79"
"Pago título: 2230004453 1276 - INDUSTRIA E COMERCIO 30/11/2023 LQ 213,45 213,45"
"Pago título: 2230004459 1289 - ASGA S/A 30/11/2023 LQ 390,36 390,36"
"Pago título: 2230004471 1313 - KIKKOMAN DO BRASIL I 30/11/2023 LQ 352,42 352,42"
"Pago título: 2230004477 1323 - TEXTIL SUCCI LTDA-ME 30/11/2023 LQ 214,33 214,33"
"Pago título: 2230004495 1414 - CERVEJARIA ASHBY LTD 30/11/2023 LQ 210,03 210,03"
"Pago título: 2230004501 1415 - DPV PRODUTOS QUIMICO 30/11/2023 LQ 218,63 218,63"
"Pago título: 2230004513 1420 - MIRVI BRASIL LTDA 30/11/2023 LQ 626,27 626,27"
"Pago título: 2230004519 1423 - TASA TINTURARIA AMER 30/11/2023 LQ 935,14 935,14"
"Pago título: 2230004537 1429 - ASSOCIACAO ADMINISTR 30/11/2023 LQ 990,53 990,53"
"Pago título: 2230004543 1437 - CONDOMINIO EDIFICIO 30/11/2023 LQ 203,86 203,86"
"Pago título: 2230004549 1456 - ASSOC DOS PROP DO LO 30/11/2023 LQ 463,55 463,55"
"Pago título: 2230004555 1459 - CIA SANEAMENTO BASIC 30/11/2023 LQ 504,78 504,78"
"Pago título: 2230004561 1465 - BBC INDUSTRIA E COME 30/11/2023 LQ 450,44 450,44"
"Pago título: 2230004567 1477 - JETFIO INDUSTRIA TEX 30/11/2023 LQ 440,09 440,09"
