"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442852506202113837.ret"
""
"Cadastrado título novo: 9000006199 3723 - EQUIPAR TECNOLOGIA I 30/07/2021 RG 505,14 0"
"Cadastrado título novo: 9000006200 4782 - D FORNARI e CIA LTDA 30/06/2021 RG 431,93 0"
"Cadastrado título novo: 9000006201 3463 - PREFEITURA MUNICIPAL 30/06/2021 RG 433,01 0"
"Cadastrado título novo: 9000006202 4783 - CORREIAS MERCURIO S/ 30/06/2021 RG 221,59 0"
"Cadastrado título novo: 9000006203 5367 - GOODMAN VIRACOPOS EM 30/06/2021 RG 438,92 0"
"Cadastrado título novo: 9000006204 4895 - VYLLA EMPREENDIMENTO 30/06/2021 RG 208,15 0"
"Cadastrado título novo: 9000006205 2301 - DRYLLER INDUSTRIA E 30/06/2021 RG 438,47 0"
"Pago título: 2113000402 4419 - MIDAS INCORPORADORA 30/06/2021 LQ 230,82 230,82"
"Pago título: 2113000483 5433 - ANTONIO PEDRO CREMO 30/06/2021 LQ 264,95 264,95"
"Pago título: 2114000119 1495 - STORAGE ADMINISTRA 30/06/2021 LQ 206,18 206,18"
"Pago título: 2114000179 2657 - INDUSTRIAS NARDINI 30/06/2021 LQ 234,07 234,07"
"Pago título: 2114000275 3663 - ASSOCIA  O DOS ADQ 30/06/2021 LQ 219,58 219,58"
"Pago título: 2114000283 3733 - ASSOC PROPRIET RIOS 30/06/2021 LQ 219,58 219,58"
"Pago título: 2114000327 4407 - RODOPOSTO BANDEIRAN 30/06/2021 LQ 229,45 229,45"
"Pago título: 2115000093 2545 - ASSOCIA  O DOS PROP 30/06/2021 LQ 222,5 222,5"
"Pago título: 2115000178 3774 - ASSOCIA  O DOS PROP 30/06/2021 LQ 226,45 226,45"
"Pago título: 2115000308 6017 - ZANARDI EMPREENDIME 30/06/2021 LQ 234,21 234,21"
"Pago título: 2117000241 3214 - S.ZANARDI EMPREENDI 30/06/2021 LQ 222,92 222,92"
"Pago título: 2118000139 66 - LPP III - EMPREENDIME 30/06/2021 LQ 215,56 215,56"
"Pago título: 2118000435 246 - 3M DO BRASIL LTDA 30/06/2021 LQ 1763,23 1763,23"
"Pago título: 2118000443 254 - SOCIEDADE HIPICA DE 30/06/2021 LQ 661,99 661,99"
"Pago título: 2118000851 545 - SOCIEDADE DE PROPRIE 30/06/2021 LQ 296,29 296,29"
"Pago título: 2118001251 940 - SERVICO AUTONOMO DE 30/06/2021 LQ 57821,4 57821,4"
"Pago título: 2118001827 1148 - ARCELOR MITTAL GONV 30/06/2021 LQ 394,15 394,15"
"Pago título: 2118001915 1224 - SECRETARIA DA ADM P 30/06/2021 LQ 310,01 310,01"
"Pago título: 2118002419 1934 - SSB ENERGIA RENOV V 30/06/2021 LQ 980,52 980,52"
"Pago título: 2118002435 1972 - SINDICATO DOS TRAB 30/06/2021 LQ 320,43 320,43"
"Pago título: 2118002515 2113 - ASSOCIACAO DOS PROP 30/06/2021 LQ 365,54 365,54"
"Pago título: 2118002539 2165 - CONDOMINIO RESIDENC 30/06/2021 LQ 888,26 888,26"
"Pago título: 2118002867 2665 - ASSOC DOS PROPRIET 30/06/2021 LQ 311,27 311,27"
"Pago título: 2118002963 2751 - SERVICO AUTONOMO DE 30/06/2021 LQ 941,17 941,17"
"Pago título: 2118003443 3379 - SSB ENERGIA RENOV V 30/06/2021 LQ 3561,3 3561,3"
"Pago título: 2118003507 3439 - CSHG REAL ESTATE FU 30/06/2021 LQ 329,36 329,36"
"Pago título: 2118003611 3590 -  GUA DO CAMPO TRANS 30/06/2021 LQ 411,41 411,41"
"Pago título: 2118003643 3629 - ASSOCIA  O DOS MORA 30/06/2021 LQ 1151,31 1151,31"
"Pago título: 2118003771 3779 - SOCIEDADE JARDIM VI 30/06/2021 LQ 264,22 264,22"
"Pago título: 2118004379 5260 - MRGM PARTICIPA  ES 30/06/2021 LQ 783,15 783,15"
"Pago título: 2118004811 5982 - ASSOCIA  O DOS MORA 30/06/2021 LQ 365,96 365,96"
"Pago título: 2118004915 6911 - MAURO DA SILVA ARTU 30/06/2021 LQ 348,58 348,58"
"Pago título: 9000006156 4043 - CONDOMINIO ALTOS DO 30/06/2021 LQ 299,87 299,87"
"Pago título: 9000006170 3678 - ASSOC DOS PROPR DO L 30/06/2021 LQ 486,07 486,07"
"Pago título: 9000006172 3774 - ASSOCIACAO DOS PROP 30/06/2021 LQ 468,92 468,92"
"ERRO! Operação desconhecida: 2111000333 2155 - HENRYPACK COMERCIO 31/08/2021 VC 344,13 0"
