"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72452623107202325548.ret"
""
"Cadastrado título novo: 9000007535 3579 - ADM ARMAZENS GERAIS 07/08/2023 RG 196,79 0"
"Pago título: 2230000176 1098 - INDUSTRIAS TEXTEIS N 31/07/2023 LQ 80,97 80,97"
"Pago título: 2230000180 1114 - COMUNIDADE RELIGIOSA 31/07/2023 LQ 471,78 471,78"
"Pago título: 2230000181 1121 - SATA BRASIL LTDA 31/07/2023 LQ 281,05 281,05"
"Pago título: 2230000185 1156 - CBP - INDUSTRIA BRAS 31/07/2023 LQ 702,64 702,64"
"Pago título: 2230000187 1166 - SIND TRAB IND METALU 31/07/2023 LQ 300,34 300,34"
"Pago título: 2230000190 1200 - CLARO S.A. 31/07/2023 LQ 239,06 239,06"
"Pago título: 2230000191 1201 - ASSOCIACAO DOS MORAD 31/07/2023 LQ 351,32 351,32"
"Pago título: 2230000202 1285 - TST ISOLANTES TERMIC 31/07/2023 LQ 289,84 289,84"
"Pago título: 2230000208 1360 - UNIMED DE CAPIVARI C 31/07/2023 LQ 337,55 337,55"
"Pago título: 2230000209 1369 - MARIA CHRISTINA CLEM 31/07/2023 LQ 351,32 351,32"
"Pago título: 2230000215 1385 - FENIX INDUSTRIA DE M 31/07/2023 LQ 292,77 292,77"
"Pago título: 2230000216 1386 - ASSOCIACAO DAS FILHA 31/07/2023 LQ 153,16 153,16"
"Pago título: 2230000217 1391 - TREBOL BRASIL LTDA 31/07/2023 LQ 143,93 143,93"
"Pago título: 2230000218 1399 - CONSIGAZ DISTRIBUIDO 31/07/2023 LQ 993,8 993,8"
"Pago título: 2230000219 1406 - COMUNIDADE RELIGIOSA 31/07/2023 LQ 1596,75 1596,75"
"Pago título: 2230000220 1408 - ARCOR DO BRASIL LTDA 31/07/2023 LQ 2963,18 2963,18"
"Pago título: 2230000221 1409 - ASTRA S/A INDUSTRIA 31/07/2023 LQ 204,18 204,18"
"Pago título: 2230000223 1413 - CERAMICA SAO JOSE LT 31/07/2023 LQ 365,96 365,96"
"Pago título: 2230000225 1424 - THORNTON ELETRONICA 31/07/2023 LQ 319,2 319,2"
"Pago título: 2230000227 1439 - HOSPITAL NOVO ATIBAI 31/07/2023 LQ 301,39 301,39"
"Pago título: 2230000232 1464 - REIPEL - RECICLAGEM 31/07/2023 LQ 1367,14 1367,14"
"Pago título: 2230000235 1492 - STRATURA ASFALTOS S. 31/07/2023 LQ 285,86 285,86"
"Pago título: 2230000236 1549 - VOTORANTIM CIMENTOS 31/07/2023 LQ 389,38 389,38"
"Pago título: 2230000237 1551 - HOSPITAL SANTA IGNES 31/07/2023 LQ 234,99 234,99"
"Pago título: 2230000239 1557 - SOCIEDADE DE INSTRUC 31/07/2023 LQ 175,06 175,06"
"Pago título: 2230000241 1561 - GINO JUM SHINKAWA 31/07/2023 LQ 159,93 159,93"
"Pago título: 2230000243 1568 - MARCELO RODOLFO HAHN 31/07/2023 LQ 242,41 242,41"
"Pago título: 2230000248 1581 - FUPRESA S A 31/07/2023 LQ 296 296"
"Pago título: 2230000250 1599 - LUIZ GUILHERME SARTO 31/07/2023 LQ 392,75 392,75"
"Pago título: 2230000252 1606 - ANTONIO CELSO GRECCO 31/07/2023 LQ 225,72 225,72"
"Pago título: 2230000253 1614 - CONDOMINIO RESIDENCI 31/07/2023 LQ 318,82 318,82"
"Pago título: 2230000254 1620 - FAM CONSTRUCOES META 31/07/2023 LQ 307,41 307,41"
"Pago título: 2230000256 1640 - MINERACAO RIGHI LTDA 31/07/2023 LQ 332,99 332,99"
"Pago título: 2230000259 1673 - JATOBA S/A 31/07/2023 LQ 165,41 165,41"
"Pago título: 2230000264 1713 - JACOBS DOUWE EGBERTS 31/07/2023 LQ 2473,91 2473,91"
"Pago título: 2230000266 1735 - GRUTA DOS ANOES TURI 31/07/2023 LQ 105,4 105,4"
"Pago título: 2230000268 1755 - COOPERATIVA DOS PROD 31/07/2023 LQ 187,58 187,58"
"Pago título: 2230000271 1765 - INDUSTRIA DE MAQUINA 31/07/2023 LQ 289,83 289,83"
"Pago título: 2230000272 1770 - RIO DAS PEDRAS COM D 31/07/2023 LQ 262,6 262,6"
"Pago título: 2230000273 1771 - SUPERMERCADOS CAVICC 31/07/2023 LQ 187,61 187,61"
"Pago título: 2230000274 1773 - CONCREBASE - SERVICO 31/07/2023 LQ 243,83 243,83"
"Pago título: 2230000276 1780 - SERVICO SOCIAL DA IN 31/07/2023 LQ 938,59 938,59"
"Pago título: 2230000278 1791 - MAHLE METAL LEVE S A 31/07/2023 LQ 900,39 900,39"
"Pago título: 2230000280 1807 - GREMIO RECREATIVO DO 31/07/2023 LQ 340,85 340,85"
"Pago título: 2230000282 1823 - B. A. BARBOSA SUPERM 31/07/2023 LQ 129,71 129,71"
"Pago título: 2230000283 1827 - POSTO E RESTAURANTE 31/07/2023 LQ 297,16 297,16"
"Pago título: 2230000284 1833 - AGRANA FRUIT BRASIL 31/07/2023 LQ 1212,64 1212,64"
"Pago título: 2230000285 1837 - AUTO POSTO ALVORADA 31/07/2023 LQ 118,35 118,35"
"Pago título: 2230000287 1847 - VICUNHA SERVICOS LTD 31/07/2023 LQ 263,88 263,88"
"Pago título: 2230000288 1851 - RIVIJUN HOTEIS E TUR 31/07/2023 LQ 193,03 193,03"
"Pago título: 2230000290 1877 - METACAULIM DO BRASIL 31/07/2023 LQ 161,45 161,45"
"Pago título: 2230000292 1882 - CONDOMINIO MAXI SHOP 31/07/2023 LQ 1299,43 1299,43"
"Pago título: 2230000293 1887 - POSTO DE SERVICO RAY 31/07/2023 LQ 145,79 145,79"
"Pago título: 2230000295 1889 - IMBRAMIL INDUSTRIA E 31/07/2023 LQ 213,24 213,24"
"Pago título: 2230000296 1898 - KERRY DO BRASIL LTDA 31/07/2023 LQ 1127,15 1127,15"
"Pago título: 2230000300 1919 - WORTEX MAQUINAS E EQ 31/07/2023 LQ 217,14 217,14"
"Pago título: 2230000303 1933 - FLEXCOAT PRODUTOS AU 31/07/2023 LQ 280,58 280,58"
"Pago título: 2230000304 1938 - CORPUS SANEAMENTO E 31/07/2023 LQ 91,14 91,14"
"Pago título: 2230000308 1949 - ASTEN & CIA LTDA 31/07/2023 LQ 263,49 263,49"
"Pago título: 2230000310 1969 - COLORMINAS COLORIFIC 31/07/2023 LQ 1930,62 1930,62"
"Pago título: 2230000312 1981 - BOSAL DO BRASIL LTDA 31/07/2023 LQ 1600,98 1600,98"
"Pago título: 2230000315 2015 - LINBRAS LINHAS BRASI 31/07/2023 LQ 179,02 179,02"
"Pago título: 2230000320 2052 - MACCAFERRI DO BRASIL 31/07/2023 LQ 281,71 281,71"
"Pago título: 2230000321 2063 - ORGANIZACAO COMERCIA 31/07/2023 LQ 286,57 286,57"
"Pago título: 2230000322 2067 - ASHLAND INDUSTRIA DE 31/07/2023 LQ 335,59 335,59"
"Pago título: 2230000327 2087 - VB TRANSPORTES E TUR 31/07/2023 LQ 373,4 373,4"
"Pago título: 2230000329 2118 - LOG PARK ARMAZENS GE 31/07/2023 LQ 1182,63 1182,63"
"Pago título: 2230000339 2161 - ANNA MARIA DE SOUZA 31/07/2023 LQ 263,49 263,49"
"Pago título: 2230000340 2163 - CONDOMINIO EDIFICIO 31/07/2023 LQ 138,67 138,67"
"Pago título: 2230000341 2171 - LEONARDI CONSTRUCAO 31/07/2023 LQ 1610,21 1610,21"
"Pago título: 2230000347 2200 - ASVOTEC TERMOINDUSTR 31/07/2023 LQ 538,12 538,12"
"Pago título: 2230000349 2218 - ASSOCIACAO DE PROPRI 31/07/2023 LQ 317,68 317,68"
"Pago título: 2230000351 2232 - TRANSPORTADORA AMERI 31/07/2023 LQ 202,08 202,08"
"Pago título: 2230000352 2234 - CONDOMINIO EDIFICIO 31/07/2023 LQ 174,71 174,71"
"Pago título: 2230000353 2235 - COPRA INDUSTRIA COME 31/07/2023 LQ 539,01 539,01"
"Pago título: 2230000354 2238 - ASSOCIACAO DOS PROP 31/07/2023 LQ 263,49 263,49"
"Pago título: 2230000356 2246 - CONCREBASE COMERCIO 31/07/2023 LQ 453,41 453,41"
"Pago título: 2230000360 2277 - MYRALIS INDUSTRIA FA 31/07/2023 LQ 784,11 784,11"
"Pago título: 2230000362 2288 - HONDA LOCK SAO PAULO 31/07/2023 LQ 322,05 322,05"
"Pago título: 2230000363 2295 - 3 IRMAOS MUTTON & CI 31/07/2023 LQ 245,93 245,93"
"Pago título: 2230000370 2342 - PREFEITURA DA ESTANC 31/07/2023 LQ 367,4 367,4"
"Pago título: 2230000371 2347 - LAVANDERIA LUGATI LT 31/07/2023 LQ 255,3 255,3"
"Pago título: 2230000372 2358 - VESPER TRANSPORTES L 31/07/2023 LQ 157,2 157,2"
"Pago título: 2230000373 2381 - LEROY MERLIN CIA BRA 31/07/2023 LQ 1141,78 1141,78"
"Pago título: 2230000377 2394 - AMGARTEN COMERCIO DE 31/07/2023 LQ 245,93 245,93"
"Pago título: 2230000380 2411 - ASSOC DOS PROP DO RE 31/07/2023 LQ 344,77 344,77"
"Pago título: 2230000382 2420 - DENSO DO BRASIL LTDA 31/07/2023 LQ 1318,24 1318,24"
"Pago título: 2230000385 2436 - CROMOQUIM PRODUTOS T 31/07/2023 LQ 712,26 712,26"
"Pago título: 2230000389 2465 - IBERFIOS INDUSTRIA E 31/07/2023 LQ 162,24 162,24"
"Pago título: 2230000391 2468 - S.P.A CERAMICA SANTA 31/07/2023 LQ 351,32 351,32"
"Pago título: 2230000395 2480 - ONDAPEL S/A INDUSTRI 31/07/2023 LQ 243,33 243,33"
"Pago título: 2230000397 2482 - AUTO POSTO CACARECO 31/07/2023 LQ 143,11 143,11"
"Pago título: 2230000399 2487 - INDUSTRIA METALOQUIM 31/07/2023 LQ 275,28 275,28"
"Pago título: 2230000409 2520 - PAGUE MENOS COMERCIO 31/07/2023 LQ 437,66 437,66"
"Pago título: 2230000410 2522 - SAFETLINE EQUIPAMENT 31/07/2023 LQ 231,24 231,24"
"Pago título: 2230000415 2543 - OPETRA INDUSTRIA E C 31/07/2023 LQ 232,5 232,5"
"Pago título: 2230000416 2544 - GIANNINI S/A 31/07/2023 LQ 161,94 161,94"
"Pago título: 2230000417 2554 - TECPET TRANSPORTES E 31/07/2023 LQ 567,67 567,67"
"Pago título: 2230000421 2576 - AUGUSTO JOAO CARLOS 31/07/2023 LQ 554,7 554,7"
"Pago título: 2230000422 2580 - COLORTECH - COMERCIO 31/07/2023 LQ 292,77 292,77"
"Pago título: 2230000423 2584 - EXTRAMIX CONCRETO LT 31/07/2023 LQ 423,51 423,51"
"Pago título: 2230000424 2585 - SISTEMA EDUCACIONAL 31/07/2023 LQ 549,29 549,29"
"Pago título: 2230000425 2596 - HOLCIM BRASIL S/A 31/07/2023 LQ 346,51 346,51"
"Pago título: 2230000427 2611 - MISSAO EMPREENDIMENT 31/07/2023 LQ 290,59 290,59"
"Pago título: 2230000428 2615 - EE GISSELDA APARECID 31/07/2023 LQ 500,51 500,51"
"Pago título: 2230000429 2617 - HOSPITAL DE ITATIBA 31/07/2023 LQ 160,58 160,58"
"Pago título: 2230000432 2624 - PLIMAX INDUSTRIA DE 31/07/2023 LQ 281,05 281,05"
"Pago título: 2230000433 2628 - LINK STEL EQUIPAMENT 31/07/2023 LQ 322,05 322,05"
"Pago título: 2230000434 2636 - EXTRAMIX CONCRETO LT 31/07/2023 LQ 250,26 250,26"
"Pago título: 2230000435 2642 - GALZERANO INDUSTRIA 31/07/2023 LQ 233,22 233,22"
"Pago título: 2230000437 2648 - PLASTICOS MB LTDA 31/07/2023 LQ 172,88 172,88"
"Pago título: 2230000440 2662 - TEXTIL FAVERO LTDA 31/07/2023 LQ 196,29 196,29"
"Pago título: 2230000442 2676 - SAFEPRINT INDUSTRIA 31/07/2023 LQ 372,04 372,04"
"Pago título: 2230000446 2682 - CONDOMINIO RESIDENCI 31/07/2023 LQ 154,6 154,6"
"Pago título: 2230000447 2690 - CONTEUDO COMERCIO E 31/07/2023 LQ 245,93 245,93"
"Pago título: 2230000449 2692 - SERVICO SOCIAL DA IN 31/07/2023 LQ 735,28 735,28"
"Pago título: 2230000450 2695 - SUEME INDUSTRIAL S/A 31/07/2023 LQ 137,21 137,21"
"Pago título: 2230000451 2697 - SUPERMERCADOS CAVICC 31/07/2023 LQ 153,03 153,03"
"Pago título: 2230000452 2707 - MINERMIX MINERACAO L 31/07/2023 LQ 408,07 408,07"
"Pago título: 2230000453 2708 - MAILA COSMETICOS S/A 31/07/2023 LQ 92,9 92,9"
"Pago título: 2230000454 2714 - LAMBERTI BRASIL PROD 31/07/2023 LQ 936,81 936,81"
"Pago título: 2230000455 2715 - CONDOMINIO EDIFICIO 31/07/2023 LQ 118,35 118,35"
"Pago título: 2230000456 2720 - INDUSTRIA E COMERCIO 31/07/2023 LQ 915,75 915,75"
"Pago título: 2230000458 2733 - FIRENIGHT MOTEL LTDA 31/07/2023 LQ 284,57 284,57"
"Pago título: 2230000463 2755 - RANCHO MINEIRO RESTA 31/07/2023 LQ 222,21 222,21"
"Pago título: 2230000465 2758 - GOOD BOM SUPERMERCAD 31/07/2023 LQ 136,71 136,71"
"Pago título: 2230000466 2760 - PAGUE MENOS COMERCIO 31/07/2023 LQ 468,43 468,43"
"Pago título: 2230000467 2764 - PAGUE MENOS COMERCIO 31/07/2023 LQ 395,23 395,23"
"Pago título: 2230000470 2771 - GOOD BOM SUPERMERCAD 31/07/2023 LQ 231,38 231,38"
"Pago título: 2230000471 2775 - PAGUE MENOS COMERCIO 31/07/2023 LQ 190,36 190,36"
"Pago título: 2230000473 2781 - MORAES & MORAES LTDA 31/07/2023 LQ 213,13 213,13"
"Pago título: 2230000475 2787 - GOOD BOM SUPERMERCAD 31/07/2023 LQ 172,16 172,16"
"Pago título: 2230000476 2788 - MARCOS GUILHERME ELT 31/07/2023 LQ 205,82 205,82"
"Pago título: 2230000477 2799 - DUBAR INDUSTRIA E CO 31/07/2023 LQ 274,75 274,75"
"Pago título: 2230000478 2803 - MARCELLO CARDOSO MEN 31/07/2023 LQ 292,77 292,77"
"Pago título: 2230000479 2808 - TUBERFIL INDUSTRIA E 31/07/2023 LQ 234,28 234,28"
"Pago título: 2230000484 2819 - ATRISEV COMERCIAL E 31/07/2023 LQ 446,47 446,47"
"Pago título: 2230000485 2821 - PAGUE MENOS COMERCIO 31/07/2023 LQ 225,5 225,5"
"Pago título: 2230000486 2822 - JOFEGE CONCRETO LTDA 31/07/2023 LQ 886,32 886,32"
"Pago título: 2230000488 2830 - FRANCISCO CORNELIUS 31/07/2023 LQ 304,77 304,77"
"Pago título: 2230000489 2835 - SULBRAS MOLDES E PLA 31/07/2023 LQ 192,5 192,5"
"Pago título: 2230000491 2841 - CERAMICA DA MATA LTD 31/07/2023 LQ 351,32 351,32"
"Pago título: 2230000493 2847 - PLASMONT INDUSTRIA E 31/07/2023 LQ 151,59 151,59"
"Pago título: 2230000496 2854 - AREA DO NUCLEO DO PO 31/07/2023 LQ 468,43 468,43"
"Pago título: 2230000497 2857 - INTERCUF INDUSTRIA E 31/07/2023 LQ 109,88 109,88"
"Pago título: 2230000500 2885 - GOOD BOM SUPERMERCAD 31/07/2023 LQ 296,76 296,76"
"Pago título: 2230000501 2886 - GOOD BOM SUPERMERCAD 31/07/2023 LQ 242,08 242,08"
"Pago título: 2230000502 2888 - PAGUE MENOS COMERCIO 31/07/2023 LQ 253,81 253,81"
"Pago título: 2230000504 2898 - QUIMIGEL INDUSTRIA, 31/07/2023 LQ 173,25 173,25"
"Pago título: 2230000505 2900 - HERO BRASIL S/A 31/07/2023 LQ 2903,19 2903,19"
"Pago título: 2230000506 2902 - ARCOR DO BRASIL LTDA 31/07/2023 LQ 5393,46 5393,46"
"Pago título: 2230000507 2907 - CLUBE FAZENDA SAO JO 31/07/2023 LQ 242,99 242,99"
"Pago título: 2230000510 2913 - METALURGICA NAKAYONE 31/07/2023 LQ 777,69 777,69"
"Pago título: 2230000511 2918 - PIB PARQUES INDUSTRI 31/07/2023 LQ 105,16 105,16"
"Pago título: 2230000512 2921 - POSTO SEIS DE JULHO 31/07/2023 LQ 155,07 155,07"
"Pago título: 2230000515 2934 - PAGUE MENOS COMERCIO 31/07/2023 LQ 198,32 198,32"
"Pago título: 2230000520 2966 - ASSOCIACAO ESPORTIVA 31/07/2023 LQ 277,09 277,09"
"Pago título: 2230000521 2968 - TCMEP3 EMPREENDIMENT 31/07/2023 LQ 307,41 307,41"
"Pago título: 2230000525 2995 - TEXTIL R.C. LTDA 31/07/2023 LQ 177,52 177,52"
"Pago título: 2230000527 3004 - EXTRAMIX CONCRETO LT 31/07/2023 LQ 250,26 250,26"
"Pago título: 2230000528 3005 - CONDOMINIO RESIDENCI 31/07/2023 LQ 328,25 328,25"
"Pago título: 2230000529 3007 - CURSO E COLEGIO AESC 31/07/2023 LQ 292,77 292,77"
"Pago título: 2230000531 3018 - COLOROBBIA BRASIL PR 31/07/2023 LQ 745,32 745,32"
"Pago título: 2230000534 3034 - PAGUE MENOS COMERCIO 31/07/2023 LQ 124,27 124,27"
"Pago título: 2230000535 3046 - NUTRAL INDUSTRIAL LT 31/07/2023 LQ 190,15 190,15"
"Pago título: 2230000539 3064 - CBP COLCHOES LTDA 31/07/2023 LQ 439,14 439,14"
"Pago título: 2230000544 3084 - JESUS DE MARI ARTEFA 31/07/2023 LQ 222,34 222,34"
"Pago título: 2230000548 3113 - ASSOCIACAO DOS AMIGO 31/07/2023 LQ 386,45 386,45"
"Pago título: 2230000549 3117 - ASSOCIACAO DE EDUCAC 31/07/2023 LQ 131,39 131,39"
"Pago título: 2230000552 3149 - HWASHIN FABRICANTE D 31/07/2023 LQ 488,11 488,11"
"Pago título: 2230000554 3166 - TENIS CLUBE 31/07/2023 LQ 136,71 136,71"
"Pago título: 2230000557 3179 - INDUSTRIA DE URNAS B 31/07/2023 LQ 120,93 120,93"
"Pago título: 2230000566 3223 - SUPERMERCADOS CAVICC 31/07/2023 LQ 209,9 209,9"
"Pago título: 2230000567 3226 - PAGUE MENOS COMERCIO 31/07/2023 LQ 527,05 527,05"
"Pago título: 2230000568 3228 - GOOD BOM SUPERMERCAD 31/07/2023 LQ 212,09 212,09"
"Pago título: 2230000569 3229 - PLASTCOR DO BRASIL L 31/07/2023 LQ 278,13 278,13"
"Pago título: 2230000571 3248 - PAGUE MENOS COMERCIO 31/07/2023 LQ 650,62 650,62"
"Pago título: 2230000573 3252 - LICEU SALESIANO NOSS 31/07/2023 LQ 185,69 185,69"
"Pago título: 2230000575 3257 - CONDOMINIO RESIDENCI 31/07/2023 LQ 175,06 175,06"
"Pago título: 2230000576 3264 - SOUVIE COM IND IMPOR 31/07/2023 LQ 94,16 94,16"
"Pago título: 2230000579 3276 - PAGUE MENOS COMERCIO 31/07/2023 LQ 358,25 358,25"
"Pago título: 2230000581 3282 - GASBALL ARMAZENADORA 31/07/2023 LQ 890,33 890,33"
"Pago título: 2230000585 3296 - FICCUS HOTEL LTDA - 31/07/2023 LQ 285,45 285,45"
"Pago título: 2230000587 3299 - RISCHIOTO INDUSTRIA 31/07/2023 LQ 258,73 258,73"
"Pago título: 2230000589 3305 - HMY DO BRASIL LTDA 31/07/2023 LQ 277,61 277,61"
"Pago título: 2230000590 3314 - HOTEL PARAISO DOS AL 31/07/2023 LQ 263,49 263,49"
"Pago título: 2230000594 3324 - NIDEC MOBILIDADE BRA 31/07/2023 LQ 1053,96 1053,96"
"Pago título: 2230000595 3326 - KADANT SOUTH AMERICA 31/07/2023 LQ 292,77 292,77"
"Pago título: 2230000596 3329 - NICEPEL PRODUTOS QUI 31/07/2023 LQ 207,9 207,9"
