"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72444192909202114528.ret"
""
"Cadastrado título novo: 9000006569 4063 - FLAMENGO FUTEBOL CLU 29/10/2021 RG 416,87 0"
"Cadastrado título novo: 9000006570 1762 - ASSOC DOS ADQUIRENTE 29/10/2021 RG 233,22 0"
"Cadastrado título novo: 9000006571 3785 - PEDRA DA MATA EMPREE 29/10/2021 RG 271,9 0"
"Cadastrado título novo: 9000006572 3786 - PEDRA DA MATA EMPREE 29/10/2021 RG 306,48 0"
"Pago título: 2118001214 930 - SERVICO AUTONOMO DE 30/09/2021 LQ 36611,59 36611,59"
"Pago título: 2118001230 932 - GREMIO RECR EMPREGAD 30/09/2021 LQ 566,6 566,6"
"Pago título: 2118001382 978 - CHEM-TREND IND E COM 30/09/2021 LQ 496,95 496,95"
"Pago título: 2118001422 999 - BRK AMBIENTAL - SANT 30/09/2021 LQ 9017,26 9017,26"
"Pago título: 2118001630 1082 - LENA & CIA LTDA 30/09/2021 LQ 319,08 319,08"
"Pago título: 2118001758 1128 - CIA SANEAMENTO BASI 30/09/2021 LQ 2101,29 2101,29"
"Pago título: 2118001766 1129 - CIA SANEAMENTO BASI 30/09/2021 LQ 8069,66 8069,66"
"Pago título: 2118001774 1132 - CIA SANEAMENTO BASI 30/09/2021 LQ 11665,37 11665,37"
"Pago título: 2118001862 1169 - MINERACAO JUNDU LTD 30/09/2021 LQ 12383,46 12383,46"
"Pago título: 2118001894 1216 - CERBA DESTILARIA DE 30/09/2021 LQ 640,43 640,43"
"Pago título: 2118001918 1224 - SECRETARIA DA ADM P 30/09/2021 LQ 310,01 310,01"
"Pago título: 2118001950 1249 - ESTANCIA PARQUE ATI 30/09/2021 LQ 552,79 552,79"
"Pago título: 2118001990 1323 - TEXTIL SUCCI LTDA-M 30/09/2021 LQ 284,65 284,65"
"Pago título: 2118002206 1636 - AGV LOGISTICA S.A. 30/09/2021 LQ 352,42 352,42"
"Pago título: 2118002254 1695 - GOODYEAR DO BRASIL 30/09/2021 LQ 9317,64 9317,64"
"Pago título: 2118002430 1965 - ASSOC DE PROPRIET R 30/09/2021 LQ 512,34 512,34"
"Pago título: 2118002606 2205 - MPW LAVANDERIA CONF 30/09/2021 LQ 271,61 271,61"
"Pago título: 2118002630 2258 - ATMOSFERA GEST O E 30/09/2021 LQ 877,42 877,42"
"Pago título: 2118002902 2712 - PE ANHA & HELENA TR 30/09/2021 LQ 654,82 654,82"
"Pago título: 2118003078 2906 - TRANSPORTADORA H2O 30/09/2021 LQ 362,29 362,29"
"Pago título: 2118003094 2949 - INSTITUTO ADVENTIST 30/09/2021 LQ 293,32 293,32"
"Pago título: 2118003390 3345 - SAO PAULO SECRETARI 30/09/2021 LQ 431,54 431,54"
"Pago título: 2118003398 3352 - CP KELCO BRASIL S/A 30/09/2021 LQ 315,51 315,51"
"Pago título: 2118003414 3366 - TECHIMPORT TECNOLOG 30/09/2021 LQ 337,09 337,09"
"Pago título: 2118003422 3374 - ATMOSFERA GEST O E 30/09/2021 LQ 1424,32 1424,32"
"Pago título: 2118003518 3443 - BRK AMBIENTAL - SUM 30/09/2021 LQ 63682,99 63682,99"
"Pago título: 2118003718 3696 -  GUAS DE CAMPINAS T 30/09/2021 LQ 312,89 312,89"
"Pago título: 2118003854 3954 - MARCO ANTONIO TONOL 30/09/2021 LQ 365,96 365,96"
"Pago título: 2118004206 4830 - CONDOMINIO RESIDENC 30/09/2021 LQ 256,17 256,17"
"Pago título: 2118004302 5035 - CLOSURE SYSTEMS INT 30/09/2021 LQ 329,36 329,36"
"Pago título: 2118004486 5418 - SAMUEL SAMPAIO TOCA 30/09/2021 LQ 365,51 365,51"
"Pago título: 2118004502 5442 - ASSOCIACAO DOS PROP 30/09/2021 LQ 307,87 307,87"
"Pago título: 2118004590 5545 - COOPERATIVA VEILING 30/09/2021 LQ 319,48 319,48"
"Pago título: 2118004718 5754 - ASSOCIA  O DOS PROP 30/09/2021 LQ 204,94 204,94"
"Pago título: 2118004798 5907 - TSI - EMPREENDIMENT 30/09/2021 LQ 248,85 248,85"
"Pago título: 2118004822 6034 - ESPA O GAIA EMPREEN 30/09/2021 LQ 425,82 425,82"
"Pago título: 2118004830 6035 - ESPA O GAIA EMPREEN 30/09/2021 LQ 421,75 421,75"
"Pago título: 2118004886 6784 - CONDOM NIO RESIDENC 30/09/2021 LQ 330,71 330,71"
"Pago título: 2118004998 7027 - ETIQUETTA BRANCA IN 30/09/2021 LQ 370,36 370,36"
"Pago título: 2118005126 7324 - THEIA EMPREENDIMENT 30/09/2021 LQ 773,17 773,17"
"Pago título: 2118005134 7329 - ESPA O GAIA EMPREEN 30/09/2021 LQ 425,82 425,82"
"Pago título: 2118005166 7348 - JATOB  EMPREENDIMEN 30/09/2021 LQ 270,03 270,03"
"Pago título: 2118005222 7444 - THAIS REGINA ROCHIT 30/09/2021 LQ 248,48 248,48"
"Pago título: 2118005246 7669 - ASSOCIA  O DA INSTI 30/09/2021 LQ 208,6 208,6"
"Pago título: 9000005912 930 - SERVICO AUTONOMO DE A 30/09/2021 LQ 3457,35 3457,35"
"Pago título: 9000005959 900 - DANA INDUSTRIAS LTDA 30/09/2021 LQ 627,71 627,71"
"Pago título: 9000006031 1134 - MUNICIPIO DE SUMARE 30/09/2021 LQ 220417,23 220417,23"
"Pago título: 9000006522 6935 - ALTO DO SION EMPREEN 30/09/2021 LQ 1956,54 1956,54"
"Pago título: 9000006558 5472 - NEVE INDUSTRIA E COM 30/09/2021 LQ 338,45 338,45"
"Pago título: 9000006568 999 - BRK AMBIENTAL - SANTA 30/09/2021 LQ 9289,58 9289,58"
"Cancelado título: 2116000455 5524 - BCS INCORPORADORA E 31/08/2021 BX 218,86 0"
"Cancelado título: 2116000456 5524 - BCS INCORPORADORA E 30/09/2021 BX 218,86 0"
"Cancelado título: 2118000181 74 - UNILEVER BRASIL INDUS 31/08/2021 BX 3979,89 0"
"Cancelado título: 2118000183 74 - UNILEVER BRASIL INDUS 29/10/2021 BX 3979,89 0"
"Cancelado título: 2118000184 74 - UNILEVER BRASIL INDUS 30/11/2021 BX 3979,89 0"
