"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72458203110202421250.ret"
""
"Cadastrado título novo: 9000008352 4280 - YARA BRASIL FERTILIZ 29/11/2024 RG 685,39 0"
"Cadastrado título novo: 9000008353 497 - ALCOOL FERREIRA S/A 29/11/2024 RG 1090,17 0"
"Cadastrado título novo: 9000008354 3857 - CRS MINERACAO INDUST 29/11/2024 RG 2074,99 0"
"Pago título: 2400001120 3498 - RELAX MOTEL LTDA 31/10/2024 LQ 274,62 274,62"
"Pago título: 2400001124 3072 - BAKELS BRASIL INGRED 31/10/2024 LQ 272,5 272,5"
"Pago título: 2400001130 1703 - TEXTIL ARATANS LTDA 31/10/2024 LQ 272,29 272,29"
"Pago título: 2400001134 2914 - COSMOS INDUSTRIA E C 31/10/2024 LQ 268,97 268,97"
"Pago título: 2400001136 3688 - ASSOC DOS PROPRIETAR 31/10/2024 LQ 266,42 266,42"
"Pago título: 2400001144 7852 - CAPITAL MIX CONCRETO 31/10/2024 LQ 263,81 263,81"
"Pago título: 2400001150 1868 - FORMIGAO COMERCIO DE 31/10/2024 LQ 263,49 263,49"
"Pago título: 2400001154 3593 - T.H.R. INDUSTRIA E C 31/10/2024 LQ 263,49 263,49"
"Pago título: 2400001158 7848 - LUQUE EMPREENDIMENTO 31/10/2024 LQ 263,49 263,49"
"Pago título: 2400001162 584 - INSTITUTO SECULAR IRM 31/10/2024 LQ 262,77 262,77"
"Pago título: 2400001164 2004 - TECNO OIL INDUSTRIA 31/10/2024 LQ 262,77 262,77"
"Pago título: 2400001170 4489 - SANATORIO ISMAEL 31/10/2024 LQ 261,3 261,3"
"Pago título: 2400001174 4536 - CONDOMINIO RESIDENCI 31/10/2024 LQ 259,9 259,9"
"Pago título: 2400001176 1032 - CLUBE RECREATIVO FLO 31/10/2024 LQ 259,1 259,1"
"Pago título: 2400001186 7786 - MUNICIPIO DE ELIAS F 31/10/2024 LQ 257,45 257,45"
"Pago título: 2400001190 3651 - CT AGROINDUSTRIA E C 31/10/2024 LQ 256,66 256,66"
"Pago título: 2400001192 4791 - ASSOC DOS MORADORES 31/10/2024 LQ 256,46 256,46"
"Pago título: 2400001196 1056 - BELENUS DO BRASIL LT 31/10/2024 LQ 256,17 256,17"
"Pago título: 2400001206 2938 - FRIBAL FRIGORIFICO B 31/10/2024 LQ 254,71 254,71"
"Pago título: 2400001208 1229 - ALBANO EMBALAGENS ES 31/10/2024 LQ 254,13 254,13"
"Pago título: 2400001220 2449 - CONDOMINIO OSATO 31/10/2024 LQ 250,83 250,83"
"Pago título: 2400001224 2204 - TAKEO OMORI 31/10/2024 LQ 250,32 250,32"
"Pago título: 2400001234 1998 - AUTO POSTO MORRO AZU 31/10/2024 LQ 248,86 248,86"
"Pago título: 2400001240 4076 - ASSOCIACAODOS PROPRI 31/10/2024 LQ 247,02 247,02"
"Pago título: 2400001242 418 - RESIDENCIAL ALTO DOS 31/10/2024 LQ 246,46 246,46"
"Pago título: 2400001258 1336 - NAHSA COMERCIO DE MA 31/10/2024 LQ 241,51 241,51"
"Pago título: 2400001264 1135 - BRASMIX ENGENHARIA D 31/10/2024 LQ 240,88 240,88"
"Pago título: 2400001266 3245 - A & J LAVANDERIA LTD 31/10/2024 LQ 240,63 240,63"
"Pago título: 2400001274 5498 - CONDOMINIO A MONTANH 31/10/2024 LQ 237,87 237,87"
"Pago título: 2400001276 2577 - ESPORTE CLUBE BARBAR 31/10/2024 LQ 237,75 237,75"
"Pago título: 2400001278 3530 - VIDRADOS BS INDUSTRI 31/10/2024 LQ 237,69 237,69"
"Pago título: 2400001280 2930 - JOSE TADEU COLETI E 31/10/2024 LQ 237,1 237,1"
"Pago título: 2400001282 1165 - ASSOCIACAO EDUCADORA 31/10/2024 LQ 236,36 236,36"
"Pago título: 2400001284 2876 - PARTLINE PARTICIPACO 31/10/2024 LQ 235,32 235,32"
"Pago título: 2400001294 1205 - LAR DOS VELHINHOS DE 31/10/2024 LQ 233,35 233,35"
"Pago título: 2400001296 3356 - PQA QUIMICA LTDA 31/10/2024 LQ 233,11 233,11"
"Pago título: 2400001300 1042 -  CENTRAL DE SERVICOS 31/10/2024 LQ 232,07 232,07"
"Pago título: 2400001302 1550 - CONCRELONGO SERVICOS 31/10/2024 LQ 231,01 231,01"
"Pago título: 2400001304 6793 - SUPERMERCADOS DALBEN 31/10/2024 LQ 230,29 230,29"
"Pago título: 2400001306 3102 - HOTEIS SANTA ROSA LT 31/10/2024 LQ 230,06 230,06"
"Pago título: 2400001308 3417 - CONDOMINIO RESIDENCI 31/10/2024 LQ 229,77 229,77"
"Pago título: 2400001318 2811 - ASSOCIACAO DOS PROPR 31/10/2024 LQ 228,29 228,29"
"Pago título: 2400001324 1585 - HORTEL HOTELARIA LTD 31/10/2024 LQ 226,6 226,6"
"Pago título: 2400001326 7804 - ASSOC DOS PROP DE LO 31/10/2024 LQ 226,48 226,48"
"Pago título: 2400001340 1233 - GVS DO BRASIL LTDA 31/10/2024 LQ 220,19 220,19"
"Pago título: 2400001344 840 - UNIFRAX BRASIL LTDA 31/10/2024 LQ 219,87 219,87"
"Pago título: 2400001360 5612 - ASSOC DOS PROP E MOR 31/10/2024 LQ 219,57 219,57"
"Pago título: 2400001366 7752 - CONDOMINIO RESIDENCI 31/10/2024 LQ 219,57 219,57"
"Pago título: 2400001376 5488 - ASSOCIACAO DOS PROPR 31/10/2024 LQ 219,57 219,57"
"Pago título: 2400001378 4430 - INDUSTRIA E COMERCIO 31/10/2024 LQ 219,57 219,57"
"Pago título: 2400001380 4961 - INDUSTRIA BRAIDO LTD 31/10/2024 LQ 219,57 219,57"
"Pago título: 2400001394 5563 - ANDRADE & LATORRE EM 31/10/2024 LQ 219,57 219,57"
"Pago título: 2400001396 4689 - RIBEIRA EMPREENDIMEN 31/10/2024 LQ 219,57 219,57"
"Pago título: 2400001410 1076 - LOJAS CEM S/A 31/10/2024 LQ 218,73 218,73"
"Pago título: 2400001412 2739 - CRISTA INDUSTRIA E C 31/10/2024 LQ 218,37 218,37"
"Pago título: 2400001414 482 - TAVARES PINHEIRO INDU 31/10/2024 LQ 218,08 218,08"
"Pago título: 2400001426 3545 - TEXTIL CARUARU LTDA. 31/10/2024 LQ 214,54 214,54"
"Pago título: 2400001432 1340 - INDUSTRIA DE BEBIDAS 31/10/2024 LQ 213,34 213,34"
"Pago título: 2400001438 6875 - FUNDACAO CENTRO DE A 31/10/2024 LQ 212,77 212,77"
"Pago título: 2400001442 1623 - AUTO POSTO GIGIO LTD 31/10/2024 LQ 212,26 212,26"
"Pago título: 2400001446 3057 - NICOLETTI INDUSTRIA 31/10/2024 LQ 212 212"
"Pago título: 2400001456 2769 - ASSOCIACAO DE AMIGOS 31/10/2024 LQ 208,6 208,6"
"Pago título: 2400001458 5571 - FENIX AGRO-PECUS IND 31/10/2024 LQ 208,39 208,39"
"Pago título: 2400001460 1219 - FLINT INDUSTRIA TEXT 31/10/2024 LQ 207,36 207,36"
"Pago título: 2400001462 1152 - JESUS TITO DA SILVA 31/10/2024 LQ 207,11 207,11"
"Pago título: 2400001464 4350 - ASSOCIACAO DOS CONDO 31/10/2024 LQ 207,11 207,11"
"Pago título: 2400001476 1185 - MINERADORA BARBARENS 31/10/2024 LQ 204,94 204,94"
"Pago título: 2400001484 3101 - DS2 ENGENHARIA E COM 31/10/2024 LQ 204,74 204,74"
"Pago título: 2400001492 277 - LINHASITA INDUSTRIA D 31/10/2024 LQ 202,97 202,97"
"Pago título: 2400001494 1604 - ASSOC ATLETICA PONTE 31/10/2024 LQ 202,8 202,8"
"Pago título: 2400001496 734 - GUSTAVO ADOLFO BAETA 31/10/2024 LQ 202,19 202,19"
"Pago título: 2400001502 2042 - CATION INDUSTRIA E C 31/10/2024 LQ 200,66 200,66"
"Pago título: 2400001516 7870 - SIKA S/A 31/10/2024 LQ 264,25 264,25"
"Pago título: 2400001519 4137 - ALBERT SABIN HOSPITA 31/10/2024 LQ 264,23 264,23"
"Pago título: 2400001528 2184 - CABLENA DO BRASIL LT 31/10/2024 LQ 261,8 261,8"
"Pago título: 2400001534 3241 - ESPACO BARTO EVENTOS 31/10/2024 LQ 259,93 259,93"
"Pago título: 2400001549 990 - ASTRA S/A INDUSTRIA E 31/10/2024 LQ 256,95 256,95"
"Pago título: 2400001558 2030 - GLOBALPACK INDUSTRIA 31/10/2024 LQ 255,29 255,29"
"Pago título: 2400001564 4109 - COND CENTRO DE LOGIS 31/10/2024 LQ 254,23 254,23"
"Pago título: 2400001588 2597 - TATU PREMOLDADOS LTD 31/10/2024 LQ 248,85 248,85"
"Pago título: 2400001615 5011 - ASSOCIACAO DOS MORAD 31/10/2024 LQ 243,97 243,97"
"Pago título: 2400001618 1763 - ASSOC DOS PROP DO LO 31/10/2024 LQ 243,97 243,97"
"Pago título: 2400001630 7855 - ASSOC. DOS MOR. DO R 31/10/2024 LQ 243,97 243,97"
"Pago título: 2400001642 4826 - ATACADAO S.A. 31/10/2024 LQ 243,97 243,97"
"Pago título: 2400001648 5537 - SILAS J. TRINDADE  - 31/10/2024 LQ 243,97 243,97"
"Pago título: 2400001660 4582 - CAMPEAO 80 POSTOS DE 31/10/2024 LQ 243,97 243,97"
"Pago título: 2400001669 1718 - HOTELARIA BRASIL LTD 31/10/2024 LQ 243,14 243,14"
"Pago título: 2400001675 2372 - BELENUS DO BRASIL LT 31/10/2024 LQ 241,59 241,59"
"Pago título: 2400001678 3065 - ELETROMEI INDUSTRIA 31/10/2024 LQ 240,56 240,56"
"Pago título: 2400001681 1482 - OLIVEIRA & OLIVEIRA 31/10/2024 LQ 240,3 240,3"
"Pago título: 2400001693 5283 - ARTHI COMERCIAL LTDA 31/10/2024 LQ 239,43 239,43"
"Pago título: 2400001708 1905 - ITUPEVA HOTEIS, CONV 31/10/2024 LQ 238,18 238,18"
"Pago título: 2400001714 2517 - M. TORETI 31/10/2024 LQ 237,74 237,74"
"Pago título: 2400001717 1935 - MINERGUITA MINERACAO 31/10/2024 LQ 237,11 237,11"
"Pago título: 2400001726 3678 - ASSOC DOS PROPR DO L 31/10/2024 LQ 234,73 234,73"
"Pago título: 2400001729 561 - JULIMAR LAVANDERIA LT 31/10/2024 LQ 234,63 234,63"
"Pago título: 2400001732 3211 - DENILSON BISPO 31/10/2024 LQ 234,21 234,21"
"Pago título: 2400001738 7748 - CHURRASCARIA TREVISA 31/10/2024 LQ 234,21 234,21"
"Pago título: 2400001750 4694 - WALDIR PARISE E OUTR 31/10/2024 LQ 233,08 233,08"
"Pago título: 2400001771 464 - NESTLE BRASIL LTDA 31/10/2024 LQ 231,48 231,48"
"Pago título: 2400001777 3684 - SOCIEDADE REGIONAL D 31/10/2024 LQ 230,93 230,93"
"Pago título: 2400001795 2666 - FUCHS GEWURZE DO BRA 31/10/2024 LQ 228,43 228,43"
"Pago título: 2400001798 1014 - MINERACAO DIBASE PED 31/10/2024 LQ 228,19 228,19"
"Pago título: 2400001801 4034 - LUCI AREIA LTDA. ME 31/10/2024 LQ 226,6 226,6"
"Pago título: 2400001804 3030 - TEXTIL GL LTDA 31/10/2024 LQ 226,6 226,6"
"Pago título: 2400001816 737 - ROSILAINE DIONIZIO DA 31/10/2024 LQ 225,46 225,46"
"Pago título: 2400001819 4777 - ASSOCIACAO DOS FUNCI 31/10/2024 LQ 225,43 225,43"
"Pago título: 2400001828 4875 - HIDROALL DO BRASIL L 31/10/2024 LQ 220,59 220,59"
"Pago título: 2400001840 7370 - GRECO & GUERREIRO LT 31/10/2024 LQ 219,77 219,77"
"Pago título: 2400001849 2169 - ASSOCIACAO DE PROPRI 31/10/2024 LQ 219,58 219,58"
"Pago título: 2400001852 1580 - ENGRATECH TECNOLOGIA 31/10/2024 LQ 219,58 219,58"
"Pago título: 2400001864 3315 - ASSOCIACAO DOS PROP 31/10/2024 LQ 219,58 219,58"
"Pago título: 2400001876 2219 - IRMAOS PARAZZI LTDA 31/10/2024 LQ 218,47 218,47"
"Pago título: 2400001882 156 - EMBRASATEC INDUSTRIA 31/10/2024 LQ 216,96 216,96"
"Pago título: 2400001891 1554 - TRANSPORTADORA CONTA 31/10/2024 LQ 214,56 214,56"
"Pago título: 2400001897 2582 - TEXTIL OMBORGO LTDA 31/10/2024 LQ 213,6 213,6"
"Pago título: 2400001927 1317 - SUPERMERCADO TAQUARA 31/10/2024 LQ 210,17 210,17"
"Pago título: 2400001930 3171 - ANDORINHA COMERCIO E 31/10/2024 LQ 210,15 210,15"
"Pago título: 2400001933 4254 - NTA NOVAS TECNICAS D 31/10/2024 LQ 206,88 206,88"
"Pago título: 2400001942 581 - ATACADAO S/A 31/10/2024 LQ 205,38 205,38"
"Pago título: 2400001945 1198 - ZUCOLLORS INDUSTRIA 31/10/2024 LQ 205,37 205,37"
"Pago título: 2400001957 2866 - CELSO LUIS BELLINI E 31/10/2024 LQ 203,41 203,41"
"Pago título: 2400001960 6912 - CPE PLASTICOS LTDA 31/10/2024 LQ 202,71 202,71"
"Pago título: 2400001966 1260 - TEXTIL BRASIL LTDA E 31/10/2024 LQ 201,41 201,41"
"Pago título: 2400001978 7795 - SALTORELLI DO BRASIL 31/10/2024 LQ 200,46 200,46"
"Pago título: 2400001984 384 - PRO-METAL BENEFICIAME 31/10/2024 LQ 200,18 200,18"
"Pago título: 2400001991 898 - SERVICO MUNICIPAL DE 31/10/2024 LQ 276377,55 276377,55"
"Pago título: 2400001995 1078 - DAE S/A AGUA E ESGOT 31/10/2024 LQ 239150,7 239150,7"
"Pago título: 2400001999 826 - DEPARTAMENTO AUTONOMO 31/10/2024 LQ 178611,19 178611,19"
"Pago título: 2400002003 882 - SERVICO AUTONOMO DE A 31/10/2024 LQ 173838,88 173838,88"
"Pago título: 2400002007 828 - SERVICO AUTONOMO DE A 31/10/2024 LQ 156985,76 156985,76"
"Pago título: 2400002011 1052 - DEPARTAMENTO DE AGUA 31/10/2024 LQ 140527,21 140527,21"
"Pago título: 2400002023 962 - SAO MARTINHO S.A. 31/10/2024 LQ 98133,61 98133,61"
"Pago título: 2400002035 919 - COMPANHIA DE DESENVOL 31/10/2024 LQ 81000,56 81000,56"
"Pago título: 2400002039 831 - DEPARTAMENTO DE AGUAS 31/10/2024 LQ 70421,97 70421,97"
"Pago título: 2400002043 832 - SANEAMENTO BASICO VIN 31/10/2024 LQ 57378,16 57378,16"
"Pago título: 2400002047 986 - PREFEITURA MUNICIPAL 31/10/2024 LQ 53365,96 53365,96"
"Pago título: 2400002055 1065 - CIA SANEAMENTO BASIC 31/10/2024 LQ 48344,69 48344,69"
"Pago título: 2400002059 1057 - CIA SANEAMENTO BASIC 31/10/2024 LQ 47290,89 47290,89"
"Pago título: 2400002063 951 - SERVICO AUTONOMO DE A 31/10/2024 LQ 44088,84 44088,84"
"Pago título: 2400002071 487 - USINA ACUCAREIRA ESTE 31/10/2024 LQ 41341,34 41341,34"
"Pago título: 2400002075 867 - EUCATEX INDUSTRIA E C 31/10/2024 LQ 39375,31 39375,31"
"Pago título: 2400002083 1084 - COMPANHIA DE SANEAME 31/10/2024 LQ 37541,26 37541,26"
"Pago título: 2400002087 3411 - PREFEITURA MUNICIPAL 31/10/2024 LQ 35380,73 35380,73"
"Pago título: 2400002091 829 - SERVICO AUTONOMO DE A 31/10/2024 LQ 33632,42 33632,42"
"Pago título: 2400002099 944 - PREFEITURA MUNICIPAL 31/10/2024 LQ 31811,38 31811,38"
"Pago título: 2400002103 966 - SERVICO DE AGUA E ESG 31/10/2024 LQ 30761,7 30761,7"
"Pago título: 2400002115 5261 - CIA DE SANEAMENTO BA 31/10/2024 LQ 24754,56 24754,56"
"Pago título: 2400002123 920 - ELEKEIROZ S/A 31/10/2024 LQ 18690,36 18690,36"
"Pago título: 2400002135 1231 - COVOLAN INDUSTRIA TE 31/10/2024 LQ 16938,5 16938,5"
"Pago título: 2400002143 1484 - DELTA INDUSTRIA CERA 31/10/2024 LQ 16389,61 16389,61"
"Pago título: 2400002147 1073 - CIA SANEAMENTO BASIC 31/10/2024 LQ 15943,27 15943,27"
"Pago título: 2400002151 1058 - CIA SANEAMENTO BASIC 31/10/2024 LQ 15627,2 15627,2"
"Pago título: 2400002155 1110 - SERVICO AUTONOMO DE 31/10/2024 LQ 14662,48 14662,48"
"Pago título: 2400002159 1066 - CIA SANEAMENTO BASIC 31/10/2024 LQ 13860,46 13860,46"
"Pago título: 2400002163 1000 - CIA SANEAMENTO BASIC 31/10/2024 LQ 13269,31 13269,31"
"Pago título: 2400002171 845 - THYSSENKRUPP METALURG 31/10/2024 LQ 12470,88 12470,88"
"Pago título: 2400002175 332 - CRS BRANDS INDUSTRIA 31/10/2024 LQ 11239,4 11239,4"
"Pago título: 2400002179 6490 - USINA IRB S.A. 31/10/2024 LQ 10829,72 10829,72"
"Pago título: 2400002183 1064 - CIA SANEAMENTO BASIC 31/10/2024 LQ 10641,05 10641,05"
"Pago título: 2400002187 5355 - CIA DE SANEAMENTO BA 31/10/2024 LQ 10373,95 10373,95"
"Pago título: 2400002195 5050 - CIA DE SANEAMENTO BA 31/10/2024 LQ 9236,28 9236,28"
"Pago título: 2400002207 868 - PREFEITURA MUNICIPAL 31/10/2024 LQ 8438,27 8438,27"
"Pago título: 2400002211 1070 - CIA SANEAMENTO BASIC 31/10/2024 LQ 8276,25 8276,25"
"Pago título: 2400002215 3683 - NOVAPORCELANATO INDU 31/10/2024 LQ 8151,14 8151,14"
"Pago título: 2400002223 1060 - CIA SANEAMENTO BASIC 31/10/2024 LQ 8067,23 8067,23"
"Pago título: 2400002227 1047 - QUIMICA AMPARO LTDA 31/10/2024 LQ 7535,74 7535,74"
"Pago título: 2400002231 1169 - MINERACAO JUNDU LTDA 31/10/2024 LQ 7317,43 7317,43"
"Pago título: 2400002235 839 - BUTILAMIL INDUSTRIAS 31/10/2024 LQ 7188,86 7188,86"
"Pago título: 2400002239 891 - TIMAVO DO BRASIL S/A 31/10/2024 LQ 6629,89 6629,89"
"Pago título: 2400002255 1063 - CIA SANEAMENTO BASIC 31/10/2024 LQ 5879,03 5879,03"
"Pago título: 2400002259 7817 - DELTA INDUSTRIA CERA 31/10/2024 LQ 5857,17 5857,17"
"Pago título: 2400002263 499 - SPAL INDUSTRIA BRASIL 31/10/2024 LQ 5834,48 5834,48"
"Pago título: 2400002271 1067 - CIA SANEAMENTO BASIC 31/10/2024 LQ 5682,82 5682,82"
"Pago título: 2400002275 880 - MD PAPEIS LTDA 31/10/2024 LQ 5614,81 5614,81"
"Pago título: 2400002287 2289 - ADVANCE INDUSTRIA TE 31/10/2024 LQ 5166,36 5166,36"
"Pago título: 2400002291 1087 - TOYOTA DO BRASIL LTD 31/10/2024 LQ 5133,35 5133,35"
"Pago título: 2400002295 448 - INDUSTRIA DE PAPEL R. 31/10/2024 LQ 5028,3 5028,3"
"Pago título: 2400002299 7745 - AGUAS DE TUIUTI SPE 31/10/2024 LQ 4990,44 4990,44"
"Pago título: 2400002303 529 - OWENS CORNING FIBERGL 31/10/2024 LQ 4954,08 4954,08"
"Pago título: 2400002307 219 - ASK CRIOS PRODUTOS QU 31/10/2024 LQ 4926,57 4926,57"
"Pago título: 2400002311 160 - ASSOCIACAO RESIDENCIA 31/10/2024 LQ 4918,48 4918,48"
"Pago título: 2400002315 2497 - CARVALHEIRA INDUSTRI 31/10/2024 LQ 4893,95 4893,95"
"Pago título: 2400002319 7351 - COMPANHIA DE SANEAME 31/10/2024 LQ 4808,69 4808,69"
"Pago título: 2400002323 1112 - CIA SANEAMENTO BASIC 31/10/2024 LQ 4509,11 4509,11"
"Pago título: 2400002331 1575 - SO AGUA COMERCIO E S 31/10/2024 LQ 4389,97 4389,97"
"Pago título: 2400002343 1195 - TEXTIL CANATIBA LTDA 31/10/2024 LQ 4317,64 4317,64"
"Pago título: 2400002347 1054 - CIA SANEAMENTO BASIC 31/10/2024 LQ 4236,21 4236,21"
"Pago título: 2400002359 3384 - FRIGODELISS LTDA 31/10/2024 LQ 4103,92 4103,92"
"Pago título: 2400002363 4519 - IVO ZARZUR ADMINISTR 31/10/2024 LQ 3979,61 3979,61"
"Pago título: 2400002371 1743 - EDSON CHINARELLI TRA 31/10/2024 LQ 3923,07 3923,07"
"Pago título: 2400002375 842 - REGIMAR COMERCIAL S/A 31/10/2024 LQ 3914,41 3914,41"
"Pago título: 2400002379 476 - CLUBE DE CAMPO VALINH 31/10/2024 LQ 3911,07 3911,07"
"Pago título: 2400002383 206 - ROUSSELOT GELATINAS D 31/10/2024 LQ 3896,09 3896,09"
"Pago título: 2400002391 1075 - TINTEX TINTURARIA TE 31/10/2024 LQ 3821,82 3821,82"
"Pago título: 2400002395 12 - AGUAJATO TRANSPORTES L 31/10/2024 LQ 3816,95 3816,95"
"Pago título: 2400002407 906 - TINTURARIA E ESTAMPAR 31/10/2024 LQ 3614,96 3614,96"
"Pago título: 2400002411 2861 - KORIN AGROPECUARIA L 31/10/2024 LQ 3611,28 3611,28"
"Pago título: 2400002415 462 - AD ORO S/A 31/10/2024 LQ 3522,34 3522,34"
"Pago título: 2400002419 3196 - CEDASA INDUSTRIA E C 31/10/2024 LQ 3494,75 3494,75"
"Pago título: 2400002423 1194 - TEXTIL CANATIBA LTDA 31/10/2024 LQ 3452,29 3452,29"
"Pago título: 2400002427 2361 - TECELAGEM JOLITEX LT 31/10/2024 LQ 3432,19 3432,19"
"Pago título: 2400002431 26 - CERAMICA FORMIGRES LTD 31/10/2024 LQ 3424,45 3424,45"
"Pago título: 2400002435 3673 - PLATLOG IMPORTACAO, 31/10/2024 LQ 3382,12 3382,12"
"Pago título: 2400002459 1086 - ENGENHO SAO PEDRO AG 31/10/2024 LQ 3223,99 3223,99"
"Pago título: 2400002463 895 - FRIGORIFICO ANGELELLI 31/10/2024 LQ 3221,73 3221,73"
"Pago título: 2400002467 1002 - CIA SANEAMENTO BASIC 31/10/2024 LQ 3208,63 3208,63"
"Pago título: 2400002471 3851 - USINA GRANELLI LTDA. 31/10/2024 LQ 3187,34 3187,34"
"Pago título: 2400002475 1116 - CROWN  EMBALAGENS ME 31/10/2024 LQ 3167,2 3167,2"
"Pago título: 2400002491 257 - PASTIFICIO SELMI S/A 31/10/2024 LQ 3006,06 3006,06"
"Pago título: 2400002495 43 - CONDOMINIO RESIDENCIAL 31/10/2024 LQ 2964,26 2964,26"
"Pago título: 2400002503 246 - 3M DO BRASIL LTDA 31/10/2024 LQ 2937,86 2937,86"
"Pago título: 2400002511 357 - CONDOMINIO VILLE DE C 31/10/2024 LQ 2886,36 2886,36"
"Pago título: 2400002515 7812 - TEXTIL OMBORGO LTDA 31/10/2024 LQ 2881,13 2881,13"
"Pago título: 2400002519 184 - TECELAGEM JOLITEX LTD 31/10/2024 LQ 2857,46 2857,46"
"Pago título: 2400002523 1055 - CARTONIFICIO VALINHO 31/10/2024 LQ 2769,32 2769,32"
"Pago título: 2400002539 3535 - JOFEGE FIACAO E TECE 31/10/2024 LQ 2668,07 2668,07"
"Pago título: 2400002547 1074 - CIA SANEAMENTO BASIC 31/10/2024 LQ 2579,03 2579,03"
"Pago título: 2400002559 2750 - SERVICO AUTONOMO DE 31/10/2024 LQ 2496,02 2496,02"
"Pago título: 2400002579 2583 - FRESENIUS MEDICAL CA 31/10/2024 LQ 2421,44 2421,44"
"Pago título: 2400002595 7821 - CLUBE PRAIA DA GRAMA 31/10/2024 LQ 2342,13 2342,13"
"Pago título: 2400002599 903 - MINASA TRADING INTERN 31/10/2024 LQ 2335,73 2335,73"
"Pago título: 2400002607 7782 - BRAND TEXTIL LTDA 31/10/2024 LQ 2314,53 2314,53"
"Pago título: 2400002611 3491 - H2ORA DISTRIBUIDORA 31/10/2024 LQ 2260,96 2260,96"
"Pago título: 2400002615 505 - ASSOCIACAO AMIGOS DO 31/10/2024 LQ 2240,96 2240,96"
"Pago título: 2400002627 886 - PROVIDER INDUSTRIA E 31/10/2024 LQ 2192,57 2192,57"
"Pago título: 2400002631 923 - EMS S/A 31/10/2024 LQ 2185,01 2185,01"
"Pago título: 2400002635 7865 - ZANARDI EMPREENDIMEN 31/10/2024 LQ 2178,19 2178,19"
"Pago título: 2400002643 507 - TINTURARIA UNIVERSO L 31/10/2024 LQ 2146,04 2146,04"
"Pago título: 2400002651 2740 - EUCATEX INDUSTRIA E 31/10/2024 LQ 2109,66 2109,66"
"Pago título: 2400002659 490 - SAINT-GOBAIN DO BRASI 31/10/2024 LQ 2082,25 2082,25"
