"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442073004202112930.ret"
""
"Cadastrado título novo: 9000005985 2249 - ASSOCIACAO CONDOMINI 31/05/2021 RG 590,05 0"
"Cadastrado título novo: 9000005986 5426 - SUPERMERCADOS CAVICC 30/06/2021 RG 205,87 0"
"Pago título: 2113000196 2439 - GRAMADO MALL 30/04/2021 LQ 226,4 226,4"
"Pago título: 2113000205 2492 - PRENSA JUNDIA  S/A 30/04/2021 LQ 222,35 222,35"
"Pago título: 2113000211 2517 - M. TORETI 30/04/2021 LQ 237,74 237,74"
"Pago título: 2113000214 2582 - TEXTIL OMBORGO LTDA 30/04/2021 LQ 213,6 213,6"
"Pago título: 2113000217 2597 - TATU PREMOLDADOS LT 30/04/2021 LQ 248,85 248,85"
"Pago título: 2113000223 2666 - FUCHS GEWURZE DO BR 30/04/2021 LQ 210,42 210,42"
"Pago título: 2113000226 2685 - INDUSTRIA MECANICA 30/04/2021 LQ 217,49 217,49"
"Pago título: 2113000229 2696 - ASSOCIA  O BOTHANIC 30/04/2021 LQ 219,57 219,57"
"Pago título: 2113000232 2770 - VINGI INDUSTRIA TEX 30/04/2021 LQ 219,23 219,23"
"Pago título: 2113000238 2866 - CELSO LUIS BELLINI 30/04/2021 LQ 203,41 203,41"
"Pago título: 2113000241 2875 - ASSOCIA  O DE MORAD 30/04/2021 LQ 219,57 219,57"
"Pago título: 2113000253 3125 - CLEOMAR QU MICA IND 30/04/2021 LQ 247,04 247,04"
"Pago título: 2113000259 3171 - ANDORINHA COM RCIO 30/04/2021 LQ 210,14 210,14"
"Pago título: 2113000262 3177 - CONCREVIP CONCRETAR 30/04/2021 LQ 239,99 239,99"
"Pago título: 2113000274 3315 - ASSOCIACAO DOS PROP 30/04/2021 LQ 219,57 219,57"
"Pago título: 2113000277 3320 - SAVEGNAGO SUPERMERC 30/04/2021 LQ 209,21 209,21"
"Pago título: 2113000295 3459 - JOFEGE CONCRETO LTD 30/04/2021 LQ 265,21 265,21"
"Pago título: 2113000304 3511 - CONDOM NIO RESIDENC 30/04/2021 LQ 238,66 238,66"
"Pago título: 2113000322 3569 - CONDOM NIO RESIDENC 30/04/2021 LQ 212,25 212,25"
"Pago título: 2113000325 3583 - ALISUL ALIMENTOS S/ 30/04/2021 LQ 240,63 240,63"
"Pago título: 2113000340 3734 - ASSOCIA  O DE PROP 30/04/2021 LQ 230,3 230,3"
"Pago título: 2113000349 3812 - CONDOM NIO SIDE 30/04/2021 LQ 206,39 206,39"
"Pago título: 2113000355 3882 - SOCIEDADE MELHORAME 30/04/2021 LQ 229,15 229,15"
"Pago título: 2113000358 3928 - ABONDANZA & GARCIA 30/04/2021 LQ 256,87 256,87"
"Pago título: 2113000367 3969 - CONDOM NIO DAS MARG 30/04/2021 LQ 257,9 257,9"
"Pago título: 2113000373 4034 - LUCI AREIA LTDA. ME 30/04/2021 LQ 226,61 226,61"
"Pago título: 2113000376 4056 - ASSOCIA  O DOS PROP 30/04/2021 LQ 204,93 204,93"
"Pago título: 2113000382 4109 - COND CENTRO DE LOG 30/04/2021 LQ 254,22 254,22"
"Pago título: 2113000385 4137 - ALBERT SABIN HOSPIT 30/04/2021 LQ 264,24 264,24"
"Pago título: 2113000391 4223 - CONCREBASE SERVI OS 30/04/2021 LQ 218,98 218,98"
"Pago título: 2113000403 4474 - JOS  RICARDO PENTEA 30/04/2021 LQ 207,58 207,58"
"Pago título: 2113000424 4777 - ASSOCIA  O DOS FUNC 30/04/2021 LQ 225,44 225,44"
"Pago título: 2113000439 4875 - HIDROALL DO BRASIL 30/04/2021 LQ 220,59 220,59"
"Pago título: 2113000457 5219 - TECELAGEM PANAMERIC 30/04/2021 LQ 235,61 235,61"
"Pago título: 2113000469 5390 - LOLLY BABY PRODUTOS 30/04/2021 LQ 264,96 264,96"
"Pago título: 2113000472 5419 - TECTEXTIL EMBALAGEN 30/04/2021 LQ 210,35 210,35"
"Pago título: 2113000475 5422 - SMART SOLU  ES IMOB 30/04/2021 LQ 204,65 204,65"
"Pago título: 2113000478 5428 - TECTEXTIL EMBALAGEN 30/04/2021 LQ 210,35 210,35"
"Pago título: 2113000481 5433 - ANTONIO PEDRO CREMO 30/04/2021 LQ 264,96 264,96"
"Pago título: 2113000490 5537 - SILAS J. TRINDADE 30/04/2021 LQ 243,96 243,96"
"Pago título: 2113000493 5551 - ASSOCIA  O DOS MORA 30/04/2021 LQ 243,96 243,96"
"Pago título: 2113000502 5587 - KANIA INDUSTRIA E C 30/04/2021 LQ 264,96 264,96"
"Pago título: 2113000520 5782 - PAULO HENRIQUE BION 30/04/2021 LQ 219,07 219,07"
"Pago título: 2113000538 6961 - ASSOCIA  O DE MORAD 30/04/2021 LQ 230,48 230,48"
"Pago título: 2113000562 7382 - EMBALIXO INDUSTRIA 30/04/2021 LQ 222,66 222,66"
"Pago título: 2114000005 222 - NOTRE DAME INTERMEDI 30/04/2021 LQ 208,1 208,1"
"Pago título: 2114000013 260 - SERVI O DE SA DE DR. 30/04/2021 LQ 223,96 223,96"
"Pago título: 2114000029 450 - CONDOMINIO CHACARAS 30/04/2021 LQ 229,09 229,09"
"Pago título: 2114000033 522 - CONDOMINIO RESIDENCI 30/04/2021 LQ 241,14 241,14"
"Pago título: 2114000037 553 - DOHLER AM RICA LATIN 30/04/2021 LQ 222,96 222,96"
"Pago título: 2114000038 553 - DOHLER AM RICA LATIN 31/05/2021 LQ 222,98 222,98"
"Pago título: 2114000039 553 - DOHLER AM RICA LATIN 30/06/2021 LQ 222,98 222,98"
"Pago título: 2114000040 553 - DOHLER AM RICA LATIN 30/07/2021 LQ 222,98 222,98"
"Pago título: 2114000041 579 - CPQ BRASIL S/A 30/04/2021 LQ 215,09 215,09"
"Pago título: 2114000045 612 - JOSE COLLOCA 30/04/2021 LQ 211,94 211,94"
"Pago título: 2114000061 969 - PRALANA INDUSTRIA E 30/04/2021 LQ 227,08 227,08"
"Pago título: 2114000069 975 - BANN QUIMICA LTDA 30/04/2021 LQ 206,75 206,75"
"Pago título: 2114000073 996 - AGROCERES MULTIMIX N 30/04/2021 LQ 229,75 229,75"
"Pago título: 2114000077 997 - CEDASA INDUSTRIA E C 30/04/2021 LQ 230,54 230,54"
"Pago título: 2114000093 1204 - PLASCAR INDUSTRIA D 30/04/2021 LQ 219,56 219,56"
"Pago título: 2114000105 1258 - STEFAN ANTONIO SLEU 30/04/2021 LQ 219,56 219,56"
"Pago título: 2114000141 1905 - ITUPEVA HOTEIS, CON 30/04/2021 LQ 202,33 202,33"
"Pago título: 2114000145 1945 - G-KT DO BRASIL LTDA 30/04/2021 LQ 219,56 219,56"
"Pago título: 2114000149 1967 - PLASTICOS SANTANA L 30/04/2021 LQ 232,39 232,39"
"Pago título: 2114000153 2051 - BISCOITONE IND STRI 30/04/2021 LQ 244,2 244,2"
"Pago título: 2114000157 2109 - CONDOMINIO RESIDENC 30/04/2021 LQ 214 214"
"Pago título: 2114000173 2594 - A A DE MELO & CIA L 30/04/2021 LQ 226,23 226,23"
"Pago título: 2114000185 2798 - MINERADORA  GUA BRA 30/04/2021 LQ 234,22 234,22"
"Pago título: 2114000189 2832 - THERMAS DAS  GUAS D 30/04/2021 LQ 239,46 239,46"
"Pago título: 2114000190 2832 - THERMAS DAS  GUAS D 31/05/2021 LQ 239,46 239,46"
"Pago título: 2114000191 2832 - THERMAS DAS  GUAS D 30/06/2021 LQ 239,46 239,46"
"Pago título: 2114000192 2832 - THERMAS DAS  GUAS D 30/07/2021 LQ 239,46 239,46"
"Pago título: 2114000193 2833 - CONDAT LUBRIFICANTE 30/04/2021 LQ 214,4 214,4"
"Pago título: 2114000197 2837 - DON ORIONE EMPREEND 30/04/2021 LQ 219,56 219,56"
"Pago título: 2114000205 2926 - R M DE BARROS T XTI 30/04/2021 LQ 226,68 226,68"
"Pago título: 2114000221 3065 - ELETROMEI IND STRIA 30/04/2021 LQ 224,73 224,73"
"Pago título: 2114000229 3244 - PLANMAR IND STRIA E 30/04/2021 LQ 202,12 202,12"
"Pago título: 2114000245 3340 - FRIGOGIL INDUSTRIAL 30/04/2021 LQ 219,56 219,56"
"Pago título: 2114000249 3391 - PREFEITURA MUNICIPA 30/04/2021 LQ 225,58 225,58"
"Pago título: 2114000257 3415 - CONDOM NIO EDIF CIO 30/04/2021 LQ 202,51 202,51"
"Pago título: 2114000285 3771 - IND STRIA E COM RCI 30/04/2021 LQ 233,04 233,04"
"Pago título: 2114000289 3819 - ASSOCIA  O ADMINIST 30/04/2021 LQ 215,39 215,39"
"Pago título: 2114000293 3856 - BRASPARK ADMINISTRA 30/04/2021 LQ 201,02 201,02"
"Pago título: 2114000309 4093 - UNIVERSAL IND STRIA 30/04/2021 LQ 232,93 232,93"
"Pago título: 2114000317 4148 - CHRISTEYNS BRASIL P 30/04/2021 LQ 236,05 236,05"
"Pago título: 2114000337 4534 - CONDOM NIO CIVIL CE 30/04/2021 LQ 215,1 215,1"
"Pago título: 2114000349 4668 - IDEIA NOVA EMPREEND 30/04/2021 LQ 205,17 205,17"
"Pago título: 2114000369 4835 - TRANSPORTES GABARDO 30/04/2021 LQ 210,8 210,8"
"Pago título: 2114000373 4976 - ASTRA S/A IND STRIA 30/04/2021 LQ 219,56 219,56"
"Pago título: 2114000381 5468 - LUCIANO TORELLI E C 30/04/2021 LQ 211,74 211,74"
"Pago título: 2114000389 5510 - LEONARDO SEGEREN 30/04/2021 LQ 219,57 219,57"
"Pago título: 2114000401 5621 - CENTERANEL 1 PARTIC 30/04/2021 LQ 219,56 219,56"
"Pago título: 2114000405 5635 - RECAP CONSTRUTORA E 30/04/2021 LQ 216,56 216,56"
"Pago título: 2114000433 6875 - FUNDA  O CENTRO DE 30/04/2021 LQ 210,73 210,73"
"Pago título: 2114000441 6994 - ESPORTE CLUBE PRIMA 30/04/2021 LQ 234,46 234,46"
"Pago título: 2114000449 7309 - PROJESAN SANEMENTO 30/04/2021 LQ 241,14 241,14"
"Pago título: 2115000001 86 - PROMOCAO DO ENSINO DE 30/04/2021 LQ 234,23 234,23"
"Pago título: 2115000021 617 - JOAO BOZZA JUNIOR 30/04/2021 LQ 204,93 204,93"
"Pago título: 2115000041 894 - DAUNE TRAVESSEIROS D 30/04/2021 LQ 221,46 221,46"
"Pago título: 2115000046 953 - MAHLE COMPRESSORES D 30/04/2021 LQ 206,83 206,83"
"Pago título: 2115000056 1340 - IND STRIA DE BEBIDA 30/04/2021 LQ 215,78 215,78"
"Pago título: 2115000066 1383 - MAQUINAS FURLAN LTD 30/04/2021 LQ 222,51 222,51"
"Pago título: 2115000071 1572 - ETAPA EDUCACIONAL L 30/04/2021 LQ 204,84 204,84"
"Pago título: 2115000091 2545 - ASSOCIA  O DOS PROP 30/04/2021 LQ 222,51 222,51"
"Pago título: 2115000096 2719 - E-TECNO EMPREENDIME 30/04/2021 LQ 227,19 227,19"
"Pago título: 2115000101 2800 - CHENDEL PARTICIPACO 30/04/2021 LQ 232,73 232,73"
"Pago título: 2115000131 3312 - KESTRA UNIVERSAL SO 30/04/2021 LQ 208,38 208,38"
"Pago título: 2115000136 3399 - EDENA MARIA PECHIO 30/04/2021 LQ 216,6 216,6"
"Pago título: 2115000146 3615 - IMOBILI RIA HELV TI 30/04/2021 LQ 234,22 234,22"
"Pago título: 2115000156 3656 - FAZENDA TOZAN DO BR 30/04/2021 LQ 204,94 204,94"
"Pago título: 2115000166 3719 - CPD LOCADORA DE VEI 30/04/2021 LQ 221,34 221,34"
"Pago título: 2115000186 3822 - PEDREIRA REMANSO LT 30/04/2021 LQ 200,27 200,27"
"Pago título: 2115000201 3945 - BRASA BURGER IND E 30/04/2021 LQ 205,88 205,88"
"Pago título: 2115000216 4053 - ASSOCIA  O DOS PROP 30/04/2021 LQ 237,12 237,12"
"Pago título: 2115000221 4136 - STORAGE ADMINISTRA 30/04/2021 LQ 210,8 210,8"
"Pago título: 2115000226 4327 - CEETEPS-CENTRO ESTA 30/04/2021 LQ 216,64 216,64"
"Pago título: 2115000261 5250 - PEDREIRA MOGIANA LT 30/04/2021 LQ 219,59 219,59"
