"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72444612910202112901.ret"
""
"Cadastrado título novo: 9000006654 2613 - PAULO BERENGUEL e CI 30/11/2021 RG 810,04 0"
"Cadastrado título novo: 9000006655 1673 - JATOBA S/A 30/11/2021 RG 375,17 0"
"Pago título: 2118000783 497 -  LCOOL FERREIRA S/A 29/10/2021 LQ 643,18 643,18"
"Pago título: 2118000791 499 - SPAL INDUSTRIA BRASI 29/10/2021 LQ 2917,24 2917,24"
"Pago título: 2118000799 500 - BIGNARDI IND E COM D 29/10/2021 LQ 5302,68 5302,68"
"Pago título: 2118000807 503 - FLAMBOI  ALIMENTOS L 29/10/2021 LQ 661,27 661,27"
"Pago título: 2118000815 505 - ASSOCIACAO AMIGOS DO 29/10/2021 LQ 1120,48 1120,48"
"Pago título: 2118000823 507 - TINTURARIA UNIVERSO 29/10/2021 LQ 1622,14 1622,14"
"Pago título: 2118000831 523 - CONDOMINIO RESIDENCI 29/10/2021 LQ 349,09 349,09"
"Pago título: 2118000839 529 - OWENS CORNING FIBERG 29/10/2021 LQ 2940,25 2940,25"
"Pago título: 2118000879 585 - TEKA - TECELAGEM KUE 29/10/2021 LQ 1618,73 1618,73"
"Pago título: 2118000911 824 - UNIVERSIDADE DE SAO 29/10/2021 LQ 947,87 947,87"
"Pago título: 2118000935 829 - SERVICO AUT NOMO DE 29/10/2021 LQ 9435,57 9435,57"
"Pago título: 2118000943 831 - DEPARTAMENTO DE  GUA 29/10/2021 LQ 31800,05 31800,05"
"Pago título: 2118000967 842 - REGIMAR COMERCIAL S/ 29/10/2021 LQ 1957,2 1957,2"
"Pago título: 2118000975 844 - COIM BRASIL LTDA 29/10/2021 LQ 417,84 417,84"
"Pago título: 2118000983 845 - THYSSENKRUPP METALUR 29/10/2021 LQ 3874,04 3874,04"
"Pago título: 2118000991 851 - KROMBERG & SCHUBERT 29/10/2021 LQ 276,84 276,84"
"Pago título: 2118000999 852 - ECOFABRIL INDUSTRIA 29/10/2021 LQ 278,25 278,25"
"Pago título: 2118001007 855 - LOG & PRINT GR FICA 29/10/2021 LQ 212,62 212,62"
"Pago título: 2118001031 861 - HUDTELFA TEXTILE TEC 29/10/2021 LQ 672,03 672,03"
"Pago título: 2118001039 863 - SENPAR TERRAS DE S O 29/10/2021 LQ 892,67 892,67"
"Pago título: 2118001095 888 - INCOPISOS INDUSTRIA 29/10/2021 LQ 1154,67 1154,67"
"Pago título: 2118001103 891 - TIMAVO DO BRASIL S/A 29/10/2021 LQ 3125,55 3125,55"
"Pago título: 2118001111 892 - A. AZEVEDO INDUSTRIA 29/10/2021 LQ 484,19 484,19"
"Pago título: 2118001119 895 - FRIGORIFICO ANGELELL 29/10/2021 LQ 1559,67 1559,67"
"Pago título: 2118001135 898 - SERVICO MUNICIPAL DE 29/10/2021 LQ 162334,71 162334,71"
"Pago título: 2118001151 903 - MINASA TRADING INTER 29/10/2021 LQ 1167,86 1167,86"
"Pago título: 2118001159 907 - SERRA AZUL WATER PAR 29/10/2021 LQ 1770,7 1770,7"
"Pago título: 2118001167 909 - FLEX PARQUE EMPRESAR 29/10/2021 LQ 700,82 700,82"
"Pago título: 2118001191 920 - ELEKEIROZ S/A 29/10/2021 LQ 8353,12 8353,12"
"Pago título: 2118001239 938 - MIRACEMA NUODEX INDU 29/10/2021 LQ 349,2 349,2"
"Pago título: 2118001263 941 - RAIZEN ENERGIA S/A 29/10/2021 LQ 16893,22 16893,22"
"Pago título: 2118001287 944 - PREFEITURA MUNICIPAL 29/10/2021 LQ 21344,03 21344,03"
"Pago título: 2118001295 946 - HOTEL CAMPING ESTANC 29/10/2021 LQ 746,56 746,56"
"Pago título: 2118001303 948 - QUINTA DA BARONEZA G 29/10/2021 LQ 2911,56 2911,56"
"Pago título: 2118001335 959 - ASK PRODUTOS QUIMICO 29/10/2021 LQ 216,52 216,52"
"Pago título: 2118001343 962 - SAO MARTINHO S.A. 29/10/2021 LQ 33958,94 33958,94"
"Pago título: 2118001351 965 - IGARATIBA INDUSTRIA 29/10/2021 LQ 287,63 287,63"
"Pago título: 2118001359 966 - SERVICO DE AGUA E ES 29/10/2021 LQ 23635,42 23635,42"
"Pago título: 2118001375 976 - SOCIEDADE DE ABASTEC 29/10/2021 LQ 23493,63 23493,63"
"Pago título: 2118001391 981 - PIRACAIA IND E COM E 29/10/2021 LQ 753,96 753,96"
"Pago título: 2118001399 985 - CONDOMINIO FAZENDA D 29/10/2021 LQ 293,18 293,18"
"Pago título: 2118001431 1000 - CIA SANEAMENTO BASI 29/10/2021 LQ 16405,88 16405,88"
"Pago título: 2118001439 1001 - CIA SANEAMENTO BASI 29/10/2021 LQ 843,24 843,24"
"Pago título: 2118001447 1002 - CIA SANEAMENTO BASI 29/10/2021 LQ 1360,24 1360,24"
"Pago título: 2118001455 1004 - BRANYL COMERCIO E I 29/10/2021 LQ 1039,39 1039,39"
"Pago título: 2118001463 1024 - RAIZEN ENERGIA S/A 29/10/2021 LQ 7506,81 7506,81"
"Pago título: 2118001471 1033 - CCS TECNOLOGIA E SE 29/10/2021 LQ 223,52 223,52"
"Pago título: 2118001495 1047 - QUIMICA AMPARO LTDA 29/10/2021 LQ 5224,9 5224,9"
"Pago título: 2118001511 1050 - CIA SANEAMENTO BASI 29/10/2021 LQ 511,69 511,69"
"Pago título: 2118001527 1055 - CARTONIFICIO VALINH 29/10/2021 LQ 1388,88 1388,88"
"Pago título: 2118001535 1057 - CIA SANEAMENTO BASI 29/10/2021 LQ 36982,34 36982,34"
"Pago título: 2118001543 1058 - CIA SANEAMENTO BASI 29/10/2021 LQ 4362,4 4362,4"
"Pago título: 2118001551 1060 - CIA SANEAMENTO BASI 29/10/2021 LQ 4566,64 4566,64"
"Pago título: 2118001559 1063 - CIA SANEAMENTO BASI 29/10/2021 LQ 2859,79 2859,79"
"Pago título: 2118001567 1064 - CIA SANEAMENTO BASI 29/10/2021 LQ 9707,52 9707,52"
"Pago título: 2118001575 1065 - CIA SANEAMENTO BASI 29/10/2021 LQ 5801,77 5801,77"
"Pago título: 2118001583 1067 - CIA SANEAMENTO BASI 29/10/2021 LQ 6538,48 6538,48"
"Pago título: 2118001591 1070 - CIA SANEAMENTO BASI 29/10/2021 LQ 4655,64 4655,64"
"Pago título: 2118001599 1073 - CIA SANEAMENTO BASI 29/10/2021 LQ 8343,9 8343,9"
"Pago título: 2118001607 1074 - CIA SANEAMENTO BASI 29/10/2021 LQ 844,45 844,45"
"Pago título: 2118001615 1075 - TINTEX TINTURARIA T 29/10/2021 LQ 222,59 222,59"
"Pago título: 2118001647 1086 - ENGENHO SAO PEDRO A 29/10/2021 LQ 1612 1612"
"Pago título: 2118001655 1087 - TOYOTA DO BRASIL LT 29/10/2021 LQ 1333,39 1333,39"
"Pago título: 2118001663 1090 - CITROSUCO S/A AGROI 29/10/2021 LQ 1716,94 1716,94"
"Pago título: 2118001687 1103 - ASSOCIACAO FAZENDA 29/10/2021 LQ 687,22 687,22"
"Pago título: 2118001703 1110 - SERVICO AUTONOMO DE 29/10/2021 LQ 3684,15 3684,15"
"Pago título: 2118001711 1111 - CIA SANEAMENTO BASI 29/10/2021 LQ 410433,13 410433,13"
"Pago título: 2118001719 1112 - CIA SANEAMENTO BASI 29/10/2021 LQ 23029,06 23029,06"
"Pago título: 2118001727 1116 - CROWN  EMBALAGENS M 29/10/2021 LQ 1530,5 1530,5"
"Pago título: 2118001735 1120 - MOTOROLA MOBILITY C 29/10/2021 LQ 845,37 845,37"
"Pago título: 2118001743 1122 - PPC SANTANA EQUIPAM 29/10/2021 LQ 291,74 291,74"
"Pago título: 2118001751 1123 - CIA SANEAMENTO BASI 29/10/2021 LQ 21391,91 21391,91"
"Pago título: 2118001783 1136 - VILLARES METALS S/A 29/10/2021 LQ 1423,95 1423,95"
"Pago título: 2118001799 1140 - VIA VAREJO S/A 29/10/2021 LQ 301,06 301,06"
"Pago título: 2118001807 1143 - CASTELO ALIMENTOS S 29/10/2021 LQ 695,34 695,34"
"Pago título: 2118001815 1144 - ASSOCIACAO PROPRIET 29/10/2021 LQ 274,47 274,47"
"Pago título: 2118001831 1148 - ARCELOR MITTAL GONV 29/10/2021 LQ 394,15 394,15"
"Pago título: 2118001847 1154 - GREENBRIER MAXION E 29/10/2021 LQ 444,23 444,23"
"Pago título: 2118001863 1169 - MINERACAO JUNDU LTD 29/10/2021 LQ 12383,46 12383,46"
"Pago título: 2118001871 1193 - TEXTIL CANATIBA LTD 29/10/2021 LQ 780,38 780,38"
"Pago título: 2118001879 1194 - TEXTIL CANATIBA LTD 29/10/2021 LQ 1726,14 1726,14"
"Pago título: 2118001887 1195 - TEXTIL CANATIBA LTD 29/10/2021 LQ 1300,15 1300,15"
"Pago título: 2118001903 1221 - NORQUIMA PRODUTOS Q 29/10/2021 LQ 298,7 298,7"
"Pago título: 2118001927 1231 - COVOLAN IND STRIA T 29/10/2021 LQ 17031,49 17031,49"
"Pago título: 2118001935 1243 - ASSOCIACAO PROPRIET 29/10/2021 LQ 329,36 329,36"
"Pago título: 2118001959 1266 - ASSOCIA  O COMUNIT 29/10/2021 LQ 247,02 247,02"
"Pago título: 2118001967 1274 - GUAINUMBY TEXTIL LT 29/10/2021 LQ 452,85 452,85"
"Pago título: 2118001983 1313 - AZUMA KIRIN IND STR 29/10/2021 LQ 268,75 268,75"
"Pago título: 2118001991 1323 - TEXTIL SUCCI LTDA-M 29/10/2021 LQ 284,65 284,65"
"Pago título: 2118002007 1405 - ASSOCIACAO LOTEAMEN 29/10/2021 LQ 3204,93 3204,93"
"Pago título: 2118002015 1414 - CERVEJARIA ASHBY LT 29/10/2021 LQ 222,64 222,64"
"Pago título: 2118002023 1417 - IND STRIA DE PRODUT 29/10/2021 LQ 222,42 222,42"
"Pago título: 2118002031 1420 - MIRVI BRASIL LTDA 29/10/2021 LQ 335,43 335,43"
"Pago título: 2118002039 1423 - TASA TINTURARIA AME 29/10/2021 LQ 701,36 701,36"
"Pago título: 2118002047 1425 - TRANSPORTE E COMERC 29/10/2021 LQ 314,72 314,72"
"Pago título: 2118002055 1429 - ASSOCIACAO ADMINIST 29/10/2021 LQ 742,9 742,9"
"Pago título: 2118002071 1456 - ASSOC DOS PROP DO L 29/10/2021 LQ 347,66 347,66"
"Pago título: 2118002079 1459 - CIA SANEAMENTO BASI 29/10/2021 LQ 3140,21 3140,21"
"Pago título: 2118002087 1465 - BBC INDUSTRIA E COM 29/10/2021 LQ 311,76 311,76"
"Pago título: 2118002095 1477 - JETFIO INDUSTRIA TE 29/10/2021 LQ 316,68 316,68"
"Pago título: 2118002111 1484 - DELTA INDUSTRIA CER 29/10/2021 LQ 8194,81 8194,81"
"Pago título: 2118002127 1547 - SOCER BRASIL INDUST 29/10/2021 LQ 570,6 570,6"
"Pago título: 2118002151 1567 - RPR CAPTACAO E TRAN 29/10/2021 LQ 912,66 912,66"
"Pago título: 2118002167 1591 - TQA INDUSTRIA E COM 29/10/2021 LQ 311,07 311,07"
"Pago título: 2118002175 1592 - MICROSAL INDUSTRIA 29/10/2021 LQ 1164,8 1164,8"
"Pago título: 2118002183 1603 - OLIVEIRA & LOPES LT 29/10/2021 LQ 219,74 219,74"
"Pago título: 2118002191 1609 - GRANITEC IND E COM 29/10/2021 LQ 214,35 214,35"
"Pago título: 2118002199 1618 - NAZATO PIRACICABA T 29/10/2021 LQ 356,68 356,68"
"Pago título: 2118002215 1638 - LEITESOL INDUSTRIA 29/10/2021 LQ 764,29 764,29"
"Pago título: 2118002223 1666 - VOTORANTIM CIMENTOS 29/10/2021 LQ 334,9 334,9"
"Pago título: 2118002231 1675 - ASSOCIACAO DOS MORA 29/10/2021 LQ 315,7 315,7"
"Pago título: 2118002239 1676 - CASSOL PRE  FABRICA 29/10/2021 LQ 281,54 281,54"
"Pago título: 2118002263 1701 - TINTURARIA E ESTAMP 29/10/2021 LQ 257,73 257,73"
"Pago título: 2118002271 1705 - SAINT-GOBAIN DO BRA 29/10/2021 LQ 250,03 250,03"
"Pago título: 2118002279 1713 - JACOBS DOUWE EGBERT 29/10/2021 LQ 309,24 309,24"
"Pago título: 2118002287 1742 - CONDOMINIO SERANILA 29/10/2021 LQ 216,21 216,21"
"Pago título: 2118002311 1789 - CENTRAIS DE ABASTEC 29/10/2021 LQ 775,52 775,52"
"Pago título: 2118002327 1813 - MAXLAV LAVANDERIA E 29/10/2021 LQ 332,09 332,09"
"Pago título: 2118002351 1818 - MARLES INDUSTRIA TE 29/10/2021 LQ 765,51 765,51"
"Pago título: 2118002367 1830 - SUOMINEN BRASIL IND 29/10/2021 LQ 202,7 202,7"
"Pago título: 2118002375 1846 - COMPANHIA NACIONAL 29/10/2021 LQ 819,09 819,09"
"Pago título: 2118002391 1859 - CWS CABLE PARKS LTD 29/10/2021 LQ 407,43 407,43"
"Pago título: 2118002407 1885 - A PRESS TRANSPORTES 29/10/2021 LQ 210,79 210,79"
"Pago título: 2118002447 1976 - SOL INVEST EMPREEND 29/10/2021 LQ 254,76 254,76"
"Pago título: 2118002455 1979 - QUIMICA AMPARO LTDA 29/10/2021 LQ 622,13 622,13"
"Pago título: 2118002471 1990 - PEDREIRA FAZENDA VE 29/10/2021 LQ 599,71 599,71"
"Pago título: 2118002479 2019 - BAERLOCHER DO BRASI 29/10/2021 LQ 994,48 994,48"
"Pago título: 2118002487 2074 - SALTORELLI TINTURAR 29/10/2021 LQ 895,5 895,5"
"Pago título: 2118002495 2083 - HANIER ESPECIALIDAD 29/10/2021 LQ 357,34 357,34"
"Pago título: 2118002503 2088 - ASSOCIA  O DE PROPR 29/10/2021 LQ 534,3 534,3"
"Pago título: 2118002511 2094 - ASSOCIA  O DE PROPR 29/10/2021 LQ 376,45 376,45"
"Pago título: 2118002527 2114 - MAXLAV LAVANDERIA E 29/10/2021 LQ 294,6 294,6"
"Pago título: 2118002535 2139 - INDUSTRIAS ROMI S/A 29/10/2021 LQ 561,63 561,63"
"Pago título: 2118002551 2168 - EMEPE INDUSTRIA GRA 29/10/2021 LQ 201,28 201,28"
"Pago título: 2118002567 2172 - FARMINA PET FOODS B 29/10/2021 LQ 330,67 330,67"
"Pago título: 2118002583 2175 - INDUSTRIA E COMERCI 29/10/2021 LQ 685,46 685,46"
"Pago título: 2118002615 2239 - CERAMICA RAMOS LTDA 29/10/2021 LQ 458,03 458,03"
"Pago título: 2118002639 2284 -  GUA VIDA TRANSPORT 29/10/2021 LQ 585,53 585,53"
"Pago título: 2118002655 2293 - BRUNO NICOLETTI TEC 29/10/2021 LQ 212,29 212,29"
"Pago título: 2118002679 2324 - BASF S/A 29/10/2021 LQ 333,75 333,75"
"Pago título: 2118002703 2337 - CERAMICA CARMELO FI 29/10/2021 LQ 791,72 791,72"
"Pago título: 2118002711 2348 - RAUL FERREIRA LEITE 29/10/2021 LQ 475,75 475,75"
"Pago título: 2118002727 2361 - TECELAGEM JOLITEX L 29/10/2021 LQ 496,76 496,76"
"Pago título: 2118002751 2392 - NEW PARQUE TENIS 29/10/2021 LQ 240,8 240,8"
"Pago título: 2118002767 2457 - HYUNDAI MOTOR BRASI 29/10/2021 LQ 920,24 920,24"
"Pago título: 2118002775 2458 - SENPAR TERRAS DE S 29/10/2021 LQ 322,41 322,41"
"Pago título: 2118002783 2464 - SPARTAN DO BRASIL P 29/10/2021 LQ 629,25 629,25"
"Pago título: 2118002791 2474 - DE MARCHI INDUSTRIA 29/10/2021 LQ 501,55 501,55"
"Pago título: 2118002799 2478 - ASSOC DOS PROPRIET 29/10/2021 LQ 320,45 320,45"
"Pago título: 2118002807 2497 - CARVALHEIRA IND STR 29/10/2021 LQ 1122,16 1122,16"
"Pago título: 2118002815 2538 - APTAR DO BRASIL EMB 29/10/2021 LQ 238,47 238,47"
"Pago título: 2118002831 2559 - CONDOMINIO RESIDENC 29/10/2021 LQ 265,32 265,32"
"Pago título: 2118002839 2575 - LUBRASIL LUBRIFICAN 29/10/2021 LQ 224,24 224,24"
"Pago título: 2118002847 2583 - FRESENIUS MEDICAL C 29/10/2021 LQ 1562,01 1562,01"
"Pago título: 2118002855 2590 - DIERBERGER  LEOS ES 29/10/2021 LQ 480,32 480,32"
"Pago título: 2118002879 2675 - CORR PLASTIK LTDA 29/10/2021 LQ 215,92 215,92"
"Pago título: 2118002887 2684 - ANTONIO SERGIO LEIT 29/10/2021 LQ 365,96 365,96"
"Pago título: 2118002919 2740 - EUCATEX IND STRIA E 29/10/2021 LQ 1027,74 1027,74"
"Pago título: 2118002927 2743 - SORVETES JUNDI  IND 29/10/2021 LQ 1027,97 1027,97"
"Pago título: 2118002935 2745 - CONDOM NIO DO SHOPP 29/10/2021 LQ 429,65 429,65"
"Pago título: 2118002943 2747 - SINTO BRASIL PRODUT 29/10/2021 LQ 761,63 761,63"
"Pago título: 2118002959 2750 - SERVICO AUTONOMO DE 29/10/2021 LQ 1165,23 1165,23"
"Pago título: 2118002967 2751 - SERVICO AUTONOMO DE 29/10/2021 LQ 941,17 941,17"
"Pago título: 2118002991 2773 - SOCIEDADE DE ARMAZE 29/10/2021 LQ 352,63 352,63"
"Pago título: 2118002999 2776 - KARINA PISOS E REVE 29/10/2021 LQ 263,49 263,49"
