"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72452602807202314942.ret"
""
"Cadastrado título novo: 9000007525 2073 - CTEEP CIA DE TRANSMI 04/08/2023 RG 403,66 0"
"Cadastrado título novo: 9000007526 2070 - CTEEP CIA DE TRANSMI 04/08/2023 RG 598,02 0"
"Cadastrado título novo: 9000007527 7742 - QUIMICOS E SOLUCOES 31/07/2023 RG 4170,74 0"
"Cadastrado título novo: 9000007528 7742 - QUIMICOS E SOLUCOES 31/08/2023 RG 4170,74 0"
"Cadastrado título novo: 9000007529 7742 - QUIMICOS E SOLUCOES 29/09/2023 RG 4170,74 0"
"Cadastrado título novo: 9000007530 7742 - QUIMICOS E SOLUCOES 31/10/2023 RG 4170,74 0"
"Cadastrado título novo: 9000007531 7742 - QUIMICOS E SOLUCOES 30/11/2023 RG 4170,74 0"
"Cadastrado título novo: 9000007532 7742 - QUIMICOS E SOLUCOES 22/12/2023 RG 4170,74 0"
"Cadastrado título novo: 9000007533 2444 - TNT MERCURIO CARGAS 31/08/2023 RG 226,23 0"
"Cadastrado título novo: 9000007534 4674 - L'OCCITANE OPERA IND 09/08/2023 RG 239,62 0"
"Pago título: 2230001266 3306 - PETRODANSK INDUSTRIA 31/07/2023 LQ 266,12 266,12"
"Pago título: 2230001267 3306 - PETRODANSK INDUSTRIA 31/08/2023 LQ 266,12 266,12"
"Pago título: 2230001320 3759 - HOTEL FAZENDA DONA C 31/07/2023 LQ 250,31 250,31"
"Pago título: 2230001321 3759 - HOTEL FAZENDA DONA C 31/08/2023 LQ 250,32 250,32"
"Pago título: 2230001330 3844 - PROLOGIS CCP TONOLLI 31/07/2023 LQ 203,35 203,35"
"Pago título: 2230001342 4012 - CONDOMINIO RESIDENCI 31/07/2023 LQ 219,57 219,57"
"Pago título: 2230001370 4489 - SANATORIO ISMAEL 31/07/2023 LQ 261,29 261,29"
"Pago título: 2230001514 176 - SERVICO SOCIAL DO COM 31/07/2023 LQ 238,8 238,8"
"Pago título: 2230001544 556 - CONDOMINIO VILLAGE VI 31/07/2023 LQ 231,96 231,96"
"Pago título: 2230001553 613 - PAULO AGNELO MALZONI 31/07/2023 LQ 243,97 243,97"
"Pago título: 2230001565 972 - OJI PAPEIS ESPECIAIS 31/07/2023 LQ 243,43 243,43"
"Pago título: 2230001595 1495 - STORAGE ADMINISTRACA 31/07/2023 LQ 216,34 216,34"
"Pago título: 2230001691 2613 - PAULO BERENGUEL & CI 31/07/2023 LQ 249,38 249,38"
"Pago título: 2230001715 2963 - FIBRILA TEXTILE LTDA 31/07/2023 LQ 246,78 246,78"
"Pago título: 2230001748 3211 - DENILSON BISPO 31/07/2023 LQ 234,22 234,22"
"Pago título: 2230001751 3241 - ESPACO BARTO EVENTOS 31/07/2023 LQ 259,93 259,93"
"Pago título: 2230001808 3815 - CONDOMINIO AMABILIS 31/07/2023 LQ 231,56 231,56"
"Pago título: 2230001835 4109 - COND CENTRO DE LOGIS 31/07/2023 LQ 254,22 254,22"
"Pago título: 2230001892 5011 - ASSOCIACAO DOS MORAD 31/07/2023 LQ 243,97 243,97"
"Pago título: 2230001910 5422 - SMART SOLUCOES IMOBI 31/07/2023 LQ 252,87 252,87"
"Pago título: 2230001943 6886 - CONDOMINIO RESIDENCI 31/07/2023 LQ 217,52 217,52"
"Pago título: 2230001954 7331 - KOLIBRI ADMINISTRACA 29/09/2023 LQ 239,09 239,09"
"Pago título: 2230001967 7725 - CONDOMINIO RESIDENCI 31/07/2023 LQ 207,22 207,22"
"Pago título: 2230002016 612 - JOSE COLLOCA 31/07/2023 LQ 211,94 211,94"
"Pago título: 2230002072 1367 - ASSOCIACAO DE MELHOR 31/07/2023 LQ 245,2 245,2"
"Pago título: 2230002176 3150 - QUARTZO MINERACAO LT 31/07/2023 LQ 211,74 211,74"
"Pago título: 2230002348 5433 - ANTONIO PEDRO CREMON 31/07/2023 LQ 219,56 219,56"
"Pago título: 2230002368 5621 - CENTERANEL 1 PARTICI 31/07/2023 LQ 219,56 219,56"
"Pago título: 2230002412 7361 - GENCONS EMPREENDIMEN 31/07/2023 LQ 204,93 204,93"
"Pago título: 2230002453 413 - INDUSTRIAS ROMI S/A 31/07/2023 LQ 202,87 202,87"
"Pago título: 2230002456 413 - INDUSTRIAS ROMI S/A 31/10/2023 LQ 202,87 202,87"
"Pago título: 2230002503 1192 - SECRETARIA DA ADMINI 31/07/2023 LQ 204,35 204,35"
"Pago título: 2230002533 2280 - TINTURARIA SANTA ADE 31/07/2023 LQ 200,36 200,36"
"Pago título: 2230002643 3774 - ASSOCIACAO DOS PROP 31/07/2023 LQ 226,47 226,47"
"Pago título: 2230002703 4972 - ADAUTO CONSERVANI 31/07/2023 LQ 221,34 221,34"
"Pago título: 2230002817 14 - BORGWARNER INDUSTRIA E 31/07/2023 LQ 206,4 206,4"
"Pago título: 2230002895 52 - ASSOCIACAO DOS PROPRIE 31/07/2023 LQ 604,72 604,72"
"Pago título: 2230003135 241 - RIO CONSTRUTORA E AGR 31/07/2023 LQ 483,86 483,86"
"Pago título: 2230003136 241 - RIO CONSTRUTORA E AGR 31/08/2023 LQ 483,89 483,89"
"Pago título: 2230003137 241 - RIO CONSTRUTORA E AGR 29/09/2023 LQ 483,89 483,89"
"Pago título: 2230003138 241 - RIO CONSTRUTORA E AGR 31/10/2023 LQ 483,89 483,89"
"Pago título: 2230003139 241 - RIO CONSTRUTORA E AGR 30/11/2023 LQ 483,89 483,89"
"Pago título: 2230003140 241 - RIO CONSTRUTORA E AGR 22/12/2023 LQ 483,89 483,89"
"Pago título: 2230003267 358 - ASSOCIACAO AMIGOS MAR 31/07/2023 LQ 1625,7 1625,7"
"Pago título: 2230003447 491 - CATERPILLAR BRASIL LT 31/07/2023 LQ 668,29 668,29"
"Pago título: 2230003519 545 - SOCIEDADE DE PROPRIET 31/07/2023 LQ 439,07 439,07"
"Pago título: 2230003627 841 - MAGNETI MARELLI SISTE 31/07/2023 LQ 425,91 425,91"
"Pago título: 2230003675 857 - CPIC BRASIL FIBRAS DE 31/07/2023 LQ 3522,45 3522,45"
"Pago título: 2230003897 944 - PREFEITURA MUNICIPAL 31/07/2023 LQ 21207,6 21207,6"
"Pago título: 2230004179 1082 - LENA & CIA LTDA 31/07/2023 LQ 425,45 425,45"
"Pago título: 2230004281 1128 - CIA SANEAMENTO BASIC 31/07/2023 LQ 2801,69 2801,69"
"Pago título: 2230004287 1129 - CIA SANEAMENTO BASIC 31/07/2023 LQ 10759,55 10759,55"
"Pago título: 2230004299 1132 - CIA SANEAMENTO BASIC 31/07/2023 LQ 20404,71 20404,71"
"Pago título: 2230004485 1405 - ASSOCIACAO LOTEAMENT 31/07/2023 LQ 4273,26 4273,26"
"Pago título: 2230004731 1742 - CONDOMINIO SERANILA 31/07/2023 LQ 263,48 263,48"
"Pago título: 2230004743 1749 - USINA PAULISTA DE BR 31/07/2023 LQ 376,81 376,81"
"Pago título: 2230004845 1902 - KENJI EXTRACAO E COM 31/07/2023 LQ 386,73 386,73"
"Pago título: 2230004971 2139 - INDUSTRIAS ROMI S/A 31/07/2023 LQ 748,85 748,85"
"Pago título: 2230004977 2140 - INDUSTRIAS ROMI S/A 31/07/2023 LQ 258,26 258,26"
"Pago título: 2230005145 2362 - ASSOCIACAO  PROPRIET 31/07/2023 LQ 229,24 229,24"
"Pago título: 2230005373 2752 - PREFEITURA DO MUNICI 31/07/2023 LQ 950,86 950,86"
"Pago título: 2230005679 3271 - ASSOCIACAO DOS PROPR 31/07/2023 LQ 234,23 234,23"
"Pago título: 2230006087 3926 - HWT PROMOCOES ESPORT 31/07/2023 LQ 473,28 473,28"
"Pago título: 2230006345 4762 - MINERACAO ANGICO LTD 31/07/2023 LQ 475,26 475,26"
"Pago título: 2230006369 4784 - ASSOCIACAO DOS PROPR 31/07/2023 LQ 548,92 548,92"
"Pago título: 2230006393 4830 - CONDOMINIO RESIDENCI 31/07/2023 LQ 341,57 341,57"
"Pago título: 2230006471 5035 - CLOSURE SYSTEMS INTE 31/07/2023 LQ 439,15 439,15"
"Pago título: 2230006585 5402 - SAO PAULO SECRETARIA 31/07/2023 LQ 985,51 985,51"
"Pago título: 2230006711 5545 - COOPERATIVA VEILING 31/07/2023 LQ 425,96 425,96"
"Pago título: 2230007077 7372 - MUNICIPIO DE RIO DAS 31/07/2023 LQ 988,73 988,73"
"Pago título: 2230007149 7724 - CONDOMINIO RESIDENCI 31/07/2023 LQ 295,52 295,52"
"Pago título: 9000007436 1134 - MUNICIPIO DE SUMARE 31/07/2023 LQ 220417,23 220417,23"
"Pago título: 9000007517 3206 - ASSOCIACAO DE AMIGOS 31/07/2023 LQ 339,86 339,86"
"Cancelado título: 2230000323 2070 - CTEEP CIA DE TRANSMI 31/07/2023 BX 585,53 0"
"Cancelado título: 2230000324 2073 - CTEEP CIA DE TRANSMI 31/07/2023 BX 395,23 0"
"Cancelado título: 2230001673 2444 - TNT MERCURIO CARGAS 31/07/2023 BX 219,57 0"
"Cancelado título: 2230007197 7742 - RHODIA BRASIL S.A. 31/07/2023 BX 4170,74 0"
"Cancelado título: 2230007198 7742 - RHODIA BRASIL S.A. 31/08/2023 BX 4170,74 0"
"Cancelado título: 2230007199 7742 - RHODIA BRASIL S.A. 29/09/2023 BX 4170,74 0"
"Cancelado título: 2230007200 7742 - RHODIA BRASIL S.A. 31/10/2023 BX 4170,74 0"
"Cancelado título: 2230007201 7742 - RHODIA BRASIL S.A. 30/11/2023 BX 4170,74 0"
"Cancelado título: 2230007202 7742 - RHODIA BRASIL S.A. 22/12/2023 BX 4170,74 0"
"ERRO! Operação desconhecida: 2230003879 941 - RAIZEN ENERGIA S/A 10/08/2023 VC 17455,43 0"
