"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72442913006202114245.ret"
""
"Cadastrado título novo: 9000006225 4046 - PAULO CESAR RODRIGUE 30/07/2021 RG 1031,89 0"
"Cadastrado título novo: 9000006226 6793 - SUPERMERCADOS DALBEN 30/07/2021 RG 451,11 0"
"Cadastrado título novo: 9000006227 1028 - CONDOMINIO EDIFICIO 30/07/2021 RG 457,55 0"
"Cadastrado título novo: 9000006228 3991 - HIGIBRAG TRANSPORTE 30/07/2021 RG 731,14 0"
"Cadastrado título novo: 9000006229 2688 - ARYZTA DO BRASIL ALI 30/07/2021 RG 334,93 0"
"Cadastrado título novo: 9000006230 3701 - ASSOCIACAO DE SOCIOS 30/07/2021 RG 1256,58 0"
"Cadastrado título novo: 9000006231 1935 - MINERGUITA MINERACAO 30/07/2021 RG 495,9 0"
"Cadastrado título novo: 9000006232 3229 - PLASTCOR DO BRASIL L 30/07/2021 RG 319,67 0"
"Pago título: 2111000442 2690 - CONTE DO COM RCIO E 30/06/2021 LQ 245,93 245,93"
"Pago título: 2111000443 2692 - SERVICO SOCIAL DA I 30/06/2021 LQ 735,28 735,28"
"Pago título: 2111000444 2695 - SUEME INDUSTRIAL S/ 30/06/2021 LQ 137,21 137,21"
"Pago título: 2111000445 2697 - SUPERMERCADOS CAVIC 30/06/2021 LQ 153,03 153,03"
"Pago título: 2111000446 2707 - MINERMIX MINERA  O 30/06/2021 LQ 385,85 385,85"
"Pago título: 2111000447 2708 - MAILA COSMETICOS S/ 30/06/2021 LQ 92,9 92,9"
"Pago título: 2111000449 2720 - INDUSTRIA E COMERCI 30/06/2021 LQ 880,01 880,01"
"Pago título: 2111000451 2733 - FIRENIGHT MOTEL LTD 30/06/2021 LQ 337,27 337,27"
"Pago título: 2111000456 2755 - RANCHO MINEIRO REST 30/06/2021 LQ 222,21 222,21"
"Pago título: 2111000458 2758 - GOOD BOM SUPERMERCA 30/06/2021 LQ 136,71 136,71"
"Pago título: 2111000459 2760 - PAGUE MENOS COMERCI 30/06/2021 LQ 497,14 497,14"
"Pago título: 2111000460 2764 - PAGUE MENOS COMERCI 30/06/2021 LQ 395,23 395,23"
"Pago título: 2111000462 2767 - CONCRELONGO COMERCI 30/06/2021 LQ 109,5 109,5"
"Pago título: 2111000463 2771 - GOOD BOM SUPERMERCA 30/06/2021 LQ 231,38 231,38"
"Pago título: 2111000464 2775 - PAGUE MENOS COMERCI 30/06/2021 LQ 190,36 190,36"
"Pago título: 2111000465 2780 - FERTILIZANTES HERIN 30/06/2021 LQ 289,84 289,84"
"Pago título: 2111000467 2782 - ENERGY COMERCIAL IM 30/06/2021 LQ 346,51 346,51"
"Pago título: 2111000468 2787 - GOOD BOM SUPERMERCA 30/06/2021 LQ 121,25 121,25"
"Pago título: 2111000469 2788 - MARCOS GUILHERME EL 30/06/2021 LQ 205,82 205,82"
"Pago título: 2111000472 2803 - MARCELLO CARDOSO ME 30/06/2021 LQ 292,77 292,77"
"Pago título: 2111000475 2810 - AVON COSM TICOS LTD 30/06/2021 LQ 3339,46 3339,46"
"Pago título: 2111000477 2817 - W & W BOULEVARD COM 30/06/2021 LQ 192,69 192,69"
"Pago título: 2111000480 2822 - JOFEGE CONCRETO LTD 30/06/2021 LQ 886,32 886,32"
