"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448112907202212850.ret"
""
"Cadastrado título novo: 9000006977 521 - SPG PRINTS BRASIL LTD 31/08/2022 RG 237,31 0"
"Cadastrado título novo: 9000006978 7722 - ASSOC DE PROP DO LOT 30/09/2022 RG 207,04 0"
"Cadastrado título novo: 9000006979 7722 - ASSOC DE PROP DO LOT 31/10/2022 RG 207,05 0"
"Cadastrado título novo: 9000006980 7722 - ASSOC DE PROP DO LOT 30/11/2022 RG 207,05 0"
"Cadastrado título novo: 9000006981 5417 - TCP SALTO INDUSTRIAL 31/08/2022 RG 700,64 0"
"Cadastrado título novo: 9000006982 2239 - CERAMICA RAMOS LTDA 31/08/2022 RG 467,14 0"
"Pago título: 2220001588 7712 - JORGE DA FONSECA OSO 31/08/2022 LQ 249,13 249,13"
"Pago título: 2220001617 611 - ALEKSANDAR TOMIC 29/07/2022 LQ 243,97 243,97"
"Pago título: 2220001620 613 - PAULO AGNELO MALZONI 29/07/2022 LQ 243,97 243,97"
"Pago título: 2220001623 1763 - ASSOC DOS PROP DO LO 29/07/2022 LQ 243,97 243,97"
"Pago título: 2220001629 3561 - CONDOMINIO RESIDENCI 29/07/2022 LQ 243,97 243,97"
"Pago título: 2220001635 5551 - ASSOCIACAO DOS MORAD 29/07/2022 LQ 243,97 243,97"
"Pago título: 2220001638 4826 - ATACADAO S.A. 29/07/2022 LQ 243,97 243,97"
"Pago título: 2220001641 5537 - SILAS J. TRINDADE 29/07/2022 LQ 243,97 243,97"
"Pago título: 2220001662 1718 - HOTELARIA BRASIL LTD 29/07/2022 LQ 243,14 243,14"
"Pago título: 2220001665 5528 - TERLOC   TERMINAL LO 29/07/2022 LQ 243,14 243,14"
"Pago título: 2220001668 2372 - BELENUS DO BRASIL LT 29/07/2022 LQ 241,59 241,59"
"Pago título: 2220001671 4419 - MIDAS INCORPORADORA 29/07/2022 LQ 241,25 241,25"
"Pago título: 2220001674 3065 - ELETROMEI INDUSTRIA 29/07/2022 LQ 240,56 240,56"
"Pago título: 2220001677 1482 - OLIVEIRA & OLIVEIRA 29/07/2022 LQ 240,3 240,3"
"Pago título: 2220001683 5283 - ARTHI COMERCIAL LTDA 29/07/2022 LQ 239,43 239,43"
"Pago título: 2220001689 176 - SERVICO SOCIAL DO COM 29/07/2022 LQ 238,79 238,79"
"Pago título: 2220001695 1905 - ITUPEVA HOTEIS, CONV 29/07/2022 LQ 238,18 238,18"
"Pago título: 2220001704 2666 - FUCHS GEWURZE DO BRA 29/07/2022 LQ 235,76 235,76"
"Pago título: 2220001707 7320 - ASSOCIACAO SHOPPING 29/07/2022 LQ 235,29 235,29"
"Pago título: 2220001716 561 - JULIMAR LAVANDERIA LT 29/07/2022 LQ 234,63 234,63"
"Pago título: 2220001722 2974 - ASSOCIACAO DE MORADO 29/07/2022 LQ 234,21 234,21"
"Pago título: 2220001725 3960 - FROOTY COMERCIO E IN 29/07/2022 LQ 234,21 234,21"
"Pago título: 2220001728 1871 - PREFEITURA MUNICIPAL 29/07/2022 LQ 234,21 234,21"
"Pago título: 2220001737 4694 - WALDIR PARISE E OUTR 29/07/2022 LQ 233,08 233,08"
"Pago título: 2220001749 914 - IC TRANSPORTES LTDA 29/07/2022 LQ 231,63 231,63"
"Pago título: 2220001764 3734 - ASSOCIACAO DE PROP C 29/07/2022 LQ 230,31 230,31"
"Pago título: 2220001770 1580 - ENGRATECH TECNOLOGIA 29/07/2022 LQ 230,01 230,01"
"Pago título: 2220001782 1014 - MINERACAO DIBASE PED 29/07/2022 LQ 228,19 228,19"
"Pago título: 2220001785 4034 - LUCI AREIA LTDA. ME 29/07/2022 LQ 226,6 226,6"
"Pago título: 2220001788 3030 - TEXTIL GL LTDA 29/07/2022 LQ 226,6 226,6"
"Pago título: 2220001791 2439 - GRAMADO MALL 29/07/2022 LQ 226,41 226,41"
"Pago título: 2220001797 737 - ROSILAINE DIONIZIO DA 29/07/2022 LQ 225,46 225,46"
"Pago título: 2220001800 4777 - ASSOCIACAO DOS FUNCI 29/07/2022 LQ 225,43 225,43"
"Pago título: 2220001806 4523 - ASSOCIACAO DOS PROPR 29/07/2022 LQ 223,97 223,97"
"Pago título: 2220001812 4875 - HIDROALL DO BRASIL L 29/07/2022 LQ 220,59 220,59"
"Pago título: 2220001821 7370 - GRECO & GUERREIRO LT 29/07/2022 LQ 219,77 219,77"
"Pago título: 2220001827 2875 - ASSOCIACAO DE MORADO 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220001833 2169 - ASSOCIACAO DE PROPRI 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220001839 4817 - MAT S.A. 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220001848 2696 - ASSOCIACAO BOTHANICA 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220001851 3315 - ASSOCIACAO DOS PROP 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220001857 4223 - CONCREBASE SERVICOS 29/07/2022 LQ 218,97 218,97"
"Pago título: 2220001859 3244 - PLANMAR INDUSTRIA E 29/07/2022 LQ 218,96 218,96"
"Pago título: 2220001860 3244 - PLANMAR INDUSTRIA E 29/07/2022 LQ 218,95 218,95"
"Pago título: 2220001866 2219 - IRMAOS PARAZZI LTDA 29/07/2022 LQ 218,47 218,47"
"Pago título: 2220001881 1554 - TRANSPORTADORA CONTA 29/07/2022 LQ 214,56 214,56"
"Pago título: 2220001884 2435 - ASSOCIACAO DO SENHOR 29/07/2022 LQ 214,53 214,53"
"Pago título: 2220001887 2582 - TEXTIL OMBORGO LTDA 29/07/2022 LQ 213,6 213,6"
"Pago título: 2220001905 2495 - HOTEL NACIONAL INN L 29/07/2022 LQ 211,96 211,96"
"Pago título: 2220001908 275 - TEXTIL CARVALHO E FIL 29/07/2022 LQ 211,68 211,68"
"Pago título: 2220001914 10 - CONDOMINIO RESIDENCIAL 29/07/2022 LQ 210,48 210,48"
"Pago título: 2220001920 1317 - SUPERMERCADO TAQUARA 29/07/2022 LQ 210,17 210,17"
"Pago título: 2220001923 3171 - ANDORINHA COMERCIO E 29/07/2022 LQ 210,15 210,15"
"Pago título: 2220001926 993 - WESTROCK CELULOSE, PA 29/07/2022 LQ 208,72 208,72"
"Pago título: 2220001929 4254 - NTA NOVAS TECNICAS D 29/07/2022 LQ 206,88 206,88"
"Pago título: 2220001935 3159 - RESIDENCIAL CLUBE CO 29/07/2022 LQ 205,96 205,96"
"Pago título: 2220001938 1198 - ZUCOLLORS INDUSTRIA 29/07/2022 LQ 205,37 205,37"
"Pago título: 2220001944 4056 - ASSOCIACAO DOS PROPR 29/07/2022 LQ 204,93 204,93"
"Pago título: 2220001947 2209 - AUTO POSTO 1500 DO S 29/07/2022 LQ 204,93 204,93"
"Pago título: 2220001955 2089 - POSTO TROPICOS LTDA 30/06/2022 LQ 204,44 210,26"
"Pago título: 2220001956 2089 - POSTO TROPICOS LTDA 29/07/2022 LQ 204,45 204,45"
"Pago título: 2220001959 5019 - ASSOC DOS PROPRIETAR 29/07/2022 LQ 204,45 204,45"
"Pago título: 2220001962 5648 - MAX GEAR INDUSTRIA E 29/07/2022 LQ 204,45 204,45"
"Pago título: 2220001965 3301 - COMERCIAL ANDRETA DE 29/07/2022 LQ 203,75 203,75"
"Pago título: 2220001968 2866 - CELSO LUIS BELLINI E 29/07/2022 LQ 203,41 203,41"
"Pago título: 2220001971 6912 - CPE PLASTICOS LTDA 29/07/2022 LQ 202,71 202,71"
"Pago título: 2220001977 156 - EMBRASATEC INDUSTRIA 29/07/2022 LQ 201,81 201,81"
"Pago título: 2220001980 1260 - TEXTIL BRASIL LTDA E 29/07/2022 LQ 201,41 201,41"
"Pago título: 2220001983 7344 - ASSOCIACAO DISTRIBUT 29/07/2022 LQ 201,23 201,23"
"Pago título: 2220001998 384 - PRO METAL BENEFICIAME 29/07/2022 LQ 200,18 200,18"
"Pago título: 2220002021 5564 - ASSOC DOS PROPRITARI 29/07/2022 LQ 245,76 245,76"
"Pago título: 2220002025 2967 - AGUA MINERAL CASTELO 29/07/2022 LQ 245,54 245,54"
"Pago título: 2220002033 2051 - BISCOITONE INDUSTRIA 29/07/2022 LQ 244,19 244,19"
"Pago título: 2220002045 522 - CONDOMINIO RESIDENCIA 29/07/2022 LQ 241,13 241,13"
"Pago título: 2220002049 1598 - ARTEC PISOS E REVEST 29/07/2022 LQ 239,4 239,4"
"Pago título: 2220002057 5571 - FENIX AGRO PECUS IND 29/07/2022 LQ 239,34 239,34"
"Pago título: 2220002065 1892 - INBRA INDUSTRIAS QUI 29/07/2022 LQ 238,55 238,55"
"Pago título: 2220002069 1020 - CONDOMINIO RESIDENCI 29/07/2022 LQ 236,42 236,42"
"Pago título: 2220002073 4148 - CHRISTEYNS BRASIL PR 29/07/2022 LQ 236,04 236,04"
"Pago título: 2220002077 3162 - CONGE FRUTAS LTDA EP 29/07/2022 LQ 234,65 234,65"
"Pago título: 2220002081 2798 - MINERADORA AGUA BRAN 29/07/2022 LQ 234,21 234,21"
"Pago título: 2220002093 3771 - INDUSTRIA E COMERCIO 29/07/2022 LQ 233,04 233,04"
"Pago título: 2220002097 4093 - UNIVERSAL INDUSTRIAS 29/07/2022 LQ 232,92 232,92"
"Pago título: 2220002109 997 - CEDASA INDUSTRIA E CO 29/07/2022 LQ 230,55 230,55"
"Pago título: 2220002117 3927 - FLAMBOIA ALIMENTOS L 29/07/2022 LQ 230,55 230,55"
"Pago título: 2220002137 5390 - LOLLY BABY PRODUTOS 29/07/2022 LQ 230,01 230,01"
"Pago título: 2220002161 450 - CONDOMINIO CHACARAS D 29/07/2022 LQ 229,09 229,09"
"Pago título: 2220002169 3338 - MINERACAO DOIS IRMAO 29/07/2022 LQ 226,6 226,6"
"Pago título: 2220002173 2594 - A A DE MELO & CIA LT 29/07/2022 LQ 226,23 226,23"
"Pago título: 2220002185 5219 - TECELAGEM PANAMERICA 29/07/2022 LQ 225,59 225,59"
"Pago título: 2220002193 3822 - PEDREIRA REMANSO LTD 29/07/2022 LQ 223,97 223,97"
"Pago título: 2220002197 260 - SERVICO DE SAUDE DR. 29/07/2022 LQ 223,97 223,97"
"Pago título: 2220002209 2438 - ASSOCIACAO SAO MIGUE 29/07/2022 LQ 222,65 222,65"
"Pago título: 2220002241 1204 - PLASCAR INDUSTRIA DE 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220002261 3726 - SATOSHI ITO E OUTROS 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220002273 1945 - G KT DO BRASIL LTDA 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220002277 3298 - ASSOC DO CONJUNTO RE 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220002282 5621 - CENTERANEL 1 PARTICI 31/08/2022 LQ 219,58 219,58"
"Pago título: 2220002289 4976 - ASTRA S/A INDUSTRIA 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220002293 6982 - ASSOCIACAO DOS MORAD 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220002297 3663 - ASSOCIACAO DOS ADQ L 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220002321 3400 - S.ZANARDI EMPREENDIM 29/07/2022 LQ 216,65 216,65"
"Pago título: 2220002325 5635 - RECAP CONSTRUTORA E 29/07/2022 LQ 216,57 216,57"
"Pago título: 2220002341 579 - CPQ BRASIL S/A 29/07/2022 LQ 215,1 215,1"
"Pago título: 2220002353 1967 - PLASTICOS SANTANA LT 29/07/2022 LQ 214,09 214,09"
"Pago título: 2220002361 1678 - JATOBA S/A 29/07/2022 LQ 213,76 213,76"
"Pago título: 2220002369 837 - CLICK AUTOMOTIVA INDU 29/07/2022 LQ 213,29 213,29"
"Pago título: 2220002377 5468 - LUCIANO TORELLI E CI 29/07/2022 LQ 211,76 211,76"
"Pago título: 2220002381 3150 - QUARTZO MINERACAO LT 29/07/2022 LQ 211,76 211,76"
"Pago título: 2220002393 4509 - EXTRACAO E COMERCIO 29/07/2022 LQ 210,79 210,79"
"Pago título: 2220002401 4835 - TRANSPORTES GABARDO 29/07/2022 LQ 210,79 210,79"
"Pago título: 2220002413 1445 - SOCIEDADE DOS AMIGOS 29/07/2022 LQ 209,25 209,25"
"Pago título: 2220002417 7669 - ASSOCIACAO DA INSTIT 29/07/2022 LQ 208,6 208,6"
"Pago título: 2220002421 222 - NOTRE DAME INTERMEDIC 29/07/2022 LQ 208,09 208,09"
