"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448993009202214600.ret"
""
"Cadastrado título novo: 9000007117 6729 - ANTONIO RENAN FERRO 31/10/2022 RG 401,05 0"
"Cadastrado título novo: 9000007118 6729 - ANTONIO RENAN FERRO 30/11/2022 RG 401,05 0"
"Cadastrado título novo: 9000007119 6729 - ANTONIO RENAN FERRO 26/12/2022 RG 401,05 0"
"Cadastrado título novo: 9000007121 5035 - CLOSURE SYSTEMS INTE 31/10/2022 RG 1186,79 0"
"Cadastrado título novo: 9000007122 78 - RESTAURANTE IRMAOS MAR 31/10/2022 RG 383,11 0"
"Pago título: 2220002554 2800 - CHENDEL PARTICIPACOE 30/09/2022 LQ 232,75 232,75"
"Pago título: 2220002559 894 - DAUNE TRAVESSEIROS DE 30/09/2022 LQ 230,76 230,76"
"Pago título: 2220002564 3285 - ASSSOCIACAO VILLAGE 30/09/2022 LQ 230,26 230,26"
"Pago título: 2220002574 2280 - TINTURARIA SANTA ADE 30/09/2022 LQ 228,81 228,81"
"Pago título: 2220002584 2719 - E TECNO EMPREENDIMEN 30/09/2022 LQ 227,17 227,17"
"Pago título: 2220002599 5861 - ASSOCIACAO DESPORTIV 30/09/2022 LQ 226,28 226,28"
"Pago título: 2220002609 2338 - WALDIR VIANNA ME 30/09/2022 LQ 225,09 225,09"
"Pago título: 2220002614 890 - LABORATORIO TAYUYNA L 30/09/2022 LQ 224,46 224,46"
"Pago título: 2220002629 1430 - ASSOCIACAO DOS MORAD 30/09/2022 LQ 222,5 222,5"
"Pago título: 2220002654 1832 - LANMAR INDUSTRIA MET 30/09/2022 LQ 219,33 219,33"
"Pago título: 2220002664 5616 - TRADECORP DO BRASIL, 30/09/2022 LQ 218,76 218,76"
"Pago título: 2220002674 969 - PRALANA INDUSTRIA E C 30/09/2022 LQ 217,75 217,75"
"Pago título: 2220002679 3288 - SELIAL IND E COM, IM 30/09/2022 LQ 217,38 217,38"
"Pago título: 2220002684 4327 - CEETEPS CENTRO ESTAD 30/09/2022 LQ 216,65 216,65"
"Pago título: 2220002689 3399 - EDENA MARIA PECHIO S 30/09/2022 LQ 216,61 216,61"
"Pago título: 2220002694 5274 - AMETEK DO BRASIL LTD 30/09/2022 LQ 216,33 216,33"
"Pago título: 2220002699 3292 - JARDIM SAO GERALDO E 30/09/2022 LQ 216,06 216,06"
"Pago título: 2220002704 2389 - JOFEGE CONCRETO LTDA 30/09/2022 LQ 215,7 215,7"
"Pago título: 2220002709 3984 - BELEM TRANSPORTES E 30/09/2022 LQ 215,61 215,61"
"Pago título: 2220002749 4136 - STORAGE ADMINISTRACA 30/09/2022 LQ 210,79 210,79"
"Pago título: 2220002754 3729 - NP EMPREENDIMENTOS L 30/09/2022 LQ 210,79 210,79"
"Pago título: 2220002764 2137 - PREFEITURA MUNICIPAL 30/09/2022 LQ 209,96 209,96"
"Pago título: 2220002769 779 - MERI IDO 30/09/2022 LQ 209,3 209,3"
"Pago título: 2220002774 953 - MAHLE COMPRESSORES DO 30/09/2022 LQ 206,82 206,82"
"Pago título: 2220002779 3945 - BRASA BURGER IND E C 30/09/2022 LQ 206,27 206,27"
"Pago título: 2220002784 617 - JOAO BOZZA JUNIOR 30/09/2022 LQ 204,94 204,94"
"Pago título: 2220002794 3424 - ASSOCIACAO DOS PROP. 30/09/2022 LQ 204,94 204,94"
"Pago título: 2220002804 3656 - FAZENDA TOZAN DO BRA 30/09/2022 LQ 204,93 204,93"
"Pago título: 2220002809 1572 - ETAPA EDUCACIONAL LT 30/09/2022 LQ 204,82 204,82"
"Pago título: 2220002814 5007 - ARRICO AGRONEGOCIOS 30/09/2022 LQ 204,74 204,74"
"Pago título: 2220002834 413 - INDUSTRIAS ROMI S/A 30/09/2022 LQ 202,87 202,87"
"Pago título: 2220002844 3259 - BAG CLEANER COMERCIO 30/09/2022 LQ 202,32 202,32"
"Pago título: 2220002860 391 - CONDOMINIO EDIFICIO E 30/09/2022 LQ 232,33 232,33"
"Pago título: 2220002866 3616 - CONCREMIX S/A 30/09/2022 LQ 230,44 230,44"
"Pago título: 2220002872 1097 - TERRAR INDUSTRIA E C 30/09/2022 LQ 229,5 229,5"
"Pago título: 2220002884 5870 - VILA HIPICA EMPREEND 30/09/2022 LQ 228,36 228,36"
"Pago título: 2220002890 1158 - SI GROUP RESINAS S.A 30/09/2022 LQ 228,23 228,23"
"Pago título: 2220002896 521 - SPG PRINTS BRASIL LTD 30/09/2022 LQ 228,11 228,11"
"Pago título: 2220002908 2686 - BOM PEIXE INDUSTRIA 30/09/2022 LQ 226,77 226,77"
"Pago título: 2220002914 495 - NEUMAYER TEKFOR AUTOM 30/09/2022 LQ 226,22 226,22"
"Pago título: 2220002920 959 - ASK PRODUTOS QUIMICOS 30/09/2022 LQ 226,08 226,08"
"Pago título: 2220002938 3547 - NEO RODAS S.A. 30/09/2022 LQ 224,46 224,46"
"Pago título: 2220002944 1113 - PPC SANTANA EQUIPAME 30/09/2022 LQ 223,29 223,29"
"Pago título: 2220002950 4829 - CLUBE RECREATIVO SUM 30/09/2022 LQ 222,02 222,02"
"Pago título: 2220002956 3853 - MONTE COR PROTECAO D 30/09/2022 LQ 221,25 221,25"
"Pago título: 2220002962 4584 - CONJUNTO RESIDENCIAL 30/09/2022 LQ 220,55 220,55"
"Pago título: 2220002980 2528 - MULTILOG BRASIL S.A. 30/09/2022 LQ 219,58 219,58"
"Pago título: 2220002992 4840 - CIALENE INDUSTRIA E 30/09/2022 LQ 219,58 219,58"
"Pago título: 2220003004 2935 - CERAMICA ALMEIDA LTD 30/09/2022 LQ 219,58 219,58"
"Pago título: 2220003016 4938 - MOMBUCA BENEFICIADOR 30/09/2022 LQ 219,58 219,58"
"Pago título: 2220003022 3160 - VIA APPIA FESTAS E E 30/09/2022 LQ 219,57 219,57"
"Pago título: 2220003034 2653 - TANQUE MATERIAS PARA 30/09/2022 LQ 219,24 219,24"
"Pago título: 2220003040 1415 - DPV PRODUTOS QUIMICO 30/09/2022 LQ 218,63 218,63"
"Pago título: 2220003046 3594 - CPM CONCRETO DE PRE 30/09/2022 LQ 218,04 218,04"
"Pago título: 2220003052 760 - LETICIA APARECIDA MAR 30/09/2022 LQ 217,47 217,47"
"Pago título: 2220003064 3516 - JOSE JORGE BERARDINE 30/09/2022 LQ 214,7 214,7"
"Pago título: 2220003076 1323 - TEXTIL SUCCI LTDA ME 30/09/2022 LQ 214,33 214,33"
"Pago título: 2220003082 7659 - LUIZ BASILIO REANI 30/09/2022 LQ 214,17 214,17"
"Pago título: 2220003088 2227 - COMSAPE EXTRACAO E C 30/09/2022 LQ 214,03 214,03"
"Pago título: 2220003094 1276 - INDUSTRIA E COMERCIO 30/09/2022 LQ 213,45 213,45"
"Pago título: 2220003100 186 - OBER S/A INDUSTRIA E 30/09/2022 LQ 213,23 213,23"
"Pago título: 2220003106 473 - TECELAGEM CHUAHY LTDA 30/09/2022 LQ 213,04 213,04"
"Pago título: 2220003118 975 - BANN QUIMICA LTDA 30/09/2022 LQ 211,58 211,58"
"Pago título: 2220003124 2469 - RICLAN S/A 30/09/2022 LQ 211,5 211,5"
"Pago título: 2220003130 1649 - CONDOMINIO CASA GRAN 30/09/2022 LQ 210,79 210,79"
"Pago título: 2220003136 1414 - CERVEJARIA ASHBY LTD 30/09/2022 LQ 210,03 210,03"
"Pago título: 2220003142 289 - INDUSTRIA CERAMICA FR 30/09/2022 LQ 209,82 209,82"
"Pago título: 2220003148 1558 - CONDOMINIO CHACARAS 30/09/2022 LQ 209,82 209,82"
"Pago título: 2220003160 5773 - OWB INDUSTRIA DE AUT 30/09/2022 LQ 208,44 208,44"
"Pago título: 2220003220 2687 - ROTOCROM INDUSTRIA E 30/09/2022 LQ 203,76 203,76"
"Pago título: 2220003274 875 - RICHARD KLINGER INDUS 30/09/2022 LQ 200,03 200,03"
"Pago título: 2220003280 1111 - CIA SANEAMENTO BASIC 30/09/2022 LQ 445448,28 445448,28"
"Pago título: 2220003287 898 - SERVICO MUNICIPAL DE 30/09/2022 LQ 250944,29 250944,29"
"Pago título: 2220003301 1078 - DAE S/A AGUA E ESGOT 30/09/2022 LQ 117709,08 117709,08"
"Pago título: 2220003322 882 - SERVICO AUTONOMO DE A 30/09/2022 LQ 79458,34 79458,34"
"Pago título: 2220003336 1052 - DEPARTAMENTO DE AGUA 30/09/2022 LQ 63071,83 63071,83"
"Pago título: 2220003343 828 - SERVICO AUTONOMO DE A 30/09/2022 LQ 56971,89 56971,89"
"Pago título: 2220003357 919 - COMPANHIA DE DESENVOL 30/09/2022 LQ 44433,2 44433,2"
"Pago título: 2220003364 831 - DEPARTAMENTO DE AGUAS 30/09/2022 LQ 41817,17 41817,17"
"Pago título: 2220003371 976 - SOCIEDADE DE ABASTECI 30/09/2022 LQ 40244,64 40244,64"
"Pago título: 2220003385 930 - SERVICO AUTONOMO DE A 30/09/2022 LQ 39331,26 39331,26"
"Pago título: 2220003392 832 - SANEAMENTO BASICO VIN 30/09/2022 LQ 33837,13 33837,13"
"Pago título: 2220003406 487 - USINA ACUCAREIRA ESTE 30/09/2022 LQ 26214,36 26214,36"
"Pago título: 2220003413 966 - SERVICO DE AGUA E ESG 30/09/2022 LQ 25495,14 25495,14"
"Pago título: 2220003420 962 - SAO MARTINHO S.A. 30/09/2022 LQ 25062,6 25062,6"
"Pago título: 2220003427 1057 - CIA SANEAMENTO BASIC 30/09/2022 LQ 21427,84 21427,84"
"Pago título: 2220003462 1084 - COMPANHIA DE SANEAME 30/09/2022 LQ 17626,64 17626,64"
"Pago título: 2220003483 1000 - CIA SANEAMENTO BASIC 30/09/2022 LQ 17077,28 17077,28"
"Pago título: 2220003497 944 - PREFEITURA MUNICIPAL 30/09/2022 LQ 14520,42 14520,42"
"Pago título: 2220003504 4519 - IVO ZARZUR ADMINISTR 30/09/2022 LQ 12610,39 12610,39"
"Pago título: 2220003511 1067 - CIA SANEAMENTO BASIC 30/09/2022 LQ 12207,24 12207,24"
"Pago título: 2220003518 1073 - CIA SANEAMENTO BASIC 30/09/2022 LQ 11381,69 11381,69"
"Pago título: 2220003525 822 - AGUAS DE HOLAMBRA SAN 30/09/2022 LQ 10430,32 10430,32"
"Pago título: 2220003539 1058 - CIA SANEAMENTO BASIC 30/09/2022 LQ 10002,41 10002,41"
"Pago título: 2220003546 920 - ELEKEIROZ S/A 30/09/2022 LQ 9546,42 9546,42"
"Pago título: 2220003553 1484 - DELTA INDUSTRIA CERA 30/09/2022 LQ 9365,49 9365,49"
"Pago título: 2220003560 1123 - CIA SANEAMENTO BASIC 30/09/2022 LQ 9250,96 9250,96"
"Pago título: 2220003574 986 - PREFEITURA MUNICIPAL 30/09/2022 LQ 8845,9 8845,9"
"Pago título: 2220003581 821 - PREFEITURA MUNICIPAL 30/09/2022 LQ 8131 8131"
"Pago título: 2220003588 5355 - CIA DE SANEAMENTO BA 30/09/2022 LQ 7296,85 7296,85"
"Pago título: 2220003595 1064 - CIA SANEAMENTO BASIC 30/09/2022 LQ 6687,95 6687,95"
"Pago título: 2220003602 885 - CP KELCO BRASIL S/A 30/09/2022 LQ 6233,33 6233,33"
"Pago título: 2220003609 6490 - USINA IRB S.A. 30/09/2022 LQ 6192,84 6192,84"
"Pago título: 2220003616 500 - BIGNARDI IND E COM DE 30/09/2022 LQ 6060,2 6060,2"
"Pago título: 2220003630 1070 - CIA SANEAMENTO BASIC 30/09/2022 LQ 5748,27 5748,27"
"Pago título: 2220003637 845 - THYSSENKRUPP METALURG 30/09/2022 LQ 5652,76 5652,76"
"Pago título: 2220003644 1060 - CIA SANEAMENTO BASIC 30/09/2022 LQ 5577,77 5577,77"
"Pago título: 2220003658 1047 - QUIMICA AMPARO LTDA 30/09/2022 LQ 4942,01 4942,01"
"Pago título: 2220003665 868 - PREFEITURA MUNICIPAL 30/09/2022 LQ 4782,14 4782,14"
"Pago título: 2220003672 5514 - AGUAS DO MIRANTE 30/09/2022 LQ 4534,63 4534,63"
"Pago título: 2220003679 1110 - SERVICO AUTONOMO DE 30/09/2022 LQ 4522,93 4522,93"
"Pago título: 2220003714 2359 - AGROPECUARIA TUIUTI 30/09/2022 LQ 3712,49 3712,49"
"Pago título: 2220003721 1405 - ASSOCIACAO LOTEAMENT 30/09/2022 LQ 3662,78 3662,78"
"Pago título: 2220003728 1063 - CIA SANEAMENTO BASIC 30/09/2022 LQ 3662,16 3662,16"
"Pago título: 2220003735 891 - TIMAVO DO BRASIL S/A 30/09/2022 LQ 3572,06 3572,06"
"Pago título: 2220003742 417 - EMBRAMACO EMPRESA BRA 30/09/2022 LQ 3536,5 3536,5"
"Pago título: 2220003749 1195 - TEXTIL CANATIBA LTDA 30/09/2022 LQ 3448,55 3448,55"
"Pago título: 2220003756 499 - SPAL INDUSTRIA BRASIL 30/09/2022 LQ 3333,99 3333,99"
"Pago título: 2220003763 948 - QUINTA DA BARONEZA GO 30/09/2022 LQ 3327,5 3327,5"
"Pago título: 2220003770 1169 - MINERACAO JUNDU LTDA 30/09/2022 LQ 3238,69 3238,69"
"Pago título: 2220003791 332 - CBR BRANDS INDUSTRIA 30/09/2022 LQ 2969,93 2969,93"
"Pago título: 2220003798 2289 - ADVANCE INDUSTRIA TE 30/09/2022 LQ 2952,21 2952,21"
"Pago título: 2220003819 529 - OWENS CORNING FIBERGL 30/09/2022 LQ 2830,9 2830,9"
"Pago título: 2220003826 7351 - COMPANHIA DE SANEAME 30/09/2022 LQ 2747,82 2747,82"
"Pago título: 2220003840 3384 - FRIGODELISS LTDA 30/09/2022 LQ 2464,29 2464,29"
"Pago título: 2220003847 1848 - PREFEITURA MUNICIPAL 30/09/2022 LQ 2413,23 2413,23"
"Pago título: 2220003861 1087 - TOYOTA DO BRASIL LTD 30/09/2022 LQ 2360,95 2360,95"
"Pago título: 2220003889 476 - CLUBE DE CAMPO VALINH 30/09/2022 LQ 2254,76 2254,76"
"Pago título: 2220003896 842 - REGIMAR COMERCIAL S/A 30/09/2022 LQ 2236,8 2236,8"
"Pago título: 2220003903 206 - ROUSSELOT GELATINAS D 30/09/2022 LQ 2226,34 2226,34"
"Pago título: 2220003910 5601 - ASSOCIACAO DOS PROPR 30/09/2022 LQ 2216,66 2216,66"
"Pago título: 2220003917 1075 - TINTEX TINTURARIA TE 30/09/2022 LQ 2183,9 2183,9"
"Pago título: 2220003924 12 - AGUAJATO TRANSPORTES L 30/09/2022 LQ 2180,75 2180,75"
"Pago título: 2220003931 219 - SI GROUP CRIOS RESINA 30/09/2022 LQ 2133,8 2133,8"
"Pago título: 2220003959 1074 - CIA SANEAMENTO BASIC 30/09/2022 LQ 2066,32 2066,32"
"Pago título: 2220003966 2861 - KORIN AGROPECUARIA L 30/09/2022 LQ 2063,59 2063,59"
"Pago título: 2220003973 1194 - TEXTIL CANATIBA LTDA 30/09/2022 LQ 1972,73 1972,73"
"Pago título: 2220003987 917 - BMB BELGO MINEIRA BEK 30/09/2022 LQ 1961,79 1961,79"
"Pago título: 2220003994 2361 - TECELAGEM JOLITEX LT 30/09/2022 LQ 1961,25 1961,25"
"Pago título: 2220004001 906 - TINTURARIA E ESTAMPAR 30/09/2022 LQ 1934,34 1934,34"
"Pago título: 2220004008 839 - BUTILAMIL INDUSTRIAS 30/09/2022 LQ 1933,31 1933,31"
"Pago título: 2220004022 1002 - CIA SANEAMENTO BASIC 30/09/2022 LQ 1918,74 1918,74"
"Pago título: 2220004029 1459 - CIA SANEAMENTO BASIC 30/09/2022 LQ 1910,84 1910,84"
"Pago título: 2220004036 480 - PAPIRUS INDUSTRIA DE 30/09/2022 LQ 1853,08 1853,08"
"Pago título: 2220004043 585 - TEKA - TECELAGEM KUEN 30/09/2022 LQ 1849,98 1849,98"
"Pago título: 2220004057 1086 - ENGENHO SAO PEDRO AG 30/09/2022 LQ 1842,28 1842,28"
"Pago título: 2220004064 895 - FRIGORIFICO ANGELELLI 30/09/2022 LQ 1840,99 1840,99"
"Pago título: 2220004078 880 - MD PAPEIS LTDA 30/09/2022 LQ 1814,51 1814,51"
"Pago título: 2220004085 1116 - CROWN  EMBALAGENS ME 30/09/2022 LQ 1809,83 1809,83"
"Pago título: 2220004099 907 - SERRA AZUL WATER PARK 30/09/2022 LQ 1766,51 1766,51"
"Pago título: 2220004106 6923 - PAULO CASTEJON GUERR 30/09/2022 LQ 1752,42 1752,42"
"Pago título: 2220004113 257 - PASTIFICIO SELMI S/A 30/09/2022 LQ 1725,7 1725,7"
"Pago título: 2220004148 1001 - CIA SANEAMENTO BASIC 30/09/2022 LQ 1642,23 1642,23"
"Pago título: 2220004155 184 - TECELAGEM JOLITEX LTD 30/09/2022 LQ 1632,83 1632,83"
"Pago título: 2220004162 1136 - VILLARES METALS S/A 30/09/2022 LQ 1627,37 1627,37"
"Pago título: 2220004176 1055 - CARTONIFICIO VALINHO 30/09/2022 LQ 1582,47 1582,47"
"Pago título: 2220004197 3535 - JOFEGE FIACAO E TECE 30/09/2022 LQ 1524,61 1524,61"
"Pago título: 2220004204 2176 - EVONIK BRASIL LTDA 30/09/2022 LQ 1505,96 1505,96"
"Pago título: 2220004211 2750 - SERVICO AUTONOMO DE 30/09/2022 LQ 1485,9 1485,9"
"Pago título: 2220004218 372 - ASSOCIACAO MORAD PROP 30/09/2022 LQ 1465,92 1465,92"
"Pago título: 2220004225 4481 - CLARIPEL INDUSTRIA D 30/09/2022 LQ 1405,93 1405,93"
"Pago título: 2220004232 22 - HONDA AUTOMOVEIS DO BR 30/09/2022 LQ 1400,95 1400,95"
"Pago título: 2220004246 5553 - ASSOCIACAO MASTER DA 30/09/2022 LQ 1385,46 1385,46"
"Pago título: 2220004267 98 - SOCIEDADE RESIDENCIAL 30/09/2022 LQ 1371,79 1371,79"
"Pago título: 2220004281 903 - MINASA TRADING INTERN 30/09/2022 LQ 1334,7 1334,7"
"Pago título: 2220004288 955 - PREFEITURA DO MUNICIP 30/09/2022 LQ 1317,32 1317,32"
"Pago título: 2220004302 505 - ASSOCIACAO AMIGOS DO 30/09/2022 LQ 1280,55 1280,55"
"Pago título: 2220004309 1054 - CIA SANEAMENTO BASIC 30/09/2022 LQ 1273,94 1273,94"
"Pago título: 2220004316 462 - AD'ORO S/A 30/09/2022 LQ 1268,24 1268,24"
"Pago título: 2220004323 923 - EMS S/A 30/09/2022 LQ 1260,99 1260,99"
"Pago título: 2220004358 7321 - COMPANHIA DE SANEAME 30/09/2022 LQ 1198,11 1198,11"
"Pago título: 2220004365 2019 - BAERLOCHER DO BRASIL 30/09/2022 LQ 1196,14 1196,14"
"Pago título: 2220004372 490 - SAINT-GOBAIN DO BRASI 30/09/2022 LQ 1189,85 1189,85"
"Pago título: 2220004379 452 - WHIRLPOOL S/A 30/09/2022 LQ 1177,67 1177,67"
"Pago título: 2220004393 1143 - CASTELO ALIMENTOS S/ 30/09/2022 LQ 1151,82 1151,82"
"Pago título: 2220004400 203 - TINTURARIA E ESTAMPAR 30/09/2022 LQ 1151,18 1151,18"
"Pago título: 2220004407 3857 - CRS MINERACAO INDUST 30/09/2022 LQ 1139,56 1139,56"
"Pago título: 2220004414 3111 - BRASWELL PAPEL E CEL 30/09/2022 LQ 1131,25 1131,25"
"Pago título: 2220004421 3683 - NOVAPORCELANATO INDU 30/09/2022 LQ 1129,24 1129,24"
"Pago título: 2220004428 5628 - SAFRA INDUSTRIA E CO 30/09/2022 LQ 1127,15 1127,15"
"Pago título: 2220004449 824 - UNIVERSIDADE DE SAO P 30/09/2022 LQ 1083,28 1083,28"
"Pago título: 2220004456 383 - EATON LTDA 30/09/2022 LQ 1082,97 1082,97"
"Pago título: 2220004470 3491 - H2ORA DISTRIBUIDORA 30/09/2022 LQ 1070,48 1070,48"
"Pago título: 2220004477 1050 - CIA SANEAMENTO BASIC 30/09/2022 LQ 1069,92 1069,92"
"Pago título: 2220004505 1145 - JOBEMA DISTRIBUIDORA 30/09/2022 LQ 1044,68 1044,68"
"Pago título: 2220004512 1567 - RPR CAPTACAO E TRANS 30/09/2022 LQ 1043,04 1043,04"
"Pago título: 2220004519 157 - CONDOMINIO TECH TOWN 30/09/2022 LQ 1042,13 1042,13"
"Pago título: 2220004533 1004 - BRANYL COMERCIO E IN 30/09/2022 LQ 1028,19 1028,19"
"Pago título: 2220004547 5599 - COOPERATIVA PECUARIA 30/09/2022 LQ 1018,44 1018,44"
"Pago título: 2220004561 888 - INCOPISOS INDUSTRIA E 30/09/2022 LQ 1003,77 1003,77"
"Pago título: 2220004575 2074 - SALTORELLI TINTURARI 30/09/2022 LQ 991,96 991,96"
"Pago título: 2220004589 281 - BIO SPRINGER DO BRASI 30/09/2022 LQ 974,06 974,06"
"Pago título: 2220004603 1120 - MOTOROLA MOBILITY CO 30/09/2022 LQ 966,13 966,13"
"Pago título: 2220004610 1815 - TRIAGUA TRANSPORTE E 30/09/2022 LQ 965,27 965,27"
"Pago título: 2220004611 1815 - TRIAGUA TRANSPORTE E 31/10/2022 LQ 965,27 965,27"
