"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72443353007202114046.ret"
""
"Cadastrado título novo: 9000006337 6876 - CONDOMINIO EDIFICIO 31/08/2021 RG 442,04 0"
"Cadastrado título novo: 9000006338 5490 - CARMONA CERVEJARIA A 31/08/2021 RG 430,66 0"
"Cadastrado título novo: 9000006339 7069 - SANTO GEROLAMO BERTO 31/08/2021 RG 355,77 0"
"Cadastrado título novo: 9000006340 4845 - BARDUCHI BARDUCHI LT 31/08/2021 RG 222,5 0"
"Cadastrado título novo: 9000006341 329 - SILCON AMBIENTAL LTDA 31/08/2021 RG 225,34 0"
"Cadastrado título novo: 9000006342 2467 - DANIEL PICCOLOMINI O 31/08/2021 RG 578,58 0"
"Pago título: 2115000029 769 - LUIZ CARLOS SCARPONI 30/07/2021 LQ 210,79 210,79"
"Pago título: 2115000044 894 - DAUNE TRAVESSEIROS D 30/07/2021 LQ 221,45 221,45"
"Pago título: 2115000049 953 - MAHLE COMPRESSORES D 30/07/2021 LQ 206,82 206,82"
"Pago título: 2115000064 1367 - ASSOCIA  O DE MELHO 30/07/2021 LQ 229,04 229,04"
"Pago título: 2115000069 1383 - MAQUINAS FURLAN LTD 30/07/2021 LQ 222,5 222,5"
"Pago título: 2115000074 1572 - ETAPA EDUCACIONAL L 30/07/2021 LQ 204,82 204,82"
"Pago título: 2115000079 1774 - MINERACAO SAARA EXT 30/07/2021 LQ 237,45 237,45"
"Pago título: 2115000089 2367 - IND STRIA DE FRIOS 30/07/2021 LQ 202,64 202,64"
"Pago título: 2115000099 2719 - E-TECNO EMPREENDIME 30/07/2021 LQ 227,17 227,17"
"Pago título: 2115000104 2800 - CHENDEL PARTICIPACO 30/07/2021 LQ 232,75 232,75"
"Pago título: 2115000129 3292 - JARDIM S O GERALDO 30/07/2021 LQ 216,06 216,06"
"Pago título: 2115000134 3312 - KESTRA UNIVERSAL SO 30/07/2021 LQ 208,37 208,37"
"Pago título: 2115000139 3399 - EDENA MARIA PECHIO 30/07/2021 LQ 216,61 216,61"
"Pago título: 2115000149 3615 - IMOBILI RIA HELV TI 30/07/2021 LQ 234,21 234,21"
"Pago título: 2115000159 3656 - FAZENDA TOZAN DO BR 30/07/2021 LQ 204,93 204,93"
"Pago título: 2115000174 3729 - NP EMPREENDIMENTOS 30/07/2021 LQ 210,79 210,79"
"Pago título: 2115000184 3803 - ASSOCIA  O ALPHAVIL 30/07/2021 LQ 235,21 235,21"
"Pago título: 2115000189 3822 - PEDREIRA REMANSO LT 30/07/2021 LQ 200,25 200,25"
"Pago título: 2115000199 3860 - VECCON EMPREENDIMEN 30/07/2021 LQ 221,52 221,52"
"Pago título: 2115000204 3945 - BRASA BURGER IND E 30/07/2021 LQ 205,86 205,86"
"Pago título: 2115000214 3991 - HIGIBRAG TRANSPORTE 30/07/2021 LQ 234,21 234,21"
"Pago título: 2115000219 4053 - ASSOCIA  O DOS PROP 30/07/2021 LQ 237,14 237,14"
"Pago título: 2115000224 4136 - STORAGE ADMINISTRA 30/07/2021 LQ 210,79 210,79"
"Pago título: 2115000264 5250 - PEDREIRA MOGIANA LT 30/07/2021 LQ 219,57 219,57"
"Pago título: 2115000324 7218 - PROGEREN ARQUITETUR 30/07/2021 LQ 203,22 203,22"
"Pago título: 2116000004 5 - AMCOR RIGID PLASTICS D 30/07/2021 LQ 216,43 216,43"
"Pago título: 2116000028 155 - AUTO POSTO AMIGAO DA 30/07/2021 LQ 205,17 205,17"
"Pago título: 2116000046 286 - T.F.T. TECIDOS E FIO 30/07/2021 LQ 201,13 201,13"
"Pago título: 2116000052 289 - INDUSTRIA CERAMICA F 30/07/2021 LQ 209,81 209,81"
"Pago título: 2116000058 391 - CONDOMINIO EDIFICIO 30/07/2021 LQ 232,33 232,33"
"Pago título: 2116000064 413 - INDUSTRIAS ROMI S/A 30/07/2021 LQ 220,54 220,54"
"Pago título: 2116000070 470 - CBC INDUSTRIAS PESAD 30/07/2021 LQ 229,66 229,66"
"Pago título: 2116000076 473 - TECELAGEM CHUAHY LTD 30/07/2021 LQ 213,04 213,04"
"Pago título: 2116000088 495 - NEUMAYER TEKFOR AUTO 30/07/2021 LQ 226,22 226,22"
"Pago título: 2116000094 521 - SPG PRINTS BRASIL LT 30/07/2021 LQ 228,11 228,11"
"Pago título: 2116000100 561 - JULIMAR LAVANDERIA L 30/07/2021 LQ 221,78 221,78"
"Pago título: 2116000106 760 - LETICIA APARECIDA MA 30/07/2021 LQ 217,47 217,47"
"Pago título: 2116000112 890 - LABORATORIO TAYUYNA 30/07/2021 LQ 207,52 207,52"
"Pago título: 2116000124 1097 - TERRAR INDUSTRIA E 30/07/2021 LQ 229,5 229,5"
"Pago título: 2116000136 1415 - DPV PRODUTOS QUIMIC 30/07/2021 LQ 218,63 218,63"
"Pago título: 2116000142 1430 - ASSOCIACAO DOS MORA 30/07/2021 LQ 209,82 209,82"
"Pago título: 2116000148 1437 - CONDOMINIO EDIFICIO 30/07/2021 LQ 203,86 203,86"
"Pago título: 2116000166 1558 - CONDOMINIO CHACARAS 30/07/2021 LQ 209,81 209,81"
"Pago título: 2116000172 1649 - CONDOMINIO CASA GRA 30/07/2021 LQ 210,79 210,79"
"Pago título: 2116000178 1733 - ESPER EMBALAGENS LT 30/07/2021 LQ 201,63 201,63"
"Pago título: 2116000184 1832 - LANMAR IND STRIA ME 30/07/2021 LQ 215,19 215,19"
"Pago título: 2116000190 1892 - INBRA INDUSTRIAS QU 30/07/2021 LQ 206,2 206,2"
"Pago título: 2116000196 2227 - COMSAPE EXTRA AO E 30/07/2021 LQ 214,03 214,03"
"Pago título: 2116000214 2389 - JOFEGE CONCRETO LTD 30/07/2021 LQ 218,65 218,65"
"Pago título: 2116000226 2469 - RICLAN S/A 30/07/2021 LQ 211,5 211,5"
"Pago título: 2116000232 2528 - MULTILOG BRASIL S.A 30/07/2021 LQ 219,58 219,58"
"Pago título: 2116000244 2610 - HELIO DE ATHAYDE VA 30/07/2021 LQ 218,68 218,68"
"Pago título: 2116000250 2653 - TANQUE MATERIAS PAR 30/07/2021 LQ 219,24 219,24"
"Pago título: 2116000256 2686 - BOM PEIXE INDUSTRIA 30/07/2021 LQ 226,77 226,77"
"Pago título: 2116000262 2687 - ROTOCROM INDUSTRIA 30/07/2021 LQ 201,58 201,58"
"Pago título: 2116000268 2935 - CER MICA ALMEIDA LT 30/07/2021 LQ 219,58 219,58"
"Pago título: 2116000274 2943 - VTR VETOR EQUIPAMEN 30/07/2021 LQ 202,93 202,93"
"Pago título: 2116000286 3098 - ASSOC DOS PROPR E M 30/07/2021 LQ 209,32 209,32"
"Pago título: 2116000292 3221 - LIMEIRENSE FERTILIZ 30/07/2021 LQ 230,72 230,72"
"Pago título: 2116000298 3230 - CSC SERVICES LAVAND 30/07/2021 LQ 225,98 225,98"
"Pago título: 2116000322 3424 - ASSOCIA  O DOS PROP 30/07/2021 LQ 219,24 219,24"
"Pago título: 2116000328 3461 - CONFEC  ES CAPRICHO 30/07/2021 LQ 208,01 208,01"
"Pago título: 2116000334 3516 - JOS  JORGE BERARDIN 30/07/2021 LQ 214,7 214,7"
"Pago título: 2116000340 3518 - SANTISTA WORK SOLUT 30/07/2021 LQ 214,2 214,2"
"Pago título: 2116000346 3547 - NEO RODAS S.A. 30/07/2021 LQ 224,46 224,46"
"Pago título: 2116000352 3594 - CPM CONCRETO DE PR 30/07/2021 LQ 218,04 218,04"
"Pago título: 2116000358 3616 - CONCREMIX S/A 30/07/2021 LQ 230,44 230,44"
"Pago título: 2116000364 3670 - TRANS KOTHE TRANSPO 30/07/2021 LQ 200,3 200,3"
"Pago título: 2116000370 3853 - MONTE COR PROTE  O 30/07/2021 LQ 221,25 221,25"
"Pago título: 2116000406 4477 - LAZARO FERNANDES PE 30/07/2021 LQ 215,5 215,5"
"Pago título: 2116000430 4829 - CLUBE RECREATIVO SU 30/07/2021 LQ 222,02 222,02"
"Pago título: 2116000436 4840 - CIALENE INDUSTRIA E 30/07/2021 LQ 219,58 219,58"
"Pago título: 2116000442 4895 - VYLLA EMPREENDIMENT 30/07/2021 LQ 200,06 200,06"
"Pago título: 2116000448 4938 - MOMBUCA BENEFICIADO 30/07/2021 LQ 219,58 219,58"
"Pago título: 2116000460 5575 - FONTE GELO LTDA 30/07/2021 LQ 220,54 220,54"
"Pago título: 2116000466 5608 - ASSOCIA  O DE MORAD 30/07/2021 LQ 202,01 202,01"
"Pago título: 2116000472 5622 - CLEUSA TERESINHA PI 30/07/2021 LQ 200,35 200,35"
"Pago título: 2116000490 7360 - CAMPMIX CONCRETO US 30/07/2021 LQ 200,11 200,11"
"Pago título: 2117000004 202 - NOVA PLAST IND E COM 30/07/2021 LQ 224,64 224,64"
"Pago título: 2117000025 604 - ASSOCIA  O RESIDENCI 30/07/2021 LQ 210,16 210,16"
"Pago título: 2117000046 680 - JOSE EDUARDO ANNICCH 30/07/2021 LQ 209,12 209,12"
"Pago título: 2117000053 875 - RICHARD KLINGER INDU 30/07/2021 LQ 200,88 200,88"
"Pago título: 2117000074 1113 - PPC SANTANA EQUIPAM 30/07/2021 LQ 205,2 205,2"
"Pago título: 2117000081 1130 - BRASALIMENT INDUSTR 30/07/2021 LQ 205,77 205,77"
"Pago título: 2117000088 1137 - SICAD DO BRASIL FIT 30/07/2021 LQ 227,84 227,84"
"Pago título: 2117000109 1652 - RICLAN S/A 30/07/2021 LQ 212,8 212,8"
"Pago título: 2117000116 1870 - MALIBER INDUSTRIA E 30/07/2021 LQ 213,3 213,3"
"Pago título: 2117000130 1993 - CABLENA DO BRASIL L 30/07/2021 LQ 220 220"
"Pago título: 2117000137 2028 - TERMOTECNICA LTDA 30/07/2021 LQ 209,12 209,12"
"Pago título: 2117000158 2082 - COLORFLEX ESTAMPARI 30/07/2021 LQ 224,86 224,86"
"Pago título: 2117000165 2126 - TIETZ EXTRA  O E CO 30/07/2021 LQ 224,23 224,23"
"Pago título: 2117000172 2140 - INDUSTRIAS ROMI S/A 30/07/2021 LQ 221,38 221,38"
"Pago título: 2117000179 2196 - ASSOCIA AO CIVIL PA 30/07/2021 LQ 223,22 223,22"
"Pago título: 2117000186 2229 - AUDAX QUIMICA IND E 30/07/2021 LQ 225,03 225,03"
"Pago título: 2117000193 2362 - ASSOCIA  O  PROPRIE 30/07/2021 LQ 221,74 221,74"
"Pago título: 2117000200 2407 - FERRASPARI S/A INDU 30/07/2021 LQ 201,64 201,64"
"Pago título: 2117000207 2881 - SERVICO DE AGUA E E 30/07/2021 LQ 209,12 209,12"
"Pago título: 2117000221 3059 - VIC 01 SBO EMPREEND 30/07/2021 LQ 208,41 208,41"
"Pago título: 2117000235 3212 - PEDREIRA NOGUEIRENS 30/07/2021 LQ 209,12 209,12"
"Pago título: 2117000249 3259 - BAG CLEANER COM RCI 30/07/2021 LQ 208,86 208,86"
"Pago título: 2117000284 3468 - VOTORANTIM CIMENTOS 30/07/2021 LQ 204,2 204,2"
"Pago título: 2117000291 3474 - ASSOCIA  O FILOS FI 30/07/2021 LQ 203,26 203,26"
"Pago título: 2117000298 3592 - CONDOMINIO LAGOS SH 30/07/2021 LQ 208,91 208,91"
"Pago título: 2117000319 4132 - MRGM PARTICIPA  ES 30/07/2021 LQ 203,26 203,26"
"Pago título: 2117000326 4479 - PERFORM PARTICIPA 30/07/2021 LQ 225,63 225,63"
"Pago título: 2117000333 4512 - INSTITUTO DE ENSINO 30/07/2021 LQ 209,12 209,12"
"Pago título: 2117000340 4615 - RAIZEN ENERGIA S.A. 30/07/2021 LQ 211,82 211,82"
"Pago título: 2117000347 4674 - L'OCCITANE OPERA IN 30/07/2021 LQ 200,75 200,75"
"Pago título: 2117000361 5303 - ASSOCIA  O DOS MORA 30/07/2021 LQ 225,85 225,85"
"Pago título: 2117000389 5436 - ANSELMO  GUAS E TRA 30/07/2021 LQ 209,12 209,12"
"Pago título: 2117000410 5492 - BUONO GEL INDUSTRIA 30/07/2021 LQ 209,12 209,12"
"Pago título: 2117000424 5633 - IBIS AGR RIA LTDA 30/07/2021 LQ 203,28 203,28"
"Pago título: 2118000004 3 - CONDOMINIO RESIDENCIAL 30/07/2021 LQ 246,18 246,18"
"Pago título: 2118000012 12 - AGUAJATO TRANSPORTES 30/07/2021 LQ 1908,15 1908,15"
"Pago título: 2118000020 17 - LEDERVIN IND STRIA E 30/07/2021 LQ 307,41 307,41"
"Pago título: 2118000028 22 - HONDA AUTOMOVEIS DO B 30/07/2021 LQ 1170,59 1170,59"
"Pago título: 2118000036 24 - ASSOCIACAO DOS PROPRI 30/07/2021 LQ 384,32 384,32"
"Pago título: 2118000044 25 - EXTRACAO E COMERCIO D 30/07/2021 LQ 553,25 553,25"
"Pago título: 2118000052 26 - CERAMICA FORMIGRES LT 30/07/2021 LQ 546,99 546,99"
"Pago título: 2118000076 34 - CONDOMINIO BOUGAINVIL 30/07/2021 LQ 228,32 228,32"
"Pago título: 2118000108 52 - ASSOCIACAO DOS PROPRI 30/07/2021 LQ 586,91 586,91"
"Pago título: 2118000148 68 - ASSOCIACAO GREEN VILL 30/07/2021 LQ 257,17 257,17"
"Pago título: 2118000156 69 - PLASTEK DO BRASIL IND 30/07/2021 LQ 292,33 292,33"
"Pago título: 2118000164 72 - ANTENOR MAXIMIANO PAR 30/07/2021 LQ 434,76 434,76"
"Pago título: 2118000172 73 - NARDINI PISOS E REVES 30/07/2021 LQ 219,58 219,58"
"Pago título: 2118000188 85 - ASSOCIACAO PROPRIETAR 30/07/2021 LQ 355,24 355,24"
"Pago título: 2118000196 94 - SERVICO SOCIAL DA IND 30/07/2021 LQ 365,96 365,96"
"Pago título: 2118000204 96 - TAGMA BRASIL IND STRI 30/07/2021 LQ 530,64 530,64"
"Pago título: 2118000220 111 - ASSOCIACAO MORADORES 30/07/2021 LQ 585,53 585,53"
"Pago título: 2118000228 112 - LUME CERAMICA LTDA 30/07/2021 LQ 270,81 270,81"
"Pago título: 2118000244 136 - M RCIA REGINA PEZZEN 30/07/2021 LQ 329,36 329,36"
"Pago título: 2118000252 142 - SOCIEDADE DE MELHORA 30/07/2021 LQ 454,89 454,89"
"Pago título: 2118000260 149 - GREEN GOLF CLUB 30/07/2021 LQ 222,98 222,98"
"Pago título: 2118000268 152 - SOCIEDADE AMIGOS DO 30/07/2021 LQ 393,41 393,41"
"Pago título: 2118000292 163 - SABARA QUIMICOS E IN 30/07/2021 LQ 565,63 565,63"
"Pago título: 2118000300 166 - BRF - BRASIL FOODS S 30/07/2021 LQ 259,61 259,61"
"Pago título: 2118000308 182 - UNIPEL INDUSTRIA E C 30/07/2021 LQ 325,18 325,18"
"Pago título: 2118000324 184 - TECELAGEM JOLITEX LT 30/07/2021 LQ 1428,73 1428,73"
"Pago título: 2118000332 191 - COOPERATIVA NOVA ESP 30/07/2021 LQ 847,97 847,97"
"Pago título: 2118000348 203 - TINTURARIA E ESTAMPA 30/07/2021 LQ 1007,28 1007,28"
"Pago título: 2118000372 219 - SI GROUP CRIOS RESIN 30/07/2021 LQ 1763,16 1763,16"
"Pago título: 2118000380 223 - VIVA PISOS E REVESTI 30/07/2021 LQ 775,53 775,53"
"Pago título: 2118000412 237 - IPLASA - INDUSTRIA E 30/07/2021 LQ 439,15 439,15"
"Pago título: 2118000428 244 - CONFIBRA INDUSTRIA E 30/07/2021 LQ 642,28 642,28"
"Pago título: 2118000452 257 - PASTIFICIO SELMI S/A 30/07/2021 LQ 1856,96 1856,96"
"Pago título: 2118000460 262 - IND STRIA CAMPINEIRA 30/07/2021 LQ 296,43 296,43"
"Pago título: 2118000468 265 - ADERE PRODUTOS AUTO- 30/07/2021 LQ 391,04 391,04"
"Pago título: 2118000476 281 - BIO SPRINGER DO BRAS 30/07/2021 LQ 852,31 852,31"
"Pago título: 2118000484 293 - OMAMORI INDUSTRIA DE 30/07/2021 LQ 304,31 304,31"
"Pago título: 2118000500 312 - FIACAO ALPINA LTDA 30/07/2021 LQ 796,39 796,39"
"Pago título: 2118000516 324 - DEDINI S/A INDUSTRIA 30/07/2021 LQ 643,93 643,93"
"Pago título: 2118000524 332 - CBR BRANDS IND STRIA 30/07/2021 LQ 3112,03 3112,03"
"Pago título: 2118000532 335 - ANTONIO BORIN SA IND 30/07/2021 LQ 404,31 404,31"
"Pago título: 2118000540 342 - IPE AGRO AVICOLA LTD 30/07/2021 LQ 388,4 388,4"
"Pago título: 2118000548 349 - SOBAM CENTRO MEDICO 30/07/2021 LQ 397,58 397,58"
"Pago título: 2118000556 356 - ESTANCIA ARVORE DA V 30/07/2021 LQ 529,97 529,97"
"Pago título: 2118000564 357 - CONDOMINIO VILLE DE 30/07/2021 LQ 1443,18 1443,18"
"Pago título: 2118000572 358 - ASSOCIA  O AMIGOS MA 30/07/2021 LQ 1219,29 1219,29"
"Pago título: 2118000588 372 - ASSOCIACAO MORAD PRO 30/07/2021 LQ 1282,68 1282,68"
"Pago título: 2118000596 375 - CAPUAVA S/A INDUSTRI 30/07/2021 LQ 816,36 816,36"
"Pago título: 2118000604 383 - EATON LTDA 30/07/2021 LQ 992,53 992,53"
"Pago título: 2118000612 390 - TOYOBO DO BRASIL LTD 30/07/2021 LQ 631,23 631,23"
"Pago título: 2118000620 400 - FRICOCK FRIGORIFICAC 30/07/2021 LQ 955,47 955,47"
"Pago título: 2118000644 417 - EMBRAMACO EMPRESA BR 30/07/2021 LQ 2751,87 2751,87"
"Pago título: 2118000660 426 - RUY R. DA ROCHA PROD 30/07/2021 LQ 329,36 329,36"
"Pago título: 2118000668 432 - ASSOCIACAO PROPRIETA 30/07/2021 LQ 458,45 458,45"
"Pago título: 2118000692 449 - ASSOCIA  O PRO AGUA 30/07/2021 LQ 801,91 801,91"
"Pago título: 2118000708 455 - TBK MINERA  O LTDA 30/07/2021 LQ 651,45 651,45"
"Pago título: 2118000716 461 - J.R.M. - PARTICIPACO 30/07/2021 LQ 745,86 745,86"
"Pago título: 2118000724 476 - CLUBE DE CAMPO VALIN 30/07/2021 LQ 1920,76 1920,76"
"Pago título: 2118000740 480 - PAPIRUS INDUSTRIA DE 30/07/2021 LQ 2663,74 2663,74"
"Pago título: 2118000748 482 - TAVARES PINHEIRO IND 30/07/2021 LQ 530,64 530,64"
"Pago título: 2118000756 487 - USINA ACUCAREIRA EST 30/07/2021 LQ 22937,57 22937,57"
"Pago título: 2118000764 490 - SAINT-GOBAIN DO BRAS 30/07/2021 LQ 1050,82 1050,82"
"Pago título: 2118000772 491 - CATERPILLAR BRASIL L 30/07/2021 LQ 501,22 501,22"
"Pago título: 2118000780 497 -  LCOOL FERREIRA S/A 30/07/2021 LQ 643,18 643,18"
"Pago título: 2118000788 499 - SPAL INDUSTRIA BRASI 30/07/2021 LQ 2917,24 2917,24"
"Pago título: 2118000796 500 - BIGNARDI IND E COM D 30/07/2021 LQ 5302,68 5302,68"
"Pago título: 2118000804 503 - FLAMBOI  ALIMENTOS L 30/07/2021 LQ 661,27 661,27"
"Pago título: 2118000812 505 - ASSOCIACAO AMIGOS DO 30/07/2021 LQ 1120,48 1120,48"
"Pago título: 2118000820 507 - TINTURARIA UNIVERSO 30/07/2021 LQ 1622,14 1622,14"
"Pago título: 2118000836 529 - OWENS CORNING FIBERG 30/07/2021 LQ 2940,25 2940,25"
"Pago título: 2118000876 585 - TEKA - TECELAGEM KUE 30/07/2021 LQ 1618,73 1618,73"
"Pago título: 2118000892 821 - PREFEITURA MUNICIPAL 30/07/2021 LQ 3917,49 3917,49"
"Pago título: 2118000908 824 - UNIVERSIDADE DE SAO 30/07/2021 LQ 947,87 947,87"
"Pago título: 2118000932 829 - SERVICO AUT NOMO DE 30/07/2021 LQ 9435,57 9435,57"
"Pago título: 2118000940 831 - DEPARTAMENTO DE  GUA 30/07/2021 LQ 31800,05 31800,05"
"Pago título: 2118000964 842 - REGIMAR COMERCIAL S/ 30/07/2021 LQ 1957,2 1957,2"
"Pago título: 2118000972 844 - COIM BRASIL LTDA 30/07/2021 LQ 417,84 417,84"
"Pago título: 2118000980 845 - THYSSENKRUPP METALUR 30/07/2021 LQ 3874,04 3874,04"
"Pago título: 2118000988 851 - KROMBERG & SCHUBERT 30/07/2021 LQ 276,84 276,84"
"Pago título: 2118000996 852 - ECOFABRIL INDUSTRIA 30/07/2021 LQ 278,25 278,25"
"Pago título: 2118001004 855 - LOG & PRINT GR FICA 30/07/2021 LQ 212,62 212,62"
