"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72457743009202421819.ret"
""
"Cadastrado título novo: 9000008246 5565 - WHITE MARTINS GASES 31/10/2024 RG 590,29 0"
"Cadastrado título novo: 9000008247 3701 - ASSOCIACAO DE SOCIOS 31/10/2024 RG 2274,67 0"
"Pago título: 2400000134 1745 - FURNAS CENTRAIS ELET 30/09/2024 LQ 1045,44 1045,44"
"Pago título: 2400000140 3661 - BRIDGESTONE DO BRASI 30/09/2024 LQ 1016,42 1016,42"
"Pago título: 2400000143 1399 - CONSIGAZ DISTRIBUIDO 30/09/2024 LQ 993,8 993,8"
"Pago título: 2400000147 1780 - SERVICO SOCIAL DA IN 30/09/2024 LQ 938,59 938,59"
"Pago título: 2400000149 2720 - INDUSTRIA FOX ECONOM 30/09/2024 LQ 915,75 915,75"
"Pago título: 2400000155 3282 - GASBALL ARMAZENADORA 30/09/2024 LQ 890,33 890,33"
"Pago título: 2400000156 2822 - JOFEGE CONCRETO LTDA 30/09/2024 LQ 886,32 886,32"
"Pago título: 2400000157 2409 - TITO ENRIQUE DA SILV 30/09/2024 LQ 878,3 878,3"
"Pago título: 2400000159 5038 - COLEGIO RENOVACAO IN 30/09/2024 LQ 878,3 878,3"
"Pago título: 2400000161 6962 - BRAVO ARMAZENS GERAI 30/09/2024 LQ 878,3 878,3"
"Pago título: 2400000162 5587 - KANIA INDUSTRIA E CO 30/09/2024 LQ 878,3 878,3"
"Pago título: 2400000164 3461 - CONFECCOES CAPRICHO 30/09/2024 LQ 874,76 874,76"
"Pago título: 2400000167 2277 - MYRALIS INDUSTRIA FA 30/09/2024 LQ 784,11 784,11"
"Pago título: 2400000169 5163 - MUNICIPIO DE HOLAMBR 30/09/2024 LQ 770,02 770,02"
"Pago título: 2400000172 3018 - COLOROBBIA BRASIL PR 30/09/2024 LQ 745,32 745,32"
"Pago título: 2400000176 5613 - AMPHENOL TFC DO BRAS 30/09/2024 LQ 731,92 731,92"
"Pago título: 2400000178 4741 - RODOSNACK MIRANTE LA 30/09/2024 LQ 731,91 731,91"
"Pago título: 2400000179 5234 - VALICON SERVICOS PAR 30/09/2024 LQ 731,91 731,91"
"Pago título: 2400000180 3583 - ALISUL ALIMENTOS S/A 30/09/2024 LQ 721,89 721,89"
"Pago título: 2400000183 2436 - CROMOQUIM PRODUTOS T 30/09/2024 LQ 712,26 712,26"
"Pago título: 2400000184 1480 - ASSOCIACAO DOS AMIGO 30/09/2024 LQ 711,42 711,42"
"Pago título: 2400000185 1156 - CBP - INDUSTRIA BRAS 30/09/2024 LQ 702,64 702,64"
"Pago título: 2400000189 1108 - GREINER BIO-ONE BRAS 30/09/2024 LQ 693,46 693,46"
"Pago título: 2400000193 7726 - EXTRAMIX CONCRETO LT 30/09/2024 LQ 656,92 656,92"
"Pago título: 2400000198 571 - ADELBRAS INDUSTRIA E 30/09/2024 LQ 616,03 616,03"
"Pago título: 2400000204 7732 - CITROSUCO S/A AGROIN 30/09/2024 LQ 595,51 595,51"
"Pago título: 2400000209 5444 - ASSOCIACAO HELVETIA 30/09/2024 LQ 585,53 585,53"
"Pago título: 2400000215 2576 - AUGUSTO JOAO CARLOS 30/09/2024 LQ 554,7 554,7"
"Pago título: 2400000217 1303 - GALVANI MINERACAO E 30/09/2024 LQ 550,56 550,56"
"Pago título: 2400000218 2585 - SISTEMA EDUCACIONAL 30/09/2024 LQ 549,29 549,29"
"Pago título: 2400000221 2235 - COPRA INDUSTRIA COME 30/09/2024 LQ 539,01 539,01"
"Pago título: 2400000222 2200 - ASVOTEC TERMOINDUSTR 30/09/2024 LQ 538,12 538,12"
"Pago título: 2400000223 11 - PHIBRO SAUDE E NUTRICA 30/09/2024 LQ 537,25 537,25"
"Pago título: 2400000227 5623 - CONDOMINIO DO SHOPPI 30/09/2024 LQ 529,53 529,53"
"Pago título: 2400000229 226 - VELHOBOL CLUBE DE CAM 30/09/2024 LQ 526,98 526,98"
"Pago título: 2400000230 4822 - AGROPECUARIA MONTSUL 30/09/2024 LQ 525,53 525,53"
"Pago título: 2400000231 4962 - BORDEAUX TEXTIL - EI 30/09/2024 LQ 519,76 519,76"
"Pago título: 2400000234 2615 - EE GISSELDA APARECID 30/09/2024 LQ 500,51 500,51"
"Pago título: 2400000238 1697 - AVERY DENNISON DO BR 30/09/2024 LQ 482,02 482,02"
"Pago título: 2400000240 1114 - COMUNIDADE RELIGIOSA 30/09/2024 LQ 471,78 471,78"
"Pago título: 2400000244 2854 - AREA DO NUCLEO DO PO 30/09/2024 LQ 468,43 468,43"
"Pago título: 2400000246 2246 - CONCREBASE COMERCIO 30/09/2024 LQ 453,41 453,41"
"Pago título: 2400000247 131 - CONDOMINIO EDIFICIO G 30/09/2024 LQ 451,8 451,8"
"Pago título: 2400000255 3064 - CBP COLCHOES LTDA 30/09/2024 LQ 439,14 439,14"
"Pago título: 2400000262 2117 - IPEL - ITIBANYL PROD 30/09/2024 LQ 425,97 425,97"
"Pago título: 2400000263 2584 - EXTRAMIX CONCRETO LT 30/09/2024 LQ 423,51 423,51"
"Pago título: 2400000265 4399 - TAUSTE SUPERMERCADOS 30/09/2024 LQ 421,14 421,14"
"Pago título: 2400000268 4225 - CONDOMINIO RESIDENCI 30/09/2024 LQ 417,45 417,45"
"Pago título: 2400000272 2707 - MINERMIX MINERACAO L 30/09/2024 LQ 408,07 408,07"
"Pago título: 2400000273 1061 - FUNDACAO CENTRO MEDI 30/09/2024 LQ 406,77 406,77"
"Pago título: 2400000276 4030 - EMBRASATEC INDUSTRIA 30/09/2024 LQ 396,84 396,84"
"Pago título: 2400000278 897 - TEXPAL QUIMICA LTDA 30/09/2024 LQ 395,91 395,91"
"Pago título: 2400000279 4775 - PHILIS MOTEL LTDA. - 30/09/2024 LQ 395,23 395,23"
"Pago título: 2400000285 1599 - LUIZ GUILHERME SARTO 30/09/2024 LQ 392,75 392,75"
"Pago título: 2400000286 4063 - FLAMENGO FUTEBOL CLU 30/09/2024 LQ 392,75 392,75"
"Pago título: 2400000287 7859 - EMBRASA EMBALAGEM BR 30/09/2024 LQ 391,84 391,84"
"Pago título: 2400000288 1702 - TECNOLITE PRODUTOS T 30/09/2024 LQ 390,4 390,4"
"Pago título: 2400000289 363 - H N HOTEIS E TURISMO 30/09/2024 LQ 389,93 389,93"
"Pago título: 2400000292 3113 - ASSOCIACAO DOS AMIGO 30/09/2024 LQ 386,45 386,45"
"Pago título: 2400000295 3768 - VIMASTER INDUSTRIA E 30/09/2024 LQ 385,35 385,35"
"Pago título: 2400000297 2754 - ASSOCIACAO DE PROPRI 30/09/2024 LQ 384,11 384,11"
"Pago título: 2400000298 3405 - VICMA CONSTRUCOES E 30/09/2024 LQ 383,46 383,46"
"Pago título: 2400000299 1080 - METALURGICA RIGITEC 30/09/2024 LQ 383,08 383,08"
"Pago título: 2400000301 2670 - RONALDO ALUISIO KIEV 30/09/2024 LQ 380,59 380,59"
"Pago título: 2400000303 3730 - CONDOMINIO PIAZZA DI 30/09/2024 LQ 377,31 377,31"
"Pago título: 2400000305 3665 - EXTRAMIX CONCRETO LT 30/09/2024 LQ 375,38 375,38"
"Pago título: 2400000312 2676 - SAFEPRINT INDUSTRIA 30/09/2024 LQ 372,04 372,04"
"Pago título: 2400000313 4067 - LICEU CORACAO DE JES 30/09/2024 LQ 371,24 371,24"
"Pago título: 2400000316 146 - CONDOMINIO RESIDENCIA 30/09/2024 LQ 368,89 368,89"
"Pago título: 2400000317 4343 - SUMERBOL SUPERMERCAD 30/09/2024 LQ 368,81 368,81"
"Pago título: 2400000318 934 - UNIVERSIDADE ESTADUAL 30/09/2024 LQ 367,9 367,9"
"Pago título: 2400000319 2342 - PREFEITURA DA ESTANC 30/09/2024 LQ 367,4 367,4"
"Pago título: 2400000320 5162 - MOACIR ANTONIO DIDON 30/09/2024 LQ 367,39 367,39"
"Pago título: 2400000329 3000 - TBI DO BRASIL IND, C 30/09/2024 LQ 365,96 365,96"
"Pago título: 2400000330 7193 - GHG PARTICIPACOES LT 30/09/2024 LQ 365,96 365,96"
"Pago título: 2400000332 7664 - ASSOCIACAO DOS MORAD 30/09/2024 LQ 365,96 365,96"
"Pago título: 2400000335 263 - CLUBE SEMANAL DA CULT 30/09/2024 LQ 365,47 365,47"
"Pago título: 2400000343 2623 - ROBERTO TOSHIAKI KAW 30/09/2024 LQ 360,46 360,46"
"Pago título: 2400000345 3210 - PAVAN ZANETTI INDUST 30/09/2024 LQ 358,64 358,64"
"Pago título: 2400000349 1916 - HOTEL NOVO LIMEIRA L 30/09/2024 LQ 357,06 357,06"
"Pago título: 2400000351 3539 - A. R. SACARIAS EIREL 30/09/2024 LQ 356,21 356,21"
"Pago título: 2400000352 4151 - ASSOCIACAO AMERICANE 30/09/2024 LQ 355,04 355,04"
"Pago título: 2400000354 5591 - M.V.S MINERACAO VALE 30/09/2024 LQ 354,53 354,53"
"Pago título: 2400000356 1369 - MARIA CHRISTINA CLEM 30/09/2024 LQ 351,32 351,32"
"Pago título: 2400000359 958 - MEFSA - MECANICA E FU 30/09/2024 LQ 351,32 351,32"
"Pago título: 2400000365 1201 - ASSOCIACAO DOS MORAD 30/09/2024 LQ 351,32 351,32"
"Pago título: 2400000371 94 - SERVICO SOCIAL DA INDU 30/09/2024 LQ 349,45 349,45"
"Pago título: 2400000372 995 - CADSERVICE PRODUTOS E 30/09/2024 LQ 348,09 348,09"
"Pago título: 2400000378 4571 - SMARTECH EMPREENDIME 30/09/2024 LQ 345,7 345,7"
"Pago título: 2400000382 2411 - ASSOC DOS PROP DO RE 30/09/2024 LQ 344,77 344,77"
"Pago título: 2400000383 3751 - MACARRONADA ITALIANA 30/09/2024 LQ 341,99 341,99"
"Pago título: 2400000388 1360 - UNIMED DE CAPIVARI C 30/09/2024 LQ 337,55 337,55"
"Pago título: 2400000390 2513 - LAVAPANO TEXTIL LTDA 30/09/2024 LQ 337,16 337,16"
"Pago título: 2400000396 1640 - MINERACAO RIGHI LTDA 30/09/2024 LQ 332,99 332,99"
"Pago título: 2400000397 3553 - PEROLA CONFECCOES E 30/09/2024 LQ 332,88 332,88"
"Pago título: 2400000399 4468 - FARO SAO THOME HOTEL 30/09/2024 LQ 332,63 332,63"
"Pago título: 2400000403 3821 - FITESA NAO TECIDOS S 30/09/2024 LQ 329,36 329,36"
"Pago título: 2400000404 3005 - CONDOMINIO RESIDENCI 30/09/2024 LQ 328,25 328,25"
"Pago título: 2400000405 5007 - ARRICO AGRONEGOCIOS 30/09/2024 LQ 326,93 326,93"
"Pago título: 2400000407 5423 - SOCIEDADE ESPORTIVA 30/09/2024 LQ 325,4 325,4"
"Pago título: 2400000410 4039 - BRASCABOS COMPONENTE 30/09/2024 LQ 324,58 324,58"
"Pago título: 2400000416 2628 - LINK STEL EQUIPAMENT 30/09/2024 LQ 322,05 322,05"
"Pago título: 2400000417 2288 - HONDA LOCK SAO PAULO 30/09/2024 LQ 322,05 322,05"
"Pago título: 2400000422 5555 - ASSUNCAO EMPREENDIME 30/09/2024 LQ 319,85 319,85"
"Pago título: 2400000425 3573 - ESCOLA ASSOCIATIVA W 30/09/2024 LQ 318,26 318,26"
"Pago título: 2400000426 2218 - ASSOCIACAO DE PROPRI 30/09/2024 LQ 317,68 317,68"
"Pago título: 2400000428 922 - ASSOC DE FUNCIONARIOS 30/09/2024 LQ 316,72 316,72"
"Pago título: 2400000431 1468 - VINHEDO HOTELARIA ME 30/09/2024 LQ 313,81 313,81"
"Pago título: 2400000434 6947 - CASTELLA INDUSTRIA D 30/09/2024 LQ 312,82 312,82"
"Pago título: 2400000436 4474 - JOSE RICARDO PENTEAD 30/09/2024 LQ 311,37 311,37"
"Pago título: 2400000440 4240 - UNIMIL IND E COM DE 30/09/2024 LQ 309,64 309,64"
"Pago título: 2400000441 1170 - ASSOCIACAO BENEDITIN 30/09/2024 LQ 309,21 309,21"
"Pago título: 2400000443 4133 - CHOPERIA GIOVANETTI 30/09/2024 LQ 308,05 308,05"
"Pago título: 2400000447 2968 - TCMEP3 EMPREENDIMENT 30/09/2024 LQ 307,41 307,41"
"Pago título: 2400000448 1620 - FAM CONSTRUCOES META 30/09/2024 LQ 307,41 307,41"
"Pago título: 2400000458 7012 - CONCREBEM CONCRETO U 30/09/2024 LQ 303,73 303,73"
"Pago título: 2400000459 4309 - ANDAIMES METAX EQUIP 30/09/2024 LQ 303,2 303,2"
"Pago título: 2400000465 1189 - ERICSON BAGATIN 30/09/2024 LQ 300,38 300,38"
"Pago título: 2400000466 1166 - SIND TRAB IND METALU 30/09/2024 LQ 300,34 300,34"
"Pago título: 2400000467 3021 - GODOY & BAPTISTELLA 30/09/2024 LQ 300,3 300,3"
"Pago título: 2400000469 5307 - ASSOCIACAO DE MORADO 30/09/2024 LQ 298,62 298,62"
"Pago título: 2400000470 388 - FLORENCA PALACE HOTEL 30/09/2024 LQ 297,68 297,68"
"Pago título: 2400000471 1827 - POSTO E RESTAURANTE 30/09/2024 LQ 297,16 297,16"
"Pago título: 2400000472 2885 - GOOD BOM SUPERMERCAD 30/09/2024 LQ 296,76 296,76"
"Pago título: 2400000475 3297 - ASSOC ADM DO LOTEAME 30/09/2024 LQ 294,23 294,23"
"Pago título: 2400000483 4444 - BARI MOTEL LTDA - ME 30/09/2024 LQ 292,77 292,77"
"Pago título: 2400000485 4809 - MANETONI DISTRIBUIDO 30/09/2024 LQ 292,77 292,77"
"Pago título: 2400000490 2936 - RIO NEGRO PARTICIPAC 30/09/2024 LQ 292,77 292,77"
"Pago título: 2400000491 2230 - ASSOCIACAO DO LOTEAM 30/09/2024 LQ 292,77 292,77"
"Pago título: 2400000493 1385 - FENIX INDUSTRIA DE M 30/09/2024 LQ 292,77 292,77"
"Pago título: 2400000499 3326 - KADANT SOUTH AMERICA 30/09/2024 LQ 292,77 292,77"
"Pago título: 2400000500 4382 - NACIONAL TUBOS INDUS 30/09/2024 LQ 292,77 292,77"
"Pago título: 2400000501 2450 - ASSOC DE PROPRIETARI 30/09/2024 LQ 292,77 292,77"
"Pago título: 2400000503 4853 - TRIPAMA COMERCIO DE 30/09/2024 LQ 292,77 292,77"
"Pago título: 2400000505 3206 - ASSOCIACAO DE AMIGOS 30/09/2024 LQ 292,77 292,77"
"Pago título: 2400000507 3007 - CURSO E COLEGIO AESC 30/09/2024 LQ 292,77 292,77"
"Pago título: 2400000508 3442 - YAGUAR EMPREENDIMENT 30/09/2024 LQ 292,77 292,77"
"Pago título: 2400000509 3395 - SIND DOS TRABALHADOR 30/09/2024 LQ 292,77 292,77"
"Pago título: 2400000513 5184 - AUTO POSTO PAVAO BON 30/09/2024 LQ 292,77 292,77"
"Pago título: 2400000518 311 - COMERCIO TERRAPLENAGE 30/09/2024 LQ 292,77 292,77"
"Pago título: 2400000521 2611 - MISSAO EMPREENDIMENT 30/09/2024 LQ 290,59 290,59"
"Pago título: 2400000523 1285 - TST ISOLANTES TERMIC 30/09/2024 LQ 289,84 289,84"
"Pago título: 2400000528 4339 - JOATE DO BRASIL ADMI 30/09/2024 LQ 288,76 288,76"
"Pago título: 2400000531 381 - INSTITUTO EDUCACIONAL 30/09/2024 LQ 287,86 287,86"
"Pago título: 2400000532 4013 - ANTONIO VITORINO BAR 30/09/2024 LQ 286,91 286,91"
"Pago título: 2400000533 3486 - ASSOCIACAO DOS PROP 30/09/2024 LQ 286,62 286,62"
"Pago título: 2400000535 1492 - STRATURA ASFALTOS S. 30/09/2024 LQ 285,86 285,86"
"Pago título: 2400000537 2733 - FIRENIGHT MOTEL LTDA 30/09/2024 LQ 284,57 284,57"
"Pago título: 2400000539 846 - ASSOCIACAO ECOLOGICA 30/09/2024 LQ 283,99 283,99"
"Pago título: 2400000544 2052 - MACCAFERRI DO BRASIL 30/09/2024 LQ 281,71 281,71"
"Pago título: 2400000547 1121 - SATA BRASIL LTDA 30/09/2024 LQ 281,05 281,05"
"Pago título: 2400000552 1933 - FLEXCOAT PRODUTOS AU 30/09/2024 LQ 280,58 280,58"
"Pago título: 2400000553 562 - M. N. TERUYA COMERCIA 30/09/2024 LQ 279,4 279,4"
"Pago título: 2400000558 7189 - COMERCIO DE FRUTAS - 30/09/2024 LQ 277,21 277,21"
"Pago título: 2400000559 2966 - ASSOCIACAO ESPORTIVA 30/09/2024 LQ 277,09 277,09"
"Pago título: 2400000565 2487 - INDUSTRIA METALOQUIM 30/09/2024 LQ 275,28 275,28"
"Pago título: 2400000566 2799 - DUBAR INDUSTRIA E CO 30/09/2024 LQ 274,75 274,75"
"Pago título: 2400000567 181 - EMULZINT ADITIVOS ALI 30/09/2024 LQ 274,62 274,62"
"Pago título: 2400000573 5333 - FIACAO FIDES LTDA. 30/09/2024 LQ 273,74 273,74"
"Pago título: 2400000576 4092 - CONDOMINIO RESIDENCI 30/09/2024 LQ 271,57 271,57"
"Pago título: 2400000577 7303 - BCAG BRASIL CHINA AR 30/09/2024 LQ 271,05 271,05"
"Pago título: 2400000579 143 - CONDOMINIO EDIFICIO I 30/09/2024 LQ 267,95 267,95"
"Pago título: 2400000580 3497 - RUBENS CASCALDI FILH 30/09/2024 LQ 267,91 267,91"
"Pago título: 2400000581 5624 - CONDOMINIO EDIFICIO 30/09/2024 LQ 266,37 266,37"
"Pago título: 2400000583 3625 - ANODICAMP - INDUSTRI 30/09/2024 LQ 265,22 265,22"
"Pago título: 2400000584 2018 - INDUSTRIA DE MOTORES 30/09/2024 LQ 264,69 264,69"
"Pago título: 2400000586 1847 - VICUNHA SERVICOS LTD 30/09/2024 LQ 263,88 263,88"
"Pago título: 2400000590 7734 - UNIVERSO DO GELO COM 30/09/2024 LQ 263,49 263,49"
"Pago título: 2400000593 3314 - HOTEL PARAISO DOS AL 30/09/2024 LQ 263,49 263,49"
"Pago título: 2400000596 1949 - ASTEN & CIA LTDA 30/09/2024 LQ 263,49 263,49"
"Pago título: 2400000600 3595 - MOTEL ALPINO - ME 30/09/2024 LQ 263,49 263,49"
"Pago título: 2400000602 3979 - NASH - SERVICOS E CO 30/09/2024 LQ 263,49 263,49"
"Pago título: 2400000604 5445 - AUTO POSTO SALESCO L 30/09/2024 LQ 263,48 263,48"
"Pago título: 2400000608 1770 - RIO DAS PEDRAS COM D 30/09/2024 LQ 262,6 262,6"
"Pago título: 2400000610 7769 - ASSUNCAO EMPREENDIME 30/09/2024 LQ 261,04 261,04"
"Pago título: 2400000615 3299 - RISCHIOTO INDUSTRIA 30/09/2024 LQ 258,73 258,73"
"Pago título: 2400000623 1601 - CONTECH PRODUTOS BIO 30/09/2024 LQ 254,48 254,48"
"Pago título: 2400000626 7364 - GOODBOM SUPERMERCADO 30/09/2024 LQ 254,03 254,03"
"Pago título: 2400000628 5866 - REQUINTE 2 MOTEL LTD 30/09/2024 LQ 253,81 253,81"
"Pago título: 2400000632 1099 - EQUIPESCA EQUIPAMENT 30/09/2024 LQ 251,28 251,28"
"Pago título: 2400000635 2636 - EXTRAMIX CONCRETO LT 30/09/2024 LQ 250,26 250,26"
"Pago título: 2400000637 3004 - EXTRAMIX CONCRETO LT 30/09/2024 LQ 250,26 250,26"
"Pago título: 2400000640 218 - HAVER & BOECKER LATIN 30/09/2024 LQ 249,36 249,36"
"Pago título: 2400000645 3648 - HOTEL ESTANCIA SANTA 30/09/2024 LQ 248,45 248,45"
"Pago título: 2400000649 2654 - CERAMICA SANTA TEREZ 30/09/2024 LQ 246,4 246,4"
"Pago título: 2400000651 2394 - AMGARTEN COMERCIO DE 30/09/2024 LQ 245,93 245,93"
"Pago título: 2400000652 2295 - 3 IRMAOS MUTTON & CI 30/09/2024 LQ 245,93 245,93"
"Pago título: 2400000653 2690 - CONTEUDO COMERCIO E 30/09/2024 LQ 245,93 245,93"
"Pago título: 2400000655 3876 - WEIDMANN TECNOLOGIA 30/09/2024 LQ 245,32 245,32"
"Pago título: 2400000659 860 - TECELAGEM OYAPOC LTDA 30/09/2024 LQ 244,85 244,85"
"Pago título: 2400000660 1773 - CONCREBASE - SERVICO 30/09/2024 LQ 243,83 243,83"
"Pago título: 2400000663 1568 - MARCELO RODOLFO HAHN 30/09/2024 LQ 242,41 242,41"
"Pago título: 2400000664 2886 - GOOD BOM SUPERMERCAD 30/09/2024 LQ 242,08 242,08"
"Pago título: 2400000665 3901 - FARMABASE SAUDE ANIM 30/09/2024 LQ 241,16 241,16"
"Pago título: 2400000666 3496 - LAVIND SANITIZACOES 30/09/2024 LQ 240,69 240,69"
"Pago título: 2400000668 5777 - HOSPITAL SANTA ELISA 30/09/2024 LQ 239,74 239,74"
"Pago título: 2400000671 2522 - SAFETLINE EQUIPAMENT 30/09/2024 LQ 237,18 237,18"
"Pago título: 2400000675 3849 - GOOD BOM SUPERMERCAD 30/09/2024 LQ 236,69 236,69"
"Pago título: 2400000676 5470 - MARTINS & PELOSO CHU 30/09/2024 LQ 235,74 235,74"
"Pago título: 2400000681 764 - CARLOS ALBERTO LOUREN 30/09/2024 LQ 234,21 234,21"
"Pago título: 2400000684 3741 - ARMANDO RAUCCI 30/09/2024 LQ 234,21 234,21"
"Pago título: 2400000685 3624 - CONDOMINIO RESIDENCI 30/09/2024 LQ 234,21 234,21"
"Pago título: 2400000686 16 - INDAIA HOTELARIA LTDA 30/09/2024 LQ 234,21 234,21"
"Pago título: 2400000688 3601 - MOTEL DIAMOND EMPREE 30/09/2024 LQ 234,21 234,21"
"Pago título: 2400000695 5462 - SERVICO SOCIAL DA IN 30/09/2024 LQ 234,21 234,21"
"Pago título: 2400000696 4070 - POUSADA, SITIOS E CH 30/09/2024 LQ 234,21 234,21"
"Pago título: 2400000699 2868 - IGREJA EVANGELICA AS 30/09/2024 LQ 233,42 233,42"
"Pago título: 2400000700 5425 - SUPERMERCADO DELTA M 30/09/2024 LQ 233,42 233,42"
"Pago título: 2400000701 2642 - GALZERANO INDUSTRIA 30/09/2024 LQ 233,22 233,22"
"Pago título: 2400000705 2543 - OPETRA INDUSTRIA E C 30/09/2024 LQ 232,5 232,5"
