"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72444572710202112601.ret"
""
"Cadastrado título novo: 9000006648 3323 - HORTOLANDIA INCORPOR 30/11/2021 RG 1945,03 0"
"Cadastrado título novo: 9000006649 4771 - VID'AGUA DISTRIBUICA 29/10/2021 RG 1246,19 0"
"Pago título: 2118003607 3540 - COMERCIAL DE ALIMEN 29/10/2021 LQ 307,47 307,47"
"Pago título: 2118003639 3622 - CONDOM NIO CAPELA D 29/10/2021 LQ 733,35 733,35"
"Pago título: 2118003871 3971 - VIEIRA E RODRIGUES 29/10/2021 LQ 219,58 219,58"
"Pago título: 2118004071 4485 - PARQUE DOS EUCALIPT 29/10/2021 LQ 215,73 215,73"
"Pago título: 2118004095 4580 - ASSOCIA  O DOS PROP 29/10/2021 LQ 725,65 725,65"
"Pago título: 2118004191 4786 - SEARA ALIMENTOS LTD 29/10/2021 LQ 567,23 567,23"
"Pago título: 2118004631 5577 - HM 33 EMPREENDIMENT 29/10/2021 LQ 496,79 496,79"
"Pago título: 2118004775 5865 - CONDOMINIO VILLA UN 29/10/2021 LQ 468,55 468,55"
"Pago título: 2118004823 6034 - ESPA O GAIA EMPREEN 29/10/2021 LQ 425,82 425,82"
"Pago título: 2118004831 6035 - ESPA O GAIA EMPREEN 29/10/2021 LQ 421,75 421,75"
"Pago título: 2118005103 7308 - MARIA CRISTINA RODR 29/10/2021 LQ 1012,44 1012,44"
"Pago título: 2118005127 7324 - THEIA EMPREENDIMENT 29/10/2021 LQ 773,17 773,17"
"Pago título: 2118005135 7329 - ESPA O GAIA EMPREEN 29/10/2021 LQ 425,82 425,82"
"Pago título: 2118005167 7348 - JATOB  EMPREENDIMEN 29/10/2021 LQ 270,03 270,03"
"Pago título: 9000005896 5295 - CUSCOVILLE EMPREENDI 29/10/2021 LQ 646,25 646,25"
"Pago título: 9000006014 828 - SERVICO AUTONOMO DE A 29/10/2021 LQ 49153,61 49153,61"
"Pago título: 9000006579 1191 - PMS CONSULTORIA EM E 29/10/2021 LQ 256,65 256,65"
