"Log do arquivo \\servidor1\CobrancaPCJ\CobrancaPCJ\Retorno\CBR72448072707202221053.ret"
""
"Cadastrado título novo: 9000006974 1585 - HORTEL HOTELARIA LTD 31/08/2022 RG 469,22 0"
"Cadastrado título novo: 9000006975 2385 - SOLENIS ESPECIALIDAD 29/07/2022 RG 920,2 0"
"Pago título: 2220002305 3340 - FRIGOGIL INDUSTRIAL 29/07/2022 LQ 219,58 219,58"
"Pago título: 2220002357 2109 - CONDOMINIO RESIDENCI 29/07/2022 LQ 213,99 213,99"
"Pago título: 2220002453 949 - DANA INDUSTRIAS LTDA 29/07/2022 LQ 203,46 203,46"
"Pago título: 2220002657 4579 - ASSOCIACAO DE MORADO 29/07/2022 LQ 218,83 218,83"
"Pago título: 2220002817 1192 - SECRETARIA DA ADMINI 29/07/2022 LQ 204,37 204,37"
"Pago título: 2220002852 4135 - ALCEBIADES FERREIRA 29/07/2022 LQ 232,66 232,66"
"Pago título: 2220003242 1733 - ESPER EMBALAGENS LTD 29/07/2022 LQ 201,63 201,63"
"Pago título: 2220003266 3022 - BORGWARNER BRASIL LT 29/07/2022 LQ 200,21 200,21"
"Pago título: 2220003397 942 - RAIZEN ENERGIA S/A 29/07/2022 LQ 33218,01 33218,01"
"Pago título: 2220003488 1695 - GOODYEAR DO BRASIL P 29/07/2022 LQ 15287,19 15287,19"
"Pago título: 2220003775 1048 - AHLSTROM LOUVEIRA LT 29/07/2022 LQ 3095,36 3095,36"
"Pago título: 2220003866 559 - BENEFICIADORA DE TECI 29/07/2022 LQ 2274,59 2274,59"
"Pago título: 2220004342 3462 - CONDOMINIO EMPRESARI 29/07/2022 LQ 1236,2 1236,2"
"Pago título: 2220004615 3908 - TANSAN INDUSTRIA QUI 29/07/2022 LQ 963,23 963,23"
"Pago título: 2220004685 558 - CONDOMINIO CENTRO EMP 29/07/2022 LQ 899,6 899,6"
"Pago título: 2220004790 5402 - SAO PAULO SECRETARIA 29/07/2022 LQ 844,71 844,71"
"Pago título: 2220005028 900 - DANA INDUSTRIAS LTDA 29/07/2022 LQ 717,37 717,37"
"Pago título: 2220005126 3383 - CENTRO EMPRESARIAL E 29/07/2022 LQ 666,86 666,86"
"Pago título: 2220005203 2331 - STONE BUILDING INDUS 29/07/2022 LQ 639,23 639,23"
"Pago título: 2220005321 497 - ALCOOL FERREIRA S/A 30/06/2022 LQ 598,72 615,82"
"Pago título: 2220005349 3389 - CONDOMINIO RESIDENCI 30/06/2022 LQ 587,28 604,15"
"Pago título: 2220005350 3389 - CONDOMINIO RESIDENCI 29/07/2022 LQ 587,31 587,31"
"Pago título: 2220005413 978 - CHEM-TREND IND E COM 29/07/2022 LQ 564,5 564,5"
"Pago título: 2220005525 924 - CONDOMINIO CHACARAS M 29/07/2022 LQ 519,92 519,92"
"Pago título: 2220005756 3026 - RAIZEN ENERGIA S/A 29/07/2022 LQ 454,83 454,83"
"Pago título: 2220005812 1479 - MEAT SNACK PARTNERS 29/07/2022 LQ 444,74 444,74"
"Pago título: 2220006316 5545 - COOPERATIVA VEILING 29/07/2022 LQ 365,12 365,12"
"Pago título: 2220006722 7718 - OURO GRES REVESTIMEN 29/07/2022 LQ 319,76 319,76"
"Pago título: 2220007086 3053 - JR GOMES IMOBILIARIA 29/07/2022 LQ 271,86 271,86"
"Pago título: 2220007457 5614 - ATIBAIA SANEAMENTO S 29/07/2022 LQ 230,89 230,89"
"Pago título: 2220007506 3994 - ASSOCIACAO RESERVA D 29/07/2022 LQ 225,85 225,85"
"Pago título: 2220007534 6768 - CONDOMINIO RESIDENCI 29/07/2022 LQ 225,36 225,36"
"Pago título: 2220007821 6784 - CONDOMINIO RESIDENCI 29/07/2022 LQ 208,84 208,84"
"Pago título: 2220007842 1426 - WEIDMANN TECNOLOGIA 29/07/2022 LQ 208,41 208,41"
"ERRO! Operação desconhecida: 2220005804 2385 - SOLENIS ESPECIALIDAD 29/07/2022 VC 446,49 0"
